Player name,Known as,player_id,position,nationality,team,Fifa 21 Potential rating,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Curtis Jones,C. Jones,242434,"['CM', 'CAM', 'LM']",England,Liverpool,84,64,19,73,20
Liberato Cacace,L. Cacace,242429,"['LB', 'LWB']",New Zealand,New Zealand,84,73,19,72,20
Tariq Lamptey,T. Lamptey,242418,"['RB', 'RM']",England,Brighton & Hove Albion,84,66,19,74,20
Lewis Ferguson,L. Ferguson,242280,"['CDM', 'CM', 'CAM']",Scotland,Aberdeen,84,69,20,71,21
Fausto Vera,F. Vera,242249,"['CM', 'CDM']",Argentina,Argentinos Juniors,84,67,20,69,21
Francisco Reis Ferreira,Ferro,242236,['CB'],Portugal,SL Benfica,84,77,23,75,24
Christoph Baumgartner,C. Baumgartner,242187,"['CAM', 'LW']",Austria,TSG Hoffenheim,84,75,20,78,21
Konstantinos Mavropanos,K. Mavropanos,242000,['CB'],Greece,VfB Stuttgart,84,73,22,73,23
Sergio Gomez Martin,Sergio Gómez,241811,"['RM', 'LM']",Spain,Borussia Dortmund,84,68,19,68,20
Pape Gueye,P. Gueye,241707,"['CDM', 'CM']",France,Olympique de Marseille,84,70,21,76,22
Alejandro Centelles Plaza,Álex Centelles,241470,['LB'],Spain,Valencia CF,84,74,20,75,21
Eljif Elmas,E. Elmas,241390,['CM'],North Macedonia,Napoli,84,72,20,73,21
Zinho Vanheusden,Z. Vanheusden,241103,['CB'],Belgium,Standard de Liège,84,73,20,74,21
Oliver Skipp,O. Skipp,241042,"['CDM', 'CM']",England,Tottenham Hotspur,84,68,19,75,20
Unai Nunez Gestoso,Unai Núñez,240900,['CB'],Spain,Athletic Club de Bilbao,84,78,23,80,24
Teun Koopmeiners,T. Koopmeiners,240679,"['CDM', 'CB']",Netherlands,AZ Alkmaar,84,78,22,79,23
Carles Perez Sayol,Carles Pérez,240654,"['RM', 'RW']",Spain,Attacking,84,73,22,75,23
Angel Gomes,A. Gomes,240507,"['CAM', 'LW']",England,Boavista FC,84,67,19,69,20
Jose Juan Macias,J. Macías,239592,['ST'],Mexico,Mexico,84,75,20,75,21
Robin Hack,R. Hack,239367,"['LM', 'CAM']",Germany,1. FC Nürnberg,84,74,21,71,22
Rhian Brewster,R. Brewster,238460,['ST'],England,Liverpool,84,70,20,69,21
Florinel Coman,F. Coman,238274,['LW'],Romania,Romania,84,74,22,72,23
Tyrell Malacia,T. Malacia,238041,['LB'],Netherlands,Feyenoord,84,75,20,77,21
Arne Maier,A. Maier,237629,"['CM', 'CDM']",Germany,Hertha BSC,84,74,21,74,22
Scott Mctominay,S. McTominay,237238,"['CDM', 'CM']",Scotland,Manchester United,84,79,23,80,24
Justin Kluivert,J. Kluivert,236920,"['LM', 'RM', 'LW']",Netherlands,Attacking,84,74,21,76,22
Oscar Melendo Jimenez,Melendo,236679,"['RM', 'CM']",Spain,RCD Espanyol de Barcelona,84,78,22,76,23
Robin Koch,R. Koch,236532,"['CB', 'CDM']",Germany,Sport-Club Freiburg,84,76,23,77,24
Marcos Senesi,M. Senesi,236506,['CB'],Argentina,Feyenoord,84,77,23,79,24
Evan Ndicka,E. Ndicka,236403,"['CB', 'LB']",France,Eintracht Frankfurt,84,74,20,77,21
Brais Mendez Portela,Brais Méndez,235944,"['RM', 'LM']",Spain,RC Celta de Vigo,84,75,23,76,24
Matias Zaracho,M. Zaracho,235926,"['CM', 'CAM', 'RM']",Argentina,Racing Club,84,76,22,,
Cengiz Under,C. Ünder,235889,"['RM', 'RW']",Turkey,Attacking,84,78,22,77,23
Federico Chiesa,F. Chiesa,235805,"['CF', 'RW']",Italy,Italy,84,78,22,83,23
Ibrahim Sangare,I. Sangaré,235173,"['CDM', 'CM']",Côte d'Ivoire,Toulouse Football Club,84,74,22,77,23
Ruben Nascimento Vinagre,Rúben Vinagre,235172,['LWB'],Portugal,Wolverhampton Wanderers,84,74,21,74,22
Lucas Robertone,L. Robertone,235008,"['CM', 'CAM']",Argentina,Vélez Sarsfield,84,75,23,76,24
Gedson Carvalho Fernandes,Gedson Fernandes,234568,"['CM', 'RM']",Portugal,Tottenham Hotspur,84,75,21,77,22
Carlos Soler Barragan,Carlos Soler,234153,"['RM', 'LM', 'CM']",Spain,Valencia CF,84,79,23,81,24
Yangel Herrera,Y. Herrera,234060,"['CM', 'CDM']",Venezuela,Manchester City,84,75,22,78,23
Henry Onyekuru,H. Onyekuru,234045,"['LM', 'ST']",Nigeria,AS Monaco,84,77,23,75,24
Odsonne Edouard,O. Edouard,233866,['ST'],France,Celtic,84,75,22,75,23
Igor Zubeldia Elorza,Zubeldia,233738,"['CDM', 'CM', 'CB']",Spain,Real Sociedad,84,79,23,79,24
