Player name,Known as,player_id,position,nationality,team,Fifa 13 Potential rating,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 13 outcome,Year potential reached
Andre Schurrle,A. Schürrle,193130,"['LM', 'LW', 'CF', 'ST']",Germany,Bayer 04 Leverkusen,85,79,21,80.0,22.0,81.0,23.0,80.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,76.0,28.0,,,,,did not hit their potential,
Holger Badstuber,H. Badstuber,192620,"['CB', 'LB', 'CDM']",Germany,FC Bayern München,85,83,23,81.0,24.0,80.0,25.0,80.0,26.0,79.0,27.0,78.0,28.0,79.0,29.0,75.0,30.0,72.0,31.0,67.0,32.0,did not hit their potential,
Bernd Leno,B. Leno,192563,['GK'],Germany,Bayer 04 Leverkusen,85,79,20,80.0,21.0,82.0,22.0,84.0,23.0,86.0,24.0,85.0,25.0,84.0,26.0,84.0,27.0,85.0,28.0,83.0,29.0,lived to expectations,3.0
Ciro Immobile,C. Immobile,192387,['ST'],Italy,Genoa,85,76,22,75.0,23.0,80.0,24.0,79.0,25.0,80.0,26.0,82.0,27.0,87.0,28.0,86.0,29.0,87.0,30.0,87.0,31.0,exceeded their potential,6.0
Georgiy Schennikov,G. Schennikov,192087,"['LB', 'LWB', 'LM']",Russia,PFC CSKA Moscow,85,73,21,72.0,22.0,73.0,23.0,75.0,24.0,76.0,25.0,75.0,26.0,75.0,27.0,74.0,28.0,75.0,29.0,74.0,30.0,did not hit their potential,
Eduardo Salvio,E. Salvio,190972,"['RM', 'RW', 'CF', 'LM']",Argentina,SL Benfica,85,77,21,79.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,81.0,29.0,80.0,30.0,did not hit their potential,
Guido Marilungo,G. Marilungo,189728,"['CF', 'RW', 'LW', 'CAM']",Italy,Atalanta,85,74,22,72.0,23.0,69.0,24.0,71.0,25.0,72.0,26.0,71.0,27.0,71.0,28.0,,,,,,,did not hit their potential,
Tom Cleverley,T. Cleverley,189725,"['CAM', 'CM', 'LM']",England,Manchester United,85,78,22,78.0,23.0,74.0,24.0,77.0,25.0,78.0,26.0,76.0,27.0,76.0,28.0,76.0,29.0,75.0,30.0,74.0,31.0,did not hit their potential,
Iker Muniain Goni,Muniaín,189575,"['LW', 'RW', 'CF']",Spain,Athletic Club de Bilbao,85,80,19,78.0,20.0,80.0,21.0,80.0,22.0,78.0,23.0,78.0,24.0,80.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,did not hit their potential,
Kyle Walker,K. Walker,188377,['RB'],England,Tottenham Hotspur,85,78,22,79.0,23.0,77.0,24.0,79.0,25.0,81.0,26.0,83.0,27.0,84.0,28.0,84.0,29.0,85.0,30.0,85.0,31.0,lived to expectations,6.0
Paulo Henrique Chagas De Lima,Ganso,187688,"['CAM', 'CM']",Brazil,Santos,85,80,22,77.0,23.0,,,,,81.0,26.0,80.0,27.0,75.0,28.0,,,,,,,did not hit their potential,
Kyriakos Papadopoulos,K. Papadopoulos,184477,"['CB', 'CDM']",Greece,FC Schalke 04,85,78,20,78.0,21.0,78.0,22.0,79.0,23.0,79.0,24.0,79.0,25.0,78.0,26.0,76.0,27.0,,,71.0,29.0,did not hit their potential,
Jack Rodwell,J. Rodwell,183465,"['CM', 'CDM']",England,Manchester City,85,77,21,77.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,74.0,26.0,,,,,,,67.0,30.0,did not hit their potential,
Andre Ayew,A. Ayew,176571,"['LM', 'LW', 'CM']",Ghana,Olympique de Marseille,85,81,22,80.0,23.0,78.0,24.0,79.0,25.0,80.0,26.0,80.0,27.0,77.0,28.0,76.0,29.0,76.0,30.0,,,did not hit their potential,
Theo Walcott,T. Walcott,164859,"['RW', 'RM', 'CAM', 'ST']",England,Arsenal,85,81,23,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,77.0,30.0,76.0,31.0,76.0,32.0,did not hit their potential,
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,84,63,17,64.0,18.0,67.0,19.0,78.0,20.0,79.0,21.0,80.0,22.0,82.0,23.0,82.0,24.0,80.0,25.0,77.0,26.0,did not hit their potential,
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,Roma,84,67,17,68.0,18.0,71.0,19.0,75.0,20.0,78.0,21.0,79.0,22.0,82.0,23.0,83.0,24.0,83.0,25.0,82.0,26.0,lived to expectations,7.0
Leon Goretzka,L. Goretzka,209658,"['CM', 'RM', 'CDM', 'CAM']",Germany,VfL Bochum 1848,84,59,17,68.0,18.0,73.0,19.0,74.0,20.0,79.0,21.0,82.0,22.0,83.0,23.0,84.0,24.0,84.0,25.0,87.0,26.0,exceeded their potential,6.0
Nathan Ake,N. Ake,208920,"['CB', 'CDM']",Netherlands,Chelsea,84,59,17,67.0,18.0,67.0,19.0,69.0,20.0,72.0,21.0,75.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,78.0,26.0,did not hit their potential,
Samuele Longo,S. Longo,208251,"['ST', 'CF']",Italy,RCD Espanyol de Barcelona,84,70,20,69.0,21.0,68.0,22.0,72.0,23.0,69.0,24.0,71.0,25.0,73.0,26.0,71.0,27.0,68.0,28.0,,,did not hit their potential,
Patricio Rodriguez,P. Rodríguez,207454,"['RM', 'LM', 'RW', 'LW']",Argentina,Santos,84,75,22,75.0,23.0,,,,,,,71.0,27.0,,,69.0,29.0,68.0,30.0,72.0,31.0,did not hit their potential,
Yassine Benzia,Y. Benzia,206436,"['ST', 'CF']",France,Olympique Lyonnais,84,63,17,67.0,18.0,66.0,19.0,67.0,20.0,73.0,21.0,76.0,22.0,75.0,23.0,73.0,24.0,71.0,25.0,70.0,26.0,did not hit their potential,
Christian Atsu,C. Atsu,205601,"['LW', 'RW']",Ghana,FC Porto,84,76,20,76.0,21.0,75.0,22.0,76.0,23.0,76.0,24.0,75.0,25.0,75.0,26.0,74.0,27.0,74.0,28.0,72.0,29.0,did not hit their potential,
James Ward Prowse,J. Ward-Prowse,205569,['CM'],England,Southampton,84,64,17,70.0,18.0,74.0,19.0,74.0,20.0,76.0,21.0,78.0,22.0,77.0,23.0,79.0,24.0,79.0,25.0,81.0,26.0,did not hit their potential,
Tonny Vilhena,T. Vilhena,203535,"['CM', 'CAM']",Netherlands,Feyenoord,84,66,17,73.0,18.0,73.0,19.0,73.0,20.0,76.0,21.0,78.0,22.0,77.0,23.0,78.0,24.0,,,76.0,26.0,did not hit their potential,
W Leandro De Oliveira Moura,Leandro,203431,"['CF', 'ST']",Brazil,Grêmio,84,73,19,75.0,20.0,,,,,,,67.0,24.0,67.0,25.0,67.0,26.0,68.0,27.0,72.0,28.0,did not hit their potential,
Andre Carrillo,A. Carrillo,203299,"['RW', 'CF']",Peru,Sporting CP,84,77,21,77.0,22.0,77.0,23.0,80.0,24.0,80.0,25.0,77.0,26.0,78.0,27.0,78.0,28.0,79.0,29.0,79.0,30.0,did not hit their potential,
Raheem Sterling,R. Sterling,202652,"['LW', 'RW']",England,Liverpool,84,69,17,76.0,18.0,80.0,19.0,82.0,20.0,82.0,21.0,82.0,22.0,85.0,23.0,88.0,24.0,88.0,25.0,88.0,26.0,exceeded their potential,6.0
Felipe Anderson Pereira Gomes,Felipe Anderson,201995,"['CAM', 'CF']",Brazil,Santos,84,70,19,73.0,20.0,73.0,21.0,79.0,22.0,79.0,23.0,81.0,24.0,82.0,25.0,84.0,26.0,81.0,27.0,78.0,28.0,lived to expectations,7.0
Michele Camporese,M. Camporese,201914,['CB'],Italy,Fiorentina,84,72,20,66.0,21.0,65.0,22.0,67.0,23.0,68.0,24.0,69.0,25.0,69.0,26.0,70.0,27.0,,,,,did not hit their potential,
Ahmed Musa,A. Musa,201818,"['RM', 'ST']",Nigeria,PFC CSKA Moscow,84,72,19,76.0,20.0,75.0,21.0,76.0,22.0,78.0,23.0,76.0,24.0,75.0,25.0,73.0,26.0,73.0,27.0,72.0,28.0,did not hit their potential,
Raphael Varane,R. Varane,201535,"['CB', 'CDM']",France,Real Madrid CF,84,76,19,81.0,20.0,81.0,21.0,82.0,22.0,84.0,23.0,85.0,24.0,86.0,25.0,85.0,26.0,86.0,27.0,86.0,28.0,exceeded their potential,4.0
Andre Renato Soares Martins,André Martins,200962,"['CM', 'CAM']",Portugal,Sporting CP,84,74,22,74.0,23.0,75.0,24.0,76.0,25.0,76.0,26.0,74.0,27.0,,,73.0,29.0,70.0,30.0,70.0,31.0,did not hit their potential,
Juan Isaac Cuenca Lopez,Isaac Cuenca,200735,"['RW', 'LW', 'CAM', 'CF']",Spain,FC Barcelona,84,75,21,75.0,22.0,73.0,23.0,70.0,24.0,73.0,25.0,,,,,72.0,28.0,71.0,29.0,,,did not hit their potential,
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,Rio Ave FC,84,74,19,74.0,20.0,77.0,21.0,81.0,22.0,87.0,23.0,88.0,24.0,90.0,25.0,91.0,26.0,91.0,27.0,91.0,28.0,exceeded their potential,4.0
Filippo Boniperti,F. Boniperti,199825,"['CF', 'LW', 'RW', 'CAM']",Italy,Empoli,84,62,20,64.0,21.0,55.0,22.0,,,,,,,,,,,,,,,did not hit their potential,
Luca Caldirola,L. Caldirola,199776,"['CB', 'LB']",Italy,Cesena,84,70,21,70.0,22.0,73.0,23.0,74.0,24.0,75.0,25.0,75.0,26.0,72.0,27.0,72.0,28.0,71.0,29.0,71.0,30.0,did not hit their potential,
Ezequiel Cirigliano,E. Cirigliano,199666,"['CDM', 'CM']",Argentina,River Plate,84,72,20,72.0,21.0,72.0,22.0,69.0,23.0,,,,,,,,,,,66.0,29.0,did not hit their potential,
Sergio Roberto Carnicer,Sergi Roberto,199564,"['CM', 'CDM']",Spain,FC Barcelona,84,72,20,74.0,21.0,75.0,22.0,78.0,23.0,79.0,24.0,81.0,25.0,84.0,26.0,82.0,27.0,83.0,28.0,81.0,29.0,lived to expectations,6.0
Granit Xhaka,G. Xhaka,199503,"['CM', 'CAM', 'CDM']",Switzerland,Borussia Mönchengladbach,84,75,19,74.0,20.0,76.0,21.0,81.0,22.0,84.0,23.0,82.0,24.0,81.0,25.0,81.0,26.0,80.0,27.0,79.0,28.0,lived to expectations,4.0
Dusan Tadic,D. Tadić,199434,"['RW', 'LW', 'CAM']",Serbia,FC Twente,84,79,23,80.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,80.0,28.0,80.0,29.0,84.0,30.0,83.0,31.0,84.0,32.0,lived to expectations,7.0
Danilo Luiz Da Silva,Danilo,199304,"['RB', 'CM']",Brazil,FC Porto,84,77,20,77.0,21.0,77.0,22.0,81.0,23.0,80.0,24.0,78.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,81.0,29.0,did not hit their potential,
Ross Barkley,R. Barkley,199189,"['CAM', 'RM']",England,Everton,84,70,18,72.0,19.0,78.0,20.0,79.0,21.0,81.0,22.0,81.0,23.0,79.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Nathan Redmond,N. Redmond,198719,"['RM', 'LM', 'CAM']",England,Birmingham City,84,69,18,70.0,19.0,73.0,20.0,74.0,21.0,75.0,22.0,77.0,23.0,75.0,24.0,77.0,25.0,78.0,26.0,76.0,27.0,did not hit their potential,
Serigne Kara,S. Kara,198584,"['CDM', 'CB', 'CM']",Senegal,Tromsø IL,84,78,22,73.0,23.0,73.0,24.0,75.0,25.0,75.0,26.0,78.0,27.0,78.0,28.0,,,,,,,did not hit their potential,
Stefan De Vrij,S. de Vrij,198176,"['CB', 'RB']",Netherlands,Feyenoord,84,74,20,76.0,21.0,78.0,22.0,82.0,23.0,82.0,24.0,83.0,25.0,84.0,26.0,84.0,27.0,84.0,28.0,85.0,29.0,lived to expectations,5.0
Sergio Araujo,S. Araujo,198145,['ST'],Argentina,FC Barcelona B,84,69,20,73.0,21.0,68.0,22.0,75.0,23.0,75.0,24.0,74.0,25.0,74.0,26.0,70.0,27.0,69.0,28.0,72.0,29.0,did not hit their potential,
Lorenzo Crisetig,L. Crisetig,197926,"['CM', 'CAM', 'CDM']",Italy,Spezia,84,69,19,66.0,20.0,70.0,21.0,73.0,22.0,73.0,23.0,73.0,24.0,74.0,25.0,74.0,26.0,,,,,did not hit their potential,
Francisco Roman Alarcon Suarez,Isco,197781,"['CAM', 'LM', 'CF']",Spain,Málaga CF,84,79,20,84.0,21.0,83.0,22.0,84.0,23.0,84.0,24.0,86.0,25.0,89.0,26.0,86.0,27.0,84.0,28.0,82.0,29.0,exceeded their potential,1.0
Federico Carraro,F. Carraro,197690,"['CAM', 'CF', 'CM']",Italy,FC Pro Vercelli 1892,84,66,20,,,,,,,,,,,,,,,,,,,did not hit their potential,
Giannis Fetfatzidis,G. Fetfatzidis,197117,"['CAM', 'RW', 'LW']",Greece,Olympiacos CFP,84,74,21,74.0,22.0,75.0,23.0,75.0,24.0,77.0,25.0,76.0,26.0,76.0,27.0,,,73.0,29.0,,,did not hit their potential,
Phil Jones,P. Jones,194957,"['CB', 'RB', 'CM']",England,Manchester United,84,78,20,78.0,21.0,79.0,22.0,80.0,23.0,79.0,24.0,79.0,25.0,80.0,26.0,79.0,27.0,75.0,28.0,74.0,29.0,did not hit their potential,
Nikolay Zabolotnyy,N. Zabolotnyy,194872,['GK'],Russia,FC Rostov,84,71,22,69.0,23.0,69.0,24.0,68.0,25.0,68.0,26.0,,,,,,,,,,,did not hit their potential,
Antoine Griezmann,A. Griezmann,194765,"['LW', 'CF']",France,Real Sociedad,84,77,21,80.0,22.0,82.0,23.0,83.0,24.0,88.0,25.0,88.0,26.0,89.0,27.0,89.0,28.0,87.0,29.0,85.0,30.0,exceeded their potential,3.0
Steven Caulker,S. Caulker,193504,['CB'],England,Tottenham Hotspur,84,74,20,74.0,21.0,76.0,22.0,77.0,23.0,77.0,24.0,73.0,25.0,69.0,26.0,69.0,27.0,70.0,28.0,74.0,29.0,did not hit their potential,
Alexandre Lacazette,A. Lacazette,193301,"['ST', 'RW', 'LW']",France,Olympique Lyonnais,84,74,21,75.0,22.0,79.0,23.0,84.0,24.0,85.0,25.0,85.0,26.0,84.0,27.0,86.0,28.0,83.0,29.0,82.0,30.0,exceeded their potential,3.0
Nassim Ben Khalifa,N. Ben Khalifa,193195,"['CF', 'ST', 'CAM']",Switzerland,Grasshopper Club Zürich,84,68,20,68.0,21.0,68.0,22.0,67.0,23.0,,,66.0,25.0,68.0,26.0,,,,,,,did not hit their potential,
David De Gea Quintana,De Gea,193080,['GK'],Spain,Manchester United,84,80,21,82.0,22.0,83.0,23.0,86.0,24.0,90.0,25.0,90.0,26.0,91.0,27.0,89.0,28.0,86.0,29.0,84.0,30.0,exceeded their potential,2.0
Vincenzo Camilleri,V. Camilleri,192601,"['CB', 'RB']",Italy,Cagliari,84,71,20,,,,,63.0,23.0,,,,,,,,,,,,,did not hit their potential,
Luciano Narsingh,L. Narsingh,192362,['RW'],Netherlands,PSV,84,77,21,76.0,22.0,75.0,23.0,77.0,24.0,76.0,25.0,75.0,26.0,75.0,27.0,72.0,28.0,72.0,29.0,70.0,30.0,did not hit their potential,
Sandro R G Cordeiro,Sandro,190782,"['CDM', 'CM']",Brazil,Tottenham Hotspur,84,78,23,81.0,24.0,79.0,25.0,73.0,26.0,78.0,27.0,75.0,28.0,75.0,29.0,74.0,30.0,,,73.0,32.0,did not hit their potential,
Jeroen Zoet,J. Zoet,190778,['GK'],Netherlands,RKC Waalwijk,84,72,21,75.0,22.0,77.0,23.0,78.0,24.0,80.0,25.0,79.0,26.0,80.0,27.0,80.0,28.0,76.0,29.0,75.0,30.0,did not hit their potential,
Adem Ljajic,A. Ljajić,190544,"['CAM', 'LW', 'RW', 'CF']",Serbia,Fiorentina,84,75,20,79.0,21.0,76.0,22.0,79.0,23.0,78.0,24.0,79.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,76.0,29.0,did not hit their potential,
Eliaquim Mangala,E. Mangala,190531,"['CB', 'LB']",France,FC Porto,84,77,21,81.0,22.0,80.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,78.0,27.0,76.0,28.0,74.0,29.0,73.0,30.0,did not hit their potential,
Nathaniel Clyne,N. Clyne,190456,"['RB', 'LB']",England,Southampton,84,73,21,73.0,22.0,74.0,23.0,81.0,24.0,81.0,25.0,82.0,26.0,80.0,27.0,78.0,28.0,,,75.0,30.0,did not hit their potential,
Sergio Canales Madrazo,Sergio Canales,190286,"['CAM', 'LM', 'CF']",Spain,Valencia CF,84,78,21,77.0,22.0,77.0,23.0,79.0,24.0,79.0,25.0,79.0,26.0,79.0,27.0,84.0,28.0,82.0,29.0,83.0,30.0,lived to expectations,7.0
Alvaro Dominguez Soto,Domínguez,190150,"['CB', 'LB']",Spain,Borussia Mönchengladbach,84,78,23,77.0,24.0,76.0,25.0,78.0,26.0,77.0,27.0,,,,,,,,,,,did not hit their potential,
Panagiotis Tachtsidis,P. Tachtsidis,190084,"['CDM', 'CM']",Greece,Roma,84,75,21,73.0,22.0,70.0,23.0,75.0,24.0,75.0,25.0,75.0,26.0,74.0,27.0,72.0,28.0,70.0,29.0,70.0,30.0,did not hit their potential,
Kevin Strootman,K. Strootman,189712,"['CM', 'CDM']",Netherlands,PSV,84,78,22,79.0,23.0,81.0,24.0,80.0,25.0,81.0,26.0,84.0,27.0,83.0,28.0,80.0,29.0,77.0,30.0,76.0,31.0,lived to expectations,5.0
Daniel Parejo Munoz,Parejo,189513,"['CM', 'CAM']",Spain,Valencia CF,84,76,23,76.0,24.0,80.0,25.0,82.0,26.0,82.0,27.0,82.0,28.0,86.0,29.0,86.0,30.0,85.0,31.0,86.0,32.0,exceeded their potential,6.0
Junior Hoilett,J. Hoilett,189462,"['LM', 'RM', 'CF']",Canada,Queens Park Rangers,84,77,22,77.0,23.0,73.0,24.0,72.0,25.0,73.0,26.0,72.0,27.0,75.0,28.0,74.0,29.0,72.0,30.0,72.0,31.0,did not hit their potential,
Cristian Pasquato,C. Pasquato,189437,"['CF', 'LW', 'RW', 'LM']",Italy,Bologna,84,71,22,72.0,23.0,71.0,24.0,72.0,25.0,72.0,26.0,73.0,27.0,69.0,28.0,,,,,,,did not hit their potential,
Jordi Alba Ramos,Jordi Alba,189332,"['LB', 'LW']",Spain,FC Barcelona,84,81,23,82.0,24.0,81.0,25.0,84.0,26.0,86.0,27.0,85.0,28.0,87.0,29.0,87.0,30.0,86.0,31.0,86.0,32.0,exceeded their potential,3.0
Nelson Miguel Castro Oliveira,Nélson Oliveira,189303,"['ST', 'CF']",Portugal,Deportivo de La Coruña,84,74,20,73.0,21.0,73.0,22.0,74.0,23.0,,,74.0,25.0,73.0,26.0,73.0,27.0,75.0,28.0,73.0,29.0,did not hit their potential,
Aleksandar Dragovic,A. Dragović,189060,"['CB', 'CDM']",Austria,FC Basel 1893,84,74,21,74.0,22.0,75.0,23.0,78.0,24.0,79.0,25.0,77.0,26.0,77.0,27.0,77.0,28.0,75.0,29.0,76.0,30.0,did not hit their potential,
Nicolas Nkoulou,N. N'Koulou,188829,['CB'],Cameroon,Olympique de Marseille,84,78,22,81.0,23.0,79.0,24.0,81.0,25.0,81.0,26.0,78.0,27.0,80.0,28.0,81.0,29.0,80.0,30.0,76.0,31.0,did not hit their potential,
Pierre Emerick Aubameyang,P. Aubameyang,188567,['ST'],Gabon,AS Saint-Étienne,84,79,23,80.0,24.0,79.0,25.0,82.0,26.0,86.0,27.0,88.0,28.0,87.0,29.0,88.0,30.0,87.0,31.0,85.0,32.0,exceeded their potential,4.0
Abel Hernandez,A. Hernández,188484,['ST'],Uruguay,Uruguay,84,75,21,74.0,22.0,72.0,23.0,74.0,24.0,76.0,25.0,75.0,26.0,75.0,27.0,,,,,73.0,30.0,did not hit their potential,
Lewis Holtby,L. Holtby,188154,"['CM', 'CAM', 'CDM', 'LM']",Germany,FC Schalke 04,84,78,21,78.0,22.0,77.0,23.0,76.0,24.0,78.0,25.0,77.0,26.0,76.0,27.0,,,72.0,29.0,71.0,30.0,did not hit their potential,
Rafael De Souza Pereira,Rafael Carioca,188041,"['CDM', 'CM']",Brazil,Spartak Moskva,84,77,23,75.0,24.0,,,,,,,,,77.0,29.0,78.0,30.0,78.0,31.0,79.0,32.0,did not hit their potential,
Jose Paulo Bezerra M Junior,Paulinho,187961,"['CM', 'CDM']",Brazil,Sport Club Corinthians Paulista,84,80,23,81.0,24.0,80.0,25.0,,,,,81.0,28.0,85.0,29.0,84.0,30.0,83.0,31.0,83.0,32.0,lived to expectations,6.0
Omar El Kaddouri,O. El Kaddouri,187702,"['CAM', 'CF', 'CM', 'CDM']",Belgium,Napoli,84,73,21,73.0,22.0,74.0,23.0,77.0,24.0,78.0,25.0,78.0,26.0,76.0,27.0,76.0,28.0,73.0,29.0,73.0,30.0,did not hit their potential,
Alberto Paloschi,A. Paloschi,186961,"['ST', 'CF']",Italy,Chievo Verona,84,74,22,76.0,23.0,76.0,24.0,77.0,25.0,78.0,26.0,76.0,27.0,76.0,28.0,75.0,29.0,72.0,30.0,,,did not hit their potential,
Ilkay Gundogan,İ. Gündoğan,186942,"['CM', 'CAM', 'CDM']",Germany,Borussia Dortmund,84,80,21,84.0,22.0,83.0,23.0,82.0,24.0,85.0,25.0,85.0,26.0,84.0,27.0,84.0,28.0,83.0,29.0,85.0,30.0,lived to expectations,1.0
Aaron Ramsey,A. Ramsey,186561,"['CAM', 'CM', 'CDM']",Wales,Arsenal,84,77,21,77.0,22.0,83.0,23.0,82.0,24.0,84.0,25.0,82.0,26.0,82.0,27.0,83.0,28.0,82.0,29.0,80.0,30.0,lived to expectations,2.0
Fabio Borini,F. Borini,186200,"['ST', 'LW', 'RW']",Italy,Liverpool,84,77,21,75.0,22.0,74.0,23.0,76.0,24.0,76.0,25.0,76.0,26.0,76.0,27.0,76.0,28.0,76.0,29.0,76.0,30.0,did not hit their potential,
Danny Welbeck,D. Welbeck,186146,"['ST', 'CF']",England,Manchester United,84,79,21,78.0,22.0,78.0,23.0,79.0,24.0,80.0,25.0,80.0,26.0,77.0,27.0,78.0,28.0,74.0,29.0,73.0,30.0,did not hit their potential,
Neven Subotic,N. Subotić,183556,['CB'],Serbia,Borussia Dortmund,84,81,23,82.0,24.0,82.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,72.0,31.0,,,did not hit their potential,
Ciaran Clark,C. Clark,183129,"['CB', 'CDM', 'LB']",Republic of Ireland,Aston Villa,84,74,22,73.0,23.0,73.0,24.0,77.0,25.0,76.0,26.0,76.0,27.0,76.0,28.0,75.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Andy Carroll,A. Carroll,182836,['ST'],England,West Ham United,84,78,23,77.0,24.0,77.0,25.0,78.0,26.0,78.0,27.0,78.0,28.0,77.0,29.0,75.0,30.0,74.0,31.0,71.0,32.0,did not hit their potential,
Mapou Yanga Mbiwa,M. Yanga-M'Biwa,181560,"['CB', 'RB']",France,Montpellier Hérault SC,84,79,23,77.0,24.0,76.0,25.0,78.0,26.0,81.0,27.0,76.0,28.0,73.0,29.0,73.0,30.0,,,,,did not hit their potential,
Georginio Wijnaldum,G. Wijnaldum,181291,"['CAM', 'RW']",Netherlands,PSV,84,76,21,78.0,22.0,78.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,84.0,28.0,85.0,29.0,84.0,30.0,lived to expectations,7.0
Miralem Pjanic,M. Pjanić,180206,"['CM', 'CAM', 'LM', 'RM']",Bosnia and Herzegovina,Roma,84,77,22,78.0,23.0,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,86.0,28.0,86.0,29.0,85.0,30.0,82.0,31.0,exceeded their potential,2.0
Etienne Capoue,E. Capoue,178213,"['CDM', 'CB']",France,France,84,79,23,79.0,24.0,78.0,25.0,77.0,26.0,78.0,27.0,76.0,28.0,76.0,29.0,80.0,30.0,78.0,31.0,78.0,32.0,did not hit their potential,
Sven Bender,S. Bender,177458,"['CDM', 'CM']",Germany,Borussia Dortmund,84,81,23,81.0,24.0,81.0,25.0,80.0,26.0,82.0,27.0,80.0,28.0,81.0,29.0,80.0,30.0,81.0,31.0,,,did not hit their potential,
Lars Bender,L. Bender,177457,"['CDM', 'CM', 'RB', 'RM']",Germany,Bayer 04 Leverkusen,84,81,23,81.0,24.0,81.0,25.0,81.0,26.0,83.0,27.0,82.0,28.0,82.0,29.0,80.0,30.0,82.0,31.0,,,lived to expectations,4.0
Alberto Frison,A. Frison,173023,['GK'],Italy,Catania,84,72,23,73.0,24.0,70.0,25.0,,,,,,,,,,,,,,,did not hit their potential,
Daniel Sturridge,D. Sturridge,171833,"['RW', 'ST', 'CAM']",England,Chelsea,84,78,22,80.0,23.0,83.0,24.0,83.0,25.0,84.0,26.0,82.0,27.0,80.0,28.0,,,,,75.0,31.0,lived to expectations,2.0
Adrien Rabiot,A. Rabiot,210008,"['CM', 'CDM']",France,Paris Saint-Germain,83,63,17,70.0,18.0,73.0,19.0,76.0,20.0,78.0,21.0,80.0,22.0,83.0,23.0,83.0,24.0,81.0,25.0,81.0,26.0,lived to expectations,6.0
Rondinelly De Andrade Silva,Rondinelly,209266,"['RM', 'LM', 'CM']",Brazil,Grêmio,83,73,21,69.0,22.0,,,,,,,,,,,,,,,,,did not hit their potential,
Emre Can,E. Can,208333,"['CDM', 'CM', 'CB', 'LB']",Germany,FC Bayern München,83,65,18,68.0,19.0,74.0,20.0,75.0,21.0,80.0,22.0,79.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,lived to expectations,8.0
Vyacheslav Podberezkin,V. Podberezkin,206479,"['CAM', 'CF', 'CM']",Russia,FC Lokomotiv Moscow,83,62,20,,,62.0,22.0,62.0,23.0,68.0,24.0,68.0,25.0,,,,,,,,,did not hit their potential,
Luke Shaw,L. Shaw,205988,"['LB', 'LM']",England,Southampton,83,58,16,70.0,17.0,75.0,18.0,77.0,19.0,80.0,20.0,79.0,21.0,78.0,22.0,81.0,23.0,81.0,24.0,84.0,25.0,lived to expectations,9.0
Stefanos Kapino,S. Kapino,205878,['GK'],Greece,Panathinaikos FC,83,72,18,72.0,19.0,72.0,20.0,73.0,21.0,75.0,22.0,77.0,23.0,73.0,24.0,73.0,25.0,73.0,26.0,73.0,27.0,did not hit their potential,
Ewerton Jose Almeida Santos,Ewerton,205194,['CB'],Brazil,FC Anzhi Makhachkala,83,76,23,74.0,24.0,,,78.0,26.0,75.0,27.0,74.0,28.0,74.0,29.0,74.0,30.0,71.0,31.0,,,did not hit their potential,
Elio De Silvestro,E. De Silvestro,205105,"['LM', 'LW', 'RM', 'RW']",Italy,FC Pro Vercelli 1892,83,67,19,,,62.0,21.0,61.0,22.0,,,,,,,,,,,,,did not hit their potential,
Thomas Jaguaribe Bedinelli,Thomás,204969,"['LW', 'CAM', 'CF']",Brazil,Flamengo,83,72,19,,,,,63.0,22.0,,,,,,,,,,,,,did not hit their potential,
Gary Mackay Steven,G. Mackay-Steven,204820,"['LM', 'LW']",Scotland,Dundee United,83,73,22,72.0,22.0,70.0,23.0,70.0,24.0,70.0,25.0,68.0,26.0,70.0,27.0,69.0,28.0,69.0,29.0,67.0,30.0,did not hit their potential,
