Player name,Known as,player_id,position,nationality,team,Fifa 17 Potential rating,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 17 outcome,Year potential reached
Josh Onomah,J. Onomah,222079,"['CAM', 'RM']",England,Tottenham Hotspur,85,70,19,72.0,20.0,71.0,21.0,69.0,22.0,67.0,23.0,69.0,24.0,still has time,
Godfred Donsah,G. Donsah,221695,['CM'],Ghana,Bologna,85,75,20,75.0,21.0,76.0,22.0,75.0,23.0,70.0,24.0,70.0,25.0,did not hit their potential,
Simone Scuffet,S. Scuffet,220048,['GK'],Italy,Udinese Calcio,85,74,20,75.0,21.0,72.0,22.0,72.0,23.0,72.0,24.0,72.0,25.0,still has time,
Sebastián Carlos Cristóforo Pepe,S. Cristóforo,219712,['CDM'],Uruguay,Sevilla FC,85,78,22,76.0,23.0,75.0,24.0,75.0,25.0,74.0,26.0,74.0,27.0,did not hit their potential,
Théo Bongonda Mbul'Ofeko Batombo,T. Bongonda,217877,"['LW', 'LM', 'RW']",Belgium,RC Celta de Vigo,85,75,20,78.0,21.0,76.0,22.0,76.0,23.0,74.0,24.0,77.0,25.0,did not hit their potential,
Wendell Nascimento Borges,Wendell,216466,['LB'],Brazil,Bayer 04 Leverkusen,85,78,22,77.0,23.0,78.0,24.0,77.0,25.0,77.0,26.0,75.0,27.0,did not hit their potential,
Tin Jedvaj,T. Jedvaj,215930,"['RB', 'CB']",Croatia,Bayer 04 Leverkusen,85,75,20,76.0,21.0,76.0,22.0,75.0,23.0,75.0,24.0,73.0,25.0,did not hit their potential,
Gnaly Maxwel Cornet,M. Cornet,215798,"['LW', 'RW', 'ST']",France,Olympique Lyonnais,85,75,19,73.0,20.0,75.0,21.0,76.0,22.0,75.0,23.0,75.0,24.0,still has time,
Robert Kenedy Nunes do Nascimento,Kenedy,215639,"['LM', 'ST', 'LB']",Brazil,Chelsea,85,73,20,72.0,21.0,76.0,22.0,75.0,23.0,76.0,24.0,78.0,25.0,did not hit their potential,
José Manuel García Naranjo,Naranjo,215568,"['LM', 'ST', 'RM']",Spain,RC Celta de Vigo,85,75,21,73.0,22.0,73.0,23.0,70.0,24.0,66.0,25.0,67.0,26.0,did not hit their potential,
Claudio Matías Kranevitter,M. Kranevitter,214977,"['CDM', 'CM']",Argentina,Sevilla FC,85,77,23,77.0,24.0,,,,,76.0,27.0,77.0,28.0,did not hit their potential,
Divock Okoth Origi,D. Origi,213135,"['ST', 'LW', 'RW']",Belgium,Liverpool,85,78,21,78.0,22.0,77.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,did not hit their potential,
Levin Mete Öztunali,L. Öztunali,213134,"['RM', 'LM', 'CAM']",Germany,Bayer 04 Leverkusen,85,74,20,76.0,21.0,74.0,22.0,73.0,23.0,73.0,24.0,72.0,25.0,did not hit their potential,
Yannick Gerhardt,Y. Gerhardt,212245,"['CM', 'CDM', 'LM']",Germany,VfL Wolfsburg,85,77,22,75.0,23.0,74.0,24.0,77.0,25.0,75.0,26.0,77.0,27.0,did not hit their potential,
Timo Werner,T. Werner,212188,"['ST', 'LM']",Germany,RB Leipzig,85,75,20,82.0,21.0,83.0,22.0,83.0,23.0,85.0,24.0,84.0,25.0,lived to expectations,4.0
José Luís Gayà Peña,Gayà,211688,['LB'],Spain,Valencia CF,85,80,21,79.0,22.0,79.0,23.0,81.0,24.0,83.0,25.0,83.0,26.0,did not hit their potential,
Javier Manquillo Gaitán,Manquillo,210972,"['RB', 'LB']",Spain,Atlético de Madrid,85,77,22,76.0,23.0,74.0,24.0,74.0,25.0,76.0,26.0,74.0,27.0,did not hit their potential,
Marc Stendera,M. Stendera,210583,"['CAM', 'CM', 'CDM']",Germany,Eintracht Frankfurt,85,76,20,76.0,21.0,74.0,22.0,73.0,23.0,,,69.0,25.0,did not hit their potential,
Otávio Edmilson da Silva Monteiro,Otávio,210411,"['LW', 'CAM']",Brazil,FC Porto,85,76,21,77.0,22.0,78.0,23.0,79.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Ricardo Domingos Barbosa Pereira,Ricardo Pereira,210243,"['RB', 'LB']",Portugal,OGC Nice,85,78,22,80.0,23.0,81.0,24.0,82.0,25.0,85.0,26.0,84.0,27.0,lived to expectations,4.0
Adrien Rabiot,A. Rabiot,210008,"['CM', 'CDM']",France,Paris Saint-Germain,85,78,21,80.0,22.0,83.0,23.0,83.0,24.0,81.0,25.0,81.0,26.0,did not hit their potential,
Abdul Rahman Baba,A. Baba,209620,"['LB', 'LM']",Ghana,FC Schalke 04,85,78,21,77.0,22.0,76.0,23.0,74.0,24.0,75.0,25.0,72.0,26.0,did not hit their potential,
Ryan Gauld,R. Gauld,208919,"['CAM', 'LM']",Scotland,Vitória de Setúbal,85,73,20,73.0,21.0,71.0,22.0,,,70.0,24.0,75.0,25.0,did not hit their potential,
Andrea Belotti,A. Belotti,208596,['ST'],Italy,Torino F.C.,85,77,22,83.0,23.0,82.0,24.0,82.0,25.0,80.0,26.0,81.0,27.0,did not hit their potential,
Filip Kostić,F. Kostić,208574,['LM'],Serbia,Hamburger SV,85,80,23,78.0,24.0,,,82.0,26.0,83.0,27.0,84.0,28.0,lived to expectations,5.0
Andreas Hugo Hoelgebaum Pereira,Andreas Pereira,208450,"['CAM', 'CM']",Brazil,Manchester United,85,72,20,77.0,21.0,78.0,22.0,77.0,23.0,75.0,24.0,76.0,25.0,did not hit their potential,
Adnan Januzaj,A. Januzaj,208330,"['LM', 'RM', 'CAM']",Belgium,Sunderland,85,76,21,77.0,22.0,78.0,23.0,79.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Bertrand Isidore Traoré,B. Traoré,207948,['ST'],Burkina Faso,Ajax,85,75,20,78.0,21.0,79.0,22.0,78.0,23.0,76.0,24.0,77.0,25.0,still has time,
Mateo Kovačić,M. Kovačić,207410,['CM'],Croatia,Real Madrid CF,85,79,22,82.0,23.0,83.0,24.0,82.0,25.0,83.0,26.0,83.0,27.0,did not hit their potential,
Sergio Rico González,Sergio Rico,206652,['GK'],Spain,Sevilla FC,85,80,22,81.0,23.0,80.0,24.0,77.0,25.0,77.0,26.0,77.0,27.0,did not hit their potential,
Serge David Gnabry,S. Gnabry,206113,['RM'],Germany,Arsenal,85,73,20,79.0,21.0,82.0,22.0,84.0,23.0,85.0,24.0,85.0,25.0,lived to expectations,3.0
Matija Nastasić,M. Nastasić,205362,['CB'],Serbia,FC Schalke 04,85,80,23,80.0,24.0,81.0,25.0,80.0,26.0,77.0,27.0,74.0,28.0,did not hit their potential,
John Anthony Brooks,J. Brooks,204082,['CB'],United States,Hertha BSC,85,79,23,80.0,24.0,80.0,25.0,79.0,26.0,76.0,27.0,78.0,28.0,did not hit their potential,
M'Baye Babacar Niang,M. Niang,204077,"['ST', 'LW']",France,AC Milan,85,78,21,78.0,22.0,77.0,23.0,77.0,24.0,78.0,25.0,76.0,26.0,did not hit their potential,
Sergi Darder Moll,Sergi Darder,202648,"['CM', 'CDM']",Spain,Olympique Lyonnais,85,79,22,78.0,23.0,79.0,24.0,80.0,25.0,77.0,26.0,79.0,27.0,did not hit their potential,
Paul-Georges Ntep de Madiba,P. Ntep,201533,"['LM', 'LW']",France,Stade Rennais FC,85,80,23,79.0,24.0,77.0,25.0,73.0,26.0,71.0,27.0,67.0,28.0,did not hit their potential,
Rafael Alcântara do Nascimento,Rafinha,201400,"['CM', 'RW', 'LW', 'CDM']",Brazil,FC Barcelona,85,80,23,81.0,24.0,82.0,25.0,81.0,26.0,79.0,27.0,80.0,28.0,did not hit their potential,
Lucas Rodrigues Moura da Silva,Lucas,200949,"['RW', 'LW']",Brazil,Paris Saint-Germain,85,82,23,82.0,24.0,82.0,25.0,83.0,26.0,83.0,27.0,81.0,28.0,did not hit their potential,
Kevin Volland,K. Volland,200610,"['ST', 'RW', 'LW']",Germany,Bayer 04 Leverkusen,85,81,23,80.0,24.0,81.0,25.0,82.0,26.0,81.0,27.0,83.0,28.0,did not hit their potential,
Borja González Tomás,Borja Bastón,194996,['ST'],Spain,Swansea City,85,80,23,78.0,24.0,74.0,25.0,75.0,26.0,,,73.0,28.0,did not hit their potential,
Manuel Lanzini,M. Lanzini,188988,"['CAM', 'LM']",Argentina,West Ham United,85,79,23,81.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,did not hit their potential,
Matthijs de Ligt,M. de Ligt,235243,['CB'],Netherlands,Ajax,84,63,16,76.0,17.0,80.0,18.0,85.0,19.0,85.0,20.0,85.0,21.0,lived to expectations,3.0
Mamadou Doucouré,M. Doucouré,233728,['CB'],France,Borussia Mönchengladbach,84,62,18,62.0,19.0,62.0,20.0,62.0,21.0,62.0,22.0,62.0,23.0,still has time,
Luka Jović,L. Jović,232432,['ST'],Serbia,SL Benfica,84,71,18,70.0,19.0,75.0,20.0,83.0,21.0,80.0,22.0,79.0,23.0,lived to expectations,3.0
Santiago Lionel Ascacíbar,S. Ascacibar,232244,['CDM'],Argentina,Estudiantes de La Plata,84,71,19,73.0,20.0,78.0,21.0,76.0,22.0,76.0,23.0,74.0,24.0,still has time,
Marko Grujić,M. Grujić,232099,['CM'],Serbia,Liverpool,84,70,20,71.0,21.0,73.0,22.0,77.0,23.0,75.0,24.0,75.0,25.0,did not hit their potential,
Amine Harit,A. Harit,232097,"['CAM', 'CM']",France,FC Nantes,84,67,19,71.0,20.0,78.0,21.0,76.0,22.0,77.0,23.0,75.0,24.0,still has time,
Abdülkadir Ömür,A. Ömür,231777,"['CM', 'CAM']",Turkey,Trabzonspor,84,66,17,64.0,18.0,70.0,19.0,74.0,20.0,75.0,21.0,74.0,22.0,still has time,
Issa Diop,I. Diop,231633,['CB'],France,Toulouse Football Club,84,73,19,76.0,20.0,76.0,21.0,78.0,22.0,77.0,23.0,77.0,24.0,still has time,
João Miguel Macedo da Silva,Miguel Silva,231545,['GK'],Portugal,Vitória de Guimarães,84,73,21,71.0,22.0,75.0,23.0,75.0,24.0,74.0,25.0,74.0,26.0,still has time,
Tammy Bakumo-Abraham,T. Abraham,231352,['ST'],England,Bristol City,84,67,18,73.0,19.0,74.0,20.0,76.0,21.0,78.0,22.0,78.0,23.0,still has time,
Emre Mor,E. Mor,231240,"['ST', 'RW']",Turkey,Borussia Dortmund,84,64,18,70.0,19.0,74.0,20.0,72.0,21.0,72.0,22.0,72.0,23.0,still has time,
Ádám Nagy,Á. Nagy,230936,['CDM'],Hungary,Bologna,84,72,21,74.0,22.0,74.0,23.0,75.0,24.0,72.0,25.0,70.0,26.0,did not hit their potential,
Amadou Diawara,A. Diawara,230613,"['CDM', 'CM']",Guinea,Bologna,84,74,18,77.0,19.0,77.0,20.0,75.0,21.0,75.0,22.0,76.0,23.0,still has time,
João Maria Lobo Alves Palhinha Gonçalves,Palhinha,229391,"['CDM', 'CM']",Portugal,Belenenses SAD,84,74,20,76.0,21.0,,,76.0,23.0,78.0,24.0,82.0,25.0,still has time,
Milot Rashica,M. Rashica,229167,"['RW', 'LW']",Kosovo,Vitesse,84,74,20,75.0,21.0,76.0,22.0,79.0,23.0,79.0,24.0,77.0,25.0,did not hit their potential,
Aminu Umar,A. Umar,229092,['RM'],Nigeria,Ankaraspor,84,74,21,75.0,22.0,76.0,23.0,,,73.0,25.0,71.0,26.0,did not hit their potential,
Sebastian Gamarra Ruíz,S. Gamarra,228742,"['CM', 'CDM']",Bolivia,Attacking,84,68,19,,,,,,,63.0,23.0,,,did not hit their potential,
Felix Passlack,F. Passlack,228080,"['RB', 'RM', 'LB']",Germany,Borussia Dortmund,84,67,18,69.0,19.0,69.0,20.0,68.0,21.0,68.0,22.0,70.0,23.0,still has time,
Christian Pulisic,C. Pulisic,227796,['LM'],United States,Borussia Dortmund,84,69,17,78.0,18.0,79.0,19.0,79.0,20.0,81.0,21.0,82.0,22.0,still has time,
Pablo Fornals Malla,Pablo Fornals,226456,"['CM', 'LM', 'RM']",Spain,Málaga CF,84,76,20,77.0,21.0,80.0,22.0,81.0,23.0,79.0,24.0,79.0,25.0,did not hit their potential,
Aritz Elustondo Irribaria,Aritz Elustondo,226221,"['RB', 'CB']",Spain,Real Sociedad,84,76,22,77.0,23.0,75.0,24.0,77.0,25.0,76.0,26.0,79.0,27.0,did not hit their potential,
Marcos Llorente Moreno,Marcos Llorente,226161,"['CM', 'CAM', 'CDM']",Spain,Deportivo Alavés,84,73,21,77.0,22.0,79.0,23.0,80.0,24.0,82.0,25.0,86.0,26.0,exceeded their potential,5.0
Steven Charles Bergwijn,S. Bergwijn,225953,"['LW', 'RW']",Netherlands,PSV,84,69,18,74.0,19.0,76.0,20.0,82.0,21.0,83.0,22.0,80.0,23.0,lived to expectations,4.0
Presnel Kimpembe,P. Kimpembe,225850,['CB'],France,Paris Saint-Germain,84,73,20,76.0,21.0,83.0,22.0,82.0,23.0,81.0,24.0,83.0,25.0,lived to expectations,2.0
Marlos Moreno Durán,M. Moreno,225811,"['LW', 'RW', 'CF']",Colombia,Deportivo de La Coruña,84,72,19,72.0,20.0,,,72.0,22.0,,,68.0,24.0,still has time,
Oliver Burke,O. Burke,225632,"['RM', 'RW']",Scotland,Nottingham Forest,84,68,19,70.0,20.0,70.0,21.0,69.0,22.0,67.0,23.0,68.0,24.0,still has time,
Jarlan Junior Barrera Escalona,J. Barrera,225182,['CAM'],Colombia,Junior FC,84,71,20,72.0,21.0,73.0,22.0,74.0,23.0,75.0,24.0,73.0,25.0,did not hit their potential,
Nemanja Radoja,N. Radoja,225028,"['CDM', 'CM']",Serbia,RC Celta de Vigo,84,78,23,78.0,24.0,77.0,25.0,,,75.0,27.0,75.0,28.0,did not hit their potential,
Diogo José Teixeira da Silva,Diogo Jota,224458,['LW'],Portugal,Atlético de Madrid,84,75,19,77.0,20.0,78.0,21.0,80.0,22.0,80.0,23.0,82.0,24.0,still has time,
Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['RM', 'LM']",Portugal,SL Benfica,84,74,19,74.0,20.0,82.0,21.0,83.0,22.0,81.0,23.0,81.0,24.0,lived to expectations,3.0
Orkan Çınar,O. Çinar,223749,"['RM', 'LM']",Turkey,Gaziantepspor,84,72,20,72.0,21.0,72.0,22.0,72.0,23.0,71.0,24.0,,,did not hit their potential,
Timon Janis Wellenreuther,T. Wellenreuther,223686,['GK'],Germany,FC Schalke 04,84,72,20,68.0,21.0,66.0,22.0,69.0,23.0,71.0,24.0,70.0,25.0,still has time,
Federico San Emeterio Díaz,Fede,223654,"['CDM', 'CM']",Spain,Sevilla Atlético,84,69,19,69.0,20.0,70.0,21.0,73.0,22.0,73.0,23.0,73.0,24.0,still has time,
Ozan Tufan,O. Tufan,223154,"['CM', 'CDM', 'RM', 'CB']",Turkey,Fenerbahçe SK,84,76,21,76.0,22.0,74.0,23.0,73.0,24.0,72.0,25.0,76.0,26.0,did not hit their potential,
Dorin Rotariu,D. Rotariu,223074,"['RW', 'LW', 'CF']",Romania,Romania,84,69,20,71.0,21.0,71.0,22.0,70.0,23.0,,,69.0,25.0,did not hit their potential,
Jorge Meré Pérez,Jorge Meré,223033,['CB'],Spain,Real Sporting de Gijón,84,76,19,78.0,20.0,77.0,21.0,77.0,22.0,72.0,23.0,72.0,24.0,still has time,
Alexis Blin,A. Blin,222982,['CDM'],France,Toulouse Football Club,84,73,19,72.0,20.0,72.0,21.0,73.0,22.0,73.0,23.0,72.0,24.0,still has time,
Malcom Filipe Silva de Oliveira,Malcom,222737,"['CAM', 'ST']",Brazil,FC Girondins de Bordeaux,84,74,19,79.0,20.0,83.0,21.0,,,,,,,lived to expectations,2.0
Isaac Ajayi Success,I. Success,222634,"['RW', 'ST', 'LW']",Nigeria,Watford,84,74,20,73.0,21.0,73.0,22.0,73.0,23.0,71.0,24.0,70.0,25.0,did not hit their potential,
Adrián Andrés Cubas,A. Cubas,222429,['CDM'],Argentina,Boca Juniors,84,73,20,74.0,21.0,72.0,22.0,74.0,23.0,75.0,24.0,75.0,25.0,still has time,
Lukas Manuel Klostermann,L. Klostermann,222331,['RB'],Germany,RB Leipzig,84,72,20,72.0,21.0,75.0,22.0,79.0,23.0,80.0,24.0,80.0,25.0,did not hit their potential,
Elmir Nabiullin,E. Nabiullin,222265,"['LB', 'LM', 'LW']",Russia,Rubin Kazan,84,72,21,71.0,22.0,,,,,,,,,did not hit their potential,
Hirving Rodrigo Lozano Bahena,H. Lozano,221992,"['LW', 'RW']",Mexico,Mexico,84,76,20,78.0,21.0,80.0,22.0,82.0,23.0,80.0,24.0,81.0,25.0,did not hit their potential,
Adam Armstrong,A. Armstrong,221841,['ST'],England,Newcastle United,84,68,19,68.0,20.0,68.0,21.0,69.0,22.0,73.0,23.0,76.0,24.0,still has time,
Nico Elvedi,N. Elvedi,221491,"['CB', 'RB', 'CDM']",Switzerland,Borussia Mönchengladbach,84,72,19,74.0,20.0,76.0,21.0,78.0,22.0,78.0,23.0,79.0,24.0,still has time,
Érick Gabriel Gutiérrez Galaviz,E. Gutiérrez,220854,['CM'],Mexico,Pachuca,84,76,21,76.0,22.0,77.0,23.0,75.0,24.0,74.0,25.0,73.0,26.0,did not hit their potential,
Federico Mattiello,F. Mattiello,220466,"['LB', 'RB']",Italy,Juventus,84,72,20,70.0,21.0,72.0,22.0,72.0,23.0,71.0,24.0,71.0,25.0,did not hit their potential,
Jason Grégory Marianne Denayer,J. Denayer,220182,['CB'],Belgium,Manchester City,84,74,21,74.0,22.0,74.0,23.0,79.0,24.0,79.0,25.0,80.0,26.0,did not hit their potential,
Georges-Kévin Nkoudou Mbida,G. Nkoudou,219732,['LM'],France,Olympique de Marseille,84,78,21,77.0,22.0,76.0,23.0,74.0,24.0,75.0,25.0,75.0,26.0,did not hit their potential,
Jordan Kévin Amavi,J. Amavi,219681,['LB'],France,Aston Villa,84,76,22,74.0,23.0,77.0,24.0,74.0,25.0,78.0,26.0,77.0,27.0,did not hit their potential,
Víctor Camarasa Ferrando,Camarasa,219571,"['CM', 'CDM']",Spain,Deportivo Alavés,84,76,22,76.0,23.0,76.0,24.0,76.0,25.0,75.0,26.0,72.0,27.0,did not hit their potential,
Luís Rafael Soares Alves,Rafa Soares,218936,['LB'],Portugal,Rio Ave FC,84,71,21,75.0,22.0,72.0,23.0,73.0,24.0,73.0,25.0,73.0,26.0,did not hit their potential,
Federico Nicolás Cartabia,F. Cartabia,216796,"['RM', 'LM', 'CAM']",Argentina,Valencia CF,84,77,23,76.0,24.0,76.0,25.0,,,,,,,did not hit their potential,
Rúben Afonso Borges Semedo,Rúben Semedo,216778,['CB'],Portugal,Sporting CP,84,78,22,78.0,23.0,74.0,24.0,76.0,25.0,75.0,26.0,77.0,27.0,did not hit their potential,
Gedion Zelalem,G. Zelalem,216699,['CM'],United States,Arsenal,84,67,19,65.0,20.0,65.0,21.0,64.0,22.0,63.0,23.0,63.0,24.0,did not hit their potential,
Bartosz Kapustka,B. Kapustka,216003,"['LM', 'CAM']",Poland,Leicester City,84,71,19,72.0,20.0,,,71.0,22.0,69.0,23.0,70.0,24.0,still has time,
Rúben Miguel Nunes Vezo,Rúben Vezo,215399,['CB'],Portugal,Valencia CF,84,77,22,74.0,23.0,77.0,24.0,78.0,25.0,77.0,26.0,76.0,27.0,did not hit their potential,
Axel Wilfredo Werner,A. Werner,215213,['GK'],Argentina,Boca Juniors,84,69,20,69.0,21.0,72.0,22.0,70.0,23.0,70.0,24.0,70.0,25.0,still has time,
Adama Traoré Diarra,Adama,213956,['RW'],Spain,Aston Villa,84,72,20,73.0,21.0,75.0,22.0,74.0,23.0,79.0,24.0,78.0,25.0,did not hit their potential,
Alan Nahuel Ruiz,A. Ruiz,213582,"['CF', 'CAM', 'ST']",Argentina,Sporting CP,84,75,22,78.0,23.0,76.0,24.0,73.0,25.0,,,72.0,27.0,did not hit their potential,
Niklas Stark,N. Stark,212977,"['CB', 'CDM', 'CM']",Germany,Hertha BSC,84,74,21,78.0,22.0,78.0,23.0,79.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Wylan Cyprien,W. Cyprien,212886,"['CM', 'CDM', 'CAM', 'RM']",France,OGC Nice,84,71,21,79.0,22.0,78.0,23.0,77.0,24.0,77.0,25.0,73.0,26.0,did not hit their potential,
Álvaro Medrán Just,Medrán,212476,"['CM', 'CDM', 'CAM']",Spain,Valencia CF,84,77,22,74.0,23.0,75.0,24.0,75.0,25.0,74.0,26.0,73.0,27.0,did not hit their potential,
Federico Bernardeschi,F. Bernardeschi,212404,"['RM', 'LM']",Italy,Italy,84,78,22,82.0,23.0,82.0,24.0,83.0,25.0,80.0,26.0,79.0,27.0,lived to expectations,3.0
Karol Linetty,K. Linetty,211408,"['CDM', 'CAM']",Poland,Poland,84,74,21,75.0,22.0,76.0,23.0,76.0,24.0,74.0,25.0,74.0,26.0,did not hit their potential,
Marco Benassi,M. Benassi,211354,['CM'],Italy,Torino F.C.,84,77,22,79.0,22.0,77.0,23.0,77.0,24.0,74.0,25.0,72.0,26.0,did not hit their potential,
Corentin Jean,C. Jean,211239,"['ST', 'LM', 'RM']",France,AS Monaco,84,72,20,74.0,21.0,74.0,22.0,72.0,23.0,71.0,24.0,70.0,25.0,still has time,
Valentino Lazaro,V. Lazaro,211147,"['RM', 'RW', 'LM']",Austria,FC Red Bull Salzburg,84,72,20,71.0,21.0,77.0,22.0,75.0,23.0,79.0,24.0,77.0,25.0,did not hit their potential,
Rubén Blanco Veiga,Rubén Blanco,211101,['GK'],Spain,RC Celta de Vigo,84,73,20,75.0,21.0,77.0,22.0,76.0,23.0,76.0,24.0,75.0,25.0,still has time,
Chancel Mbemba Mangulu,C. Mbemba,210897,['CB'],Congo DR,Newcastle United,84,77,21,76.0,22.0,75.0,23.0,73.0,24.0,75.0,25.0,79.0,26.0,did not hit their potential,
Morgan Sanson,M. Sanson,210896,"['CM', 'CDM', 'CAM', 'LM']",France,Montpellier Hérault SC,84,78,21,81.0,22.0,80.0,23.0,79.0,24.0,79.0,25.0,76.0,26.0,did not hit their potential,
Björn Engels,B. Engels,210828,['CB'],Belgium,Club Brugge KV,84,76,21,75.0,22.0,,,76.0,24.0,74.0,25.0,73.0,26.0,did not hit their potential,
Juan Fernando Quintero Paniagua,J. Quintero,210513,['CAM'],Colombia,FC Porto,84,79,23,77.0,24.0,78.0,25.0,80.0,26.0,79.0,27.0,79.0,28.0,did not hit their potential,
Kevin Wimmer,K. Wimmer,209997,['CB'],Austria,Tottenham Hotspur,84,79,23,78.0,24.0,75.0,25.0,73.0,26.0,71.0,27.0,69.0,28.0,did not hit their potential,
Hakim Ziyech,H. Ziyech,208670,['CAM'],Morocco,FC Twente,84,80,23,81.0,24.0,82.0,25.0,85.0,26.0,85.0,27.0,84.0,28.0,lived to expectations,3.0
Abdoulaye Doucouré,A. Doucouré,208135,"['CM', 'CAM']",France,Watford,84,78,23,78.0,24.0,81.0,25.0,81.0,26.0,78.0,27.0,79.0,28.0,did not hit their potential,
Hakan Çalhanoğlu,H. Çalhanoğlu,208128,"['CAM', 'LM', 'CM']",Turkey,Bayer 04 Leverkusen,84,80,22,79.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,82.0,27.0,did not hit their potential,
Sergi Samper Montañá,Sergi Samper,208088,"['CDM', 'CM']",Spain,FC Barcelona,84,74,21,73.0,22.0,73.0,23.0,70.0,24.0,67.0,25.0,70.0,26.0,did not hit their potential,
Mitchell Weiser,M. Weiser,206591,"['RB', 'RM']",Germany,Hertha BSC,84,76,22,78.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,73.0,27.0,did not hit their potential,
Maximilian Arnold,M. Arnold,206511,"['CM', 'CAM', 'CDM']",Germany,VfL Wolfsburg,84,79,22,79.0,23.0,78.0,24.0,79.0,25.0,79.0,26.0,81.0,27.0,did not hit their potential,
Alassane Alexandre Pléa,A. Pléa,206467,"['ST', 'RM']",France,OGC Nice,84,77,23,79.0,24.0,80.0,25.0,81.0,26.0,80.0,27.0,79.0,28.0,did not hit their potential,
Dominique Heintz,D. Heintz,206198,['CB'],Germany,1. FC Köln,84,77,22,78.0,23.0,77.0,24.0,76.0,25.0,75.0,26.0,74.0,27.0,did not hit their potential,
Yvon Landry Mvogo Nganoma,Y. Mvogo,206003,['GK'],Switzerland,BSC Young Boys,84,75,22,75.0,23.0,75.0,24.0,76.0,25.0,76.0,26.0,76.0,27.0,did not hit their potential,
Leonardo Carrilho Baptistão,Leo Baptistao,205976,['ST'],Brazil,RCD Espanyol de Barcelona,84,79,23,80.0,24.0,79.0,25.0,79.0,26.0,78.0,27.0,78.0,28.0,did not hit their potential,
James Ward-Prowse,J. Ward-Prowse,205569,"['CM', 'CAM', 'RM']",England,Southampton,84,76,21,78.0,22.0,77.0,23.0,79.0,24.0,79.0,25.0,81.0,26.0,did not hit their potential,
Bernard Anício Caldeira Duarte,Bernard,205525,"['CAM', 'LW']",Brazil,Shakhtar Donetsk,84,79,23,79.0,24.0,,,80.0,26.0,78.0,27.0,,,did not hit their potential,
Thorgan Ganael Francis Hazard,T. Hazard,203486,"['CAM', 'RM', 'ST', 'LM']",Belgium,Borussia Mönchengladbach,84,79,23,80.0,24.0,81.0,25.0,82.0,26.0,83.0,27.0,82.0,28.0,lived to expectations,4.0
Davy Klaassen,D. Klaassen,203483,"['CAM', 'CM']",Netherlands,Ajax,84,80,23,82.0,24.0,79.0,25.0,80.0,26.0,77.0,27.0,79.0,28.0,did not hit their potential,
Jannik Vestergaard,J. Vestergaard,202849,['CB'],Denmark,Borussia Mönchengladbach,84,79,23,79.0,24.0,80.0,25.0,78.0,26.0,77.0,27.0,78.0,28.0,did not hit their potential,
Johannes Geis,J. Geis,202087,"['CDM', 'CM']",Germany,FC Schalke 04,84,79,22,77.0,23.0,75.0,24.0,74.0,25.0,73.0,26.0,71.0,27.0,did not hit their potential,
Felipe Anderson Pereira Gomes,Felipe Anderson,201995,"['LW', 'RW', 'CAM']",Brazil,Lazio,84,79,23,81.0,24.0,82.0,25.0,84.0,26.0,81.0,27.0,78.0,28.0,lived to expectations,3.0
Ahmed Musa,A. Musa,201818,"['ST', 'LM']",Nigeria,Leicester City,84,78,23,76.0,24.0,75.0,25.0,73.0,26.0,73.0,27.0,72.0,28.0,did not hit their potential,
Djibril Sidibé,D. Sidibé,201042,"['LB', 'RB']",France,AS Monaco,84,79,23,79.0,24.0,80.0,25.0,77.0,26.0,78.0,27.0,78.0,28.0,did not hit their potential,
Muhamed Bešić,M. Bešić,200765,['CDM'],Bosnia and Herzegovina,Everton,84,76,23,76.0,24.0,75.0,25.0,72.0,26.0,70.0,27.0,70.0,28.0,did not hit their potential,
Lucas Digne,L. Digne,200458,['LB'],France,FC Barcelona,84,79,22,79.0,23.0,78.0,24.0,83.0,25.0,84.0,26.0,84.0,27.0,lived to expectations,3.0
Gilbert Gianelli Imbula Wanga,G. Imbula,197681,"['CM', 'CDM']",France,Stoke City,84,79,23,77.0,24.0,75.0,25.0,75.0,26.0,,,68.0,28.0,did not hit their potential,
Diego Antonio Reyes Rosales,D. Reyes,192012,"['CB', 'CDM']",Mexico,FC Porto,84,78,23,77.0,24.0,77.0,25.0,76.0,26.0,72.0,27.0,67.0,28.0,did not hit their potential,
Malang Sarr,M. Sarr,235454,"['LB', 'CB']",France,OGC Nice,83,69,17,75.0,18.0,74.0,19.0,76.0,20.0,,,74.0,22.0,still has time,
Johannes Eggestein,J. Eggestein,234399,['ST'],Germany,SV Werder Bremen,83,64,18,66.0,19.0,66.0,20.0,73.0,21.0,69.0,22.0,72.0,23.0,still has time,
