Player name,Known as,player_id,position,nationality,team,Fifa 07 Potential rating,Fifa 7 overall_rating,Fifa 7 age,Fifa 8 overall_rating,Fifa 8 age,Fifa 9 overall_rating,Fifa 9 age,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
David Gigliotti,D. Gigliotti,165233,['ST'],France,ESTAC Troyes,87,,,,,,,69,24,66,25,64,26,64,27,,,,,,,,,,,,,,,,,,
Sidi Yaya Keita,S. Keita,163661,['CDM'],Mali,Racing Club de Lens,87,,,,,,,64,24,70,25,,,61,27,,,,,,,,,,,,,,,,,,
Bakary Sagna,B. Sagna,163419,['RB'],France,AJ Auxerre,87,,,,,,,83,26,82,27,83,28,83,29,80,30,80,31,79,32,82,33,,,,,72,36,,,,
Francois Clerc,F. Clerc,161700,['RB'],France,Olympique Lyonnais,87,,,,,,,78,26,,,74,28,74,29,75,30,75,31,73,32,72,33,70,34,,,,,,,,
Mathieu Debuchy,M. Debuchy,158626,['CM'],France,LOSC Lille,87,,,,,,,74,23,74,24,77,25,79,26,78,27,80,28,80,29,80,30,78,31,78,32,79,33,78,34,73,35
Manuel Fernandes,Manuel Fernandes,157960,['CM'],Portugal,Portugal,87,,,,,,,79,23,76,24,,,,,,,79,28,77,29,80,30,80,31,81,32,,,,,74,35
Neri Raul Cardozo,N. Cardozo,157217,['CM'],Argentina,Boca Juniors,87,,,,,,,72,22,74,23,72,24,72,25,72,26,69,27,69,28,68,29,70,30,76,31,73,32,,,,
Lukas Sinkiewicz,L. Sinkiewicz,156838,['CB'],Germany,1. FC Köln,87,,,,,,,75,23,70,24,68,25,71,26,69,27,,,,,,,,,,,,,,,,
Youri Zhirkov,Y. Zhirkov,154950,['LM'],Russia,Russia,87,,,,,,,83,25,81,26,81,27,81,28,79,29,78,30,78,31,77,32,76,33,76,34,76,35,77,36,76,37
Gavilan,Gavilán,147007,['LM'],Spain,Valencia CF,87,,,,,,,77,24,77,25,76,26,75,27,73,28,72,29,,,67,31,,,63,33,,,,,,
Freddy Adu,F. Adu,142241,['CAM'],United States,D.C. United,87,,,,,,,71,20,,,69,22,70,23,69,24,,,,,,,,,,,,,,,,
James Mceveley,J. McEveley,138679,['LB'],England,Blackburn Rovers,87,,,,,,,64,24,66,25,65,26,63,27,61,28,61,29,64,30,66,31,,,,,,,,,,
Goran Pandev,G. Pandev,137506,['CF'],North Macedonia,Lazio,87,,,,,,,82,25,81,26,78,27,81,28,79,29,78,30,75,31,74,32,74,33,75,34,73,35,72,36,74,37
Leandro Bonfim,Leandro Bonfim,137252,['CAM'],Brazil,Cruzeiro,87,,,,,,,,,69,26,,,,,68,29,,,,,,,,,,,,,,,,
Dagoberto,Dagoberto,135499,['RF'],Brazil,Club Athletico Paranaense,87,,,,,,,76,26,75,27,77,28,76,29,77,30,,,,,,,,,,,,,,,,
Carlos Alberto,Carlos Alberto,135291,['CAM'],Brazil,Sport Club Corinthians Paulista,87,,,,,,,,,77,25,74,26,76,27,,,,,73,30,,,,,,,,,,,,
Lorik Cana,L. Cana,134956,['CDM'],Albania,Olympique de Marseille,87,,,,,,,80,25,78,26,78,27,76,28,78,29,77,30,78,31,71,32,,,,,,,,,,
Rasmus Wurtz,R. Würtz,131444,['CDM'],Denmark,Aalborg BK,87,,,,,,,67,25,67,26,70,27,70,28,69,29,70,30,71,31,75,32,70,33,68,34,,,,,,
Jonathan,Jonathan,110376,['ST'],Spain,RCD Espanyol de Barcelona,87,,,,,,,,,68,24,74,25,71,26,71,27,76,28,75,29,76,30,,,77,32,75,33,71,34,,
Yakubu Aiyegbeni,Y. Aiyegbeni,109693,['ST'],Nigeria,Middlesbrough,87,,,,,,,80,26,77,27,73,28,,,,,,,,,68,33,,,,,,,,,,
Yohann Pele,Y. Pelé,107298,['GK'],France,Le Mans FC,87,,,,,,,77,26,76,27,75,28,70,29,,,72,31,73,32,74,33,75,34,75,35,74,36,72,37,,
Anton Ferdinand,A. Ferdinand,53412,['CB'],England,West Ham United,87,,,,,,,76,24,72,25,71,26,72,27,,,70,29,71,30,,,69,32,65,33,,,,,,
Daniele De Rossi,D. De Rossi,53302,['CDM'],Italy,Roma,87,,,,,,,85,25,83,26,83,27,86,28,84,29,84,30,83,31,83,32,83,33,83,34,82,35,,,,
Emmanuel Adebayor,E. Adebayor,53050,['ST'],Togo,Arsenal,87,,,,,,,84,25,83,26,82,27,82,28,80,29,80,30,79,31,,,78,33,79,34,74,35,,,,
Mike Hanke,M. Hanke,53013,['ST'],Germany,VfL Wolfsburg,87,,,,,,,73,25,73,26,71,27,75,28,74,29,,,,,,,,,,,,,,,,
Gnegneri Yaya Toure,G. Touré,20289,['CDM'],Côte d'Ivoire,AS Monaco,87,,,,,,,83,26,83,27,85,28,86,29,86,30,86,31,85,32,84,33,83,34,80,35,,,,,,
Wout Brama,W. Brama,178319,['RM'],Netherlands,FC Twente,86,,,,,,,73,22,74,23,74,24,74,25,73,26,,,,,72,29,72,30,,,70,32,68,33,70,34
Ismail Aissati,I. Aissati,177151,['CAM'],Netherlands,PSV,86,,,,,,,73,20,70,21,71,22,,,,,70,26,69,27,71,27,,,,,70,30,70,31,,
Eduardo,Eduardo,176742,['RWB'],Brazil,Sport Club Corinthians Paulista,86,,,,,,,64,21,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Lukovic,A. Lukovic,175683,['LM'],Serbia,Ascoli,86,,,,,,,76,26,73,27,73,28,73,29,72,30,,,,,,,,,,,,,,,,
Gareth Bale,G. Bale,173731,['LB'],Wales,Southampton,86,,,,,,,73,19,81,20,86,21,85,22,87,23,87,24,87,25,90,26,89,27,88,28,85,29,83,30,82,31
Zlatko Junuzovic,Z. Junuzovic,173474,['CF'],Austria,Austria,86,,,,,,,66,21,71,22,74,23,74,24,75,25,75,26,79,27,79,28,79,29,78,30,77,31,76,32,76,33
Daniele Dessena,D. Dessena,173147,['CDM'],Italy,Parma,86,,,,,,,72,22,73,23,69,24,74,25,73,26,71,27,70,28,71,29,71,30,70,31,71,32,69,33,,
Cristian Rodriguez,C. Rodríguez,170664,['CAM'],Uruguay,Paris Saint-Germain,86,,,,,,,81,23,80,24,78,25,77,26,80,27,79,28,76,29,73,30,75,31,75,32,,,73,34,,
Edgar Manucharyan,E. Manucharyan,168759,['ST'],Armenia,Ajax,86,,,,,,,,,,,,,,,65,26,65,27,67,28,,,70,30,,,,,,,,
Ramon,Ramon,168415,['CAM'],Brazil,Sport Club Corinthians Paulista,86,,,,,,,69,21,,,,,,,,,,,,,,,,,,,,,,,,
Julio Daniel Dos Santos,J. Dos Santos,167910,['CAM'],Paraguay,FC Bayern München,86,,,,,,,70,26,,,,,,,,,,,,,,,,,,,,,69,37,,
Oscar Ustari,Ó. Ustari,167435,['GK'],Argentina,Argentina,86,,,,,,,76,22,75,23,73,24,72,25,75,26,74,27,72,28,72,29,73,30,,,,,70,33,72,34
Radamel Falcao Garcia,R. García,167397,['CF'],Colombia,River Plate,86,,,,,,,78,23,82,24,86,25,88,26,90,27,88,28,83,29,81,30,84,31,85,32,83,33,80,34,78,35
Patrick Helmes,P. Helmes,167237,['ST'],Germany,1. FC Köln,86,,,,,,,81,25,79,26,78,27,78,28,78,29,77,30,,,,,,,,,,,,,,
Molinero,Molinero,166664,['RB'],Spain,Málaga CF,86,,,,,,,,,67,24,67,25,66,26,66,27,66,28,71,29,72,30,71,31,73,32,70,33,71,34,,
Luizao,Luizão,165817,['CB'],Brazil,Cruzeiro,86,,,,,,,68,22,67,23,,,,,,,,,,,,,,,,,,,,,,
Ted Mondesir Lavie Mienandy,T. Lavie Mienandy,165236,['CDM'],France,FC Girondins de Bordeaux,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Andre,Paulo André,164233,['CB'],Brazil,Le Mans FC,86,,,,,,,69,25,70,26,70,27,74,28,75,29,,,72,31,,,,,,,,,,,,
Adriano,Adriano,164082,['LM'],Brazil,Sevilla FC,86,,,,,,,78,24,78,25,78,26,75,27,77,28,76,29,79,30,78,31,78,32,78,33,,,74,35,,
Steve Mandanda,S. Mandanda,163705,['GK'],France,Le Havre AC,86,,,,,,,83,24,83,25,84,26,84,27,83,28,82,29,83,30,85,31,82,32,83,33,80,34,83,35,81,36
Michele Canini,M. Canini,163490,['LB'],Italy,Cagliari,86,,,,,,,71,24,73,25,76,26,77,27,74,28,,,74,30,,,72,32,,,,,,,,
Ryan Smith,R. Smith,163168,['LF'],England,Derby County,86,,,,,,,66,22,68,23,,,64,25,,,,,,,,,,,,,,,,,,
Matthew Bates,M. Bates,162982,['CB'],England,Middlesbrough,86,,,,,,,62,22,62,23,68,24,,,,,64,27,58,28,59,29,,,,,,,,,,
Joao Moutinho,João Moutinho,162347,['CAM'],Portugal,Sporting CP,86,,,,,,,82,22,80,23,84,24,84,25,83,26,83,27,83,28,83,29,82,30,81,31,84,32,83,33,80,34
Llorente,Llorente,162131,['ST'],Spain,Athletic Club de Bilbao,86,,,,,,,80,24,82,25,83,26,83,27,82,28,81,29,80,30,79,31,78,32,77,33,,,75,35,74,36
Mark Gonzalez,M. González,158351,['LW'],Chile,Liverpool,86,,,,,,,74,24,78,25,76,26,76,27,75,28,74,29,73,30,73,31,,,,,,,,,,
Mohamed Sissoko,M. Sissoko,157393,['CDM'],Mali,Liverpool,86,,,,,,,79,24,79,25,76,26,78,27,76,28,76,29,,,,,,,68,33,,,,,,
Franck Dja Djedje,F. Dja Djédjé,156647,['ST'],France,Grenoble Foot 38,86,,,,,,,67,23,68,24,65,25,,,67,27,,,,,,,,,,,,,,,,
Johan Vonlanthen,J. Vonlanthen,156384,['ST'],Switzerland,FC Red Bull Salzburg,86,,,,,,,71,23,,,,,,,69,27,,,,,,,,,,,,,,,,
Ederson,Ederson,156272,['CM'],Brazil,OGC Nice,86,,,,,,,79,23,77,24,76,25,77,26,77,27,76,28,,,,,,,,,,,,,,
Renato,Renato,156131,['CM'],Brazil,Sport Club Corinthians Paulista,86,,,,,,,71,24,71,25,,,,,,,,,,,,,,,,,,,,,,
Bartosz Bialkowski,B. Białkowski,155871,['GK'],Poland,Southampton,86,,,,,,,57,21,58,22,62,23,63,24,63,25,63,26,67,27,72,28,73,29,75,30,70,31,72,32,72,33
Ronald Gercaliu,R. Gercaliu,155810,['LB'],Austria,FC Red Bull Salzburg,86,,,,,,,65,23,64,24,63,25,63,26,62,27,63,28,,,,,,,,,,,,,,
Chris Cohen,C. Cohen,152880,['CM'],England,Yeovil Town,86,,,,,,,67,22,70,23,70,24,70,25,68,26,68,27,69,28,70,29,70,30,,,,,,,,
Edcarlos,Edcarlos,152826,['CB'],Brazil,São Paulo,86,,,,,,,69,24,70,25,71,26,71,27,65,28,,,72,30,,,,,,,,,,,,
Santi Cazorla,Santi Cazorla,146562,['RM'],Spain,RC Recreativo de Huelva,86,,,,,,,81,24,81,25,84,26,84,27,85,28,84,29,85,30,86,31,83,32,,,82,34,82,35,,
Rafael,Rafael,144622,['ST'],Brazil,FC Zürich,86,,,,,,,76,24,76,25,76,26,,,78,28,80,29,81,30,82,31,82,32,81,33,78,34,,,,
Vincent Enyeama,V. Enyeama,139968,['GK'],Nigeria,Nigeria,86,,,,,,,,,,,77,28,,,76,30,80,31,81,32,83,33,81,34,76,35,,,,,,
Austin Ejide,A. Ejide,139967,['GK'],Nigeria,SC Bastia,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Shackell,J. Shackell,139368,['CB'],England,Norwich City,86,,,,,,,69,25,68,26,72,27,71,28,71,29,72,30,75,31,75,32,73,33,,,69,35,,,,
Ayodele Makinwa,A. Makinwa,138928,['ST'],Nigeria,Lazio,86,,,,,,,71,25,,,71,27,,,,,,,,,,,,,,,,,,,,
Nigel Reo Coker,N. Reo-Coker,138831,['CM'],England,West Ham United,86,,,,,,,75,25,76,26,77,27,,,69,29,66,30,65,31,,,65,33,,,,,,,,
Tardelli,Tardelli,138456,['ST'],Brazil,São Caetano,86,,,,,,,77,24,78,25,76,26,,,76,28,,,,,,,,,76,33,,,,,,
Stefan Kiessling,S. Kießling,137262,['ST'],Germany,Bayer 04 Leverkusen,86,,,,,,,78,25,81,26,79,27,79,28,81,29,81,30,80,31,78,32,76,33,,,,,,,,
Marcelo Mattos,Marcelo Mattos,136168,['CDM'],Brazil,Sport Club Corinthians Paulista,86,,,,,,,76,25,71,26,71,27,72,28,73,29,,,,,,,,,,,,,,,,
Gregory Bourillon,G. Bourillon,134777,['CB'],France,Stade Rennais FC,86,,,,,,,72,24,71,25,71,26,73,27,73,28,69,29,69,31,67,32,67,33,67,34,,,,,,
Melli,Melli,134627,['CB'],Spain,Real Betis Balompié,86,,,,,,,73,25,72,26,69,27,73,28,,,,,,,70,32,,,,,,,,,,
Francesco Lodi,F. Lodi,120238,['CAM'],Italy,Frosinone,86,,,,,,,75,25,72,26,71,27,78,28,79,29,73,30,,,75,32,,,,,,,,,,
Sebastien Grax,S. Grax,112243,['ST'],France,AS Monaco,86,,,,,,,66,25,64,26,64,27,64,28,63,29,,,,,,,,,,,,,,,,
Mourad Meghni,M. Meghni,106762,['CAM'],France,Bologna,86,,,,,,,73,25,72,26,,,,,,,,,,,,,,,,,,,,,,
Stewart Downing,S. Downing,54013,['LW'],England,Middlesbrough,86,,,,,,,80,24,80,25,82,26,79,27,78,28,77,29,75,30,75,31,73,32,72,33,69,34,69,35,,
Gary Oneil,G. O'Neil,53593,['CAM'],England,Portsmouth,86,,,,,,,73,26,72,27,73,28,71,29,65,30,67,31,68,32,70,33,69,34,67,35,,,,,,
Shaun Maloney,S. Maloney,49036,['ST'],Scotland,Celtic,86,,,,,,,75,26,74,27,70,28,74,29,75,30,73,31,73,32,74,33,,,,,,,,,,
Andreas Ivanschitz,A. Ivanschitz,42521,['LM'],Austria,Austria,86,,,,,,,75,25,75,26,76,27,75,28,76,29,76,30,75,31,75,32,,,,,,,,,,
Bobby Convey,B. Convey,32190,['LM'],United States,United States,86,,,,,,,67,26,68,27,70,28,66,29,66,30,63,31,,,,,,,,,,,,,,
David Odonkor,D. Odonkor,61,['RW'],Germany,Borussia Dortmund,86,,,,,,,68,25,69,26,66,27,,,,,,,,,,,,,,,,,,,,
David Vrzogic,D. Vrzogic,177679,['LB'],Germany,Borussia Dortmund,85,,,,,,,60,19,,,,,,,,,,,,,,,65,27,64,28,61,29,,,,
Mamadou Balde,M. Baldé,177662,['CB'],Senegal,Legia Warszawa,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan De Guzman,J. De Guzman,177569,['CM'],Canada,Feyenoord,85,,,,,,,71,21,76,22,78,23,75,24,76,25,76,26,77,27,77,28,77,29,75,30,76,31,,,,
Vieirinha,Vieirinha,177553,['RW'],Portugal,FC Porto,85,,,,,,,75,23,79,24,78,25,77,26,78,27,78,28,80,29,81,30,77,31,77,32,76,33,75,34,73,35
Soares,Soares,176939,['ST'],Brazil,Figueirense,85,,,,,,,72,24,69,25,,,,,,,,,,,,,,,,,,,,,,
Sebastian Boenisch,S. Boenisch,176688,['LWB'],Germany,FC Schalke 04,85,,,,,,,73,22,73,23,71,24,,,73,26,72,27,71,28,72,29,,,,,,,,,,
Iago,Iago,176566,['CAM'],Spain,Deportivo de La Coruña,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusko Tosic,D. Tosic,176377,['LB'],Serbia,FC Sochaux-Montbéliard,85,,,,,,,68,24,,,70,26,,,,,68,29,75,30,74,31,74,32,74,33,73,34,72,35,,
Victor Nsofor Obinna,V. Obinna,172844,['CF'],Nigeria,Chievo Verona,85,,,,,,,71,22,72,23,72,24,72,25,72,26,72,27,,,72,29,,,,,,,,,,
Pierre Ducasse,P. Ducasse,172199,['CDM'],France,FC Girondins de Bordeaux,85,,,,,,,67,22,70,23,69,24,68,25,67,26,,,,,,,,,,,,,,,,
Barragan,Barragan,169426,['RB'],Spain,Deportivo de La Coruña,85,,,,,,,72,22,69,23,71,24,73,25,71,26,72,27,76,28,75,29,72,30,77,31,75,32,,,73,34
Lee Martin,L. Martin,169112,['LW'],England,Rangers FC,85,,,,,,,68,22,63,23,66,24,68,25,67,26,67,27,67,28,68,29,66,30,65,31,64,32,,,,
Hugo Rodallega,H. Rodallega,168565,['ST'],Colombia,Club Atlas,85,,,,,,,74,23,77,24,75,25,74,26,74,27,73,28,71,29,77,30,74,31,73,32,75,33,75,34,,
James Keene,J. Keene,166918,['ST'],England,GAIS,85,,,,,,,66,23,62,24,60,25,63,26,63,27,,,63,29,,,,,,,,,,,,
Ivan Carril,Iván Carril,165468,['CF'],Spain,UD Vecindario,85,,,,,,,,,65,25,67,26,66,27,,,,,,,,,,,,,,,,,,
Bocundji Ca,B. Ca,165427,['CDM'],Guinea Bissau,FC Nantes,85,,,,,,,69,22,68,23,66,24,67,25,66,26,66,27,66,28,,,,,,,,,,,,
Joel Lynch,J. Lynch,164855,['CB'],England,Brighton & Hove Albion,85,,,,,,,62,21,63,22,63,23,66,24,66,25,66,26,69,27,71,28,70,29,70,30,,,,,64,33
Marcell Jansen,M. Jansen,164493,['LWB'],Germany,Borussia Mönchengladbach,85,,,,,,,77,23,79,24,76,25,76,26,76,27,77,28,,,,,,,,,,,,,,
Bradley Wright Phillips,B. Wright-Phillips,164464,['ST'],England,Southampton,85,,,,,,,63,24,63,25,67,26,69,27,68,28,72,29,72,30,73,31,75,32,77,33,77,34,74,35,71,36
Nedum Onuoha,N. Onuoha,164462,['CB'],England,Manchester City,85,,,,,,,76,22,78,23,74,24,73,25,75,26,75,27,76,28,76,29,72,30,,,70,32,69,33,,
Lee Croft,L. Croft,164008,['CM'],England,Norwich City,85,,,,,,,67,24,64,25,66,26,63,27,,,63,29,62,30,63,31,,,,,,,,,,
Leyti Ndiaye,L. N'Diaye,163995,['CB'],Senegal,RC Strasbourg Alsace,85,,,,,,,66,23,68,24,69,25,66,26,,,,,,,,,,,,,,,,,,
Leighton Baines,L. Baines,163631,['LB'],England,Wigan Athletic,85,,,,,,,81,24,78,25,80,26,80,27,83,28,82,29,83,30,83,31,82,32,79,33,75,34,,,,
Jeremy Clement,J. Clément,163530,['CM'],France,Rangers FC,85,,,,,,,74,24,74,25,73,26,76,27,77,28,77,29,77,30,75,31,73,32,67,33,,,,,,
Younes Kaboul,Y. Kaboul,163418,['CB'],France,AJ Auxerre,85,,,,,,,74,23,77,24,76,25,79,26,80,27,79,28,79,29,77,30,75,31,75,32,,,,,,
Adailton,Adaílton,157928,['CB'],Brazil,Stade Rennais FC,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Albiol,Raúl Albiol,157481,['CB'],Spain,Valencia CF,85,,,,,,,83,23,83,24,82,25,81,26,80,27,80,28,81,29,82,30,82,31,84,32,83,33,82,34,82,35
Stephen Elliott,S. Elliott,157240,['ST'],Republic of Ireland,Sunderland,85,,,,,,,66,25,67,26,68,27,67,28,,,65,30,,,,,59,33,,,,,,,,
Steven Davis,S. Davis,151508,['CM'],Northern Ireland,Aston Villa,85,,,,,,,79,24,79,25,75,26,75,27,73,28,76,29,76,30,77,31,77,32,74,33,74,34,72,35,76,36
Jonathan Brison,J. Brison,150568,['LM'],France,AS Nancy Lorraine,85,,,,,,,74,26,72,27,75,28,71,29,72,30,72,31,71,32,70,33,65,34,,,,,,,,
Alessandro Potenza,A. Potenza,149269,['CB'],Italy,Fiorentina,85,,,,,,,72,25,70,26,71,27,70,28,68,29,,,,,,,,,,,,,,,,
Andrei Cristea,A. Cristea,148365,['CF'],Romania,Romania,85,,,,,,,,,,,66,27,,,,,,,,,,,,,,,67,35,65,36,64,37
Brian Howard,B. Howard,139200,['CAM'],England,Barnsley,85,,,,,,,69,26,67,27,66,28,66,29,,,64,31,,,,,,,,,,,,,,
Hugo Almeida,Hugo Almeida,138984,['ST'],Portugal,SV Werder Bremen,85,,,,,,,79,25,77,26,78,27,76,28,,,76,30,74,31,,,72,33,,,,,,,,
Giorgio Chiellini,G. Chiellini,138956,['LWB'],Italy,Juventus,85,,,,,,,86,24,85,25,84,26,84,27,86,28,84,29,87,30,88,31,89,32,89,33,89,34,87,35,86,36
Maxi Lopez,Maxi López,138806,['ST'],Argentina,RCD Mallorca,85,,,,,,,77,25,78,26,78,27,76,28,74,29,72,30,77,31,78,32,74,33,,,,,68,36,,
Darren Fletcher,D. Fletcher,138782,['CM'],Scotland,Manchester United,85,,,,,,,79,25,82,26,81,27,80,28,79,29,75,30,75,31,76,32,76,33,74,34,,,,,,
Pape Diakhate,P. Diakhaté,138080,['LB'],Senegal,AS Nancy Lorraine,85,,,,,,,,,70,26,74,27,68,28,69,29,70,30,70,31,,,,,,,,,,,,
Ryan Jarvis,R. Jarvis,134812,['CF'],England,Norwich City,85,,,,,,,57,22,57,23,58,24,59,25,59,26,60,27,,,,,,,,,,,,,,
Malik Fathi,M. Fathi,134809,['LB'],Germany,Hertha BSC,85,,,,,,,73,25,72,26,74,27,,,71,29,,,,,,,,,,,,,,,,
Jan Schlaudraff,J. Schlaudraff,126925,['CAM'],Germany,Alemannia Aachen,85,,,,,,,76,25,73,26,77,27,77,28,77,29,74,30,,,,,,,,,,,,,,
Nelson Valdez,Nelson Valdez,121193,['ST'],Paraguay,Borussia Dortmund,85,,,,,,,75,25,75,26,76,27,77,28,,,76,30,75,31,73,32,,,,,,,,,,
Jeremy Mathieu,J. Mathieu,112316,['CDM'],France,Toulouse Football Club,85,,,,,,,78,25,77,26,76,27,77,28,78,29,80,30,83,31,81,32,80,33,81,34,81,35,,,,
Stephan Lichtsteiner,S. Lichtsteiner,108080,['RB'],Switzerland,LOSC Lille,85,,,,,,,75,25,75,26,79,27,82,28,78,29,77,30,82,31,83,32,82,33,80,34,72,35,,,,
Halil Altintop,H. Altintop,107651,['ST'],Turkey,FC Schalke 04,85,,,,,,,76,26,76,27,,,,,73,30,74,31,76,32,76,33,71,34,,,,,,,,
Wayne Routledge,W. Routledge,54051,['RW'],England,Tottenham Hotspur,85,,,,,,,72,24,72,25,74,26,73,27,74,28,75,29,76,30,76,31,75,32,73,33,70,34,69,35,,
Craig Gordon,C. Gordon,53110,['GK'],Scotland,Heart of Midlothian,85,,,,,,,76,26,78,27,78,28,,,,,70,31,75,32,73,33,74,34,74,35,72,36,,,68,38
Ibrahima Bangoura,I. Bangoura,52254,['RF'],Guinea,ESTAC Troyes,85,,,,,,,69,26,,,,,,,,,,,,,,,,,,,,,,,,
Carlton Cole,C. Cole,50588,['ST'],England,West Ham United,85,,,,,,,77,25,78,26,76,27,73,28,,,72,30,70,31,,,,,,,,,,,,
Derek Riordan,D. Riordan,49043,['CF'],Scotland,Celtic,85,,,,,,,75,26,76,27,,,,,,,,,59,32,,,,,,,,,,,,
Gary Oconnor,G. O'Connor,46997,['ST'],Scotland,Scotland,85,,,,,,,72,26,72,27,70,28,,,,,,,,,,,,,,,,,,,,
Eddie Johnson,E. Johnson,46727,['ST'],United States,Sporting Kansas City,85,,,,,,,68,25,70,26,,,71,28,72,29,68,30,69,31,,,,,,,,,,,,
Robin Van Persie,R. van Persie,7826,['ST'],Netherlands,Arsenal,,,,,,,,85,25,85,26,86,27,88,28,89,29,88,30,84,31,81,32,78,33,78,34,,,,,,
Mido,Mido,2141,['ST'],Egypt,Roma,85,,,,,,,,,74,27,,,69,29,,,,,,,,,,,,,,,,,,
Andres Franzoia,A. Franzoia,177535,['CF'],Argentina,Boca Juniors,84,,,,,,,,,,,,,,,,,,,66,29,,,,,,,,,,,,
Luka Modric,L. Modric,177003,['CM'],Croatia,Croatia,84,,,,,,,82,23,83,24,88,25,86,26,85,27,87,28,87,29,89,30,89,31,91,32,90,33,87,34,87,35
Marcio Mossoro,Márcio Mossoró,176894,['CAM'],Brazil,Internacional,84,,,,,,,70,25,77,26,77,27,77,28,77,29,,,75,31,75,32,76,33,76,34,76,35,74,36,,
Leandro Lima,Leandro Lima,176815,['CF'],Brazil,São Caetano,84,,,,,,,72,23,71,24,71,25,67,26,67,27,67,28,69,29,,,,,,,,,,,,
Francismar,Francismar,176754,['CAM'],Brazil,Cruzeiro,84,,,,,,,,,,,,,,,66,29,,,,,,,,,,,,,,,,
Lenny,Lenny,176675,['ST'],Brazil,Fluminense,84,,,,,,,70,21,70,22,,,,,,,,,,,,,,,,,,,,,,
Kevin Mirallas,K. Mirallas,172175,['CF'],Belgium,LOSC Lille,84,,,,,,,72,21,72,22,77,23,78,24,80,25,80,26,80,27,81,28,81,29,78,30,78,31,,,72,33
Caner Erkin,C. Erkin,171875,['LW'],Turkey,Manisaspor,84,,,,,,,71,20,72,21,,,,,73,24,77,25,78,26,77,27,76,28,76,29,75,30,76,31,76,32
Rudy Haddad,R. Haddad,171273,['CAM'],France,Valenciennes FC,84,,,,,,,64,24,66,25,69,26,66,27,67,28,,,,,,,,,,,,,,,,
Mouhamadou Dabo,M. Dabo,168630,['CDM'],Senegal,AS Saint-Étienne,84,,,,,,,77,22,77,23,73,24,73,25,72,26,72,27,,,72,29,71,30,64,31,,,,,,
Florian Marange,F. Marange,165237,['LWB'],France,FC Girondins de Bordeaux,84,,,,,,,62,23,62,24,72,25,64,26,68,27,,,69,29,70,30,,,,,,,,,,
Marc Andre Kruska,M. Kruska,164495,['CDM'],Germany,Borussia Dortmund,84,,,,,,,69,22,69,23,71,24,66,25,66,26,64,27,65,28,,,64,30,,,,,,,,
Mbark Boussoufa,M. Boussoufa,164435,['CF'],Morocco,RSC Anderlecht,84,,,,,,,77,24,79,25,82,26,82,27,81,28,81,29,80,30,,,,,78,33,,,,,,
Ben Foster,B. Foster,163155,['GK'],England,Watford,84,,,,,,,77,26,74,27,78,28,78,29,78,30,78,31,79,32,80,33,80,34,77,35,80,36,79,37,78,38
