Player name,Known as,player_id,position,nationality,team,Fifa 20 Potential rating,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 20 outcome,Year potential reached
Matias Pellegrini,M. Pellegrini,244884,"['LM', 'CM', 'RW']",Argentina,Estudiantes de La Plata,85,68,19,68.0,20.0,68.0,21.0,still has time,
Javier Puado Diaz,Puado,244622,"['ST', 'CF', 'CAM']",Spain,RCD Espanyol de Barcelona,85,73,21,72.0,22.0,78.0,23.0,still has time,
Fernando Dos Santos Pedro,Fernando,244389,['LM'],Brazil,Shakhtar Donetsk,85,71,20,71.0,21.0,70.0,22.0,still has time,
Mykola Shaparenko,M. Shaparenko,244374,"['CM', 'CDM', 'CAM']",Ukraine,Dynamo Kyiv,85,73,20,72.0,21.0,76.0,22.0,still has time,
Filip Benkovic,F. Benković,244269,['CB'],Croatia,Leicester City,85,76,21,74.0,22.0,71.0,23.0,still has time,
Antonio Marin,A. Marin,244267,"['LW', 'RW', 'CAM']",Croatia,Dinamo Zagreb,85,66,18,67.0,19.0,,,did not hit their potential,
Yacine Adli,Y. Adli,243627,"['CM', 'CAM']",France,FC Girondins de Bordeaux,85,66,18,70.0,19.0,75.0,20.0,still has time,
Rabbi Matondo,R. Matondo,243392,"['RM', 'LM']",Wales,FC Schalke 04,85,66,18,70.0,19.0,69.0,20.0,still has time,
Dwight Mcneil,D. McNeil,243282,['LM'],England,Burnley,85,74,19,78.0,20.0,77.0,21.0,still has time,
Benoit Badiashile,B. Badiashile,242578,['CB'],France,AS Monaco,85,68,18,71.0,19.0,76.0,20.0,still has time,
Musa Barrow,M. Barrow,242374,['ST'],Gambia,Atalanta,85,69,20,72.0,21.0,76.0,22.0,still has time,
Agustin Almendra,A. Almendra,242081,"['CM', 'CDM']",Argentina,Boca Juniors,85,69,19,67.0,20.0,69.0,21.0,still has time,
Moussa Diaby,M. Diaby,241852,['LM'],France,Bayer 04 Leverkusen,85,74,19,81.0,20.0,81.0,21.0,still has time,
Sergio Gomez Martin,Sergio Gómez,241811,"['CAM', 'CM', 'LM']",Spain,SD Huesca,85,68,18,68.0,19.0,68.0,20.0,still has time,
Ferran Torres Garcia,Ferrán Torres,241461,['RM'],Spain,Valencia CF,85,75,19,81.0,20.0,82.0,21.0,still has time,
Hector Junior Firpo Adames,Junior Firpo,241184,"['LB', 'LM', 'LWB']",Spain,FC Barcelona,85,79,22,79.0,23.0,78.0,24.0,did not hit their potential,
Zinho Vanheusden,Z. Vanheusden,241103,['CB'],Belgium,Standard de Liège,85,74,19,73.0,20.0,74.0,21.0,still has time,
Nikola Vlasic,N. Vlašić,241095,"['CAM', 'LM']",Croatia,PFC CSKA Moscow,85,77,21,80.0,22.0,80.0,23.0,still has time,
Julian Carranza,J. Carranza,240969,['ST'],Argentina,Club Atlético Banfield,85,67,19,68.0,20.0,66.0,21.0,still has time,
Matheus Santos Carneiro Da Cunha,Matheus Cunha,240243,"['ST', 'CAM']",Brazil,RB Leipzig,85,74,20,78.0,21.0,79.0,22.0,still has time,
Max Aarons,M. Aarons,240060,['RB'],England,Norwich City,85,72,19,73.0,20.0,75.0,21.0,still has time,
Jann Fiete Arp,J. Arp,239981,"['ST', 'LM']",Germany,FC Bayern München,85,67,19,66.0,20.0,65.0,21.0,still has time,
Ozan Kabak,O. Kabak,239890,['CB'],Turkey,FC Schalke 04,85,74,19,77.0,20.0,76.0,21.0,still has time,
Lisandro Martinez,L. Martínez,239301,"['CB', 'LB']",Argentina,Ajax,85,77,21,78.0,22.0,79.0,23.0,still has time,
Maximiliano Gomez,M. Gómez,239207,['ST'],Uruguay,Valencia CF,85,80,22,80.0,23.0,80.0,24.0,still has time,
Nicolas Cozza,N. Cozza,239136,"['CB', 'LWB']",France,Montpellier Hérault SC,85,69,20,68.0,21.0,72.0,22.0,still has time,
Erling Braut Haland,E. Håland,239085,['ST'],Norway,FC Red Bull Salzburg,85,73,18,84.0,19.0,88.0,20.0,exceeded their potential,1.0
Federico Valverde,F. Valverde,239053,"['CM', 'LM', 'CDM']",Uruguay,Real Madrid CF,85,77,20,83.0,21.0,83.0,22.0,still has time,
Ruben Vargas,R. Vargas,238581,"['RM', 'LM']",Switzerland,FC Augsburg,85,70,20,74.0,21.0,75.0,22.0,still has time,
Marcus Wendel Valle Da Silva,Wendel,238359,['CM'],Brazil,Sporting CP,85,77,21,79.0,22.0,,,did not hit their potential,
Krepin Diatta,K. Diatta,238227,"['LW', 'RW', 'ST']",Senegal,Club Brugge KV,85,75,20,77.0,21.0,76.0,22.0,still has time,
Merih Demiral,M. Demiral,238160,['CB'],Turkey,Juventus,85,74,21,76.0,22.0,77.0,23.0,still has time,
Diego Lainez,D. Lainez,237995,"['RM', 'LM', 'CAM']",Mexico,Real Betis Balompié,85,72,19,72.0,20.0,74.0,21.0,still has time,
Juan Foyth,J. Foyth,237221,"['CB', 'RB']",Argentina,Tottenham Hotspur,85,74,21,75.0,22.0,75.0,23.0,still has time,
Hannes Wolf,H. Wolf,236935,['CAM'],Austria,RB Leipzig,85,74,20,72.0,21.0,73.0,22.0,still has time,
Jean Philippe Mateta,J. Mateta,236461,['ST'],France,1. FSV Mainz 05,85,78,22,76.0,23.0,75.0,24.0,still has time,
Ibrahim Sangare,I. Sangaré,235173,"['CDM', 'CM']",Côte d'Ivoire,Toulouse Football Club,85,76,21,74.0,22.0,77.0,23.0,still has time,
Fedor Chalov,F. Chalov,235029,['ST'],Russia,PFC CSKA Moscow,85,76,21,74.0,22.0,74.0,23.0,still has time,
Panagiotis Retsos,P. Retsos,234986,"['CB', 'RB', 'LB']",Greece,Bayer 04 Leverkusen,85,75,20,74.0,21.0,73.0,22.0,still has time,
Harvey Barnes,H. Barnes,234742,"['LW', 'CAM']",England,Leicester City,85,75,21,79.0,22.0,81.0,23.0,still has time,
Jose Diogo Dalot Teixeira,Diogo Dalot,234574,"['RB', 'LB', 'RM']",Portugal,Manchester United,85,75,20,76.0,21.0,76.0,22.0,still has time,
Joao Pedro Neves Filipe,Jota,234570,"['LM', 'RM', 'CF']",Portugal,SL Benfica,85,72,20,72.0,21.0,74.0,22.0,still has time,
Gedson Carvalho Fernandes,Gedson Fernandes,234568,['CM'],Portugal,SL Benfica,85,76,20,75.0,21.0,77.0,22.0,still has time,
Alvaro Odriozola Arzalluz,Odriozola,234035,['RB'],Spain,Real Madrid CF,85,80,23,79.0,24.0,79.0,25.0,did not hit their potential,
Amath Ndiaye,A. Ndiaye,233631,['LM'],Senegal,Getafe CF,85,76,22,76.0,23.0,76.0,24.0,still has time,
Dean Henderson,D. Henderson,233306,['GK'],England,Sheffield United,85,75,22,80.0,23.0,80.0,24.0,still has time,
Carles Alena Castillo,Aleñá,233113,"['CM', 'RW', 'CAM']",Spain,FC Barcelona,85,76,21,74.0,22.0,74.0,23.0,still has time,
Christopher Nkunku,C. Nkunku,232411,"['CM', 'LW', 'RW']",France,RB Leipzig,85,77,21,80.0,22.0,81.0,23.0,still has time,
Wesley Moraes Ferreira Da Silva,Wesley,232381,['ST'],Brazil,Aston Villa,85,79,22,76.0,23.0,76.0,24.0,still has time,
Victor Osimhen,V. Osimhen,232293,['ST'],Nigeria,LOSC Lille,85,74,20,79.0,21.0,80.0,22.0,still has time,
Reiss Nelson,R. Nelson,231448,"['RW', 'LW', 'LM']",England,Arsenal,85,72,19,72.0,20.0,73.0,21.0,still has time,
Donyell Malen,D. Malen,231447,"['ST', 'LW']",Netherlands,PSV,85,76,20,78.0,21.0,80.0,22.0,still has time,
Tammy Abraham,T. Abraham,231352,['ST'],England,Chelsea,85,76,21,78.0,22.0,78.0,23.0,still has time,
Ben Chilwell,B. Chilwell,229984,['LB'],England,Leicester City,85,79,22,81.0,23.0,82.0,24.0,did not hit their potential,
Eduardo Exposito Jaen,Edu Expósito,229862,"['CM', 'CAM']",Spain,SD Eibar,85,76,22,76.0,23.0,76.0,24.0,did not hit their potential,
Djibril Sow,D. Sow,229752,['CM'],Switzerland,Eintracht Frankfurt,85,74,22,74.0,23.0,77.0,24.0,did not hit their potential,
Nicolas Benedetti,N. Benedetti,229699,"['CAM', 'RM']",Colombia,Club América,85,74,22,72.0,23.0,72.0,24.0,still has time,
Milot Rashica,M. Rashica,229167,"['LW', 'CF', 'RW']",Kosovo,SV Werder Bremen,85,79,23,79.0,24.0,77.0,25.0,did not hit their potential,
Aleix Garcia Serrano,Aleix García,228813,['CM'],Spain,Manchester City,85,74,22,73.0,23.0,72.0,24.0,did not hit their potential,
Oleksandr Zinchenko,O. Zinchenko,227813,['LB'],Ukraine,Manchester City,85,78,22,80.0,23.0,80.0,24.0,did not hit their potential,
Jacob Bruun Larsen,J. Larsen,227503,['LM'],Denmark,Borussia Dortmund,85,75,20,74.0,21.0,73.0,22.0,still has time,
Benjamin Pavard,B. Pavard,226851,"['CB', 'RB']",France,FC Bayern München,85,79,23,81.0,24.0,79.0,25.0,still has time,
Ianis Hagi,I. Hagi,226568,"['CAM', 'LW', 'RW']",Romania,KRC Genk,85,74,20,73.0,21.0,74.0,22.0,still has time,
Maximilian Eggestein,M. Eggestein,226168,"['CM', 'CAM', 'CDM']",Germany,SV Werder Bremen,85,80,22,76.0,23.0,75.0,24.0,did not hit their potential,
Nordi Mukiele,N. Mukiele,226166,"['CB', 'RB']",France,RB Leipzig,85,77,21,80.0,22.0,81.0,23.0,still has time,
Abdou Diallo,A. Diallo,225711,"['CB', 'LB']",France,Paris Saint-Germain,85,79,23,78.0,24.0,78.0,25.0,still has time,
Alexandr Golovin,A. Golovin,225663,"['CAM', 'CM']",Russia,AS Monaco,85,79,23,79.0,24.0,79.0,25.0,did not hit their potential,
Ilzat Akhmetov,I. Akhmetov,225614,"['CM', 'CAM']",Russia,PFC CSKA Moscow,85,73,21,72.0,22.0,72.0,23.0,still has time,
Nadiem Amiri,N. Amiri,225309,"['CAM', 'CM']",Germany,Bayer 04 Leverkusen,85,78,22,77.0,23.0,77.0,24.0,still has time,
Jonathan Bamba,J. Bamba,225085,['LM'],France,LOSC Lille,85,78,23,78.0,24.0,80.0,25.0,did not hit their potential,
Alexander Nubel,A. Nübel,223885,['GK'],Germany,FC Schalke 04,85,75,22,75.0,23.0,75.0,24.0,still has time,
Jorge Mere Perez,Jorge Meré,223033,['CB'],Spain,1. FC Köln,85,77,22,72.0,23.0,72.0,24.0,still has time,
Martin Odegaard,M. Ødegaard,222665,"['RW', 'CAM', 'CM']",Norway,Real Sociedad,85,78,20,83.0,21.0,82.0,22.0,still has time,
Timothy Castagne,T. Castagne,222501,"['LM', 'RM', 'RB']",Belgium,Atalanta,85,76,23,77.0,24.0,79.0,25.0,did not hit their potential,
Anton Miranchuk,A. Miranchuk,222368,"['CAM', 'RM']",Russia,Russia,85,77,23,76.0,24.0,76.0,25.0,did not hit their potential,
Breel Embolo,B. Embolo,222357,"['ST', 'RW']",Switzerland,Borussia Mönchengladbach,85,76,22,78.0,23.0,77.0,24.0,still has time,
Lukas Klostermann,L. Klostermann,222331,"['RB', 'LB']",Germany,Germany,85,79,23,80.0,24.0,80.0,25.0,did not hit their potential,
Harry Wilson,H. Wilson,220710,"['RW', 'CM', 'RM']",Wales,Wales,85,75,22,77.0,23.0,75.0,24.0,still has time,
Ruben Loftus Cheek,R. Loftus-Cheek,213666,"['CM', 'LM']",England,Chelsea,85,79,23,78.0,24.0,75.0,25.0,did not hit their potential,
Marcos Paulo Mesquita Lopes,Rony Lopes,212692,"['LM', 'LW']",Portugal,Sevilla FC,85,80,23,78.0,24.0,76.0,25.0,did not hit their potential,
Santiago Mina Lorenzo,Santi Mina,212623,['ST'],Spain,RC Celta de Vigo,85,80,23,76.0,24.0,77.0,25.0,still has time,
Moussa Dembele,M. Dembélé,211591,['ST'],France,Olympique Lyonnais,85,80,22,81.0,23.0,78.0,24.0,still has time,
Jack Grealish,J. Grealish,206517,"['CAM', 'CM']",England,Aston Villa,85,77,23,80.0,24.0,84.0,25.0,lived to expectations,2.0
Tiago Emanuel Embalo Djalo,Tiago Djaló,252339,['CB'],Portugal,LOSC Lille,84,66,19,68.0,20.0,74.0,21.0,still has time,
Romario Manuel Silva Baro,Romário Baró,252038,"['CAM', 'RM']",Portugal,FC Porto,84,70,19,73.0,20.0,72.0,21.0,still has time,
Jonathan Panzo,J. Panzo,252001,['CB'],England,AS Monaco,84,65,18,,,70.0,20.0,still has time,
Nuno Albertino Varela Tavares,Nuno Tavares,251530,"['LB', 'RB']",Portugal,SL Benfica,84,72,19,72.0,20.0,70.0,21.0,still has time,
Ellis Simms,E. Simms,251198,['ST'],England,Everton,84,64,18,63.0,19.0,65.0,20.0,still has time,
Nicolo Armini,N. Armini,248874,['CB'],Italy,Lazio,84,66,18,65.0,19.0,65.0,20.0,still has time,
Alex Kral,A. Král,247028,"['CDM', 'CB', 'CM']",Czech Republic,SK Slavia Praha,84,74,21,74.0,22.0,75.0,23.0,still has time,
Alessio Riccardi,A. Riccardi,246861,"['CM', 'CAM']",Italy,Roma,84,63,18,62.0,19.0,61.0,20.0,still has time,
Miguel Mariz Luis,Miguel Luís,246309,['CM'],Portugal,Sporting CP,84,70,20,69.0,21.0,68.0,22.0,still has time,
Adria Giner Pedrosa,Adrià Pedrosa,246113,['LB'],Spain,RCD Espanyol de Barcelona,84,74,21,75.0,22.0,75.0,23.0,still has time,
Billy Gilmour,B. Gilmour,245992,"['CM', 'CAM']",Scotland,Chelsea,84,62,18,71.0,19.0,72.0,20.0,still has time,
Giorgi Tsitaishvili,G. Tsitaishvili,245131,"['RM', 'LM']",Ukraine,Dynamo Kyiv,84,66,18,72.0,19.0,,,did not hit their potential,
Ivanildo Jorge Mendes Fernandes,Ivanildo Fernandes,244963,['CB'],Portugal,Trabzonspor,84,75,23,73.0,24.0,71.0,25.0,still has time,
Sofiane Diop,S. Diop,244892,"['LM', 'CM', 'CAM']",France,AS Monaco,84,67,19,66.0,20.0,77.0,21.0,still has time,
Francisco Mota Castro Trincao,Francisco Trincão,244778,"['RW', 'LW']",Portugal,SC Braga,84,71,19,78.0,20.0,76.0,21.0,still has time,
Oihan Sancet Tirapu,Sancet,244675,"['CM', 'CAM']",Spain,Athletic Club de Bilbao,84,69,19,72.0,20.0,73.0,21.0,still has time,
Jayden Bogle,J. Bogle,244591,['RB'],England,Derby County,84,69,18,72.0,19.0,74.0,20.0,still has time,
Dennis Jastrzembski,D. Jastrzembski,244509,"['LM', 'CAM']",Germany,Hertha BSC,84,66,19,67.0,20.0,65.0,21.0,still has time,
Adam Idah,A. Idah,244288,['ST'],Republic of Ireland,Norwich City,84,63,18,65.0,19.0,67.0,20.0,still has time,
Francisco L Lima Silva Machado,Chiquinho,243686,"['CAM', 'CM', 'RM']",Portugal,SL Benfica,84,77,23,76.0,24.0,74.0,25.0,did not hit their potential,
Gavin Bazunu,G. Bazunu,243585,['GK'],Republic of Ireland,Manchester City,84,59,17,,,63.0,19.0,still has time,
Ikoma Lois Openda,I. Openda,243580,"['ST', 'LW']",Belgium,Club Brugge KV,84,70,19,70.0,20.0,71.0,21.0,still has time,
Pedro Antonio Porro Sauceda,Pedro Porro,243576,"['RWB', 'RB', 'RM']",Spain,Real Valladolid CF,84,73,19,73.0,20.0,80.0,21.0,still has time,
