Player name,Known as,player_id,position,nationality,team,Fifa 10 Potential rating,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Vincenzo Camilleri,V. Camilleri,192601,['CB'],Italy,Urbs Reggina 1914,85,59,17,,,,,71,20,,,,,63,23,,,,,,,,,,,,
Abdelaziz Barrada,A. Barrada,192274,['CAM'],France,Paris Saint-Germain,85,64,20,,,66,22,75,23,,,74,25,74,26,,,,,70,29,,,,,,
Gianmarco Zigoni,G. Zigoni,191068,['ST'],Italy,AC Milan,85,65,18,66,19,,,65,21,,,62,23,,,66,25,69,26,69,27,68,28,,,67,30
Felix Kroos,F. Kroos,191066,['ST'],Germany,F.C. Hansa Rostock,85,61,18,63,19,69,20,66,21,65,22,70,23,72,24,73,25,73,26,72,27,70,28,68,29,,
Mikhail Sivakov,M. Sivakov,191002,['CM'],Belarus,Cagliari,85,68,21,67,22,61,23,,,,,,,,,,,67,29,,,,,,,,
Fredy Montero,F. Montero,190919,['CF'],Colombia,Seattle Sounders FC,85,74,21,74,22,74,23,75,24,74,25,76,26,78,27,,,76,29,76,30,75,31,72,32,72,33
Ruben Micael,Rúben Micael,190779,['CAM'],Portugal,CD Nacional,85,74,22,79,23,77,24,73,25,76,26,75,27,,,,,,,72,31,,,70,33,,
Damien Le Tallec,D. Le Tallec,190416,['ST'],France,Borussia Dortmund,85,63,18,67,19,65,20,,,,,63,24,65,25,,,,,71,28,75,29,76,30,74,31
Jean,Jean,189373,['RM'],Brazil,São Paulo,85,75,23,72,24,74,25,75,26,77,27,,,76,29,,,,,,,,,,,,
Daniel Carrico,D. Carriço,189156,['CB'],Portugal,Sporting CP,85,76,20,78,21,77,22,76,23,72,24,76,25,80,26,81,27,80,28,78,29,78,30,76,31,76,32
Gai Assulin,Gai Assulin,188572,['RW'],Israel,FC Barcelona,85,68,18,,,61,20,67,21,64,22,64,23,66,24,,,,,,,,,63,29,,
Marvin Martin,M. Martin,188385,['CAM'],France,FC Sochaux-Montbéliard,85,67,21,70,22,80,23,80,24,76,25,74,26,73,27,74,28,,,71,30,,,65,32,,
Lautaro German Acosta,L. Acosta,188268,['CF'],Argentina,Sevilla FC,85,69,21,69,22,69,23,69,24,70,25,74,26,72,27,77,28,78,29,77,30,76,31,78,32,75,33
Diogo,Diogo,187815,['ST'],Brazil,Olympiacos CFP,85,79,22,76,23,72,24,72,25,74,26,,,,,,,,,,,,,,,,
Alberto Paloschi,A. Paloschi,186961,['ST'],Italy,Parma,85,73,19,74,20,74,21,74,22,76,23,76,24,77,25,78,26,76,27,76,28,75,29,72,30,,
Kwadwo Asamoah,K. Asamoah,186832,['CM'],Ghana,Udinese Calcio,85,78,20,76,21,75,22,79,23,80,24,79,25,79,26,80,27,78,28,79,29,79,30,76,31,,
Rafael Eduardo Acosta,R. Acosta,186610,['RM'],Italy,Cagliari,85,68,20,,,,,,,,,,,,,,,,,,,,,60,31,,
Daniele Ragatzu,D. Ragatzu,186607,['ST'],Italy,Cagliari,85,67,17,70,18,65,19,,,66,21,63,22,,,,,,,,,63,27,62,28,,
Keisuke Honda,K. Honda,186581,['CAM'],Japan,VVV-Venlo,85,77,23,80,24,81,25,81,26,81,27,79,28,77,29,81,30,78,31,78,32,75,33,,,,
Danny Welbeck,D. Welbeck,186146,['CF'],England,Manchester United,85,73,18,69,19,76,20,79,21,78,22,78,23,79,24,80,25,80,26,77,27,78,28,74,29,73,30
Macauley Chrisantus,M. Chrisantus,186102,['ST'],Nigeria,Karlsruher SC,85,66,18,65,19,65,20,65,21,68,22,67,23,,,67,25,,,,,,,,,,
Aleksandar Kolarov,A. Kolarov,185103,['LB'],Serbia,Lazio,85,77,23,79,24,79,25,78,26,78,27,78,28,79,29,79,30,79,31,82,32,82,33,82,34,78,35
Ramires,Ramires,184943,['CM'],Brazil,SL Benfica,85,78,22,79,23,79,24,81,25,80,26,81,27,80,28,,,,,80,31,,,,,,
Alexis Alejandro Sanchez,A. Sánchez,184941,['RF'],Chile,Udinese Calcio,85,77,20,79,21,86,22,85,23,82,24,84,25,86,26,87,27,89,28,87,29,82,30,80,31,80,32
Guilherme,Guilherme,184853,['LWB'],Brazil,Unión Deportiva Almería,85,67,21,69,22,70,23,68,24,68,25,,,,,,,67,29,,,,,,,,
Chris Martin,C. Martin,184747,['ST'],England,Norwich City,85,62,20,67,21,66,22,68,23,69,24,70,25,72,26,73,27,72,28,68,29,67,30,,,67,32
Nathan Delfouneso,N. Delfouneso,184467,['ST'],England,Aston Villa,85,74,18,76,19,73,20,71,21,68,22,67,23,68,24,66,25,63,26,60,27,63,28,63,29,62,30
Jonathan L Biabiany,J. Biabiany,184312,['RW'],France,Parma,85,75,21,77,22,73,23,77,24,80,25,79,26,78,27,76,28,75,29,74,30,74,31,,,,
Fernando,Fernando,184134,['CDM'],Brazil,FC Porto,85,79,21,79,22,79,23,80,24,79,25,79,26,79,27,79,28,77,29,79,30,81,31,83,32,84,33
Richard Sukuta Pasu,R. Sukuta-Pasu,183920,['ST'],Germany,Bayer 04 Leverkusen,85,65,19,68,20,67,21,66,22,68,23,67,24,,,67,26,67,27,69,28,,,,,65,31
Jerome Boateng,J. Boateng,183907,['CB'],Germany,Hamburger SV,85,76,20,77,21,78,22,79,23,81,24,85,25,87,26,90,27,88,28,86,29,84,30,82,31,82,32
Fran Merida,Fran Mérida,183520,['CAM'],Spain,Arsenal,85,72,19,74,20,74,21,72,22,68,23,,,71,25,75,26,73,27,70,28,73,29,,,74,31
Davide Di Gennaro,D. Di Gennaro,183414,['CAM'],Italy,AC Milan,85,72,21,62,22,68,23,72,24,71,25,69,26,72,27,73,28,72,29,72,30,70,31,66,32,,
Adil Rami,A. Rami,183280,['CB'],France,LOSC Lille,85,78,23,79,24,81,25,84,26,82,27,79,28,78,29,82,30,81,31,82,32,,,,,72,35
Michael Johnson,M. Johnson,182696,['CM'],England,Manchester City,85,76,21,76,22,74,23,69,24,,,,,,,,,,,,,,,,,,
Martin Caceres,M. Cáceres,182495,['CB'],Uruguay,Juventus,85,78,22,78,23,78,24,80,25,80,26,79,27,81,28,,,77,30,78,31,78,32,76,33,75,34
Fabiano Santacroce,F. Santacroce,182177,['CB'],Italy,Napoli,85,76,22,75,23,77,24,74,25,71,26,65,27,67,28,,,,,,,,,,,,
Marcelo Moreno,M. Moreno,181375,['ST'],Bolivia,SV Werder Bremen,85,79,22,,,,,77,25,77,26,,,75,28,,,76,30,75,31,72,32,71,33,,
Anthony Annan,A. Annan,179909,['CDM'],Ghana,Rosenborg BK,85,76,22,78,23,75,24,74,25,69,26,,,,,64,29,65,30,65,31,,,,,,
Benedikt Howedes,B. Höwedes,179784,['CB'],Germany,FC Schalke 04,85,76,21,78,22,80,23,81,24,82,25,82,26,83,27,84,28,83,29,81,30,81,31,,,,
Fernando Martin Forestieri,F. Forestieri,178628,['CF'],Argentina,Málaga CF,85,72,19,71,20,68,21,68,22,69,23,67,24,72,25,74,26,73,27,73,28,73,29,,,72,31
Mats Hummels,M. Hummels,178603,['CB'],Germany,Borussia Dortmund,85,77,20,79,21,84,22,85,23,85,24,86,25,86,26,87,27,88,28,89,29,87,30,86,31,86,32
Pablo Daniel Osvaldo,P. Osvaldo,178535,['ST'],Italy,Bologna,85,75,23,77,24,79,25,78,26,80,27,78,28,78,29,,,,,,,72,33,,,,
Etienne Capoue,E. Capoue,178213,['CDM'],France,Toulouse Football Club,85,75,20,76,21,77,22,79,23,79,24,78,25,77,26,78,27,76,28,76,29,80,30,78,31,78,32
Kevin Constant,K. Constant,177935,['CDM'],Guinea,La Berrichonne de Châteauroux,85,67,22,69,23,75,24,76,25,78,26,72,27,75,28,,,71,30,,,,,,,,
Benoit Tremoulinas,B. Trémoulinas,177635,['LB'],France,FC Girondins de Bordeaux,85,75,23,79,24,78,25,76,26,,,77,28,81,29,81,30,,,,,,,,,,
Sebastian Prodl,S. Prödl,177578,['CB'],Austria,SV Werder Bremen,85,74,22,74,23,72,24,74,25,74,26,75,27,76,28,77,29,79,30,75,31,73,32,72,33,,
Dieudonne Bezua Mbokani,D. Mbokani,177392,['ST'],Congo DR,Standard de Liège,85,77,23,78,24,77,25,77,26,,,,,,,,,,,,,78,33,78,34,,
Piet Velthuizen,P. Velthuizen,177152,['GK'],Netherlands,Vitesse,85,74,22,75,23,74,24,75,25,77,26,75,27,72,28,,,,,,,,,65,33,,
Yassine Chikhaoui,Y. Chikhaoui,177022,['CF'],Tunisia,FC Zürich,85,71,22,72,23,67,24,73,25,74,26,75,27,,,,,,,,,,,,,,
Dmytro Chygrynskyy,D. Chygrynskyy,176483,['CB'],Ukraine,FC Barcelona,85,78,22,,,,,,,73,26,73,27,,,,,75,30,76,31,76,32,73,33,,
Mevlut Erdinc,M. Erdinç,176481,['ST'],Turkey,Paris Saint-Germain,85,76,22,78,23,77,24,75,25,74,26,77,27,76,28,75,29,74,30,72,31,74,32,72,33,70,34
Lucas,Lucas,176266,['CM'],Brazil,Liverpool,85,78,22,78,23,78,24,80,25,81,26,79,27,79,28,80,29,79,30,83,31,84,32,84,33,81,34
Jozy Altidore,J. Altidore,176237,['ST'],United States,United States,85,74,19,76,20,74,21,75,22,77,23,74,24,74,25,75,26,76,27,77,28,76,29,74,30,72,31
Matias Fernandez,M. Fernández,174549,['CAM'],Chile,Sporting CP,85,78,23,77,24,81,25,82,26,71,27,78,28,77,29,79,30,78,31,75,32,75,33,73,34,,
Claudio Marchisio,C. Marchisio,173210,['CM'],Italy,Juventus,85,79,23,80,24,81,25,84,26,84,27,83,28,84,29,86,30,85,31,83,32,,,,,,
Diego Hernan Valeri,D. Váleri,172114,['CAM'],Argentina,FC Porto,85,77,23,74,24,,,,,76,27,76,28,78,29,79,30,79,31,80,32,79,33,79,34,77,35
Marquitos,Marquitos,171994,['LM'],Spain,Real Valladolid CF,85,75,22,68,23,69,24,,,65,26,,,,,64,29,,,64,31,,,,,,
Geromel,Geromel,170802,['CB'],Brazil,1. FC Köln,85,80,23,80,24,78,25,76,26,73,27,,,77,29,,,,,,,,,,,,
Cristian Rodriguez,C. Rodríguez,170664,['LW'],Uruguay,FC Porto,85,81,23,80,24,78,25,77,26,80,27,79,28,76,29,73,30,75,31,75,32,,,73,34,,
Ezequiel Garay,E. Garay,170481,['CB'],Argentina,Real Madrid CF,85,81,22,80,23,78,24,80,25,82,26,83,27,83,28,84,29,83,30,82,31,83,32,,,,
Giovani Dos Santos,G. dos Santos,170369,['CF'],Mexico,Tottenham Hotspur,85,76,20,78,21,78,22,74,23,79,24,81,25,79,26,79,27,79,28,77,29,76,30,73,31,,
Lorenzo De Silvestri,L. De Silvestri,170320,['RWB'],Italy,Fiorentina,85,73,21,74,22,73,23,74,24,73,25,74,26,77,27,77,28,76,29,77,30,75,31,74,32,76,33
Adam Hammill,A. Hammill,169568,['RW'],England,Barnsley,85,69,21,71,22,70,23,70,24,68,25,68,26,65,27,67,28,67,29,,,66,31,63,32,,
Ivan Rakitic,I. Rakitić,168651,['CAM'],Croatia,FC Schalke 04,85,77,21,78,22,79,23,77,24,81,25,83,26,84,27,87,28,87,29,87,30,86,31,82,32,82,33
Nicklas Bendtner,N. Bendtner,167706,['ST'],Denmark,Arsenal,85,78,21,79,22,79,23,77,24,75,25,75,26,75,27,,,73,29,74,30,71,31,,,,
Rasmus Elm,R. Elm,167599,['CM'],Sweden,Sweden,85,76,21,73,22,73,23,78,24,78,25,79,26,79,27,78,28,75,29,72,30,72,31,,,,
Stefan Radu,S. Radu,165109,['CB'],Romania,Lazio,85,74,22,76,23,76,24,77,25,78,26,77,27,79,28,79,29,79,30,80,31,80,32,78,33,77,34
Labinot Harbuzi,L. Harbuzi,163057,['CAM'],Sweden,Gençlerbirliği SK,85,72,23,71,24,,,70,26,,,,,,,,,,,,,,,,,,
Quincy Owusu Abeyie,Q. Owusu-Abeyie,162896,['ST'],Ghana,Spartak Moskva,85,70,23,72,24,70,25,71,26,73,27,70,28,,,69,30,,,,,,,,,,
Moussa Dembele,M. Dembélé,162240,['CF'],Belgium,Belgium,85,79,21,77,22,76,23,80,24,81,25,80,26,80,27,82,28,82,29,84,30,81,31,80,32,79,33
Salomon Kalou,S. Kalou,158232,['LW'],Côte d'Ivoire,Chelsea,85,80,23,80,24,81,25,78,26,78,27,78,28,77,29,81,30,80,31,79,32,79,33,,,,
Thomas Vermaelen,T. Vermaelen,157304,['CB'],Belgium,Arsenal,85,79,23,83,24,83,25,82,26,81,27,79,28,80,29,81,30,78,31,77,32,78,33,76,34,75,35
Joe Hart,J. Hart,150724,['GK'],England,Birmingham City,85,77,22,82,23,83,24,84,25,83,26,82,27,83,28,84,29,82,30,78,31,77,32,,,74,34
Ciprian Marica,C. Marica,147921,['ST'],Romania,VfB Stuttgart,85,74,23,76,24,73,25,73,26,73,27,73,28,72,29,,,,,,,,,,,,
Jo,Jô,140384,['ST'],Brazil,Everton,85,79,22,75,23,74,24,75,25,79,26,,,,,,,,,76,31,77,32,,,,
Vincent Kompany,V. Kompany,139720,['CB'],Belgium,Manchester City,85,79,23,80,24,84,25,85,26,86,27,86,28,85,29,86,30,85,31,85,32,83,33,,,,
Tom Huddlestone,T. Huddlestone,54033,['CM'],England,Tottenham Hotspur,85,77,22,80,23,80,24,77,25,76,26,75,27,74,28,75,29,75,30,74,31,72,32,,,66,34
Adigun Taofeek Salami,A. Salami,211803,['CDM'],Nigeria,FC Midtjylland,84,71,21,66,22,65,23,66,24,63,25,63,26,,,,,,,,,,,,,,
Xavier Chavalerin,X. Chavalerin,193683,['LM'],France,Olympique Lyonnais,84,62,18,,,,,60,21,59,22,64,23,66,24,68,25,67,26,69,27,75,28,77,29,76,30
Felipe,Felipe,192982,['CAM'],Brazil,Palmeiras,84,63,19,,,,,,,68,23,,,,,,,71,27,70,28,,,,,,
Alassane Tambe,A. També,192731,['CB'],France,Paris Saint-Germain,84,45,17,47,18,65,19,64,20,,,64,22,66,23,67,24,,,,,,,,,,
Loic Abenzoar,L. Abenzoar,192682,['RB'],France,Olympique Lyonnais,84,63,20,64,21,,,61,23,,,,,,,,,,,,,,,,,,
Orellana,Orellana,192492,['CF'],Chile,Xerez Club Deportivo,84,74,23,71,24,73,25,74,26,73,27,74,28,79,29,81,30,80,31,79,32,79,33,79,34,77,35
Fabio Sciacca,F. Sciacca,192253,['CM'],Italy,Catania,84,72,20,69,21,70,22,70,23,70,24,63,25,,,,,,,,,,,,,,
Rene Krhin,R. Krhin,192205,['CM'],Slovenia,Inter,84,65,19,68,20,68,21,70,22,69,23,71,24,72,25,74,26,70,27,72,28,72,29,72,30,70,31
Neymar,Neymar,190871,['LF'],Brazil,Santos,84,73,17,78,18,84,19,85,20,84,21,86,22,88,23,92,24,92,25,92,26,92,27,91,28,91,29
Ismail Koybasi,İ. Köybaşı,189930,['LB'],Turkey,Beşiktaş JK,84,65,19,70,20,71,21,72,22,,,73,24,73,25,74,26,73,27,74,28,,,,,70,31
Ciro,Ciro,189677,['ST'],Brazil,Sport Club do Recife,84,71,19,,,73,22,71,23,72,24,,,68,26,,,,,,,,,,,,
Ruslan Kambolov,R. Kambolov,189581,['RB'],Russia,FC Lokomotiv Moscow,84,64,19,65,20,,,,,,,64,24,70,25,71,26,73,27,,,,,,,,
Sergio Busquets,Sergio Busquets,189511,['CM'],Spain,FC Barcelona,84,76,20,81,21,83,22,85,23,85,24,85,25,86,26,87,27,86,28,88,29,89,30,87,31,86,32
Jean Alain Fanchone,J. Fanchone,189415,['LB'],France,RC Strasbourg Alsace,84,68,20,65,21,,,,,66,24,,,65,26,,,,,,,,,,,,
Rodrigo Possebon,Rodrigo Possebon,188205,['CM'],Brazil,SC Braga,84,70,20,69,21,70,22,,,,,,,,,,,,,,,,,,,,
Simao,Simao,188124,['CDM'],Mozambique,Panathinaikos FC,84,73,20,74,21,70,22,,,70,24,73,25,75,26,75,27,,,,,72,30,69,31,,
Renan Oliveira,Renan Oliveira,187945,['CAM'],Brazil,Clube Atlético Mineiro,84,70,20,70,21,71,22,,,71,24,,,65,25,,,,,,,,,,,,
Marlos,Marlos,187754,['RM'],Brazil,São Paulo,84,73,21,73,22,74,23,,,,,75,26,79,27,80,28,82,29,82,30,82,31,81,32,81,33
Dmitriy Kombarov,D. Kombarov,187492,['LW'],Russia,Dinamo Moscow,84,75,22,76,23,75,24,74,25,76,26,74,27,74,28,75,29,74,30,74,31,,,,,,
Mame Biram Diouf,M. Diouf,187084,['ST'],Senegal,Molde FK,84,74,21,77,22,74,23,77,24,79,25,78,26,78,27,78,28,77,29,75,30,72,31,,,73,33
Gojko Kacar,G. Kačar,186687,['CM'],Serbia,Hertha BSC,84,78,22,76,23,75,24,74,25,72,26,71,27,72,28,76,29,72,30,,,,,,,,
Leroy Fer,L. Fer,186351,['CM'],Netherlands,Feyenoord,84,72,19,74,20,73,21,76,22,76,23,76,24,76,25,76,26,77,27,76,28,73,29,76,30,75,31
Federico Macheda,F. Macheda,186140,['ST'],Italy,Manchester United,84,74,17,74,18,73,19,72,20,70,21,69,22,70,23,70,24,71,25,,,73,27,72,28,72,29
Omer Toprak,Ö. Toprak,185239,['CB'],Germany,Sport-Club Freiburg,84,68,19,70,20,74,21,74,22,78,23,79,24,81,25,84,26,83,27,82,28,79,29,76,30,77,31
Luiz Gustavo,Luiz Gustavo,185221,['CDM'],Brazil,TSG Hoffenheim,84,76,21,75,22,79,23,81,24,81,25,82,26,83,27,83,28,80,29,83,30,81,31,80,32,77,33
Miguel Vitor,Miguel Vítor,185194,['CB'],Portugal,SL Benfica,84,75,20,74,21,74,22,72,23,72,24,73,25,76,26,,,,,,,,,,,,
Dan Gosling,D. Gosling,184749,['RM'],England,Everton,84,74,19,73,20,73,21,73,22,72,23,72,24,71,25,72,26,73,27,73,28,75,29,73,30,72,31
Mattia Mustacchio,M. Mustacchio,184527,['LF'],Italy,Ancona,84,69,20,68,21,64,22,64,23,,,,,,,66,27,66,28,69,29,70,30,70,31,,
Kyriakos Papadopoulos,K. Papadopoulos,184477,['CB'],Greece,Olympiacos CFP,84,69,17,71,18,75,19,78,20,78,21,78,22,79,23,79,24,79,25,78,26,76,27,,,71,29
Alex Smithies,A. Smithies,184436,['GK'],England,Huddersfield Town,84,67,19,64,20,66,21,68,22,67,23,67,24,68,25,70,26,73,27,73,28,72,29,72,30,72,31
Marko Arnautovic,M. Arnautovic,184200,['ST'],Austria,Inter,84,76,20,77,21,75,22,76,23,76,24,77,25,78,26,82,27,82,28,82,29,82,30,82,31,81,32
Mathias Jorgensen,M. Jørgensen,183491,['CB'],Denmark,F.C. København,84,67,19,73,20,73,21,73,22,71,23,69,24,71,25,73,26,75,27,76,28,76,29,74,30,72,31
Moussa Sissoko,M. Sissoko,183394,['CM'],France,Toulouse Football Club,84,75,19,76,20,77,21,75,22,75,23,75,24,78,25,80,26,77,27,76,28,81,29,79,30,78,31
Timo Gebhart,T. Gebhart,183344,['CAM'],Germany,VfB Stuttgart,84,74,20,77,21,76,22,75,23,75,24,73,25,71,26,,,,,,,65,30,,,,
Yohan Benalouane,Y. Benalouane,183288,['CB'],France,AS Saint-Étienne,84,69,22,68,23,69,24,72,25,71,26,75,27,75,28,75,29,75,30,74,31,71,32,69,33,,
Henri Saivet,H. Saivet,183256,['ST'],France,FC Girondins de Bordeaux,84,61,18,63,19,73,20,74,21,75,22,74,23,77,24,78,25,77,26,74,27,74,28,66,29,,
Havard Nordtveit,H. Nordtveit,182888,['CB'],Norway,1. FC Nürnberg,84,71,19,70,20,72,21,74,22,76,23,75,24,76,25,79,26,77,27,76,28,75,29,73,30,73,31
Balazs Dzsudzsak,B. Dzsudzsák,182879,['LW'],Hungary,PSV,84,78,22,80,23,81,24,81,25,79,26,79,27,80,28,79,29,78,30,77,31,76,32,76,33,,
Arturo Vidal,A. Vidal,181872,['CM'],Chile,Bayer 04 Leverkusen,84,78,22,79,23,83,24,84,25,85,26,85,27,86,28,87,29,87,30,85,31,84,32,83,33,81,34
Vedran Corluka,V. Ćorluka,181786,['RB'],Croatia,Tottenham Hotspur,84,79,23,78,24,76,25,77,26,77,27,79,28,80,29,82,30,82,31,82,32,82,33,79,34,,
Johann Carrasso,J. Carrasso,181694,['GK'],France,Montpellier Hérault SC,84,68,21,69,22,67,23,,,64,25,70,26,66,27,67,28,70,29,69,30,,,,,,
Aly Cissokho,A. Cissokho,181455,['LB'],France,Olympique Lyonnais,84,77,21,78,22,77,23,76,24,75,25,74,26,74,27,72,28,71,29,70,30,70,31,,,,
Albin Ekdal,A. Ekdal,181318,['CM'],Sweden,Siena,84,67,19,70,20,73,21,75,22,75,23,74,24,75,25,76,26,76,27,76,28,76,29,75,30,76,31
Georginio Wijnaldum,G. Wijnaldum,181291,['CAM'],Netherlands,Feyenoord,84,71,18,75,19,75,20,76,21,78,22,78,23,80,24,81,25,82,26,82,27,84,28,85,29,84,30
Martin Fenin,M. Fenin,180931,['CF'],Czech Republic,Eintracht Frankfurt,84,74,22,74,23,71,24,69,25,,,,,,,,,,,,,,,,,,
Martin Fillo,M. Fillo,180611,['RM'],Czech Republic,Viking FK,84,73,23,73,24,,,,,67,27,,,,,,,,,,,,,,,,
Ki Sung Yueng,Ki Sung-Yueng,180283,['CM'],Korea Republic,Korea Republic,84,69,20,70,21,74,22,71,23,74,24,74,25,77,26,78,27,78,28,76,29,76,30,72,31,73,32
Eren Derdiyok,E. Derdiyok,179972,['ST'],Switzerland,Bayer 04 Leverkusen,84,75,21,79,22,79,23,78,24,75,25,74,26,72,27,75,28,75,29,73,30,72,31,,,,
Ben Sahar,B. Sahar,179960,['ST'],Israel,RCD Espanyol de Barcelona,84,73,19,,,71,21,71,22,71,23,70,24,,,,,,,,,,,,,,
Juan Pablo Pino,J. Pino,179713,['CF'],Colombia,AS Monaco,84,76,22,77,23,,,,,66,26,68,27,,,,,,,,,,,,,,
Simon Kjaer,S. Kjær,179645,['CB'],Denmark,Palermo,84,75,20,78,21,76,22,75,23,75,24,80,25,81,26,82,27,81,28,79,29,82,30,80,31,83,32
Adel Taarabt,A. Taarabt,179605,['CAM'],Morocco,Queens Park Rangers,84,68,20,74,21,78,22,78,23,78,24,79,25,79,26,,,70,28,,,75,30,77,31,77,32
Cedric Mongongu,C. Mongongu,179586,['CB'],Congo DR,AS Monaco,84,72,20,74,21,74,22,72,23,71,24,71,25,72,26,67,27,,,,,,,,,,
Sergio Asenjo,Sergio Asenjo,178750,['GK'],Spain,Atlético de Madrid,84,81,20,76,21,75,22,74,23,74,24,79,25,81,26,81,27,84,28,84,29,82,30,82,31,83,32
Cristian Zapata,C. Zapata,177983,['CB'],Colombia,Udinese Calcio,84,77,22,74,23,77,24,74,25,79,26,77,27,78,28,78,29,78,30,78,31,78,32,74,33,73,34
Jose Francisco Torres,J. Torres,177877,['CAM'],United States,United States,84,72,21,70,22,71,23,71,24,70,25,69,26,68,27,69,28,69,29,68,30,,,,,,
Kevin Monnet Paquet,K. Monnet-Paquet,177712,['CF'],France,Racing Club de Lens,84,67,20,68,21,69,22,67,23,67,24,73,25,73,26,75,27,73,28,73,29,73,30,72,31,,
Mathieu Coutadeur,M. Coutadeur,177482,['CDM'],France,AS Monaco,84,76,23,75,24,74,25,73,26,72,27,72,28,,,69,30,73,31,72,32,70,33,71,34,68,35
Baris Ozbek,B. Özbek,177049,['CM'],Turkey,Galatasaray SK,84,75,22,73,23,,,,,70,26,67,27,67,28,,,65,30,,,,,,,,
Bryan Ruiz,B. Ruíz,176949,['LW'],Costa Rica,FC Twente,84,78,23,81,24,82,25,82,26,81,27,78,28,79,29,81,30,77,31,,,,,,,,
Andreas Beck,A. Beck,176687,['RB'],Germany,Germany,84,77,22,76,23,76,24,75,25,74,26,74,27,75,28,76,29,75,30,74,31,73,32,70,33,68,34
Kevin Gameiro,K. Gameiro,176600,['ST'],France,FC Lorient,84,76,22,78,23,83,24,79,25,78,26,79,27,79,28,83,29,83,30,81,31,81,32,79,33,77,34
Bruno Pereirinha,Bruno Pereirinha,176031,['RM'],Portugal,Sporting CP,84,76,21,75,22,74,23,72,24,70,25,69,26,,,,,71,29,,,,,,,,
Kevin Prince Boateng,K. Boateng,173909,['CM'],Germany,Portsmouth,84,75,22,78,23,82,24,85,25,81,26,80,27,78,28,79,29,80,30,81,31,79,32,78,33,78,34
Adrian,Adrian,173818,['ST'],Spain,Deportivo de La Coruña,84,73,21,74,22,75,23,79,24,77,25,78,26,76,27,77,28,75,29,77,30,76,31,75,32,,
Mark Randall,M. Randall,173538,['CM'],England,Arsenal,84,71,19,66,20,61,21,60,22,,,60,24,61,25,62,26,62,27,62,28,,,,,,
Sebastien Bassong,S. Bassong,172949,['CB'],France,Tottenham Hotspur,84,78,22,78,23,75,24,74,25,75,26,74,27,75,28,74,29,,,68,31,,,,,,
