Player name,Known as,player_id,position,nationality,team,Fifa 14 Potential rating,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Marcos Paulo Mesquita Lopes,Marcos Lopes,212692,['CAM'],Portugal,Manchester City,83,63,17,65,18,73,19,76,20,77,21,80,22,80,23,78,24,76,25
Domenico Berardi,D. Berardi,210935,"['RW', 'LW']",Italy,U.S. Sassuolo Calcio,83,72,18,74,19,80,20,82,21,81,22,78,23,78,24,80,25,82,26
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,Roma,83,68,18,71,19,75,20,78,21,79,22,82,23,83,24,83,25,82,26
Angelo Henriquez,A. Henríquez,210296,['ST'],Chile,Real Zaragoza,83,72,19,,,73,21,,,,,72,24,71,25,,,,
Adrien Rabiot,A. Rabiot,210008,['CM'],France,Paris Saint-Germain,83,70,18,73,19,76,20,78,21,80,22,83,23,83,24,81,25,81,26
Raphael Guerreiro,R. Guerreiro,209889,"['LB', 'LM']",France,FC Lorient,83,66,19,70,20,76,21,76,22,81,23,79,24,81,25,84,26,84,27
Rondinelly De Andrade Silva,Rondinelly,209266,"['RM', 'LM', 'CM']",Brazil,Palmeiras,83,69,22,,,,,,,,,,,,,,,,
Emre Can,E. Can,208333,"['CM', 'CDM', 'LM', 'LB']",Germany,Bayer 04 Leverkusen,83,68,19,74,20,75,21,80,22,79,23,80,24,81,25,82,26,82,27
Eduardo Vargas,E. Vargas,206655,"['ST', 'LW']",Chile,Grêmio,83,77,23,77,24,78,25,77,26,75,27,76,28,77,29,75,30,,
Will Hughes,W. Hughes,206516,"['CM', 'LM']",England,Derby County,83,68,18,70,19,73,20,74,21,75,22,76,23,77,24,76,25,76,26
Rodrigo F De Souza Santos,Frauches,206007,['CB'],Brazil,Flamengo,83,67,20,,,,,,,,,,,,,,,,
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,83,72,19,72,20,78,21,79,22,77,23,76,24,75,25,77,26,73,27
Stefanos Kapino,S. Kapino,205878,['GK'],Greece,Panathinaikos FC,83,72,19,72,20,73,21,75,22,77,23,73,24,73,25,73,26,73,27
Christian Atsu,C. Atsu,205601,['LW'],Ghana,FC Porto,83,76,21,75,22,76,23,76,24,75,25,75,26,74,27,74,28,72,29
Luiz Frello Filho Jorge,Jorginho,205498,['CM'],Brazil,Hellas Verona,83,72,21,75,22,77,23,81,24,81,25,84,26,83,27,83,28,85,29
Arkadiusz Milik,A. Milik,205175,"['ST', 'CF', 'LW']",Poland,FC Augsburg,83,68,19,69,20,77,21,79,22,79,23,80,24,83,25,81,26,81,27
Samed Yesil,S. Yesil,204782,"['ST', 'CF']",Germany,Liverpool,83,64,19,63,20,64,21,,,,,63,24,,,,,,
Stefan Savic,S. Savić,204639,['CB'],Montenegro,Fiorentina,83,76,22,78,23,81,24,82,25,82,26,83,27,82,28,81,29,84,30
Michy Batshuayi,M. Batshuayi,204529,['ST'],Belgium,Standard de Liège,83,71,19,76,20,78,21,81,22,80,23,81,24,79,25,78,26,76,27
Inigo Martinez Berridi,Iñigo Martínez,204525,['CB'],Spain,Real Sociedad,83,80,22,80,23,81,24,81,25,82,26,79,27,80,28,80,29,81,30
Jores Okore,J. Okore,204163,"['CB', 'RB']",Denmark,Aston Villa,83,73,20,73,21,77,22,77,23,73,24,72,25,72,26,,,70,28
Lucas Andersen,L. Andersen,203903,"['RW', 'LW']",Denmark,Ajax,83,69,18,71,19,73,20,72,21,76,22,73,23,75,24,76,25,73,26
Massimo Bruno,M. Bruno,203633,"['RW', 'RM']",Belgium,RSC Anderlecht,83,72,19,72,20,74,21,72,22,72,23,71,24,72,25,73,26,,
Leonardo Bittencourt,L. Bittencourt,203106,"['CAM', 'CM', 'RM', 'CF']",Germany,Hannover 96,83,69,19,74,20,75,21,77,22,78,23,79,24,77,25,77,26,75,27
Kyle Ebecilio,K. Ebecilio,202802,"['CM', 'CAM']",Netherlands,FC Twente,83,65,19,72,20,72,21,70,22,,,66,24,,,,,,
Simone Zaza,S. Zaza,202685,['ST'],Italy,U.S. Sassuolo Calcio,83,72,22,74,23,78,24,80,25,80,26,82,27,80,28,77,29,76,30
Jesus Fernandez Saez,Suso,202651,"['RM', 'RM', 'CAM', 'LM']",Spain,Unión Deportiva Almería,83,74,19,74,20,74,21,77,22,82,23,82,24,82,25,81,26,82,27
Luiz Eduardo Felix Da Costa,Luiz Eduardo,202561,"['CB', 'LB', 'RB']",Brazil,Clube Náutico Capibaribe,83,67,20,,,,,,,,,,,,,,,,
Jese Rodriguez Ruiz,Jesé Rodríguez,202515,"['ST', 'CF', 'LM', 'RM']",Spain,Real Madrid CF,83,72,20,76,21,78,22,80,23,77,24,76,25,75,26,72,27,71,28
Ryo Miyaichi,R. Miyaichi,202053,"['RW', 'LW', 'RM']",Japan,Arsenal,83,71,20,67,21,69,22,70,23,67,24,65,25,68,26,69,27,67,28
Vladimir Darida,V. Darida,201262,"['CM', 'CDM', 'CAM']",Czech Republic,Sport-Club Freiburg,83,77,22,77,23,76,24,79,25,79,26,78,27,76,28,77,29,76,30
Andre Renato Soares Martins,André Martins,200962,"['CM', 'CAM']",Portugal,Sporting CP,83,74,23,75,24,76,25,76,26,74,27,,,73,29,70,30,70,31
Juan Guilherme Nunes Jesus,Juan Jesus,200752,['CB'],Brazil,Inter,83,78,22,78,23,79,24,75,25,77,26,78,27,76,28,74,29,74,30
Kevin Volland,K. Volland,200610,"['CF', 'ST', 'CAM', 'LW']",Germany,TSG Hoffenheim,83,77,20,79,21,80,22,81,23,80,24,81,25,82,26,81,27,83,28
Thomas Ince,T. Ince,200521,"['RW', 'LW']",England,Blackpool,83,74,21,72,22,74,23,73,24,74,25,73,26,72,27,70,28,68,29
Lucas Digne,L. Digne,200458,['LB'],France,Paris Saint-Germain,83,75,19,76,20,76,21,79,22,79,23,78,24,83,25,84,26,84,27
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,SL Benfica,83,74,20,77,21,81,22,87,23,88,24,90,25,91,26,91,27,91,28
Cristian Tello Herrera,Cristian Tello,200315,"['LW', 'RW', 'CF', 'ST']",Spain,FC Barcelona,83,79,21,78,22,79,23,78,24,77,25,80,26,80,27,78,28,79,29
Heung Min Son,H. Son,200104,"['ST', 'LM', 'RM', 'CF']",Korea Republic,Bayer 04 Leverkusen,83,76,20,76,21,77,22,78,23,82,24,84,25,87,26,87,27,89,28
Romulo Borges Monteiro,Rômulo,199935,"['CDM', 'CM']",Brazil,Spartak Moskva,83,75,22,75,23,76,24,77,25,,,,,,,76,29,,
Granit Xhaka,G. Xhaka,199503,"['CM', 'CAM']",Switzerland,Borussia Mönchengladbach,83,74,20,76,21,81,22,84,23,82,24,81,25,81,26,80,27,79,28
Danilo Luiz Da Silva,Danilo,199304,['RB'],Brazil,FC Porto,83,77,21,77,22,81,23,80,24,78,25,79,26,79,27,79,28,81,29
Pablo Sarabia Garcia,Pablo Sarabia,198950,"['RM', 'LM']",Spain,Getafe CF,83,70,21,70,22,73,23,78,24,80,25,81,26,83,27,81,28,80,29
Jonathan Williams,J. Williams,198776,"['CAM', 'LW', 'RW', 'CM']",Wales,Wales,83,70,19,70,20,72,21,73,22,71,23,70,24,69,25,69,26,68,27
Saphir Taider,S. Taïder,198760,"['CM', 'CDM', 'CAM']",Algeria,Inter,83,74,21,75,22,75,23,75,24,75,25,75,26,76,27,75,28,,
Nathan Redmond,N. Redmond,198719,"['RM', 'LM']",England,Norwich City,83,70,19,73,20,74,21,75,22,77,23,75,24,77,25,78,26,76,27
Josh Mceachran,J. McEachran,198704,"['CM', 'CDM']",England,Chelsea,83,71,20,70,21,72,22,72,23,69,24,69,25,,,68,27,64,28
Manolo Gabbiadini,M. Gabbiadini,198683,"['ST', 'CF', 'CAM']",Italy,U.C. Sampdoria,83,75,21,75,22,78,23,81,24,79,25,77,26,76,27,75,28,75,29
Matej Vydra,M. Vydra,198331,"['ST', 'RW', 'LW']",Czech Republic,West Bromwich Albion,83,74,21,73,22,73,23,72,24,70,25,74,26,73,27,73,28,74,29
Stefan De Vrij,S. de Vrij,198176,['CB'],Netherlands,Feyenoord,83,76,21,78,22,82,23,82,24,83,25,84,26,84,27,84,28,85,29
Mattia Perin,M. Perin,198009,['GK'],Italy,Genoa,83,76,20,76,21,81,22,83,23,83,24,84,25,82,26,82,27,80,28
Jordan Ayew,J. Ayew,197756,"['ST', 'RW']",Ghana,Olympique de Marseille,83,75,21,73,22,76,23,77,24,76,25,77,26,75,27,77,28,75,29
Luca Marrone,L. Marrone,194753,"['CB', 'CDM']",Italy,Juventus,83,70,23,70,24,72,25,74,26,73,27,73,28,71,29,70,30,70,31
Martin Montoya Torralbo,Montoya,194644,['RB'],Spain,FC Barcelona,83,77,22,77,23,79,24,79,25,77,26,78,27,76,28,77,29,75,30
Francesco Bardi,F. Bardi,193786,['GK'],Italy,Livorno,83,74,21,74,22,75,23,76,24,76,25,74,26,73,27,,,73,29
Izet Hajrovic,I. Hajrovic,193780,['RM'],Bosnia and Herzegovina,Grasshopper Club Zürich,83,74,21,75,22,74,23,72,24,72,25,68,26,72,27,68,28,,
Adam Matthews,A. Matthews,193768,"['RB', 'RM', 'LB']",Wales,Celtic,83,71,21,72,22,74,23,72,24,71,25,69,26,,,,,67,29
Mario Figueira Fernandes,Mário Fernandes,193525,['RB'],Brazil,PFC CSKA Moscow,83,75,22,76,23,79,24,80,25,81,26,81,27,82,28,82,29,82,30
Remy Cabella,R. Cabella,193476,['CAM'],France,Montpellier Hérault SC,83,76,23,79,24,79,25,80,26,75,27,78,28,,,,,,
Alphonse Areola,A. Aréola,193105,['GK'],France,Racing Club de Lens,83,65,20,72,21,74,22,81,23,79,24,81,25,82,26,82,27,82,28
Ciro Immobile,C. Immobile,192387,['ST'],Italy,Torino F.C.,83,75,23,80,24,79,25,80,26,82,27,87,28,86,29,87,30,87,31
Connor Wickham,C. Wickham,191089,['ST'],England,Sunderland,83,69,20,72,21,73,22,74,23,72,24,72,25,70,26,69,27,66,28
Chris Smalling,C. Smalling,189881,"['CB', 'RB']",England,Manchester United,83,78,23,76,24,79,25,84,26,81,27,81,28,80,29,79,30,78,31
Tom Cleverley,T. Cleverley,189725,"['CAM', 'CM', 'LM', 'CDM']",England,Manchester United,83,78,23,74,24,77,25,78,26,76,27,76,28,76,29,75,30,74,31
Iker Muniain Goni,Muniaín,189575,"['CAM', 'LW']",Spain,Athletic Club de Bilbao,83,78,20,80,21,80,22,78,23,78,24,80,25,82,26,83,27,83,28
Nelson Miguel Castro Oliveira,Nélson Oliveira,189303,"['ST', 'CF']",Portugal,Stade Rennais FC,83,73,21,73,22,74,23,,,74,25,73,26,73,27,75,28,73,29
Aleksandar Dragovic,A. Dragović,189060,['CB'],Austria,Austria,83,74,22,75,23,78,24,79,25,77,26,77,27,77,28,75,29,76,30
Kevin Trapp,K. Trapp,188943,['GK'],Germany,Eintracht Frankfurt,83,79,22,80,23,82,24,83,25,82,26,80,27,83,28,83,29,82,30
Abel Hernandez,A. Hernández,188484,['ST'],Uruguay,Uruguay,83,74,22,72,23,74,24,76,25,75,26,75,27,,,,,73,30
Kyle Walker,K. Walker,188377,['RB'],England,Tottenham Hotspur,83,79,23,77,24,79,25,81,26,83,27,84,28,84,29,85,30,85,31
James Mccarthy,J. McCarthy,188253,"['CM', 'CDM', 'CAM']",Republic of Ireland,Republic of Ireland,83,75,22,79,23,80,24,81,25,80,26,78,27,75,28,76,29,74,30
Leroy Fer,L. Fer,186351,"['CM', 'CDM', 'CAM']",Netherlands,Norwich City,83,76,23,76,24,76,25,76,26,77,27,76,28,73,29,76,30,75,31
Fabio Borini,F. Borini,186200,"['ST', 'LW', 'RW']",Italy,Liverpool,83,75,22,74,23,76,24,76,25,76,26,76,27,76,28,76,29,76,30
Wojciech Szczesny,W. Szczęsny,186153,['GK'],Poland,Arsenal,83,79,23,80,24,79,25,79,26,82,27,83,28,86,29,87,30,87,31
Danny Welbeck,D. Welbeck,186146,"['ST', 'CF', 'LM']",England,Manchester United,83,78,22,78,23,79,24,80,25,80,26,77,27,78,28,74,29,73,30
Miroslav Stoch,M. Stoch,186119,"['LW', 'LM', 'RM', 'RW']",Slovakia,PAOK,83,78,23,,,76,25,74,26,,,74,28,76,29,74,30,,
Kieran Gibbs,K. Gibbs,186115,['LB'],England,Arsenal,83,78,23,78,24,80,25,80,26,78,27,77,28,75,29,75,30,72,31
Mamadou Sakho,M. Sakho,183285,['CB'],France,Paris Saint-Germain,83,81,23,81,24,81,25,82,26,81,27,80,28,79,29,76,30,75,31
Georginio Wijnaldum,G. Wijnaldum,181291,"['CAM', 'RW']",Netherlands,PSV,83,78,22,78,23,80,24,81,25,82,26,82,27,84,28,85,29,84,30
Daniel Sturridge,D. Sturridge,171833,"['ST', 'RW']",England,Liverpool,83,80,23,83,24,83,25,84,26,82,27,80,28,,,,,75,31
Vinicius De Freitas Ribeiro,Vinícius,216410,"['LB', 'LM']",Brazil,Lazio,82,67,20,63,21,66,22,,,67,24,,,,,,,,
Lucas Melano,L. Melano,215266,['ST'],Argentina,Club Atlético Lanús,82,70,20,72,21,73,22,72,23,70,24,70,25,67,26,66,27,69,28
Sebastian Ubilla,S. Ubilla,214418,"['ST', 'RW']",Chile,Universidad de Chile,82,68,22,68,23,71,24,70,25,,,70,27,70,28,,,,
Sebastian Martinez,S. Martínez,214413,['CM'],Chile,Universidad de Chile,82,64,19,69,20,73,21,72,22,,,,,69,25,68,27,65,28
Eder Alvarez Balanta,É. Álvarez Balanta,213899,"['CB', 'LB', 'CDM']",Colombia,River Plate,82,72,20,75,21,75,22,75,23,76,24,76,25,75,26,76,27,75,28
Tiago Rafael Maia Silva,Tiago Silva,212474,"['CM', 'CAM', 'LM']",Portugal,Belenenses SAD,82,68,20,71,21,71,22,72,23,72,24,74,25,73,26,72,27,71,28
Aymeric Laporte,A. Laporte,212218,['CB'],France,Athletic Club de Bilbao,82,72,19,81,20,83,21,84,22,84,23,83,24,87,25,87,26,86,27
Neal Maupay,N. Maupay,211784,"['ST', 'RW']",France,OGC Nice,82,63,16,64,17,70,18,69,19,71,20,70,21,75,22,77,23,77,24
Danilo Cataldi,D. Cataldi,211361,"['CM', 'CAM']",Italy,Crotone,82,67,18,67,19,73,20,75,21,75,22,75,23,75,24,73,25,73,26
Dario Del Fabro,D. Del Fabro,211067,['CB'],Italy,Cagliari,82,62,18,68,19,67,20,68,21,67,22,68,23,66,24,,,65,26
Joao Pedro Cavaco Cancelo,João Cancelo,210514,['RB'],Portugal,SL Benfica,82,68,19,70,20,73,21,79,22,79,23,81,24,84,25,83,26,86,27
Lucas Silva Borges,Lucas Silva,209749,"['CDM', 'CM']",Brazil,Cruzeiro,82,68,20,,,76,22,74,23,,,,,74,26,,,,
Romario Ricardo Da Silva,Romarinho,209440,"['CAM', 'ST']",Brazil,Sport Club Corinthians Paulista,82,71,22,,,,,,,,,,,73,28,74,29,77,30
Tony Everton Ramos Da Silva,Tony,209328,"['RB', 'RWB']",Brazil,Criciúma,82,67,23,,,,,,,,,,,,,,,,
Saul Niguez Esclapez,Saúl,208421,"['CM', 'CAM', 'CF']",Spain,Rayo Vallecano,82,71,18,74,19,76,20,80,21,82,22,85,23,85,24,84,25,82,26
Matthias Ginter,M. Ginter,207862,"['CB', 'CDM', 'CM', 'CF']",Germany,Sport-Club Freiburg,82,75,19,77,20,77,21,77,22,78,23,80,24,81,25,82,26,84,27
Filipe Augusto Carvalho Souza,Filipe Augusto,207733,"['CM', 'CAM']",Brazil,Rio Ave FC,82,68,19,71,20,73,21,73,22,74,23,73,24,72,25,75,26,73,27
Bryan Carrasco,B. Carrasco,207641,"['RM', 'RB']",Chile,Audax Italiano,82,69,22,67,23,67,24,67,25,,,72,27,69,28,,,67,30
Mitchell Weiser,M. Weiser,206591,"['RM', 'LM', 'RB', 'LB']",Germany,FC Bayern München,82,66,19,66,20,71,21,76,22,78,23,78,24,77,25,76,26,73,27
Nicola Murru,N. Murru,205934,['LB'],Italy,Cagliari,82,67,18,71,19,71,20,71,21,70,22,72,23,73,24,73,25,72,26
Borys Tashchi,B. Tashchi,205892,['CAM'],Ukraine,Dinamo Moscow,82,62,19,,,,,65,22,66,23,70,24,69,25,66,26,66,27
Lucas Ocampos,L. Ocampos,205632,"['LW', 'RW']",Argentina,AS Monaco,82,73,18,75,19,77,20,75,21,76,22,77,23,77,24,82,25,83,26
Samuel Umtiti,S. Umtiti,205600,"['CB', 'LB']",France,Olympique Lyonnais,82,74,19,76,20,79,21,82,22,83,23,87,24,86,25,83,26,80,27
Gary Mackay Steven,G. Mackay-Steven,204820,"['LM', 'LW', 'RM', 'CF']",Scotland,Dundee United,82,72,22,70,23,70,24,70,25,68,26,70,27,69,28,69,29,67,30
Santiago Arias,S. Arias,204259,['RB'],Colombia,PSV,82,71,21,72,22,76,23,77,24,77,25,78,26,79,27,81,28,79,29
Bruno Zuculini,B. Zuculini,203864,['CM'],Argentina,Racing Club,82,68,20,73,21,74,22,,,71,24,70,25,75,26,73,27,74,28
Hector Bellerin Moruno,Héctor Bellerín,203747,['RB'],Spain,Arsenal,82,56,18,61,19,74,20,79,21,81,22,80,23,80,24,80,25,78,26
Ayanda Patosi,A. Patosi,203632,['LW'],South Africa,Sporting Lokeren,82,70,20,68,21,72,22,73,23,,,,,,,,,,
Alessandro Florenzi,A. Florenzi,203551,"['CM', 'RM', 'LM']",Italy,Roma,82,74,22,76,23,77,24,82,25,82,26,82,27,81,28,81,29,81,30
Thorgan Hazard,T. Hazard,203486,"['LM', 'CAM']",Belgium,SV Zulte Waregem,82,74,20,76,21,78,22,79,23,80,24,81,25,82,26,83,27,82,28
Ogenyi Onazi,O. Onazi,202934,['CM'],Nigeria,Lazio,82,74,20,75,21,75,22,75,23,74,24,75,25,76,26,74,27,,
Memphis Depay,M. Depay,202556,"['LW', 'RW']",Netherlands,PSV,82,73,19,78,20,81,21,80,22,80,23,83,24,84,25,85,26,85,27
Tom Carroll,T. Carroll,202491,['CM'],England,Tottenham Hotspur,82,69,21,69,22,71,23,72,24,73,25,74,26,71,27,,,65,29
Gerard Deulofeu Lazaro,Deulofeu,202477,"['RW', 'LW']",Spain,Everton,82,75,19,79,20,78,21,81,22,82,23,81,24,80,25,80,26,79,27
Jordan Veretout,J. Veretout,201519,"['CM', 'CDM']",France,FC Nantes,82,70,20,72,21,76,22,76,23,77,24,78,25,78,26,79,27,81,28
Frederik Sorensen,F. Sørensen,201342,"['CB', 'RB']",Denmark,Bologna,82,73,21,71,22,74,23,75,24,77,25,74,26,72,27,71,28,,
Gabriel Armando De Abreu,Gabriel,201305,"['CB', 'RB', 'LB']",Brazil,Villarreal CF,82,72,22,72,23,78,24,79,25,79,26,82,27,82,28,82,29,82,30
Sergey Bryzgalov,S. Bryzgalov,201165,"['CB', 'CDM']",Russia,Spartak Moskva,82,70,20,70,21,71,22,71,23,70,24,,,,,,,,
Ravel Morrison,R. Morrison,201155,"['CM', 'LM', 'RM']",England,West Ham United,82,68,20,74,21,76,22,77,23,74,24,,,76,26,,,72,28
Alvaro Borja Morata Martin,Morata,201153,['ST'],Spain,Real Madrid CF,82,76,20,77,21,81,22,82,23,84,24,83,25,83,26,82,27,83,28
Bartlomiej Pawlowski,B. Pawłowski,201114,"['CF', 'LM']",Poland,Málaga CF,82,68,20,67,21,63,22,67,23,67,24,68,25,71,26,70,27,66,28
Dale Jennings,D. Jennings,200666,"['LW', 'RW', 'ST']",England,Barnsley,82,63,20,62,21,63,22,,,,,,,,,,,,
Nacer Chadli,N. Chadli,200529,"['LW', 'CAM']",Belgium,Tottenham Hotspur,82,78,23,77,24,79,25,78,26,78,27,78,28,75,29,78,30,77,31
Luis Pedro Cavanda,L. Cavanda,200434,"['RB', 'LB']",Angola,Lazio,82,72,22,72,23,75,24,74,25,72,26,71,27,70,28,,,,
Sebastian Rode,S. Rode,200215,"['CDM', 'CM', 'RM']",Germany,Eintracht Frankfurt,82,77,22,77,23,79,24,80,25,78,26,77,27,78,28,77,29,77,30
Nicolas Blandi,N. Blandi,200197,['ST'],Argentina,Boca Juniors,82,71,23,72,24,72,25,74,26,77,27,76,28,75,29,73,30,63,31
Carlos Henrique Casemiro,C. Casemiro,200145,"['CM', 'CDM']",Brazil,Real Madrid CF,82,77,21,76,22,77,23,82,24,85,25,88,26,87,27,89,28,89,29
Aras Ozbiliz,A. Özbiliz,200106,['RM'],Armenia,Spartak Moskva,82,76,23,77,24,77,25,74,26,73,27,73,28,73,29,,,,
Anthony Lopes,A. Lopes,199482,['GK'],Portugal,Olympique Lyonnais,82,72,22,76,23,81,24,83,25,83,26,84,27,85,28,83,29,82,30
Jordy Clasie,J. Clasie,199422,['CM'],Netherlands,Feyenoord,82,76,22,76,23,78,24,78,25,77,26,76,27,76,28,74,29,72,30
Grzegorz Krychowiak,G. Krychowiak,197242,['CDM'],Poland,Stade de Reims,82,76,23,79,24,82,25,84,26,81,27,78,28,78,29,80,30,80,31
Emmanuel Mayuka,E. Mayuka,196819,"['ST', 'LW', 'RW']",Zambia,Southampton,82,71,22,71,23,70,24,,,,,,,,,,,,
Marco Davide Faraoni,M. Faraoni,195272,"['RM', 'RB', 'RWB']",Italy,Watford,82,72,21,69,22,69,23,71,24,70,25,70,26,71,27,74,28,77,29
Willian Jose Da Silva,Willian José,195093,"['ST', 'CF']",Brazil,Santos,82,71,21,,,70,23,78,24,82,25,83,26,82,27,80,28,77,29
Dejan Lovren,D. Lovren,195086,['CB'],Croatia,Southampton,82,78,23,79,24,79,25,82,26,81,27,81,28,80,29,,,,
Alper Potuk,A. Potuk,194079,"['CM', 'CAM', 'CDM']",Turkey,Turkey,82,76,22,76,23,76,24,77,25,77,26,76,27,75,28,72,29,70,30
