Player name,Known as,player_id,position,nationality,team,Fifa 18 Potential rating,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Samuel Castillejo Azuaga,Samu Castillejo,210617,"['RM', 'LM']",Spain,Villarreal CF,85,80,22,83,23,80,24,79,25,77,26
Marc Stendera,M. Stendera,210583,"['CAM', 'CM', 'CDM']",Germany,Eintracht Frankfurt,85,76,21,74,22,73,23,,,69,25
Nathan Ake,N. Aké,208920,"['CB', 'LB']",Netherlands,AFC Bournemouth,85,75,22,79,23,80,24,79,25,78,26
Oliver Torres Munoz,Óliver Torres,208777,['CM'],Spain,FC Porto,85,79,22,78,23,78,24,77,25,77,26
Emre Can,E. Can,208333,"['CM', 'CDM']",Germany,Liverpool,85,79,23,80,24,81,25,82,26,82,27
Mitchell Weiser,M. Weiser,206591,"['RB', 'RM']",Germany,Hertha BSC,85,78,23,78,24,77,25,76,26,73,27
Jordan Pickford,J. Pickford,204935,['GK'],England,Everton,85,77,23,83,24,83,25,81,26,83,27
Michy Batshuayi,M. Batshuayi,204529,['ST'],Belgium,Chelsea,85,80,23,81,24,79,25,78,26,76,27
Mbaye Niang,M. Niang,204077,"['LW', 'ST']",France,AC Milan,85,78,22,77,23,77,24,78,25,76,26
John Stones,J. Stones,203574,['CB'],England,Manchester City,85,79,23,82,24,83,25,80,26,83,27
Memphis Depay,M. Depay,202556,"['LW', 'LM']",Netherlands,Olympique Lyonnais,85,80,23,83,24,84,25,85,26,85,27
Francisco Alcacer Garcia,Paco Alcácer,200454,['ST'],Spain,FC Barcelona,85,79,23,79,24,83,25,81,26,81,27
Alex Oxlade Chamberlain,A. Oxlade-Chamberlain,198784,"['RM', 'LM', 'RWB']",England,Arsenal,85,80,23,80,24,80,25,79,26,79,27
Nathan Redmond,N. Redmond,198719,"['LM', 'RM', 'ST']",England,Southampton,85,77,23,75,24,77,25,78,26,76,27
Leonardo Rodrigues Lima,Léo Jabá,239953,"['ST', 'LM']",Brazil,Terek Grozny,84,69,18,69,19,73,20,72,21,71,22
Mickael Cuisance,M. Cuisance,239744,['CM'],France,Borussia Mönchengladbach,84,61,17,72,18,72,19,71,20,73,21
Jonathan Gonzalez,J. González,239475,"['CM', 'CDM']",United States,CF Monterrey,84,68,18,71,19,71,20,70,21,70,22
Rekeem Harper,R. Harper,238958,['CM'],England,West Bromwich Albion,84,61,17,61,18,68,19,67,20,67,21
Phil Foden,P. Foden,237692,['CAM'],England,Manchester City,84,65,17,73,18,76,19,79,20,84,21
Alessandro Bastoni,A. Bastoni,237383,['CB'],Italy,Atalanta,84,64,18,67,19,72,20,75,21,80,22
Juan Foyth,J. Foyth,237221,['CB'],Argentina,Estudiantes de La Plata,84,66,19,70,20,74,21,75,22,75,23
Gian Luca Itter,G. Itter,237024,['LB'],Germany,VfL Wolfsburg,84,64,18,67,19,67,20,68,21,68,22
Aymen Barkok,A. Barkok,236624,"['RM', 'CAM']",Germany,Eintracht Frankfurt,84,68,19,69,20,70,21,69,22,73,23
Dante Rigo,D. Rigo,236615,['CM'],Belgium,PSV,84,66,18,66,19,66,20,66,21,65,22
Moise Kean,M. Kean,236610,['ST'],Italy,Juventus,84,64,17,71,18,76,19,74,20,79,21
Ghislain Konan,G. Konan,235634,['LB'],Côte d'Ivoire,Vitória de Guimarães,84,76,21,75,22,75,23,76,24,75,25
Johannes Eggestein,J. Eggestein,234399,['ST'],Germany,SV Werder Bremen,84,66,19,66,20,73,21,69,22,72,23
Myziane Maolida,M. Maolida,234333,['ST'],France,Olympique Lyonnais,84,66,18,69,19,72,20,69,21,71,22
David Carmona Sierra,David Carmona,234151,"['RB', 'RM']",Spain,Sevilla Atlético,84,70,20,68,21,67,22,65,23,,
Ronaldo Vieira Nan,Ronaldo Vieira,233943,"['CDM', 'CM']",Guinea Bissau,Leeds United,84,70,18,70,19,72,20,72,21,71,22
Alexander Isak,A. Isak,233731,['ST'],Sweden,Borussia Dortmund,84,68,17,69,18,74,19,79,20,82,21
Riccardo Orsolini,R. Orsolini,233556,"['RW', 'RM']",Italy,Atalanta,84,69,20,72,21,76,22,75,23,76,24
Blas Riveros,B. Riveros,233476,['LB'],Paraguay,FC Basel 1893,84,68,19,69,20,70,21,69,22,67,23
Raphael Dias Belloli,Raphinha,233419,['LM'],Brazil,Vitória de Guimarães,84,76,20,79,21,79,22,81,23,82,24
Kubilay Kanatsizkus,K. Kanatsızkuş,232329,['ST'],Turkey,Bursaspor,84,70,20,70,21,,,,,68,24
Caglar Soyuncu,Ç. Söyüncü,232119,['CB'],Turkey,Sport-Club Freiburg,84,74,21,75,22,74,23,80,24,80,25
Jack Harrison,J. Harrison,232080,['RW'],England,New York City FC,84,70,20,70,21,71,22,74,23,78,24
Justin Hoogma,J. Hoogma,231823,['CB'],Netherlands,TSG Hoffenheim,84,71,19,71,20,69,21,72,22,69,23
Landry Dimata,L. Dimata,231745,['ST'],Belgium,VfL Wolfsburg,84,72,19,72,20,75,21,72,22,74,23
Javier Ontiveros Parra,Javi Ontiveros,231640,"['RM', 'LM']",Spain,Málaga CF,84,71,19,71,20,74,21,75,22,74,23
Axel Tuanzebe,A. Tuanzebe,231485,"['CB', 'CDM']",England,Manchester United,84,73,19,,,73,21,73,22,74,23
Diogo Antonio Cupido Goncalves,Diogo Gonçalves,231390,"['LM', 'RM']",Portugal,SL Benfica,84,73,20,73,21,71,22,75,23,76,24
Trent Alexander Arnold,T. Alexander-Arnold,231281,"['RB', 'RM', 'CM']",England,Liverpool,84,68,18,78,19,83,20,87,21,87,22
Ludovic Blas,L. Blas,231102,['RM'],France,En Avant de Guingamp,84,73,19,75,20,76,21,76,22,77,23
Leandro Henrique Nascimento,Leandrinho,230740,['CAM'],Brazil,Napoli,84,65,18,,,,,,,,
Joao Maria Palhinha Goncalves,Palhinha,229391,"['CDM', 'CM']",Portugal,Sporting CP,84,76,21,,,76,23,78,24,82,25
Dalbert Chagas Estevao,Dalbert,229148,"['LB', 'LWB', 'LM']",Brazil,Inter,84,77,23,76,24,76,25,73,26,71,27
Andre Green,A. Green,228814,"['LM', 'LW']",England,Aston Villa,84,68,18,68,19,68,20,,,67,22
Francisco Geraldes,Francisco Geraldes,228650,"['CAM', 'CM', 'LW']",Portugal,Rio Ave FC,84,75,22,76,23,74,24,71,25,71,26
Borja Mayoral Moya,Borja Mayoral,228635,['ST'],Spain,Real Madrid CF,84,72,20,74,21,77,22,76,23,76,24
Felix Passlack,F. Passlack,228080,"['RB', 'RM', 'LB']",Germany,Borussia Dortmund,84,69,19,69,20,68,21,68,22,70,23
Yeray Alvarez Lopez,Yeray,227950,['CB'],Spain,Athletic Club de Bilbao,84,78,22,77,23,80,24,80,25,81,26
Daniel Castelo Podence,Daniel Podence,226766,"['CF', 'RM']",Portugal,Sporting CP,84,76,21,76,22,78,23,78,24,78,25
Kieran Dowell,K. Dowell,226401,"['CAM', 'RW', 'LW']",England,Nottingham Forest,84,68,19,71,20,70,21,69,22,71,23
Thilo Kehrer,T. Kehrer,226229,"['CB', 'RB', 'LB']",Germany,FC Schalke 04,84,71,20,77,21,79,22,77,23,76,24
Aritz Elustondo,Aritz Elustondo,226221,"['RB', 'CB']",Spain,Real Sociedad,84,77,23,75,24,77,25,76,26,79,27
Steven Bergwijn,S. Bergwijn,225953,"['RW', 'LW']",Netherlands,PSV,84,74,19,76,20,82,21,83,22,80,23
Alexandr Golovin,A. Golovin,225663,"['CM', 'CDM', 'LM']",Russia,PFC CSKA Moscow,84,76,21,79,22,79,23,79,24,79,25
Oliver Burke,O. Burke,225632,"['RM', 'ST']",Scotland,RB Leipzig,84,70,20,70,21,69,22,67,23,68,24
Mikel Merino Zazon,Merino,225193,"['CDM', 'CB', 'CM']",Spain,Newcastle United,84,74,21,75,22,79,23,80,24,83,25
Adrian Marin Gomez,Marín,224921,"['LB', 'LWB']",Spain,Villarreal CF,84,73,20,72,21,72,22,73,23,73,24
Lewis Cook,L. Cook,224294,"['CAM', 'CM']",England,AFC Bournemouth,84,71,20,77,21,77,22,75,23,75,24
Cristian Pavon,C. Pavón,224254,"['RW', 'RM', 'ST']",Argentina,Boca Juniors,84,75,21,79,22,79,23,79,24,78,25
Ramy Bensebaini,R. Bensebaini,224196,"['CB', 'LB']",Algeria,Stade Rennais FC,84,76,22,75,23,77,24,79,25,79,26
Valentin Rongier,V. Rongier,223874,"['CM', 'CDM']",France,FC Nantes,84,78,22,78,23,80,24,80,25,77,26
Enes Unal,E. Ünal,223197,['ST'],Turkey,Villarreal CF,84,74,20,78,21,77,22,75,23,75,24
Dimitri Oberlin,D. Oberlin,223151,['ST'],Switzerland,FC Basel 1893,84,69,19,70,20,69,21,68,22,64,23
Jorge Mere Perez,Jorge Meré,223033,['CB'],Spain,1. FC Köln,84,78,20,77,21,77,22,72,23,72,24
Rick Karsdorp,R. Karsdorp,222558,['RB'],Netherlands,Roma,84,78,22,76,23,75,24,75,25,78,26
Andres Cubas,A. Cubas,222429,['CDM'],Argentina,Defensa y Justicia,84,74,21,72,22,74,23,75,24,75,25
Harry Winks,H. Winks,222400,"['CM', 'CDM', 'CAM']",England,Tottenham Hotspur,84,72,21,75,22,80,23,79,24,77,25
Lukas Klostermann,L. Klostermann,222331,['RB'],Germany,RB Leipzig,84,72,21,75,22,79,23,80,24,80,25
Patrick Roberts,P. Roberts,221982,['RM'],England,Manchester City,84,73,20,74,21,74,22,73,23,71,24
Nico Elvedi,N. Elvedi,221491,"['CB', 'RB']",Switzerland,Borussia Mönchengladbach,84,74,20,76,21,78,22,78,23,79,24
Donny Van De Beek,D. van de Beek,221363,"['CM', 'CDM']",Netherlands,Ajax,84,76,20,77,21,81,22,83,23,81,24
Pablo Maffeo Becerra,Pablo Maffeo,221342,"['RB', 'RWB', 'RM']",Spain,Girona FC,84,71,19,78,20,74,21,74,22,75,23
Rafael Santos Borre,R. Borré,220883,['ST'],Colombia,River Plate,84,75,21,74,22,77,23,78,24,78,25
Erick Gutierrez,E. Gutiérrez,220854,['CM'],Mexico,Pachuca,84,76,22,77,23,75,24,74,25,73,26
Demarai Gray,D. Gray,220633,"['LM', 'RM']",England,Leicester City,84,74,21,76,22,75,23,75,24,75,25
Victor Camarasa Ferrando,Camarasa,219571,"['CAM', 'CM', 'RM']",Spain,Real Betis Balompié,84,76,23,76,24,76,25,75,26,72,27
Theo Bongonda,T. Bongonda,217877,"['LW', 'LM', 'RW']",Belgium,Trabzonspor,84,78,21,76,22,76,23,74,24,77,25
Tin Jedvaj,T. Jedvaj,215930,"['CB', 'RB']",Croatia,Bayer 04 Leverkusen,84,76,21,76,22,75,23,75,24,73,25
Alan Ruiz,A. Ruiz,213582,"['CF', 'CAM', 'ST']",Argentina,Sporting CP,84,78,23,76,24,73,25,,,72,27
Roman Zobnin,R. Zobnin,213160,"['CDM', 'CM', 'LM']",Russia,Spartak Moskva,84,77,23,77,24,79,25,78,26,78,27
Levin Oztunali,L. Öztunali,213134,['RM'],Germany,1. FSV Mainz 05,84,76,21,74,22,73,23,73,24,72,25
Joel Castro Pereira,Joel Pereira,212710,['GK'],Portugal,Manchester United,84,71,21,71,22,70,23,,,66,25
Marcos Paulo Mesquita Lopes,Rony Lopes,212692,['RM'],Portugal,AS Monaco,84,77,21,80,22,80,23,78,24,76,25
Anderson Souza Conceicao,Anderson Talisca,212523,"['CAM', 'ST', 'CM']",Brazil,Beşiktaş JK,84,79,23,82,24,83,25,82,26,82,27
Riechedly Bazoer,R. Bazoer,212269,['CM'],Netherlands,VfL Wolfsburg,84,75,20,74,21,73,22,72,23,76,24
Bruno Miguel Borges Fernandes,Bruno Fernandes,212198,"['CAM', 'CF', 'CM']",Portugal,Sporting CP,84,77,22,83,23,85,24,87,25,88,26
Thomas Strakosha,T. Strakosha,212151,['GK'],Albania,Lazio,84,74,22,80,23,82,24,83,25,80,26
Kerem Demirbay,K. Demirbay,211748,"['CAM', 'CM']",Germany,TSG Hoffenheim,84,80,23,80,24,82,25,80,26,79,27
