Player name,Known as,player_id,position,nationality,team,Fifa 21 Potential rating,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 21 outcome,Year potential reached
Gonzalo Montiel,G. Montiel,231340,"['RB', 'RWB']",Argentina,Argentina,85,78,23,78.0,24.0,did not hit their potential,
Renato Junior Luz Sanches,Renato Sanches,230767,"['CM', 'RM', 'CDM']",Portugal,LOSC Lille,85,78,22,80.0,23.0,still has time,
Ben Chilwell,B. Chilwell,229984,['LB'],England,Leicester City,85,81,23,82.0,24.0,did not hit their potential,
Leon Bailey,L. Bailey,229906,"['LM', 'RM']",Jamaica,Bayer 04 Leverkusen,85,80,22,82.0,23.0,still has time,
Wuilker Farinez,W. Faríñez,228736,['GK'],Venezuela,Racing Club de Lens,85,75,22,73.0,23.0,still has time,
Jeff Reine Adelaide,J. Reine-Adélaïde,228509,"['CM', 'CAM', 'RM']",France,Olympique Lyonnais,85,75,22,75.0,23.0,still has time,
Oleksandr Zinchenko,O. Zinchenko,227813,['LB'],Ukraine,Manchester City,85,80,23,80.0,24.0,did not hit their potential,
Rodrigo Bentancur,R. Bentancur,227535,['CM'],Uruguay,Juventus,85,79,23,78.0,24.0,did not hit their potential,
Alexander Nubel,A. Nübel,223885,['GK'],Germany,FC Bayern München,85,75,23,75.0,24.0,still has time,
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['CM', 'CAM']",Spain,Real Madrid CF,85,80,23,77.0,24.0,did not hit their potential,
James Maddison,J. Maddison,220697,"['CAM', 'CM', 'LW']",England,Leicester City,85,81,23,82.0,24.0,still has time,
Jose Angel Esmoris Tasende,Angeliño,220651,['LB'],Spain,RB Leipzig,85,80,23,83.0,24.0,did not hit their potential,
Youri Tielemans,Y. Tielemans,216393,['CM'],Belgium,Leicester City,85,81,23,84.0,24.0,lived to expectations,1.0
Moussa Dembele,M. Dembélé,211591,['ST'],France,Olympique Lyonnais,85,81,23,78.0,24.0,still has time,
Sekou Mara,S. Mara,257612,['ST'],France,FC Girondins de Bordeaux,84,63,17,65.0,18.0,still has time,
Lorenzo Pirola,L. Pirola,257368,['CB'],Italy,Inter,84,63,18,64.0,19.0,still has time,
Pedro Victor Delmino Da Silva,Pedrinho,255472,"['CAM', 'RM']",Brazil,SL Benfica,84,75,22,75.0,23.0,still has time,
Jan Thielmann,J. Thielmann,254660,"['RM', 'CF']",Germany,1. FC Köln,84,67,18,71.0,19.0,still has time,
Joris Chotard,J. Chotard,252541,['CM'],France,Montpellier Hérault SC,84,69,18,70.0,19.0,still has time,
Alan Velasco,A. Velasco,252238,"['LM', 'RM', 'ST']",Argentina,Club Atlético Independiente,84,64,17,73.0,18.0,still has time,
Jakub Markovic,J. Markovič,252179,['GK'],Czech Republic,SK Slavia Praha,84,69,18,,,did not hit their potential,
Joao Pedro Junqueira De Jesus,João Pedro,252042,"['ST', 'LM']",Brazil,Watford,84,69,18,71.0,19.0,still has time,
Joshua Zirkzee,J. Zirkzee,250961,"['ST', 'CAM', 'CF']",Netherlands,FC Bayern München,84,68,19,68.0,20.0,still has time,
Nail Umyarov,N. Umyarov,247870,"['CDM', 'CM']",Russia,Spartak Moskva,84,68,20,70.0,21.0,still has time,
Alex Kral,A. Král,247028,"['CDM', 'CB', 'CM']",Czech Republic,Czech Republic,84,74,22,75.0,23.0,still has time,
Noah Katterbach,N. Katterbach,246666,['LB'],Germany,1. FC Köln,84,70,19,70.0,20.0,still has time,
Julian Alvarez,J. Álvarez,246191,['RW'],Argentina,River Plate,84,71,20,75.0,21.0,still has time,
Arthur Mendonca Cabral,Arthur Cabral,246186,['ST'],Brazil,FC Basel 1893,84,75,22,76.0,23.0,still has time,
Ignacio Aliseda,I. Aliseda,246145,"['LW', 'RW', 'ST']",Argentina,Chicago Fire Football Club,84,70,20,72.0,21.0,still has time,
Matias Palacios,M. Palacios,246107,"['CM', 'CAM']",Argentina,San Lorenzo de Almagro,84,65,18,67.0,19.0,still has time,
Vladyslav Supryaga,V. Supryaga,245396,['ST'],Ukraine,Dynamo Kyiv,84,70,20,71.0,21.0,still has time,
Denys Popov,D. Popov,245132,['CB'],Ukraine,Dynamo Kyiv,84,73,21,73.0,22.0,still has time,
Mohammed Salisu,M. Salisu,244915,['CB'],Ghana,Southampton,84,76,21,76.0,22.0,still has time,
Oihan Sancet Tirapu,Sancet,244675,"['CAM', 'CM']",Spain,Athletic Club de Bilbao,84,72,20,73.0,21.0,still has time,
Vitaliy Mykolenko,V. Mykolenko,244380,['LB'],Ukraine,Dynamo Kyiv,84,76,21,76.0,22.0,still has time,
Kangin Lee,Kangin Lee,243780,"['CAM', 'LM', 'RM']",Korea Republic,Valencia CF,84,74,19,74.0,20.0,still has time,
James Garner,J. Garner,243657,"['CDM', 'CM']",England,Manchester United,84,66,19,69.0,20.0,still has time,
Arvin Appiah,A. Appiah,242841,"['LM', 'RM']",England,Unión Deportiva Almería,84,64,19,65.0,20.0,still has time,
Imran Louza,I. Louza,242794,"['CM', 'CAM', 'CDM']",France,FC Nantes,84,74,21,75.0,22.0,still has time,
Curtis Jones,C. Jones,242434,"['CM', 'CAM', 'LM']",England,Liverpool,84,64,19,73.0,20.0,still has time,
Liberato Cacace,L. Cacace,242429,"['LB', 'LWB']",New Zealand,New Zealand,84,73,19,72.0,20.0,still has time,
Tariq Lamptey,T. Lamptey,242418,"['RB', 'RM']",England,Brighton & Hove Albion,84,66,19,74.0,20.0,still has time,
Lewis Ferguson,L. Ferguson,242280,"['CDM', 'CM', 'CAM']",Scotland,Aberdeen,84,69,20,71.0,21.0,still has time,
Fausto Vera,F. Vera,242249,"['CM', 'CDM']",Argentina,Argentinos Juniors,84,67,20,69.0,21.0,still has time,
Francisco Reis Ferreira,Ferro,242236,['CB'],Portugal,SL Benfica,84,77,23,75.0,24.0,still has time,
Christoph Baumgartner,C. Baumgartner,242187,"['CAM', 'LW']",Austria,TSG Hoffenheim,84,75,20,78.0,21.0,still has time,
Konstantinos Mavropanos,K. Mavropanos,242000,['CB'],Greece,VfB Stuttgart,84,73,22,73.0,23.0,still has time,
Sergio Gomez Martin,Sergio Gómez,241811,"['RM', 'LM']",Spain,Borussia Dortmund,84,68,19,68.0,20.0,still has time,
Pape Gueye,P. Gueye,241707,"['CDM', 'CM']",France,Olympique de Marseille,84,70,21,76.0,22.0,still has time,
Alejandro Centelles Plaza,Álex Centelles,241470,['LB'],Spain,Valencia CF,84,74,20,75.0,21.0,still has time,
Eljif Elmas,E. Elmas,241390,['CM'],North Macedonia,Napoli,84,72,20,73.0,21.0,still has time,
Zinho Vanheusden,Z. Vanheusden,241103,['CB'],Belgium,Standard de Liège,84,73,20,74.0,21.0,still has time,
Oliver Skipp,O. Skipp,241042,"['CDM', 'CM']",England,Tottenham Hotspur,84,68,19,75.0,20.0,still has time,
Unai Nunez Gestoso,Unai Núñez,240900,['CB'],Spain,Athletic Club de Bilbao,84,78,23,80.0,24.0,still has time,
Teun Koopmeiners,T. Koopmeiners,240679,"['CDM', 'CB']",Netherlands,AZ Alkmaar,84,78,22,79.0,23.0,still has time,
Carles Perez Sayol,Carles Pérez,240654,"['RM', 'RW']",Spain,Attacking,84,73,22,75.0,23.0,still has time,
Angel Gomes,A. Gomes,240507,"['CAM', 'LW']",England,Boavista FC,84,67,19,69.0,20.0,still has time,
Jose Juan Macias,J. Macías,239592,['ST'],Mexico,Mexico,84,75,20,75.0,21.0,still has time,
Robin Hack,R. Hack,239367,"['LM', 'CAM']",Germany,1. FC Nürnberg,84,74,21,71.0,22.0,still has time,
Rhian Brewster,R. Brewster,238460,['ST'],England,Liverpool,84,70,20,69.0,21.0,still has time,
Florinel Coman,F. Coman,238274,['LW'],Romania,Romania,84,74,22,72.0,23.0,still has time,
Tyrell Malacia,T. Malacia,238041,['LB'],Netherlands,Feyenoord,84,75,20,77.0,21.0,still has time,
Arne Maier,A. Maier,237629,"['CM', 'CDM']",Germany,Hertha BSC,84,74,21,74.0,22.0,still has time,
Scott Mctominay,S. McTominay,237238,"['CDM', 'CM']",Scotland,Manchester United,84,79,23,80.0,24.0,still has time,
Justin Kluivert,J. Kluivert,236920,"['LM', 'RM', 'LW']",Netherlands,Attacking,84,74,21,76.0,22.0,still has time,
Oscar Melendo Jimenez,Melendo,236679,"['RM', 'CM']",Spain,RCD Espanyol de Barcelona,84,78,22,76.0,23.0,still has time,
Robin Koch,R. Koch,236532,"['CB', 'CDM']",Germany,Sport-Club Freiburg,84,76,23,77.0,24.0,still has time,
Marcos Senesi,M. Senesi,236506,['CB'],Argentina,Feyenoord,84,77,23,79.0,24.0,still has time,
Evan Ndicka,E. Ndicka,236403,"['CB', 'LB']",France,Eintracht Frankfurt,84,74,20,77.0,21.0,still has time,
Brais Mendez Portela,Brais Méndez,235944,"['RM', 'LM']",Spain,RC Celta de Vigo,84,75,23,76.0,24.0,still has time,
Matias Zaracho,M. Zaracho,235926,"['CM', 'CAM', 'RM']",Argentina,Racing Club,84,76,22,,,did not hit their potential,
Cengiz Under,C. Ünder,235889,"['RM', 'RW']",Turkey,Attacking,84,78,22,77.0,23.0,still has time,
Federico Chiesa,F. Chiesa,235805,"['CF', 'RW']",Italy,Italy,84,78,22,83.0,23.0,lived to expectations,1.0
Ibrahim Sangare,I. Sangaré,235173,"['CDM', 'CM']",Côte d'Ivoire,Toulouse Football Club,84,74,22,77.0,23.0,still has time,
Ruben Nascimento Vinagre,Rúben Vinagre,235172,['LWB'],Portugal,Wolverhampton Wanderers,84,74,21,74.0,22.0,still has time,
Lucas Robertone,L. Robertone,235008,"['CM', 'CAM']",Argentina,Vélez Sarsfield,84,75,23,76.0,24.0,did not hit their potential,
Gedson Carvalho Fernandes,Gedson Fernandes,234568,"['CM', 'RM']",Portugal,Tottenham Hotspur,84,75,21,77.0,22.0,still has time,
Carlos Soler Barragan,Carlos Soler,234153,"['RM', 'LM', 'CM']",Spain,Valencia CF,84,79,23,81.0,24.0,still has time,
Yangel Herrera,Y. Herrera,234060,"['CM', 'CDM']",Venezuela,Manchester City,84,75,22,78.0,23.0,still has time,
Henry Onyekuru,H. Onyekuru,234045,"['LM', 'ST']",Nigeria,AS Monaco,84,77,23,75.0,24.0,still has time,
Odsonne Edouard,O. Edouard,233866,['ST'],France,Celtic,84,75,22,75.0,23.0,still has time,
Igor Zubeldia Elorza,Zubeldia,233738,"['CDM', 'CM', 'CB']",Spain,Real Sociedad,84,79,23,79.0,24.0,still has time,
