Player name,Known as,player_id,position,nationality,team,Fifa 10 Potential rating,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 10 outcome,Year potential reached
Aaron Lennon,A. Lennon,152747,['RW'],England,Tottenham Hotspur,87,79,22,82.0,23.0,82.0,24.0,80.0,25.0,80.0,26.0,79.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,77.0,31.0,74.0,32.0,,,73.0,34.0,did not hit their potential,
Gael Clichy,G. Clichy,152554,['LWB'],France,Arsenal,87,83,23,81.0,24.0,80.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,80.0,29.0,80.0,30.0,77.0,31.0,76.0,32.0,77.0,33.0,,,76.0,35.0,did not hit their potential,
Ishak Belfodil,I. Belfodil,194728,['ST'],France,Olympique Lyonnais,86,66,17,66.0,18.0,67.0,19.0,69.0,20.0,75.0,21.0,73.0,22.0,,,,,75.0,25.0,76.0,26.0,79.0,27.0,77.0,28.0,74.0,29.0,did not hit their potential,
Alexandr Kokorin,A. Kokorin,192086,['ST'],Russia,Dinamo Moscow,86,72,18,72.0,19.0,71.0,20.0,73.0,21.0,78.0,22.0,78.0,23.0,78.0,24.0,77.0,25.0,78.0,26.0,,,,,78.0,29.0,75.0,30.0,did not hit their potential,
Matias De Federico,M. De Federico,191821,['CF'],Argentina,Sport Club Corinthians Paulista,86,74,20,72.0,20.0,,,,,69.0,23.0,,,71.0,25.0,,,,,,,,,,,,,did not hit their potential,
Celso Borges,C. Borges,190799,['CAM'],Costa Rica,Fredrikstad FK,86,72,21,,,75.0,23.0,74.0,24.0,72.0,25.0,72.0,26.0,75.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,74.0,31.0,74.0,32.0,,,did not hit their potential,
Carlos Darwin Quintero,C. Quintero,190607,['ST'],Colombia,Santos Laguna,86,73,21,74.0,22.0,73.0,23.0,74.0,24.0,74.0,25.0,72.0,26.0,68.0,27.0,73.0,28.0,73.0,29.0,75.0,30.0,76.0,31.0,75.0,32.0,73.0,33.0,did not hit their potential,
Ryad Boudebouz,R. Boudebouz,188388,['CAM'],France,FC Sochaux-Montbéliard,86,67,19,72.0,20.0,75.0,21.0,77.0,22.0,76.0,23.0,74.0,24.0,76.0,25.0,79.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,76.0,30.0,74.0,31.0,did not hit their potential,
Mario Balotelli,Mario Balotelli,186627,['ST'],Italy,Inter,86,81,18,81.0,19.0,81.0,20.0,84.0,21.0,84.0,22.0,82.0,23.0,80.0,24.0,79.0,25.0,82.0,26.0,83.0,27.0,82.0,28.0,79.0,29.0,76.0,30.0,did not hit their potential,
Aaron Ramsey,A. Ramsey,186561,['CM'],Wales,Arsenal,86,74,18,76.0,19.0,77.0,20.0,77.0,21.0,77.0,22.0,83.0,23.0,82.0,24.0,84.0,25.0,82.0,26.0,82.0,27.0,83.0,28.0,82.0,29.0,80.0,30.0,did not hit their potential,
Edgar Ivan Pacheco,E. Pacheco,186515,['CAM'],Mexico,Club Atlas,86,71,19,70.0,20.0,69.0,21.0,67.0,22.0,66.0,23.0,64.0,24.0,,,,,,,,,,,,,,,did not hit their potential,
Andrea Poli,A. Poli,185174,['CM'],Italy,U.C. Sampdoria,86,71,19,75.0,20.0,75.0,21.0,77.0,22.0,75.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,75.0,27.0,77.0,28.0,77.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Vincenzo Fiorillo,V. Fiorillo,185172,['GK'],Italy,U.C. Sampdoria,86,68,19,65.0,20.0,64.0,21.0,64.0,22.0,70.0,23.0,69.0,24.0,69.0,25.0,70.0,26.0,71.0,27.0,71.0,28.0,73.0,29.0,,,72.0,31.0,did not hit their potential,
Davide Lanzafame,D. Lanzafame,184976,['RF'],Italy,Parma,86,72,22,76.0,23.0,74.0,24.0,72.0,25.0,,,,,70.0,28.0,69.0,29.0,,,,,,,,,,,did not hit their potential,
Felipe Mattioni,Felipe Mattioni,184965,['RWB'],Brazil,RCD Mallorca,86,71,20,73.0,21.0,70.0,22.0,67.0,23.0,68.0,24.0,68.0,25.0,69.0,26.0,,,,,,,,,,,,,did not hit their potential,
Sofiane Feghouli,S. Feghouli,184881,['CAM'],France,Grenoble Foot 38,86,72,19,76.0,20.0,73.0,21.0,80.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,80.0,26.0,79.0,27.0,79.0,28.0,80.0,29.0,79.0,30.0,76.0,31.0,did not hit their potential,
Jack Rodwell,J. Rodwell,183465,['CDM'],England,Everton,86,75,18,77.0,19.0,76.0,20.0,77.0,21.0,77.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,74.0,26.0,,,,,,,67.0,30.0,did not hit their potential,
Fabian Delph,F. Delph,183427,['CM'],England,Aston Villa,86,73,19,76.0,20.0,73.0,21.0,71.0,22.0,72.0,23.0,75.0,24.0,77.0,25.0,78.0,26.0,77.0,27.0,80.0,28.0,77.0,29.0,77.0,30.0,75.0,31.0,did not hit their potential,
Breno,Breno,180955,['CB'],Brazil,FC Bayern München,86,74,19,75.0,20.0,75.0,21.0,,,,,,,75.0,25.0,,,,,,,,,,,,,did not hit their potential,
David Luiz,David Luiz,179944,['CB'],Brazil,SL Benfica,86,76,22,81.0,23.0,82.0,24.0,79.0,25.0,82.0,26.0,82.0,27.0,83.0,28.0,84.0,29.0,86.0,30.0,83.0,31.0,83.0,32.0,80.0,33.0,,,lived to expectations,8.0
Ever Banega,É. Banega,178562,['CM'],Argentina,Valencia CF,86,76,21,81.0,22.0,79.0,23.0,80.0,24.0,75.0,25.0,80.0,26.0,80.0,27.0,84.0,28.0,83.0,29.0,83.0,30.0,83.0,31.0,83.0,32.0,82.0,33.0,did not hit their potential,
Robert Acquafresca,R. Acquafresca,178490,['ST'],Italy,Atalanta,86,78,21,75.0,22.0,75.0,23.0,73.0,24.0,72.0,25.0,68.0,26.0,68.0,27.0,70.0,28.0,69.0,29.0,67.0,30.0,,,,,,,did not hit their potential,
Alessio Cerci,A. Cerci,178393,['LW'],Italy,Roma,86,75,21,75.0,22.0,78.0,23.0,75.0,24.0,81.0,25.0,80.0,26.0,77.0,27.0,76.0,28.0,75.0,29.0,,,72.0,31.0,,,,,did not hit their potential,
Clement Chantome,C. Chantôme,177953,['CM'],France,Paris Saint-Germain,86,71,21,74.0,22.0,74.0,23.0,76.0,24.0,75.0,25.0,75.0,26.0,75.0,27.0,76.0,28.0,74.0,29.0,72.0,30.0,,,,,,,did not hit their potential,
Vieirinha,Vieirinha,177553,['RW'],Portugal,PAOK,86,75,23,79.0,24.0,78.0,25.0,77.0,26.0,78.0,27.0,78.0,28.0,80.0,29.0,81.0,30.0,77.0,31.0,77.0,32.0,76.0,33.0,75.0,34.0,73.0,35.0,did not hit their potential,
Serdar Tasci,S. Tasci,177519,['CB'],Germany,VfB Stuttgart,86,78,22,77.0,23.0,76.0,24.0,78.0,25.0,77.0,26.0,77.0,27.0,79.0,28.0,80.0,29.0,80.0,30.0,77.0,31.0,,,,,,,did not hit their potential,
Lars Bender,L. Bender,177457,['CDM'],Germany,Bayer 04 Leverkusen,86,69,20,73.0,21.0,77.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,83.0,27.0,82.0,28.0,82.0,29.0,80.0,30.0,82.0,31.0,,,did not hit their potential,
Dimitri Payet,D. Payet,177388,['LM'],France,AS Saint-Étienne,86,75,22,75.0,23.0,79.0,24.0,80.0,25.0,80.0,26.0,78.0,27.0,81.0,28.0,86.0,29.0,84.0,30.0,84.0,31.0,81.0,32.0,82.0,33.0,80.0,34.0,lived to expectations,7.0
Marcus Berg,M. Berg,176733,['ST'],Sweden,Hamburger SV,86,77,22,77.0,23.0,75.0,24.0,73.0,25.0,71.0,26.0,77.0,27.0,78.0,28.0,80.0,29.0,80.0,30.0,78.0,31.0,77.0,32.0,76.0,33.0,75.0,34.0,did not hit their potential,
Denilson,Denilson,176414,['CM'],Brazil,Arsenal,86,78,21,79.0,22.0,76.0,23.0,72.0,24.0,73.0,25.0,,,,,,,,,,,,,,,,,did not hit their potential,
Domenico Criscito,D. Criscito,173208,['LWB'],Italy,Italy,86,77,22,78.0,23.0,81.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,80.0,28.0,79.0,29.0,80.0,30.0,81.0,31.0,79.0,32.0,78.0,33.0,76.0,34.0,did not hit their potential,
Gabriele Paonessa,G. Paonessa,172705,['CAM'],Italy,Vicenza,86,67,22,68.0,23.0,68.0,24.0,64.0,25.0,,,,,,,,,,,,,,,,,,,did not hit their potential,
Andrew Driver,A. Driver,170635,['LW'],England,Heart of Midlothian,86,78,21,76.0,22.0,69.0,23.0,69.0,24.0,67.0,25.0,67.0,26.0,66.0,27.0,,,,,,,,,,,,,did not hit their potential,
Stephen Ireland,S. Ireland,170570,['CAM'],Republic of Ireland,Manchester City,86,80,22,80.0,23.0,77.0,24.0,77.0,25.0,76.0,26.0,76.0,27.0,75.0,28.0,76.0,29.0,72.0,30.0,70.0,31.0,,,,,,,did not hit their potential,
Jonny Evans,J. Evans,169588,['CB'],Northern Ireland,Manchester United,86,76,21,77.0,22.0,75.0,23.0,77.0,24.0,79.0,25.0,79.0,26.0,78.0,27.0,79.0,28.0,79.0,29.0,78.0,30.0,79.0,31.0,80.0,32.0,80.0,33.0,did not hit their potential,
Rafinha,Rafinha,168607,['RWB'],Brazil,FC Schalke 04,86,81,23,79.0,24.0,79.0,25.0,76.0,26.0,76.0,27.0,77.0,28.0,78.0,29.0,78.0,30.0,78.0,31.0,77.0,32.0,,,78.0,34.0,,,did not hit their potential,
Ignazio Abate,I. Abate,168312,['RM'],Italy,AC Milan,86,76,22,76.0,23.0,78.0,24.0,81.0,25.0,78.0,26.0,74.0,27.0,78.0,28.0,78.0,29.0,78.0,30.0,78.0,31.0,,,,,,,did not hit their potential,
Anton Shunin,A. Shunin,167575,['GK'],Russia,Dinamo Moscow,86,71,22,70.0,23.0,75.0,24.0,76.0,25.0,73.0,26.0,72.0,27.0,73.0,28.0,,,73.0,30.0,,,73.0,32.0,,,76.0,34.0,did not hit their potential,
Oscar Ustari,O. Ustari,167435,['GK'],Argentina,Getafe CF,86,76,22,75.0,23.0,73.0,24.0,72.0,25.0,75.0,26.0,74.0,27.0,72.0,28.0,72.0,29.0,73.0,30.0,,,,,70.0,33.0,72.0,34.0,did not hit their potential,
Falcao,Falcao,167397,['ST'],Colombia,FC Porto,86,78,23,82.0,24.0,86.0,25.0,88.0,26.0,90.0,27.0,88.0,28.0,83.0,29.0,81.0,30.0,84.0,31.0,85.0,32.0,83.0,33.0,80.0,34.0,78.0,35.0,exceeded their potential,2.0
Luizao,Luizão,165817,['CB'],Brazil,Cruzeiro,86,68,22,67.0,23.0,,,,,,,,,,,,,,,,,,,,,,,did not hit their potential,
Stephane Mbia,S. M'Bia,164959,['CDM'],Cameroon,Olympique de Marseille,86,78,23,80.0,24.0,82.0,25.0,80.0,26.0,72.0,27.0,75.0,28.0,76.0,29.0,,,,,,,74.0,33.0,73.0,34.0,71.0,35.0,did not hit their potential,
John Obi Mikel,John Obi Mikel,164477,['CDM'],Nigeria,Chelsea,86,81,22,82.0,23.0,81.0,24.0,80.0,25.0,79.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,,,76.0,31.0,73.0,32.0,72.0,33.0,,,did not hit their potential,
Filipe,Filipe,164169,['LWB'],Brazil,Deportivo de La Coruña,86,81,23,81.0,24.0,80.0,25.0,79.0,26.0,82.0,27.0,82.0,28.0,82.0,29.0,85.0,30.0,85.0,31.0,85.0,32.0,,,,,,,lived to expectations,7.0
Andrea Consigli,A. Consigli,163489,['GK'],Italy,Atalanta,86,74,22,69.0,23.0,73.0,24.0,77.0,25.0,80.0,26.0,78.0,27.0,79.0,28.0,83.0,29.0,82.0,30.0,82.0,31.0,81.0,32.0,81.0,33.0,81.0,34.0,did not hit their potential,
Johan Djourou,J. Djourou,162893,['CB'],Switzerland,Arsenal,86,78,22,78.0,23.0,77.0,24.0,75.0,25.0,75.0,26.0,74.0,27.0,76.0,28.0,77.0,29.0,73.0,30.0,72.0,31.0,,,69.0,33.0,,,did not hit their potential,
Giuseppe Rossi,G. Rossi,162409,['CF'],Italy,Villarreal CF,86,83,22,82.0,23.0,85.0,24.0,82.0,25.0,81.0,26.0,82.0,27.0,80.0,28.0,79.0,29.0,,,,,,,73.0,33.0,,,lived to expectations,2.0
Jeremy Menez,J. Ménez,160766,['CAM'],France,Roma,86,79,22,79.0,23.0,81.0,24.0,81.0,25.0,77.0,26.0,78.0,27.0,81.0,28.0,79.0,29.0,77.0,30.0,73.0,31.0,71.0,32.0,,,,,did not hit their potential,
Alexandre Song,A. Song,157503,['CDM'],Cameroon,Arsenal,86,79,21,82.0,22.0,82.0,23.0,83.0,24.0,83.0,25.0,79.0,26.0,79.0,27.0,77.0,28.0,77.0,29.0,,,71.0,31.0,,,,,did not hit their potential,
Ryan Babel,R. Babel,157301,['LW'],Netherlands,Liverpool,86,80,22,77.0,23.0,77.0,24.0,76.0,25.0,,,75.0,27.0,,,,,75.0,30.0,79.0,31.0,78.0,32.0,77.0,33.0,76.0,34.0,did not hit their potential,
Ederson,Ederson,156272,['CAM'],Brazil,Olympique Lyonnais,86,79,23,77.0,24.0,76.0,25.0,77.0,26.0,77.0,27.0,76.0,28.0,,,,,,,,,,,,,,,did not hit their potential,
Per Ciljan Skjelbred,P. Skjelbred,152996,['CDM'],Norway,Rosenborg BK,86,72,22,75.0,23.0,78.0,24.0,72.0,25.0,72.0,26.0,74.0,27.0,75.0,28.0,78.0,29.0,78.0,30.0,77.0,31.0,76.0,32.0,76.0,33.0,74.0,34.0,did not hit their potential,
Negredo,Negredo,146439,['ST'],Spain,Sevilla FC,86,81,23,80.0,24.0,82.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,81.0,29.0,80.0,30.0,79.0,31.0,78.0,32.0,,,76.0,34.0,78.0,35.0,did not hit their potential,
Nani,Nani,139068,['LW'],Portugal,Manchester United,86,81,22,83.0,23.0,85.0,24.0,85.0,25.0,83.0,26.0,81.0,27.0,82.0,28.0,83.0,29.0,83.0,30.0,80.0,31.0,80.0,32.0,80.0,33.0,81.0,34.0,lived to expectations,2.0
Alexis,Alexis,135742,['CB'],Spain,Valencia CF,86,80,23,78.0,24.0,77.0,25.0,76.0,26.0,75.0,27.0,74.0,28.0,76.0,29.0,75.0,30.0,76.0,31.0,74.0,32.0,70.0,33.0,,,,,did not hit their potential,
Jimmy Briand,J. Briand,134779,['ST'],France,Stade Rennais FC,86,78,23,81.0,24.0,77.0,25.0,77.0,26.0,74.0,27.0,74.0,28.0,76.0,29.0,76.0,30.0,78.0,31.0,77.0,32.0,76.0,33.0,75.0,34.0,72.0,35.0,did not hit their potential,
Pavel Yakovlev,P. Yakovlev,193895,['ST'],Russia,Spartak Moskva,85,66,18,67.0,19.0,70.0,20.0,71.0,21.0,71.0,22.0,73.0,23.0,72.0,24.0,72.0,25.0,70.0,26.0,,,,,,,,,did not hit their potential,
Kevin Osei,K. Osei,193508,['CAM'],Ghana,Olympique de Marseille,85,58,18,58.0,19.0,,,59.0,21.0,59.0,22.0,,,60.0,24.0,,,,,,,,,,,,,did not hit their potential,
Dudu,Dudu,192693,['CAM'],Brazil,Cruzeiro,85,67,17,,,,,,,,,,,77.0,23.0,,,,,,,,,,,,,did not hit their potential,
Vincenzo Camilleri,V. Camilleri,192601,['CB'],Italy,Urbs Reggina 1914,85,59,17,,,,,71.0,20.0,,,,,63.0,23.0,,,,,,,,,,,,,did not hit their potential,
Abdelaziz Barrada,A. Barrada,192274,['CAM'],France,Paris Saint-Germain,85,64,20,,,66.0,22.0,75.0,23.0,,,74.0,25.0,74.0,26.0,,,,,70.0,29.0,,,,,,,did not hit their potential,
Gianmarco Zigoni,G. Zigoni,191068,['ST'],Italy,AC Milan,85,65,18,66.0,19.0,,,65.0,21.0,,,62.0,23.0,,,66.0,25.0,69.0,26.0,69.0,27.0,68.0,28.0,,,67.0,30.0,did not hit their potential,
Felix Kroos,F. Kroos,191066,['ST'],Germany,F.C. Hansa Rostock,85,61,18,63.0,19.0,69.0,20.0,66.0,21.0,65.0,22.0,70.0,23.0,72.0,24.0,73.0,25.0,73.0,26.0,72.0,27.0,70.0,28.0,68.0,29.0,,,did not hit their potential,
Mikhail Sivakov,M. Sivakov,191002,['CM'],Belarus,Cagliari,85,68,21,67.0,22.0,61.0,23.0,,,,,,,,,,,67.0,29.0,,,,,,,,,did not hit their potential,
Fredy Montero,F. Montero,190919,['CF'],Colombia,Seattle Sounders FC,85,74,21,74.0,22.0,74.0,23.0,75.0,24.0,74.0,25.0,76.0,26.0,78.0,27.0,,,76.0,29.0,76.0,30.0,75.0,31.0,72.0,32.0,72.0,33.0,did not hit their potential,
Ruben Micael,Rúben Micael,190779,['CAM'],Portugal,CD Nacional,85,74,22,79.0,23.0,77.0,24.0,73.0,25.0,76.0,26.0,75.0,27.0,,,,,,,72.0,31.0,,,70.0,33.0,,,did not hit their potential,
Damien Le Tallec,D. Le Tallec,190416,['ST'],France,Borussia Dortmund,85,63,18,67.0,19.0,65.0,20.0,,,,,63.0,24.0,65.0,25.0,,,,,71.0,28.0,75.0,29.0,76.0,30.0,74.0,31.0,did not hit their potential,
Jean,Jean,189373,['RM'],Brazil,São Paulo,85,75,23,72.0,24.0,74.0,25.0,75.0,26.0,77.0,27.0,,,76.0,29.0,,,,,,,,,,,,,did not hit their potential,
Daniel Carrico,D. Carriço,189156,['CB'],Portugal,Sporting CP,85,76,20,78.0,21.0,77.0,22.0,76.0,23.0,72.0,24.0,76.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,78.0,30.0,76.0,31.0,76.0,32.0,did not hit their potential,
Gai Assulin,Gai Assulin,188572,['RW'],Israel,FC Barcelona,85,68,18,,,61.0,20.0,67.0,21.0,64.0,22.0,64.0,23.0,66.0,24.0,,,,,,,,,63.0,29.0,,,did not hit their potential,
Marvin Martin,M. Martin,188385,['CAM'],France,FC Sochaux-Montbéliard,85,67,21,70.0,22.0,80.0,23.0,80.0,24.0,76.0,25.0,74.0,26.0,73.0,27.0,74.0,28.0,,,71.0,30.0,,,65.0,32.0,,,did not hit their potential,
Lautaro German Acosta,L. Acosta,188268,['CF'],Argentina,Sevilla FC,85,69,21,69.0,22.0,69.0,23.0,69.0,24.0,70.0,25.0,74.0,26.0,72.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,76.0,31.0,78.0,32.0,75.0,33.0,did not hit their potential,
Diogo,Diogo,187815,['ST'],Brazil,Olympiacos CFP,85,79,22,76.0,23.0,72.0,24.0,72.0,25.0,74.0,26.0,,,,,,,,,,,,,,,,,did not hit their potential,
Alberto Paloschi,A. Paloschi,186961,['ST'],Italy,Parma,85,73,19,74.0,20.0,74.0,21.0,74.0,22.0,76.0,23.0,76.0,24.0,77.0,25.0,78.0,26.0,76.0,27.0,76.0,28.0,75.0,29.0,72.0,30.0,,,did not hit their potential,
Kwadwo Asamoah,K. Asamoah,186832,['CM'],Ghana,Udinese Calcio,85,78,20,76.0,21.0,75.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,80.0,27.0,78.0,28.0,79.0,29.0,79.0,30.0,76.0,31.0,,,did not hit their potential,
Rafael Eduardo Acosta,R. Acosta,186610,['RM'],Italy,Cagliari,85,68,20,,,,,,,,,,,,,,,,,,,,,60.0,31.0,,,did not hit their potential,
Daniele Ragatzu,D. Ragatzu,186607,['ST'],Italy,Cagliari,85,67,17,70.0,18.0,65.0,19.0,,,66.0,21.0,63.0,22.0,,,,,,,,,63.0,27.0,62.0,28.0,,,did not hit their potential,
Keisuke Honda,K. Honda,186581,['CAM'],Japan,VVV-Venlo,85,77,23,80.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,79.0,28.0,77.0,29.0,81.0,30.0,78.0,31.0,78.0,32.0,75.0,33.0,,,,,did not hit their potential,
Danny Welbeck,D. Welbeck,186146,['CF'],England,Manchester United,85,73,18,69.0,19.0,76.0,20.0,79.0,21.0,78.0,22.0,78.0,23.0,79.0,24.0,80.0,25.0,80.0,26.0,77.0,27.0,78.0,28.0,74.0,29.0,73.0,30.0,did not hit their potential,
Macauley Chrisantus,M. Chrisantus,186102,['ST'],Nigeria,Karlsruher SC,85,66,18,65.0,19.0,65.0,20.0,65.0,21.0,68.0,22.0,67.0,23.0,,,67.0,25.0,,,,,,,,,,,did not hit their potential,
Aleksandar Kolarov,A. Kolarov,185103,['LB'],Serbia,Lazio,85,77,23,79.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,78.0,28.0,79.0,29.0,79.0,30.0,79.0,31.0,82.0,32.0,82.0,33.0,82.0,34.0,78.0,35.0,did not hit their potential,
Ramires,Ramires,184943,['CM'],Brazil,SL Benfica,85,78,22,79.0,23.0,79.0,24.0,81.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,,,,,80.0,31.0,,,,,,,did not hit their potential,
Alexis Alejandro Sanchez,A. Sánchez,184941,['RF'],Chile,Udinese Calcio,85,77,20,79.0,21.0,86.0,22.0,85.0,23.0,82.0,24.0,84.0,25.0,86.0,26.0,87.0,27.0,89.0,28.0,87.0,29.0,82.0,30.0,80.0,31.0,80.0,32.0,exceeded their potential,2.0
Guilherme,Guilherme,184853,['LWB'],Brazil,Unión Deportiva Almería,85,67,21,69.0,22.0,70.0,23.0,68.0,24.0,68.0,25.0,,,,,,,67.0,29.0,,,,,,,,,did not hit their potential,
Chris Martin,C. Martin,184747,['ST'],England,Norwich City,85,62,20,67.0,21.0,66.0,22.0,68.0,23.0,69.0,24.0,70.0,25.0,72.0,26.0,73.0,27.0,72.0,28.0,68.0,29.0,67.0,30.0,,,67.0,32.0,did not hit their potential,
Nathan Delfouneso,N. Delfouneso,184467,['ST'],England,Aston Villa,85,74,18,76.0,19.0,73.0,20.0,71.0,21.0,68.0,22.0,67.0,23.0,68.0,24.0,66.0,25.0,63.0,26.0,60.0,27.0,63.0,28.0,63.0,29.0,62.0,30.0,did not hit their potential,
Jonathan L Biabiany,J. Biabiany,184312,['RW'],France,Parma,85,75,21,77.0,22.0,73.0,23.0,77.0,24.0,80.0,25.0,79.0,26.0,78.0,27.0,76.0,28.0,75.0,29.0,74.0,30.0,74.0,31.0,,,,,did not hit their potential,
Fernando,Fernando,184134,['CDM'],Brazil,FC Porto,85,79,21,79.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,77.0,29.0,79.0,30.0,81.0,31.0,83.0,32.0,84.0,33.0,lived to expectations,12.0
Richard Sukuta Pasu,R. Sukuta-Pasu,183920,['ST'],Germany,Bayer 04 Leverkusen,85,65,19,68.0,20.0,67.0,21.0,66.0,22.0,68.0,23.0,67.0,24.0,,,67.0,26.0,67.0,27.0,69.0,28.0,,,,,65.0,31.0,did not hit their potential,
Jerome Boateng,J. Boateng,183907,['CB'],Germany,Hamburger SV,85,76,20,77.0,21.0,78.0,22.0,79.0,23.0,81.0,24.0,85.0,25.0,87.0,26.0,90.0,27.0,88.0,28.0,86.0,29.0,84.0,30.0,82.0,31.0,82.0,32.0,exceeded their potential,5.0
Fran Merida,Fran Mérida,183520,['CAM'],Spain,Arsenal,85,72,19,74.0,20.0,74.0,21.0,72.0,22.0,68.0,23.0,,,71.0,25.0,75.0,26.0,73.0,27.0,70.0,28.0,73.0,29.0,,,74.0,31.0,did not hit their potential,
Davide Di Gennaro,D. Di Gennaro,183414,['CAM'],Italy,AC Milan,85,72,21,62.0,22.0,68.0,23.0,72.0,24.0,71.0,25.0,69.0,26.0,72.0,27.0,73.0,28.0,72.0,29.0,72.0,30.0,70.0,31.0,66.0,32.0,,,did not hit their potential,
Adil Rami,A. Rami,183280,['CB'],France,LOSC Lille,85,78,23,79.0,24.0,81.0,25.0,84.0,26.0,82.0,27.0,79.0,28.0,78.0,29.0,82.0,30.0,81.0,31.0,82.0,32.0,,,,,72.0,35.0,lived to expectations,3.0
Michael Johnson,M. Johnson,182696,['CM'],England,Manchester City,85,76,21,76.0,22.0,74.0,23.0,69.0,24.0,,,,,,,,,,,,,,,,,,,did not hit their potential,
Martin Caceres,M. Cáceres,182495,['CB'],Uruguay,Juventus,85,78,22,78.0,23.0,78.0,24.0,80.0,25.0,80.0,26.0,79.0,27.0,81.0,28.0,,,77.0,30.0,78.0,31.0,78.0,32.0,76.0,33.0,75.0,34.0,did not hit their potential,
Fabiano Santacroce,F. Santacroce,182177,['CB'],Italy,Napoli,85,76,22,75.0,23.0,77.0,24.0,74.0,25.0,71.0,26.0,65.0,27.0,67.0,28.0,,,,,,,,,,,,,did not hit their potential,
Marcelo Moreno,M. Moreno,181375,['ST'],Bolivia,SV Werder Bremen,85,79,22,,,,,77.0,25.0,77.0,26.0,,,75.0,28.0,,,76.0,30.0,75.0,31.0,72.0,32.0,71.0,33.0,,,did not hit their potential,
Anthony Annan,A. Annan,179909,['CDM'],Ghana,Rosenborg BK,85,76,22,78.0,23.0,75.0,24.0,74.0,25.0,69.0,26.0,,,,,64.0,29.0,65.0,30.0,65.0,31.0,,,,,,,did not hit their potential,
Benedikt Howedes,B. Höwedes,179784,['CB'],Germany,FC Schalke 04,85,76,21,78.0,22.0,80.0,23.0,81.0,24.0,82.0,25.0,82.0,26.0,83.0,27.0,84.0,28.0,83.0,29.0,81.0,30.0,81.0,31.0,,,,,lived to expectations,7.0
Fernando Martin Forestieri,F. Forestieri,178628,['CF'],Argentina,Málaga CF,85,72,19,71.0,20.0,68.0,21.0,68.0,22.0,69.0,23.0,67.0,24.0,72.0,25.0,74.0,26.0,73.0,27.0,73.0,28.0,73.0,29.0,,,72.0,31.0,did not hit their potential,
Mats Hummels,M. Hummels,178603,['CB'],Germany,Borussia Dortmund,85,77,20,79.0,21.0,84.0,22.0,85.0,23.0,85.0,24.0,86.0,25.0,86.0,26.0,87.0,27.0,88.0,28.0,89.0,29.0,87.0,30.0,86.0,31.0,86.0,32.0,exceeded their potential,2.0
Pablo Daniel Osvaldo,P. Osvaldo,178535,['ST'],Italy,Bologna,85,75,23,77.0,24.0,79.0,25.0,78.0,26.0,80.0,27.0,78.0,28.0,78.0,29.0,,,,,,,72.0,33.0,,,,,did not hit their potential,
Etienne Capoue,E. Capoue,178213,['CDM'],France,Toulouse Football Club,85,75,20,76.0,21.0,77.0,22.0,79.0,23.0,79.0,24.0,78.0,25.0,77.0,26.0,78.0,27.0,76.0,28.0,76.0,29.0,80.0,30.0,78.0,31.0,78.0,32.0,did not hit their potential,
Kevin Constant,K. Constant,177935,['CDM'],Guinea,La Berrichonne de Châteauroux,85,67,22,69.0,23.0,75.0,24.0,76.0,25.0,78.0,26.0,72.0,27.0,75.0,28.0,,,71.0,30.0,,,,,,,,,did not hit their potential,
Benoit Tremoulinas,B. Trémoulinas,177635,['LB'],France,FC Girondins de Bordeaux,85,75,23,79.0,24.0,78.0,25.0,76.0,26.0,,,77.0,28.0,81.0,29.0,81.0,30.0,,,,,,,,,,,did not hit their potential,
