Player name,Known as,player_id,position,nationality,team,Fifa 13 Potential rating,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Phil Jones,P. Jones,194957,"['CB', 'RB', 'CM']",England,Manchester United,84,78,20,78,21,79,22,80,23,79,24,79,25,80,26,79,27,75,28,74,29
Nikolay Zabolotnyy,N. Zabolotnyy,194872,['GK'],Russia,FC Rostov,84,71,22,69,23,69,24,68,25,68,26,,,,,,,,,,
Antoine Griezmann,A. Griezmann,194765,"['LW', 'CF']",France,Real Sociedad,84,77,21,80,22,82,23,83,24,88,25,88,26,89,27,89,28,87,29,85,30
Steven Caulker,S. Caulker,193504,['CB'],England,Tottenham Hotspur,84,74,20,74,21,76,22,77,23,77,24,73,25,69,26,69,27,70,28,74,29
Alexandre Lacazette,A. Lacazette,193301,"['ST', 'RW', 'LW']",France,Olympique Lyonnais,84,74,21,75,22,79,23,84,24,85,25,85,26,84,27,86,28,83,29,82,30
Nassim Ben Khalifa,N. Ben Khalifa,193195,"['CF', 'ST', 'CAM']",Switzerland,Grasshopper Club Zürich,84,68,20,68,21,68,22,67,23,,,66,25,68,26,,,,,,
David De Gea Quintana,De Gea,193080,['GK'],Spain,Manchester United,84,80,21,82,22,83,23,86,24,90,25,90,26,91,27,89,28,86,29,84,30
Vincenzo Camilleri,V. Camilleri,192601,"['CB', 'RB']",Italy,Cagliari,84,71,20,,,,,63,23,,,,,,,,,,,,
Luciano Narsingh,L. Narsingh,192362,['RW'],Netherlands,PSV,84,77,21,76,22,75,23,77,24,76,25,75,26,75,27,72,28,72,29,70,30
Sandro R G Cordeiro,Sandro,190782,"['CDM', 'CM']",Brazil,Tottenham Hotspur,84,78,23,81,24,79,25,73,26,78,27,75,28,75,29,74,30,,,73,32
Jeroen Zoet,J. Zoet,190778,['GK'],Netherlands,RKC Waalwijk,84,72,21,75,22,77,23,78,24,80,25,79,26,80,27,80,28,76,29,75,30
Adem Ljajic,A. Ljajić,190544,"['CAM', 'LW', 'RW', 'CF']",Serbia,Fiorentina,84,75,20,79,21,76,22,79,23,78,24,79,25,80,26,81,27,80,28,76,29
Eliaquim Mangala,E. Mangala,190531,"['CB', 'LB']",France,FC Porto,84,77,21,81,22,80,23,80,24,80,25,79,26,78,27,76,28,74,29,73,30
Nathaniel Clyne,N. Clyne,190456,"['RB', 'LB']",England,Southampton,84,73,21,73,22,74,23,81,24,81,25,82,26,80,27,78,28,,,75,30
Sergio Canales Madrazo,Sergio Canales,190286,"['CAM', 'LM', 'CF']",Spain,Valencia CF,84,78,21,77,22,77,23,79,24,79,25,79,26,79,27,84,28,82,29,83,30
Alvaro Dominguez Soto,Domínguez,190150,"['CB', 'LB']",Spain,Borussia Mönchengladbach,84,78,23,77,24,76,25,78,26,77,27,,,,,,,,,,
Panagiotis Tachtsidis,P. Tachtsidis,190084,"['CDM', 'CM']",Greece,Roma,84,75,21,73,22,70,23,75,24,75,25,75,26,74,27,72,28,70,29,70,30
Kevin Strootman,K. Strootman,189712,"['CM', 'CDM']",Netherlands,PSV,84,78,22,79,23,81,24,80,25,81,26,84,27,83,28,80,29,77,30,76,31
Daniel Parejo Munoz,Parejo,189513,"['CM', 'CAM']",Spain,Valencia CF,84,76,23,76,24,80,25,82,26,82,27,82,28,86,29,86,30,85,31,86,32
Junior Hoilett,J. Hoilett,189462,"['LM', 'RM', 'CF']",Canada,Queens Park Rangers,84,77,22,77,23,73,24,72,25,73,26,72,27,75,28,74,29,72,30,72,31
Cristian Pasquato,C. Pasquato,189437,"['CF', 'LW', 'RW', 'LM']",Italy,Bologna,84,71,22,72,23,71,24,72,25,72,26,73,27,69,28,,,,,,
Jordi Alba Ramos,Jordi Alba,189332,"['LB', 'LW']",Spain,FC Barcelona,84,81,23,82,24,81,25,84,26,86,27,85,28,87,29,87,30,86,31,86,32
Nelson Miguel Castro Oliveira,Nélson Oliveira,189303,"['ST', 'CF']",Portugal,Deportivo de La Coruña,84,74,20,73,21,73,22,74,23,,,74,25,73,26,73,27,75,28,73,29
Aleksandar Dragovic,A. Dragović,189060,"['CB', 'CDM']",Austria,FC Basel 1893,84,74,21,74,22,75,23,78,24,79,25,77,26,77,27,77,28,75,29,76,30
Nicolas Nkoulou,N. N'Koulou,188829,['CB'],Cameroon,Olympique de Marseille,84,78,22,81,23,79,24,81,25,81,26,78,27,80,28,81,29,80,30,76,31
Pierre Emerick Aubameyang,P. Aubameyang,188567,['ST'],Gabon,AS Saint-Étienne,84,79,23,80,24,79,25,82,26,86,27,88,28,87,29,88,30,87,31,85,32
Abel Hernandez,A. Hernández,188484,['ST'],Uruguay,Uruguay,84,75,21,74,22,72,23,74,24,76,25,75,26,75,27,,,,,73,30
Lewis Holtby,L. Holtby,188154,"['CM', 'CAM', 'CDM', 'LM']",Germany,FC Schalke 04,84,78,21,78,22,77,23,76,24,78,25,77,26,76,27,,,72,29,71,30
Rafael De Souza Pereira,Rafael Carioca,188041,"['CDM', 'CM']",Brazil,Spartak Moskva,84,77,23,75,24,,,,,,,,,77,29,78,30,78,31,79,32
Jose Paulo Bezerra M Junior,Paulinho,187961,"['CM', 'CDM']",Brazil,Sport Club Corinthians Paulista,84,80,23,81,24,80,25,,,,,81,28,85,29,84,30,83,31,83,32
Omar El Kaddouri,O. El Kaddouri,187702,"['CAM', 'CF', 'CM', 'CDM']",Belgium,Napoli,84,73,21,73,22,74,23,77,24,78,25,78,26,76,27,76,28,73,29,73,30
Alberto Paloschi,A. Paloschi,186961,"['ST', 'CF']",Italy,Chievo Verona,84,74,22,76,23,76,24,77,25,78,26,76,27,76,28,75,29,72,30,,
Ilkay Gundogan,İ. Gündoğan,186942,"['CM', 'CAM', 'CDM']",Germany,Borussia Dortmund,84,80,21,84,22,83,23,82,24,85,25,85,26,84,27,84,28,83,29,85,30
Aaron Ramsey,A. Ramsey,186561,"['CAM', 'CM', 'CDM']",Wales,Arsenal,84,77,21,77,22,83,23,82,24,84,25,82,26,82,27,83,28,82,29,80,30
Fabio Borini,F. Borini,186200,"['ST', 'LW', 'RW']",Italy,Liverpool,84,77,21,75,22,74,23,76,24,76,25,76,26,76,27,76,28,76,29,76,30
Danny Welbeck,D. Welbeck,186146,"['ST', 'CF']",England,Manchester United,84,79,21,78,22,78,23,79,24,80,25,80,26,77,27,78,28,74,29,73,30
Neven Subotic,N. Subotić,183556,['CB'],Serbia,Borussia Dortmund,84,81,23,82,24,82,25,80,26,78,27,77,28,78,29,77,30,72,31,,
Ciaran Clark,C. Clark,183129,"['CB', 'CDM', 'LB']",Republic of Ireland,Aston Villa,84,74,22,73,23,73,24,77,25,76,26,76,27,76,28,75,29,76,30,75,31
Andy Carroll,A. Carroll,182836,['ST'],England,West Ham United,84,78,23,77,24,77,25,78,26,78,27,78,28,77,29,75,30,74,31,71,32
Mapou Yanga Mbiwa,M. Yanga-M'Biwa,181560,"['CB', 'RB']",France,Montpellier Hérault SC,84,79,23,77,24,76,25,78,26,81,27,76,28,73,29,73,30,,,,
Georginio Wijnaldum,G. Wijnaldum,181291,"['CAM', 'RW']",Netherlands,PSV,84,76,21,78,22,78,23,80,24,81,25,82,26,82,27,84,28,85,29,84,30
Miralem Pjanic,M. Pjanić,180206,"['CM', 'CAM', 'LM', 'RM']",Bosnia and Herzegovina,Roma,84,77,22,78,23,83,24,84,25,85,26,85,27,86,28,86,29,85,30,82,31
Etienne Capoue,E. Capoue,178213,"['CDM', 'CB']",France,France,84,79,23,79,24,78,25,77,26,78,27,76,28,76,29,80,30,78,31,78,32
Sven Bender,S. Bender,177458,"['CDM', 'CM']",Germany,Borussia Dortmund,84,81,23,81,24,81,25,80,26,82,27,80,28,81,29,80,30,81,31,,
Lars Bender,L. Bender,177457,"['CDM', 'CM', 'RB', 'RM']",Germany,Bayer 04 Leverkusen,84,81,23,81,24,81,25,81,26,83,27,82,28,82,29,80,30,82,31,,
Alberto Frison,A. Frison,173023,['GK'],Italy,Catania,84,72,23,73,24,70,25,,,,,,,,,,,,,,
Daniel Sturridge,D. Sturridge,171833,"['RW', 'ST', 'CAM']",England,Chelsea,84,78,22,80,23,83,24,83,25,84,26,82,27,80,28,,,,,75,31
Adrien Rabiot,A. Rabiot,210008,"['CM', 'CDM']",France,Paris Saint-Germain,83,63,17,70,18,73,19,76,20,78,21,80,22,83,23,83,24,81,25,81,26
Rondinelly De Andrade Silva,Rondinelly,209266,"['RM', 'LM', 'CM']",Brazil,Grêmio,83,73,21,69,22,,,,,,,,,,,,,,,,
Emre Can,E. Can,208333,"['CDM', 'CM', 'CB', 'LB']",Germany,FC Bayern München,83,65,18,68,19,74,20,75,21,80,22,79,23,80,24,81,25,82,26,82,27
Vyacheslav Podberezkin,V. Podberezkin,206479,"['CAM', 'CF', 'CM']",Russia,FC Lokomotiv Moscow,83,62,20,,,62,22,62,23,68,24,68,25,,,,,,,,
Luke Shaw,L. Shaw,205988,"['LB', 'LM']",England,Southampton,83,58,16,70,17,75,18,77,19,80,20,79,21,78,22,81,23,81,24,84,25
Stefanos Kapino,S. Kapino,205878,['GK'],Greece,Panathinaikos FC,83,72,18,72,19,72,20,73,21,75,22,77,23,73,24,73,25,73,26,73,27
Ewerton Jose Almeida Santos,Ewerton,205194,['CB'],Brazil,FC Anzhi Makhachkala,83,76,23,74,24,,,78,26,75,27,74,28,74,29,74,30,71,31,,
Elio De Silvestro,E. De Silvestro,205105,"['LM', 'LW', 'RM', 'RW']",Italy,FC Pro Vercelli 1892,83,67,19,,,62,21,61,22,,,,,,,,,,,,
Thomas Jaguaribe Bedinelli,Thomás,204969,"['LW', 'CAM', 'CF']",Brazil,Flamengo,83,72,19,,,,,63,22,,,,,,,,,,,,
Gary Mackay Steven,G. Mackay-Steven,204820,"['LM', 'LW']",Scotland,Dundee United,83,73,22,72,22,70,23,70,24,70,25,68,26,70,27,69,28,69,29,67,30
Samed Yesil,S. Yesil,204782,"['ST', 'CF']",Germany,Liverpool,83,64,18,64,19,63,20,64,21,,,,,63,24,,,,,,
Valentin Viola,V. Viola,203871,['ST'],Argentina,Sporting CP,83,69,20,71,21,71,22,,,70,24,70,25,68,26,,,,,,
Amidu Salifu,A. Salifu,203187,"['CDM', 'CM', 'CB', 'RM']",Ghana,Catania,83,72,19,70,20,66,21,67,22,68,23,,,,,68,26,,,,
Josh Vela,J. Vela,203060,"['CM', 'CAM']",England,Bolton Wanderers,83,65,18,66,19,66,20,64,21,67,22,68,23,68,24,68,25,64,26,66,27
Luiz Eduardo Felix Da Costa,Luiz Eduardo,202561,"['CB', 'LB', 'RB']",Brazil,São Paulo,83,67,19,67,20,,,,,,,,,,,,,,,,
Jese Rodriguez Ruiz,Jesé Rodríguez,202515,"['LM', 'RM', 'CF']",Spain,Real Madrid Castilla,83,71,19,72,20,76,21,78,22,80,23,77,24,76,25,75,26,72,27,71,28
Ryo Miyaichi,R. Miyaichi,202053,"['RW', 'LW', 'RM']",Japan,Wigan Athletic,83,71,19,71,20,67,21,69,22,70,23,67,24,65,25,68,26,69,27,67,28
Roberto Firmino Barbosa De Oliveira,Roberto Firmino,201942,"['CAM', 'LW', 'RW', 'CF']",Brazil,TSG Hoffenheim,83,77,20,78,21,81,22,82,23,82,24,83,25,86,26,86,27,87,28,85,29
Gabriel Vasconcellos F,Gabriel,201931,['GK'],Brazil,AC Milan,83,66,19,67,20,71,21,74,22,74,23,74,24,,,75,26,76,27,75,28
Frederik Sorensen,F. Sørensen,201342,"['CB', 'RB']",Denmark,Bologna,83,72,20,73,21,71,22,74,23,75,24,77,25,74,26,72,27,71,28,,
Vladimir Darida,V. Darida,201262,"['CAM', 'CM', 'RM']",Czech Republic,Czech Republic,83,75,21,77,22,77,23,76,24,79,25,79,26,78,27,76,28,77,29,76,30
Moritz Leitner,M. Leitner,200857,"['CM', 'CAM', 'RM', 'LM']",Germany,Borussia Dortmund,83,74,19,74,20,74,21,73,22,74,23,74,24,72,25,73,26,72,27,71,28
Juan Guilherme Nunes Jesus,Juan,200752,"['CB', 'LB', 'LWB']",Brazil,Inter,83,74,21,78,22,78,23,79,24,75,25,77,26,78,27,76,28,74,29,74,30
James Forrest,J. Forrest,200630,"['RM', 'ST', 'LM']",Scotland,Celtic,83,73,20,71,21,70,22,69,23,71,24,74,25,76,26,77,27,76,28,75,29
Heung Min Son,H. Son,200104,"['CF', 'ST', 'RW', 'RM']",Korea Republic,Hamburger SV,83,73,19,76,20,76,21,77,22,78,23,82,24,84,25,87,26,87,27,89,28
Marco Van Ginkel,M. van Ginkel,199767,"['CM', 'CAM']",Netherlands,Vitesse,83,71,19,76,20,76,21,75,22,77,23,78,24,79,25,77,26,75,27,76,28
Jordy Clasie,J. Clasie,199422,"['CM', 'CDM']",Netherlands,Feyenoord,83,76,21,76,22,76,23,78,24,78,25,77,26,76,27,76,28,74,29,72,30
Pablo Sarabia Garcia,Pablo Sarabia,198950,"['RM', 'LM']",Spain,Getafe CF,83,72,20,70,21,70,22,73,23,78,24,80,25,81,26,83,27,81,28,80,29
Saphir Taider,S. Taïder,198760,"['CAM', 'CM', 'LM', 'RM']",France,Bologna,83,71,20,74,21,75,22,75,23,75,24,75,25,75,26,76,27,75,28,,
Luis Miguel Afonso Fernandes,Pizzi,197965,"['LW', 'RW', 'RM', 'LM']",Portugal,Deportivo de La Coruña,83,76,22,76,23,76,24,79,25,81,26,82,27,83,28,84,29,84,30,81,31
Jordan Ayew,J. Ayew,197756,"['ST', 'RW']",Ghana,Olympique de Marseille,83,74,20,75,21,73,22,76,23,77,24,76,25,77,26,75,27,77,28,75,29
David Alaba,D. Alaba,197445,"['LB', 'CM', 'LM', 'CDM']",Austria,FC Bayern München,83,77,20,81,21,82,22,85,23,87,24,86,25,85,26,85,27,84,28,84,29
Khouma Babacar,K. Babacar,197231,"['ST', 'CF', 'LW']",Senegal,Padova,83,65,19,65,20,72,21,75,22,76,23,76,24,76,25,74,26,72,27,73,28
Joel Matip,J. Matip,197061,"['CB', 'CDM', 'RB']",Cameroon,FC Schalke 04,83,77,20,77,21,77,22,80,23,82,24,83,25,81,26,82,27,83,28,83,29
Jeffrey Bruma,J. Bruma,195363,"['CB', 'RB']",Netherlands,Hamburger SV,83,72,20,72,21,73,22,77,23,80,24,79,25,76,26,74,27,74,28,73,29
Martin Montoya Torralbo,Montoya,194644,['RB'],Spain,FC Barcelona,83,74,21,77,22,77,23,79,24,79,25,77,26,78,27,76,28,77,29,75,30
Adam Matthews,A. Matthews,193768,"['RB', 'RM']",Wales,Celtic,83,72,20,71,21,72,22,74,23,72,24,71,25,69,26,,,,,67,29
Oliver Baumann,O. Baumann,193698,['GK'],Germany,Sport-Club Freiburg,83,77,22,78,23,78,24,78,25,80,26,82,27,83,28,82,29,82,30,82,31
Mario Figueira Fernandes,Mário Fernandes,193525,"['RB', 'CB']",Brazil,PFC CSKA Moscow,83,75,21,75,22,76,23,79,24,80,25,81,26,81,27,82,28,82,29,82,30
Victor Ruiz Torre,Víctor Ruíz,193469,['CB'],Spain,Valencia CF,83,78,23,77,24,79,25,81,26,81,27,82,28,82,29,79,30,,,78,32
Joel Obi,J. Obi,193337,"['CM', 'LM', 'RM', 'CDM']",Nigeria,Inter,83,77,21,72,22,70,23,72,24,73,25,73,26,74,27,74,28,71,29,72,30
Anderson Vital Da Silva,Dedé,192568,['CB'],Brazil,Club de Regatas Vasco da Gama,83,80,23,78,24,,,77,27,,,,,,,,,,,,
Connor Wickham,C. Wickham,191089,"['ST', 'LW', 'RW']",England,Sunderland,83,69,19,69,20,72,21,73,22,74,23,72,24,72,25,70,26,69,27,66,28
Alex Sandro Lobo Silva,Alex Sandro,191043,"['LB', 'LM']",Brazil,FC Porto,83,75,21,79,22,79,23,82,24,84,25,86,26,86,27,85,28,85,29,83,30
Chris Smalling,C. Smalling,189881,"['CB', 'RB']",England,Manchester United,83,78,22,78,23,76,24,79,25,84,26,81,27,81,28,80,29,79,30,78,31
Davide Santon,D. Santon,189484,"['LB', 'RB']",Italy,Newcastle United,83,75,21,75,22,75,23,76,24,76,25,76,26,75,27,75,28,75,29,74,30
Bas Dost,B. Dost,189068,['ST'],Netherlands,VfL Wolfsburg,83,76,23,76,24,76,25,79,26,78,27,83,28,83,29,82,30,78,31,77,32
Daniel Pacheco Lobato,Dani Pacheco,188554,"['CF', 'ST', 'CAM', 'LW']",Spain,Liverpool,83,71,21,69,22,70,23,71,24,74,25,74,26,76,27,73,28,70,29,,
Emmanuel Riviere,E. Riviere,188289,['ST'],France,Toulouse Football Club,83,75,22,72,23,73,24,72,25,70,26,70,27,69,28,,,,,67,31
James Mccarthy,J. McCarthy,188253,"['CM', 'CAM', 'LM']",Republic of Ireland,Republic of Ireland,83,74,21,75,22,79,23,80,24,81,25,80,26,78,27,75,28,76,29,74,30
Mateo Musacchio,M. Musacchio,186547,"['CB', 'CDM']",Argentina,Villarreal CF,83,74,21,74,22,80,23,81,24,83,25,83,26,80,27,80,28,78,29,,
Leroy Fer,L. Fer,186351,"['CM', 'CDM', 'CAM']",Netherlands,FC Twente,83,76,22,76,23,76,24,76,25,76,26,77,27,76,28,73,29,76,30,75,31
Ron Robert Zieler,R. Zieler,186148,['GK'],Germany,Hannover 96,83,78,23,78,24,79,25,80,26,81,27,79,28,79,29,78,30,74,31,73,32
Sofiane Feghouli,S. Feghouli,184881,"['RM', 'CAM']",Algeria,Valencia CF,83,80,22,81,23,81,24,81,25,80,26,79,27,79,28,80,29,79,30,76,31
Adrien S Perruchet Silva,Adrien,184826,"['CM', 'CAM', 'CDM']",Portugal,Sporting CP,83,77,23,76,24,78,25,80,26,82,27,83,28,81,29,78,30,76,31,76,32
Joe Allen,J. Allen,184716,"['CM', 'CAM', 'CDM']",Wales,Liverpool,83,78,22,77,23,77,24,77,25,77,26,77,27,77,28,75,29,72,30,70,31
Toby Alderweireld,T. Alderweireld,184087,"['CB', 'RB']",Belgium,Ajax,83,77,23,78,24,78,25,81,26,85,27,86,28,85,29,87,30,85,31,83,32
Jerome Boateng,J. Boateng,183907,"['CB', 'RB', 'LB', 'CDM']",Germany,FC Bayern München,83,79,23,81,24,85,25,87,26,90,27,88,28,86,29,84,30,82,31,82,32
Diego Perotti,D. Perotti,183900,"['LW', 'RW']",Argentina,Sevilla FC,83,78,23,76,24,74,25,79,26,80,27,80,28,81,29,80,30,79,31,75,32
Cheikh Mbengue,C. M'Bengué,183395,['LB'],Senegal,Toulouse Football Club,83,75,23,73,24,74,25,75,26,75,27,71,28,70,29,,,,,,
Moussa Sissoko,M. Sissoko,183394,"['CM', 'RM', 'CDM']",France,Toulouse Football Club,83,75,22,75,23,75,24,78,25,80,26,77,27,76,28,81,29,79,30,78,31
Giovanni Sio,G. Sio,183389,"['ST', 'RW', 'RM', 'LM']",Côte d'Ivoire,FC Augsburg,83,73,23,73,24,72,25,75,26,76,27,75,28,77,29,77,30,74,31,70,32
Mamadou Sakho,M. Sakho,183285,"['CB', 'LB']",France,Paris Saint-Germain,83,80,22,81,23,81,24,81,25,82,26,81,27,80,28,79,29,76,30,75,31
Ivan Perisic,I. Perišić,181458,"['LM', 'CAM', 'RM', 'ST']",Croatia,Borussia Dortmund,83,78,23,77,24,78,25,81,26,83,27,84,28,86,29,84,30,82,31,81,32
Tomas Necid,T. Necid,181281,['ST'],Czech Republic,PFC CSKA Moscow,83,76,22,75,23,75,24,73,25,74,26,72,27,72,28,69,29,,,,
Adel Taarabt,A. Taarabt,179605,"['CAM', 'LW', 'RW']",Morocco,Queens Park Rangers,83,78,23,78,24,79,25,79,26,,,70,28,,,75,30,77,31,77,32
Yann Sommer,Y. Sommer,177683,['GK'],Switzerland,FC Basel 1893,83,76,23,76,24,79,25,82,26,84,27,83,28,82,29,84,30,86,31,85,32
Scott Sinclair,S. Sinclair,169214,"['LW', 'RW', 'CF']",England,Manchester City,83,75,23,75,24,72,25,74,26,75,27,77,28,75,29,74,30,72,31,72,32
Semih Kaya,S. Kaya,167812,['CB'],Turkey,Galatasaray SK,83,77,21,79,22,79,23,77,24,73,25,73,26,72,27,72,28,,,68,30
Chung Yong Lee,C. Lee,155355,"['RM', 'RW', 'CAM']",Korea Republic,Bolton Wanderers,83,75,23,74,24,72,25,73,26,74,27,72,28,,,73,30,73,31,71,32
Magnus Wolff Eikrem,M. Eikrem,153048,"['CM', 'CDM', 'LM', 'CAM']",Norway,Molde FK,83,76,21,73,22,70,23,70,24,72,25,71,26,70,27,75,28,75,29,75,30
Aurelio Saco Vertiz,A. Saco-Vértiz,211432,"['LB', 'CB']",Peru,Peru,82,67,23,,,,,,,,,,,,,,,,,,
Paulo Dybala,P. Dybala,211110,"['CF', 'ST', 'RW', 'LW']",Argentina,Palermo,82,73,18,72,19,70,20,78,21,85,22,88,23,89,24,88,25,88,26,87,27
Alejandro Grimaldo Garcia,Grimaldo,210035,['LB'],Spain,FC Barcelona B,82,64,16,67,17,68,18,70,19,77,20,80,21,81,22,83,23,84,24,82,25
Raphael Guerreiro,R. Guerreiro,209889,"['LB', 'LWB', 'CDM']",France,Stade Malherbe Caen,82,58,18,66,19,70,20,76,21,76,22,81,23,79,24,81,25,84,26,84,27
Lucas Silva Borges,Lucas Silva,209749,"['CDM', 'CM']",Brazil,Cruzeiro,82,67,19,68,20,,,76,22,74,23,,,,,74,26,,,,
Fabio Henrique Tavares,Fabinho,209499,['RB'],Brazil,Real Madrid Castilla,82,64,18,67,19,72,20,78,21,79,22,83,23,85,24,85,25,87,26,86,27
Mohamed Salah,M. Salah,209331,"['LW', 'CAM', 'CF', 'RM']",Egypt,FC Basel 1893,82,70,20,74,21,76,22,80,23,81,24,83,25,88,26,90,27,90,28,89,29
Jeroen Lumu,J. Lumu,209267,"['ST', 'LW']",Netherlands,Willem II,82,63,17,,,64,19,,,64,21,,,,,,,,,,
Marcos Junio Lima Dos Santos,Marcos Junior,208822,"['CF', 'CAM']",Brazil,Fluminense,82,67,19,66,20,,,,,,,,,,,71,26,73,27,73,28
Oliver Torres Munoz,Oliver Torres,208777,"['CAM', 'CM']",Spain,Atlético de Madrid,82,71,17,74,18,74,19,79,20,79,21,79,22,78,23,78,24,77,25,77,26
Nico Lopez,N. López,207715,"['ST', 'RW', 'LW', 'CF']",Uruguay,Roma,82,70,18,72,19,72,20,74,21,,,,,,,,,73,26,76,27
Franco Vazquez,F. Vázquez,207471,"['CAM', 'LM', 'CF']",Argentina,Rayo Vallecano,82,73,23,71,24,67,25,79,26,82,27,82,28,82,29,81,30,77,31,75,32
Leandro Paredes,L. Paredes,207439,['CAM'],Argentina,Boca Juniors,82,62,18,75,19,71,20,71,21,76,22,77,23,80,24,80,25,79,26,81,27
Mitchell Weiser,M. Weiser,206591,"['RW', 'LW', 'RB', 'LB']",Germany,FC Bayern München,82,66,18,66,19,66,20,71,21,76,22,78,23,78,24,77,25,76,26,73,27
Mattia De Sciglio,M. De Sciglio,206058,"['RB', 'LB']",Italy,AC Milan,82,70,19,77,20,76,21,76,22,76,23,76,24,78,25,77,26,78,27,76,28
Lucas Ocampos,L. Ocampos,205632,['LM'],Argentina,AS Monaco,82,69,17,73,18,75,19,77,20,75,21,76,22,77,23,77,24,82,25,83,26
Jonathan Espericueta,J. Espericueta,205491,"['CM', 'LM', 'CDM', 'CAM']",Mexico,Tigres U.A.N.L.,82,62,17,64,18,,,62,20,63,21,,,64,23,66,24,,,,
Lorenzo Melgarejo,L. Melgarejo,204699,"['LB', 'LM', 'LW', 'ST']",Paraguay,SL Benfica,82,69,21,73,22,74,23,72,24,76,25,74,26,74,27,74,28,73,29,,
Jurgen Locadia,J. Locadia,204366,['ST'],Netherlands,PSV,82,66,18,73,19,73,20,75,21,76,22,76,23,76,24,76,25,75,26,71,27
Santiago Arias,S. Arias,204259,['RB'],Colombia,Sporting CP,82,71,20,71,21,72,22,76,23,77,24,77,25,78,26,79,27,81,28,79,29
Mbaye Niang,M. Niang,204077,"['ST', 'CF']",France,AC Milan,82,72,17,75,18,74,19,74,20,78,21,78,22,77,23,77,24,78,25,76,26
Bruno Zuculini,B. Zuculini,203864,"['CDM', 'CM']",Argentina,Racing Club,82,66,19,68,20,73,21,74,22,,,71,24,70,25,75,26,73,27,74,28
Kelvin Mateus De Oliveira,Kelvin,203846,"['RW', 'CAM', 'LW']",Brazil,FC Porto,82,74,19,74,20,73,21,,,73,23,,,,,,,,,,
Leonardo Bittencourt,L. Bittencourt,203106,"['CAM', 'CM', 'RM', 'CF']",Germany,Borussia Dortmund,82,68,18,69,19,74,20,75,21,77,22,78,23,79,24,77,25,77,26,75,27
Ogenyi Onazi,O. Onazi,202934,['CM'],Nigeria,Lazio,82,60,19,74,20,75,21,75,22,75,23,74,24,75,25,76,26,74,27,,
Gerard Deulofeu Lazaro,Deulofeu,202477,"['LW', 'RW']",Spain,FC Barcelona B,82,71,18,75,19,79,20,78,21,81,22,82,23,81,24,80,25,80,26,79,27
Benik Afobe,B. Afobe,202052,"['ST', 'CF', 'RM']",England,Bolton Wanderers,82,66,19,65,20,64,21,73,22,74,23,74,24,73,25,71,26,70,27,68,28
Marcos Rojo,M. Rojo,201862,"['CB', 'LB']",Argentina,Sporting CP,82,73,22,76,23,79,24,81,25,78,26,82,27,80,28,78,29,75,30,75,31
