Player name,Known as,player_id,position,nationality,team,Fifa 16 Potential rating,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 16 outcome,Year potential reached
Jese Rodriguez Ruiz,Jesé,202515,"['LM', 'ST', 'RM']",Spain,Real Madrid CF,85,78,22,80.0,23.0,77.0,24.0,76.0,25.0,75.0,26.0,72.0,27.0,71.0,28.0,did not hit their potential,
Gerard Deulofeu Lazaro,Deulofeu,202477,"['RM', 'RW']",Spain,Everton,85,78,21,81.0,22.0,82.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,79.0,27.0,did not hit their potential,
Julian Draxler,J. Draxler,202166,"['LM', 'CAM', 'RM']",Germany,FC Schalke 04,85,80,21,84.0,22.0,84.0,23.0,83.0,24.0,83.0,25.0,80.0,26.0,80.0,27.0,lived to expectations,1.0
Mauro Icardi,M. Icardi,201399,['ST'],Argentina,Inter,85,79,22,82.0,23.0,84.0,24.0,87.0,25.0,85.0,26.0,85.0,27.0,83.0,28.0,exceeded their potential,2.0
Lucas Rodrigues M Silva,Lucas,200949,"['RW', 'RM']",Brazil,Paris Saint-Germain,85,82,22,82.0,23.0,82.0,24.0,82.0,25.0,83.0,26.0,83.0,27.0,81.0,28.0,did not hit their potential,
Danilo Luis Helio Pereira,Danilo Pereira,200888,['CDM'],Portugal,FC Porto,85,79,23,82.0,24.0,83.0,25.0,83.0,26.0,83.0,27.0,82.0,28.0,81.0,29.0,did not hit their potential,
Kevin Volland,K. Volland,200610,"['RM', 'ST', 'CF']",Germany,Germany,85,80,22,81.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,81.0,27.0,83.0,28.0,did not hit their potential,
Sergio Roberto Carnicer,Sergi Roberto,199564,"['CM', 'RB', 'CDM']",Spain,FC Barcelona,85,78,23,79.0,24.0,81.0,25.0,84.0,26.0,82.0,27.0,83.0,28.0,81.0,29.0,lived to expectations,3.0
Bruno Martins Indi,B. Martins Indi,199550,['CB'],Netherlands,FC Porto,85,80,23,78.0,24.0,79.0,25.0,76.0,26.0,72.0,27.0,69.0,28.0,71.0,29.0,did not hit their potential,
Granit Xhaka,G. Xhaka,199503,"['CM', 'CAM']",Switzerland,Borussia Mönchengladbach,85,81,22,84.0,23.0,82.0,24.0,81.0,25.0,81.0,26.0,80.0,27.0,79.0,28.0,lived to expectations,1.0
Alex Oxlade Chamberlain,A. Oxlade-Chamberlain,198784,"['RM', 'RW']",England,Arsenal,85,79,21,79.0,22.0,80.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,did not hit their potential,
Serge Aurier,S. Aurier,197853,"['RB', 'RM', 'CB']",Côte d'Ivoire,Paris Saint-Germain,85,80,22,83.0,23.0,81.0,24.0,81.0,25.0,79.0,26.0,80.0,27.0,80.0,28.0,did not hit their potential,
Oguzhan Ozyakup,O. Özyakup,196934,"['CM', 'CAM']",Turkey,Beşiktaş JK,85,77,22,81.0,23.0,80.0,24.0,78.0,25.0,77.0,26.0,75.0,27.0,73.0,28.0,did not hit their potential,
Gokhan Tore,G. Töre,191032,"['RM', 'LM']",Turkey,Beşiktaş JK,85,80,23,79.0,24.0,78.0,25.0,76.0,26.0,74.0,27.0,74.0,28.0,73.0,29.0,did not hit their potential,
Iker Muniain Goni,Muniaín,189575,"['LW', 'CAM']",Spain,Athletic Club de Bilbao,85,80,22,78.0,23.0,78.0,24.0,80.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,did not hit their potential,
Erik Lamela,E. Lamela,170368,"['RM', 'CAM']",Argentina,Tottenham Hotspur,85,79,23,81.0,24.0,80.0,25.0,80.0,26.0,80.0,27.0,80.0,28.0,78.0,29.0,did not hit their potential,
Andre Miguel Valente Da Silva,André Silva,228941,"['ST', 'RW']",Portugal,FC Porto,84,68,19,74.0,20.0,78.0,21.0,77.0,22.0,79.0,23.0,79.0,24.0,84.0,25.0,lived to expectations,6.0
Viktor Kovalenko,V. Kovalenko,228698,"['CM', 'CAM', 'CDM']",Ukraine,Shakhtar Donetsk,84,70,19,75.0,20.0,75.0,21.0,74.0,22.0,74.0,23.0,73.0,24.0,73.0,25.0,did not hit their potential,
Euciodalcio Gomes,Dálcio,226866,"['RM', 'LM']",Portugal,Belenenses SAD,84,69,19,,,67.0,21.0,65.0,22.0,,,,,,,did not hit their potential,
Jeremiah St Juste,J. St. Juste,226853,['CB'],Netherlands,SC Heerenveen,84,70,18,72.0,19.0,73.0,20.0,73.0,21.0,74.0,22.0,74.0,23.0,76.0,24.0,still has time,
Raul Gudino,R. Gudiño,226285,['GK'],Mexico,FC Porto,84,68,19,,,,,67.0,22.0,72.0,23.0,72.0,24.0,72.0,25.0,still has time,
Enes Unal,E. Ünal,223197,['ST'],Turkey,KRC Genk,84,69,18,70.0,19.0,74.0,20.0,78.0,21.0,77.0,22.0,75.0,23.0,75.0,24.0,still has time,
Bernard Mensah,B. Mensah,222457,"['CAM', 'LM']",Ghana,Getafe CF,84,76,20,72.0,21.0,72.0,22.0,74.0,23.0,73.0,24.0,75.0,25.0,73.0,26.0,did not hit their potential,
Hirving Lozano,H. Lozano,221992,"['LW', 'RW']",Mexico,Pachuca,84,74,19,76.0,20.0,78.0,21.0,80.0,22.0,82.0,23.0,80.0,24.0,81.0,25.0,did not hit their potential,
Donis Avdijaj,D. Avdijaj,221896,"['CAM', 'LM', 'ST']",Germany,SK Sturm Graz,84,68,18,72.0,19.0,72.0,20.0,71.0,21.0,70.0,22.0,,,67.0,24.0,still has time,
Abdelhak Nouri,A. Nouri,221283,['CAM'],Netherlands,Ajax,84,66,18,68.0,19.0,75.0,20.0,,,,,,,,,did not hit their potential,
Erick Gutierrez,E. Gutiérrez,220854,"['CM', 'CDM']",Mexico,Pachuca,84,72,20,76.0,21.0,76.0,22.0,77.0,23.0,75.0,24.0,74.0,25.0,73.0,26.0,did not hit their potential,
Jason Denayer,J. Denayer,220182,['CB'],Belgium,Manchester City,84,71,20,74.0,21.0,74.0,22.0,74.0,23.0,79.0,24.0,79.0,25.0,80.0,26.0,did not hit their potential,
Fabio Miguel Santos Sturgeon,Fábio Sturgeon,217802,"['RM', 'LM', 'CAM']",Portugal,Belenenses SAD,84,77,21,74.0,22.0,74.0,23.0,71.0,24.0,,,,,67.0,27.0,did not hit their potential,
Sandro Ramirez Castillo,Sandro,217731,"['LW', 'RW', 'ST']",Spain,FC Barcelona,84,72,19,74.0,20.0,77.0,21.0,76.0,22.0,75.0,23.0,73.0,24.0,72.0,25.0,did not hit their potential,
Rafael A F Ferreira Silva,Rafa,216547,['LM'],Portugal,SC Braga,84,78,22,80.0,23.0,78.0,24.0,79.0,25.0,82.0,26.0,83.0,27.0,82.0,28.0,lived to expectations,5.0
Andrew Robertson,A. Robertson,216267,"['LB', 'LWB']",Scotland,Scotland,84,73,21,75.0,22.0,75.0,23.0,81.0,24.0,85.0,25.0,87.0,26.0,87.0,27.0,exceeded their potential,4.0
Maxwel Cornet,M. Cornet,215798,"['ST', 'RW', 'LW']",France,Olympique Lyonnais,84,68,18,75.0,19.0,73.0,20.0,75.0,21.0,76.0,22.0,75.0,23.0,75.0,24.0,still has time,
Jorrit Hendrix,J. Hendrix,212755,"['CDM', 'CB']",Netherlands,PSV,84,74,20,76.0,21.0,75.0,22.0,77.0,23.0,76.0,24.0,75.0,25.0,74.0,26.0,did not hit their potential,
Santiago Mina Lorenzo,Santi Mina,212623,"['RW', 'ST', 'LW']",Spain,Valencia CF,84,73,19,76.0,20.0,76.0,21.0,79.0,22.0,80.0,23.0,76.0,24.0,77.0,25.0,did not hit their potential,
Rodrigo De Paul,R. De Paul,212616,"['LM', 'CAM', 'LW']",Argentina,Valencia CF,84,76,21,75.0,22.0,74.0,23.0,75.0,24.0,78.0,25.0,77.0,26.0,82.0,27.0,did not hit their potential,
Anderson Souza Conceicao,Anderson Talisca,212523,"['CAM', 'ST']",Brazil,SL Benfica,84,77,21,76.0,22.0,79.0,23.0,82.0,24.0,83.0,25.0,82.0,26.0,82.0,27.0,lived to expectations,4.0
Ali Ghazal,A. Ghazal,212469,['CDM'],Egypt,CD Nacional,84,77,23,76.0,24.0,73.0,25.0,72.0,26.0,69.0,27.0,,,,,did not hit their potential,
Jose Pedro Malheiro De Sa,José Sá,212442,['GK'],Portugal,Clube Sport Marítimo,84,75,22,76.0,23.0,76.0,24.0,77.0,25.0,78.0,26.0,78.0,27.0,79.0,28.0,did not hit their potential,
Timo Werner,T. Werner,212188,"['LM', 'ST']",Germany,VfB Stuttgart,84,72,19,75.0,20.0,82.0,21.0,83.0,22.0,83.0,23.0,85.0,24.0,84.0,25.0,lived to expectations,3.0
Lazar Markovic,L. Marković,212125,"['RM', 'LM']",Serbia,Liverpool,84,77,21,78.0,22.0,76.0,23.0,75.0,24.0,,,,,,,did not hit their potential,
Ricardo Kishna,R. Kishna,211176,"['LW', 'RW']",Netherlands,Lazio,84,75,20,75.0,21.0,75.0,22.0,,,71.0,24.0,67.0,25.0,,,did not hit their potential,
Bjorn Engels,B. Engels,210828,['CB'],Belgium,Club Brugge KV,84,74,20,76.0,21.0,75.0,22.0,,,76.0,24.0,74.0,25.0,73.0,26.0,did not hit their potential,
Marc Stendera,M. Stendera,210583,"['CAM', 'CM']",Germany,Eintracht Frankfurt,84,74,19,76.0,20.0,76.0,21.0,74.0,22.0,73.0,23.0,,,69.0,25.0,did not hit their potential,
Otavio Edmilson Da Silva Monteiro,Otávio,210411,['CAM'],Brazil,Vitória de Guimarães,84,73,20,76.0,21.0,77.0,22.0,78.0,23.0,79.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Raphael Guerreiro,R. Guerreiro,209889,"['LM', 'LB']",Portugal,FC Lorient,84,76,21,76.0,22.0,81.0,23.0,79.0,24.0,81.0,25.0,84.0,26.0,84.0,27.0,lived to expectations,5.0
Lucas Silva Borges,Lucas Silva,209749,"['CDM', 'CM']",Brazil,Olympique de Marseille,84,76,22,74.0,23.0,,,,,74.0,26.0,,,,,did not hit their potential,
Leon Goretzka,L. Goretzka,209658,"['CM', 'RM', 'CDM']",Germany,FC Schalke 04,84,74,20,79.0,21.0,82.0,22.0,83.0,23.0,84.0,24.0,84.0,25.0,87.0,26.0,exceeded their potential,3.0
Zakaria Bakkali,Z. Bakkali,208790,"['RW', 'LW']",Belgium,Valencia CF,84,73,19,74.0,20.0,72.0,21.0,70.0,22.0,,,69.0,24.0,,,did not hit their potential,
Sadio Mane,S. Mané,208722,"['CF', 'LM', 'LW', 'RM']",Senegal,Southampton,84,78,23,79.0,24.0,84.0,25.0,85.0,26.0,88.0,27.0,90.0,28.0,89.0,29.0,exceeded their potential,2.0
Filip Kostic,F. Kostić,208574,"['LM', 'LW']",Serbia,VfB Stuttgart,84,77,22,80.0,23.0,78.0,24.0,,,82.0,26.0,83.0,27.0,84.0,28.0,lived to expectations,5.0
Yannick Ferreira Carrasco,Y. Ferreira Carrasco,208418,['LM'],Belgium,Atlético de Madrid,84,78,21,82.0,22.0,85.0,23.0,83.0,24.0,83.0,25.0,82.0,26.0,84.0,27.0,lived to expectations,2.0
Maximilian Arnold,M. Arnold,206511,"['CM', 'CAM', 'RM', 'LM']",Germany,VfL Wolfsburg,84,77,21,79.0,22.0,79.0,23.0,78.0,24.0,79.0,25.0,79.0,26.0,81.0,27.0,did not hit their potential,
Mattia De Sciglio,M. De Sciglio,206058,"['LB', 'RB']",Italy,AC Milan,84,76,22,76.0,23.0,76.0,24.0,78.0,25.0,77.0,26.0,78.0,27.0,76.0,28.0,did not hit their potential,
Leonardo Carrilho Baptistao,Leo Baptistao,205976,['ST'],Brazil,Villarreal CF,84,79,22,79.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,78.0,27.0,78.0,28.0,did not hit their potential,
Alberto Moreno Perez,Alberto Moreno,205566,"['LWB', 'LB', 'LM']",Spain,Liverpool,84,79,22,77.0,23.0,76.0,24.0,77.0,25.0,76.0,26.0,77.0,27.0,76.0,28.0,did not hit their potential,
Bernard Anicio Caldeira Duarte,Bernard,205525,"['CAM', 'LW']",Brazil,Shakhtar Donetsk,84,78,22,79.0,23.0,79.0,24.0,,,80.0,26.0,78.0,27.0,,,did not hit their potential,
Luiz Frello Filho Jorge,Jorginho,205498,"['CDM', 'CM']",Italy,Napoli,84,77,23,81.0,24.0,81.0,25.0,84.0,26.0,83.0,27.0,83.0,28.0,85.0,29.0,lived to expectations,3.0
Matija Nastasic,M. Nastasić,205362,['CB'],Serbia,FC Schalke 04,84,79,22,80.0,23.0,80.0,24.0,81.0,25.0,80.0,26.0,77.0,27.0,74.0,28.0,did not hit their potential,
Arkadiusz Milik,A. Milik,205175,['ST'],Poland,Ajax,84,77,21,79.0,22.0,79.0,23.0,80.0,24.0,83.0,25.0,81.0,26.0,81.0,27.0,lived to expectations,4.0
Joel Campbell,J. Campbell,204713,"['RM', 'LM']",Costa Rica,Arsenal,84,76,23,78.0,24.0,77.0,25.0,,,76.0,27.0,74.0,28.0,75.0,29.0,did not hit their potential,
Jores Okore,J. Okore,204163,['CB'],Denmark,Aston Villa,84,77,22,77.0,23.0,73.0,24.0,72.0,25.0,72.0,26.0,,,70.0,28.0,did not hit their potential,
Mbaye Niang,M. Niang,204077,"['ST', 'RW']",France,AC Milan,84,74,20,78.0,21.0,78.0,22.0,77.0,23.0,77.0,24.0,78.0,25.0,76.0,26.0,did not hit their potential,
Viktor Fischer,V. Fischer,203965,['LW'],Denmark,Ajax,84,77,21,74.0,22.0,75.0,23.0,76.0,24.0,78.0,25.0,74.0,26.0,70.0,27.0,did not hit their potential,
Bruno Zuculini,B. Zuculini,203864,"['CM', 'RM']",Argentina,Manchester City,84,74,22,,,71.0,24.0,70.0,25.0,75.0,26.0,73.0,27.0,74.0,28.0,did not hit their potential,
Loris Karius,L. Karius,203775,['GK'],Germany,1. FSV Mainz 05,84,78,22,82.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,78.0,27.0,75.0,28.0,did not hit their potential,
Hector Bellerin Moruno,Héctor Bellerín,203747,['RB'],Spain,Arsenal,84,74,20,79.0,21.0,81.0,22.0,80.0,23.0,80.0,24.0,80.0,25.0,78.0,26.0,did not hit their potential,
Jack Butland,J. Butland,203042,['GK'],England,Stoke City,84,74,22,82.0,23.0,81.0,24.0,81.0,25.0,78.0,26.0,74.0,27.0,73.0,28.0,did not hit their potential,
Stefano Sturaro,S. Sturaro,202135,"['CM', 'CDM']",Italy,Juventus,84,77,22,77.0,23.0,77.0,24.0,76.0,25.0,75.0,26.0,72.0,27.0,72.0,28.0,did not hit their potential,
Harry Kane,H. Kane,202126,"['ST', 'CF']",England,Tottenham Hotspur,84,78,21,84.0,22.0,86.0,23.0,89.0,24.0,89.0,25.0,88.0,26.0,90.0,27.0,exceeded their potential,1.0
Paul Georges Ntep,P. Ntep,201533,"['LM', 'LW']",France,Stade Rennais FC,84,79,22,80.0,23.0,79.0,24.0,77.0,25.0,73.0,26.0,71.0,27.0,67.0,28.0,did not hit their potential,
Geoffrey Kondogbia,G. Kondogbia,201455,"['CDM', 'CM']",France,Inter,84,78,22,76.0,23.0,76.0,24.0,82.0,25.0,81.0,26.0,79.0,27.0,79.0,28.0,did not hit their potential,
Ravel Morrison,R. Morrison,201155,"['CAM', 'CM']",England,Lazio,84,76,22,77.0,23.0,74.0,24.0,,,76.0,26.0,,,72.0,28.0,did not hit their potential,
Muhamed Besic,M. Bešić,200765,"['CDM', 'CB']",Bosnia and Herzegovina,Everton,84,75,22,76.0,23.0,76.0,24.0,75.0,25.0,72.0,26.0,70.0,27.0,70.0,28.0,did not hit their potential,
Cristian Tello Herrera,Cristian Tello,200315,"['RW', 'LW']",Spain,FC Porto,84,79,23,78.0,24.0,77.0,25.0,80.0,26.0,80.0,27.0,78.0,28.0,79.0,29.0,did not hit their potential,
Dennis Praet,D. Praet,199652,"['CAM', 'LM']",Belgium,RSC Anderlecht,84,77,21,78.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,76.0,26.0,78.0,27.0,did not hit their potential,
Vincent Aboubakar,V. Aboubakar,199069,['ST'],Cameroon,FC Porto,84,79,23,78.0,24.0,78.0,25.0,80.0,26.0,78.0,27.0,74.0,28.0,77.0,29.0,did not hit their potential,
Luis Alberto Romero Alconchel,Luis Alberto,198706,"['CF', 'CAM', 'ST']",Spain,Deportivo de La Coruña,84,75,22,,,77.0,24.0,82.0,25.0,84.0,26.0,85.0,27.0,84.0,28.0,lived to expectations,4.0
Manolo Gabbiadini,M. Gabbiadini,198683,"['CAM', 'CF', 'RW']",Italy,Napoli,84,78,23,81.0,24.0,79.0,25.0,77.0,26.0,76.0,27.0,75.0,28.0,75.0,29.0,did not hit their potential,
Phil Jones,P. Jones,194957,"['CB', 'RB']",England,Manchester United,84,80,23,79.0,24.0,79.0,25.0,80.0,26.0,79.0,27.0,75.0,28.0,74.0,29.0,did not hit their potential,
Xherdan Shaqiri,X. Shaqiri,193348,"['RM', 'CAM', 'LM']",Switzerland,Switzerland,84,80,23,82.0,24.0,82.0,25.0,81.0,26.0,82.0,27.0,81.0,28.0,79.0,29.0,did not hit their potential,
Jesus Corona,J. Corona,193165,"['RW', 'LW']",Mexico,Mexico,84,77,22,80.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,84.0,27.0,82.0,28.0,lived to expectations,5.0
Adem Ljajic,A. Ljajić,190544,"['LW', 'RW', 'CF']",Serbia,Roma,84,79,23,78.0,24.0,79.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,76.0,29.0,did not hit their potential,
Jack Wilshere,J. Wilshere,189461,"['CM', 'CDM', 'LM']",England,Arsenal,84,81,23,82.0,24.0,81.0,25.0,80.0,26.0,79.0,27.0,76.0,28.0,,,did not hit their potential,
Kyriakos Papadopoulos,K. Papadopoulos,184477,['CB'],Greece,Bayer 04 Leverkusen,84,79,23,79.0,24.0,79.0,25.0,78.0,26.0,76.0,27.0,,,71.0,29.0,did not hit their potential,
Sebastian Gamarra,S. Gamarra,228742,"['CM', 'CDM']",Bolivia,Attacking,83,67,18,68.0,19.0,,,,,,,63.0,23.0,,,did not hit their potential,
Joel Drommel,J. Drommel,228279,['GK'],Netherlands,FC Twente,83,65,18,67.0,19.0,67.0,20.0,,,72.0,22.0,72.0,23.0,75.0,24.0,still has time,
Petar Stojanovic,P. Stojanović,225995,"['RB', 'RM']",Slovenia,Slovenia,83,72,19,,,,,73.0,22.0,71.0,23.0,72.0,24.0,71.0,25.0,did not hit their potential,
Daniele Verde,D. Verde,225844,"['LW', 'RW']",Italy,Frosinone,83,68,19,70.0,20.0,70.0,21.0,72.0,22.0,72.0,23.0,72.0,24.0,74.0,25.0,did not hit their potential,
Nikolai Laursen,N. Laursen,224859,['RW'],Denmark,PSV,83,63,17,63.0,18.0,,,63.0,20.0,65.0,21.0,70.0,22.0,67.0,23.0,still has time,
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,['ST'],Portugal,FC Paços de Ferreira,83,70,18,75.0,19.0,77.0,20.0,78.0,21.0,80.0,22.0,80.0,23.0,82.0,24.0,lived to expectations,6.0
Manuel Garcia Alonso,Manu García,223978,['CAM'],Spain,Manchester City,83,61,17,67.0,18.0,69.0,19.0,73.0,20.0,71.0,21.0,72.0,22.0,73.0,23.0,still has time,
Aaron Leya Iseka,A. Leya Iseka,223929,['ST'],Belgium,RSC Anderlecht,83,65,17,65.0,18.0,68.0,19.0,69.0,20.0,72.0,21.0,70.0,22.0,70.0,23.0,still has time,
Yusuf Erdogan,Y. Erdoğan,223136,"['LW', 'RW']",Turkey,Trabzonspor,83,76,22,74.0,23.0,73.0,24.0,71.0,25.0,71.0,26.0,71.0,27.0,72.0,28.0,did not hit their potential,
Leroy Sane,L. Sané,222492,"['RM', 'LM', 'ST']",Germany,FC Schalke 04,83,70,19,79.0,20.0,82.0,21.0,86.0,22.0,86.0,23.0,85.0,24.0,84.0,25.0,exceeded their potential,2.0
Thiago Rodrigues Da Silva,Mosquito,222059,['ST'],Brazil,UE Llagostera,83,68,19,,,67.0,21.0,,,,,,,,,did not hit their potential,
Donny Van De Beek,D. van de Beek,221363,['CAM'],Netherlands,Ajax,83,67,18,70.0,19.0,76.0,20.0,77.0,21.0,81.0,22.0,83.0,23.0,81.0,24.0,lived to expectations,5.0
Federico Mattiello,F. Mattiello,220466,"['LB', 'RB']",Italy,Chievo Verona,83,71,19,72.0,20.0,70.0,21.0,72.0,22.0,72.0,23.0,71.0,24.0,71.0,25.0,did not hit their potential,
Simone Scuffet,S. Scuffet,220048,['GK'],Italy,Como,83,72,19,74.0,20.0,75.0,21.0,72.0,22.0,72.0,23.0,72.0,24.0,72.0,25.0,still has time,
Jordan Amavi,J. Amavi,219681,"['LB', 'LM']",France,Aston Villa,83,75,21,76.0,22.0,74.0,23.0,77.0,24.0,74.0,25.0,78.0,26.0,77.0,27.0,did not hit their potential,
Victor Camarasa Ferrando,Camarasa,219571,"['CDM', 'CM']",Spain,Levante Unión Deportiva,83,74,21,76.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,75.0,26.0,72.0,27.0,did not hit their potential,
Dzhamaldin Khodzhaniyazov,D. Khodzhaniyazov,218725,"['LB', 'CB']",Russia,Zenit St. Petersburg,83,69,18,68.0,19.0,,,,,,,,,,,did not hit their potential,
Moses Simon,M. Simon,216820,['ST'],Nigeria,KAA Gent,83,71,19,74.0,20.0,74.0,21.0,,,75.0,23.0,77.0,24.0,75.0,25.0,still has time,
Carlos Manuel Cardoso Mane,Carlos Mané,216749,"['LM', 'RM', 'CF']",Portugal,Sporting CP,83,76,21,76.0,22.0,76.0,23.0,75.0,24.0,74.0,25.0,74.0,26.0,72.0,27.0,did not hit their potential,
Daley Sinkgraven,D. Sinkgraven,216380,"['CAM', 'LW']",Netherlands,Ajax,83,74,19,74.0,20.0,75.0,21.0,72.0,22.0,72.0,23.0,77.0,24.0,75.0,25.0,did not hit their potential,
Kenny Tete,K. Tete,216266,['RB'],Netherlands,Ajax,83,75,19,77.0,20.0,77.0,21.0,78.0,22.0,77.0,23.0,77.0,24.0,75.0,25.0,did not hit their potential,
Inaki Williams Dannis,Williams,216201,"['RW', 'LW', 'ST']",Spain,Athletic Club de Bilbao,83,74,21,80.0,22.0,81.0,23.0,81.0,24.0,82.0,25.0,81.0,26.0,81.0,27.0,lived to expectations,4.0
Aleksandar Mitrovic,A. Mitrović,215716,['ST'],Serbia,Newcastle United,83,76,20,76.0,21.0,75.0,22.0,76.0,23.0,78.0,24.0,77.0,25.0,75.0,26.0,did not hit their potential,
Ruben Miguel Nunes Vezo,Rúben Vezo,215399,['CB'],Portugal,Valencia CF,83,76,21,77.0,22.0,74.0,23.0,77.0,24.0,78.0,25.0,77.0,26.0,76.0,27.0,did not hit their potential,
Gaston Gil Romero,G. Gil Romero,215328,['CM'],Argentina,Estudiantes de La Plata,83,73,22,71.0,23.0,,,70.0,25.0,68.0,26.0,,,68.0,28.0,did not hit their potential,
Hector Villalba,H. Villalba,215107,"['RM', 'ST']",Argentina,San Lorenzo de Almagro,83,73,20,74.0,21.0,74.0,22.0,75.0,23.0,75.0,24.0,74.0,25.0,74.0,26.0,did not hit their potential,
Adama Traore Diarra,Adama,213956,['RW'],Spain,Aston Villa,83,71,19,72.0,20.0,73.0,21.0,75.0,22.0,74.0,23.0,79.0,24.0,78.0,25.0,did not hit their potential,
Ager Aketxe Barrutia,Aketxe,213937,"['CAM', 'CM', 'RW']",Spain,Athletic Club de Bilbao,83,74,21,72.0,22.0,72.0,23.0,72.0,24.0,72.0,25.0,,,71.0,27.0,did not hit their potential,
Santiago Montoya,S. Montoya,213260,['CAM'],Colombia,Vitória de Guimarães,83,75,23,70.0,24.0,71.0,25.0,72.0,26.0,71.0,27.0,69.0,28.0,,,did not hit their potential,
Sven Van Beek,S. van Beek,213000,['CB'],Netherlands,Feyenoord,83,77,20,76.0,21.0,74.0,22.0,75.0,23.0,74.0,24.0,71.0,25.0,70.0,26.0,did not hit their potential,
Daniel Amartey,D. Amartey,212883,"['CM', 'CB']",Ghana,F.C. København,83,70,20,71.0,21.0,75.0,22.0,76.0,23.0,73.0,24.0,73.0,25.0,74.0,26.0,did not hit their potential,
Davie Selke,D. Selke,212626,['ST'],Germany,RB Leipzig,83,72,20,73.0,21.0,72.0,22.0,77.0,23.0,78.0,24.0,73.0,25.0,71.0,26.0,did not hit their potential,
Ivan Cavaleiro,Ivan Cavaleiro,212267,"['LM', 'ST', 'RM']",Portugal,AS Monaco,83,76,21,75.0,22.0,74.0,23.0,75.0,24.0,75.0,25.0,75.0,26.0,73.0,27.0,did not hit their potential,
Bruno Miguel Borges Fernandes,Bruno Fernandes,212198,"['CM', 'CAM', 'CF']",Portugal,Udinese Calcio,83,75,20,76.0,21.0,77.0,22.0,83.0,23.0,85.0,24.0,87.0,25.0,88.0,26.0,exceeded their potential,3.0
Danilo Cataldi,D. Cataldi,211361,"['CM', 'CAM']",Italy,Lazio,83,73,20,75.0,21.0,75.0,22.0,75.0,23.0,75.0,24.0,73.0,25.0,73.0,26.0,did not hit their potential,
Dele Alli,D. Alli,211117,"['CM', 'CDM']",England,Tottenham Hotspur,83,67,19,80.0,20.0,84.0,21.0,84.0,22.0,84.0,23.0,83.0,24.0,80.0,25.0,lived to expectations,2.0
Javier Manquillo Gaitan,Manquillo,210972,['RB'],Spain,Olympique de Marseille,83,72,21,77.0,22.0,76.0,23.0,74.0,24.0,74.0,25.0,76.0,26.0,74.0,27.0,did not hit their potential,
Carles Gil D Vicent,Carles Gil,210930,"['RM', 'CAM']",Spain,Aston Villa,83,74,22,77.0,23.0,78.0,24.0,75.0,25.0,75.0,26.0,76.0,27.0,77.0,28.0,did not hit their potential,
Angelo Henriquez,Á. Henríquez,210296,['ST'],Chile,Chile,83,73,21,,,,,72.0,24.0,71.0,25.0,,,,,did not hit their potential,
Adrien Rabiot,A. Rabiot,210008,"['CM', 'CDM']",France,Paris Saint-Germain,83,76,20,78.0,21.0,80.0,22.0,83.0,23.0,83.0,24.0,81.0,25.0,81.0,26.0,lived to expectations,3.0
Kevin Wimmer,K. Wimmer,209997,['CB'],Austria,Tottenham Hotspur,83,77,22,79.0,23.0,78.0,24.0,75.0,25.0,73.0,26.0,71.0,27.0,69.0,28.0,did not hit their potential,
Hakim Ziyech,H. Ziyech,208670,['CAM'],Netherlands,FC Twente,83,77,22,80.0,23.0,81.0,24.0,82.0,25.0,85.0,26.0,85.0,27.0,84.0,28.0,exceeded their potential,3.0
Saul Niguez Esclapez,Saúl,208421,"['CDM', 'CM', 'CB']",Spain,Atlético de Madrid,83,76,20,80.0,21.0,82.0,22.0,85.0,23.0,85.0,24.0,84.0,25.0,82.0,26.0,exceeded their potential,2.0
Hakan Calhanoglu,H. Çalhanoğlu,208128,"['CAM', 'CF', 'CM']",Turkey,Bayer 04 Leverkusen,83,78,21,80.0,22.0,79.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,82.0,27.0,lived to expectations,6.0
Imoh Ezekiel,I. Ezekiel,208022,['ST'],Nigeria,RSC Anderlecht,83,75,21,,,75.0,23.0,,,68.0,25.0,65.0,26.0,,,did not hit their potential,
Sergio Rico Gonzalez,Sergio Rico,206652,['GK'],Spain,Sevilla FC,83,74,21,80.0,22.0,81.0,23.0,80.0,24.0,77.0,25.0,77.0,26.0,77.0,27.0,did not hit their potential,
