Player name,Known as,player_id,position,nationality,team,Fifa 15 Potential rating,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Connor Wickham,C. Wickham,191089,"['ST', 'LM']",England,Sunderland,83,72,21,73,22,74,23,72,24,72,25,70,26,69,27,66,28
Gokhan Tore,G. Töre,191032,"['RM', 'LM']",Turkey,Beşiktaş JK,83,78,22,80,23,79,24,78,25,76,26,74,27,74,28,73,29
Jeroen Zoet,J. Zoet,190778,['GK'],Netherlands,PSV,83,77,23,78,24,80,25,79,26,80,27,80,28,76,29,75,30
James Mccarthy,J. McCarthy,188253,"['CDM', 'CM']",Republic of Ireland,Everton,83,79,23,80,24,81,25,80,26,78,27,75,28,76,29,74,30
Danny Welbeck,D. Welbeck,186146,"['ST', 'CF', 'LM']",England,Manchester United,83,78,23,79,24,80,25,80,26,77,27,78,28,74,29,73,30
Georginio Wijnaldum,G. Wijnaldum,181291,"['CAM', 'RW', 'CM']",Netherlands,PSV,83,78,23,80,24,81,25,82,26,82,27,84,28,85,29,84,30
Ali Adnan,A. Adnan,223198,['LB'],Iraq,Çaykur Rizespor,82,73,20,71,21,73,22,73,23,73,24,75,25,75,26,73,27
Enes Unal,E. Ünal,223197,['ST'],Turkey,Bursaspor,82,69,17,69,18,70,19,74,20,78,21,77,22,75,23,75,24
Younes Bnou Marzuk,Y. Bnou-Marzuk,222394,['ST'],France,Juventus,82,63,18,66,19,,,67,21,67,22,66,23,,,61,25
Sebastian Cristoforo,S. Cristóforo,219712,['CDM'],Uruguay,Sevilla FC,82,71,20,71,21,78,22,76,23,75,24,75,25,74,26,74,27
Salih Ucan,S. Uçan,216814,"['CM', 'CAM']",Turkey,Roma,82,71,20,73,21,74,22,74,23,73,24,71,25,70,26,75,27
Federico Cartabia,F. Cartabia,216796,"['LM', 'RM']",Argentina,Córdoba CF,82,74,21,75,22,77,23,76,24,76,25,,,,,,
Carlos Manuel Cardoso Mane,Carlos Mané,216749,"['RW', 'CAM', 'LW']",Portugal,Sporting CP,82,74,20,76,21,76,22,76,23,75,24,74,25,74,26,72,27
Gedion Zelalem,G. Zelalem,216699,['CM'],Germany,Arsenal,82,62,17,,,67,19,65,20,65,21,64,22,63,23,63,24
Daley Sinkgraven,D. Sinkgraven,216380,"['CAM', 'LW']",Netherlands,SC Heerenveen,82,67,18,74,19,74,20,75,21,72,22,72,23,77,24,75,25
Gaston Gil Romero,G. Gil Romero,215328,['CM'],Argentina,Estudiantes de La Plata,82,72,21,73,22,71,23,,,70,25,68,26,,,68,28
Eder Alvarez Balanta,É. Álvarez Balanta,213899,['CB'],Colombia,River Plate,82,75,21,75,22,75,23,76,24,76,25,75,26,76,27,75,28
Pierre Emile Hojbjerg,P. Højbjerg,213648,"['CM', 'CDM', 'CAM']",Denmark,FC Bayern München,82,67,18,73,19,74,20,75,21,76,22,77,23,80,24,83,25
Riechedly Bazoer,R. Bazoer,212269,['CDM'],Netherlands,Ajax,82,64,17,75,18,77,19,75,20,74,21,73,22,72,23,76,24
Ivan Cavaleiro,Ivan Cavaleiro,212267,['RM'],Portugal,Deportivo de La Coruña,82,71,20,76,21,75,22,74,23,75,24,75,25,75,26,73,27
Iuri Jose Picanco Medeiros,Iuri Medeiros,212230,"['LW', 'CAM']",Portugal,Sporting CP,82,68,19,73,20,77,21,78,22,76,23,74,24,68,25,72,26
Neal Maupay,N. Maupay,211784,"['ST', 'RW']",France,OGC Nice,82,64,17,70,18,69,19,71,20,70,21,75,22,77,23,77,24
Alexandru Maxim,A. Maxim,211061,"['CAM', 'CF']",Romania,VfB Stuttgart,82,77,23,77,24,76,25,75,26,73,27,73,28,72,29,74,30
Joao Pedro Cavaco Cancelo,João Cancelo,210514,['RB'],Portugal,Valencia CF,82,70,20,73,21,79,22,79,23,81,24,84,25,83,26,86,27
Alejandro Grimaldo Garcia,Grimaldo,210035,['LB'],Spain,FC Barcelona B,82,68,18,70,19,77,20,80,21,81,22,83,23,84,24,82,25
Nathan Ake,N. Aké,208920,"['CB', 'CDM']",Netherlands,Chelsea,82,67,19,69,20,72,21,75,22,79,23,80,24,79,25,78,26
Hakim Ziyech,H. Ziyech,208670,['CAM'],Netherlands,FC Twente,82,74,21,77,22,80,23,81,24,82,25,85,26,85,27,84,28
Saul Niguez Esclapez,Saúl,208421,"['CDM', 'RM', 'CB']",Spain,Atlético de Madrid,82,74,19,76,20,80,21,82,22,85,23,85,24,84,25,82,26
Erik Durm,E. Durm,207920,"['LB', 'RB']",Germany,Borussia Dortmund,82,73,22,76,23,76,24,77,25,75,26,74,27,73,28,74,29
Kaan Ayhan,K. Ayhan,207790,"['CB', 'CDM', 'RB']",Turkey,FC Schalke 04,82,67,19,71,20,71,21,71,22,75,23,77,24,75,25,75,26
Filipe Augusto Carvalho Souza,Filipe Augusto,207733,['CM'],Brazil,Rio Ave FC,82,71,20,73,21,73,22,74,23,73,24,72,25,75,26,73,27
Moises Gomez Bordonado,Moi Gómez,206590,"['LM', 'RM', 'CAM']",Spain,Villarreal CF,82,74,20,78,21,74,22,74,23,74,24,73,25,77,26,78,27
Jack Grealish,J. Grealish,206517,"['LM', 'CAM']",Republic of Ireland,Aston Villa,82,65,18,72,19,72,20,73,21,74,22,77,23,80,24,84,25
Maximilian Arnold,M. Arnold,206511,"['CAM', 'LM', 'CM']",Germany,VfL Wolfsburg,82,75,20,77,21,79,22,79,23,78,24,79,25,79,26,81,27
Serge Gnabry,S. Gnabry,206113,['RM'],Germany,Arsenal,82,70,18,70,19,73,20,79,21,82,22,84,23,85,24,85,25
Marko Livaja,M. Livaja,205855,['ST'],Croatia,Rubin Kazan,82,70,20,,,75,22,75,23,76,24,76,25,76,26,75,27
Alessio Cragno,A. Cragno,205659,['GK'],Italy,Cagliari,82,67,20,70,21,69,22,72,23,75,24,81,25,81,26,81,27
Samuel Umtiti,S. Umtiti,205600,"['CB', 'LB']",France,Olympique Lyonnais,82,76,20,79,21,82,22,83,23,87,24,86,25,83,26,80,27
Antonio Rudiger,A. Rüdiger,205452,"['CB', 'RB']",Germany,VfB Stuttgart,82,74,21,76,22,77,23,82,24,81,25,82,26,81,27,83,28
Matija Nastasic,M. Nastasić,205362,['CB'],Serbia,Manchester City,82,77,21,79,22,80,23,80,24,81,25,80,26,77,27,74,28
Stefan Savic,S. Savić,204639,['CB'],Montenegro,Fiorentina,82,78,23,81,24,82,25,82,26,83,27,82,28,81,29,84,30
Ruben Pardo Gutierrez,Rubén Pardo,204523,['CM'],Spain,Real Sociedad,82,76,21,79,22,77,23,79,24,75,25,74,26,72,27,72,28
Jores Okore,J. Okore,204163,"['CB', 'RB']",Denmark,Aston Villa,82,73,21,77,22,77,23,73,24,72,25,72,26,,,70,28
Lucas Andersen,L. Andersen,203903,"['CAM', 'LW', 'RW']",Denmark,Ajax,82,71,19,73,20,72,21,76,22,73,23,75,24,76,25,73,26
Sime Vrsaljko,Š. Vrsaljko,203890,"['RM', 'RB']",Croatia,U.S. Sassuolo Calcio,82,72,22,75,23,79,24,79,25,81,26,80,27,80,28,80,29
Massimo Bruno,M. Bruno,203633,"['RM', 'CAM']",Belgium,FC Red Bull Salzburg,82,72,20,74,21,72,22,72,23,71,24,72,25,73,26,,
Alessandro Florenzi,A. Florenzi,203551,"['RW', 'LW', 'CM']",Italy,Roma,82,76,23,77,24,82,25,82,26,82,27,81,28,81,29,81,30
Davy Klaassen,D. Klaassen,203483,"['CAM', 'CM']",Netherlands,Ajax,82,75,21,79,22,80,23,82,24,79,25,80,26,77,27,79,28
Kyle Ebecilio,K. Ebecilio,202802,"['CM', 'CDM']",Netherlands,FC Twente,82,72,20,72,21,70,22,,,66,24,,,,,,
Eric Dier,E. Dier,202335,"['CB', 'CDM']",England,Tottenham Hotspur,82,73,20,74,21,78,22,82,23,80,24,79,25,78,26,79,27
Johannes Geis,J. Geis,202087,['CDM'],Germany,1. FSV Mainz 05,82,76,20,79,21,79,22,77,23,75,24,74,25,73,26,71,27
Ahmed Musa,A. Musa,201818,"['ST', 'LM']",Nigeria,PFC CSKA Moscow,82,75,21,76,22,78,23,76,24,75,25,73,26,73,27,72,28
Jordan Veretout,J. Veretout,201519,"['CM', 'CDM', 'CAM']",France,FC Nantes,82,72,21,76,22,76,23,77,24,78,25,78,26,79,27,81,28
Gaston Ramirez,G. Ramirez,201508,"['CAM', 'RM']",Uruguay,Southampton,82,78,23,78,24,78,25,78,26,79,27,78,28,77,29,77,30
Rafael Alcantara,Rafinha,201400,"['CAM', 'CM', 'RM', 'RW']",Brazil,FC Barcelona,82,78,21,79,22,80,23,81,24,82,25,81,26,79,27,80,28
Nicola Leali,N. Leali,201299,['GK'],Italy,Cesena,82,71,21,72,22,73,23,71,24,70,25,70,26,,,,
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,Atlético de Madrid,82,77,21,81,22,87,23,88,24,90,25,91,26,91,27,91,28
Sebastian Rode,S. Rode,200215,"['CDM', 'CM']",Germany,FC Bayern München,82,77,23,79,24,80,25,78,26,77,27,78,28,77,29,77,30
Dennis Praet,D. Praet,199652,"['LM', 'CAM']",Belgium,RSC Anderlecht,82,72,20,77,21,78,22,76,23,76,24,76,25,76,26,78,27
Manolo Gabbiadini,M. Gabbiadini,198683,"['CAM', 'CF']",Italy,U.C. Sampdoria,82,75,22,78,23,81,24,79,25,77,26,76,27,75,28,75,29
Josip Drmic,J. Drmić,198504,"['ST', 'LM', 'RM']",Switzerland,Bayer 04 Leverkusen,82,77,21,77,22,76,23,74,24,75,25,75,26,72,27,,
Pierre Michel Lasogga,P. Lasogga,198196,['ST'],Germany,Hamburger SV,82,78,22,76,23,77,24,74,25,72,26,,,,,,
Stefan De Vrij,S. de Vrij,198176,['CB'],Netherlands,Lazio,82,78,22,82,23,82,24,83,25,84,26,84,27,84,28,85,29
Oguzhan Ozyakup,O. Özyakup,196934,"['CAM', 'CM']",Turkey,Beşiktaş JK,82,78,21,77,22,81,23,80,24,78,25,77,26,75,27,73,28
Kevin Kampl,K. Kampl,195365,"['RM', 'RW', 'CAM']",Slovenia,FC Red Bull Salzburg,82,77,23,77,24,80,25,81,26,82,27,83,28,81,29,81,30
Andros Townsend,A. Townsend,194932,"['RM', 'LM']",England,Tottenham Hotspur,82,74,22,75,23,78,24,78,25,78,26,78,27,77,28,77,29
Hugo Mallo Novegil,Hugo Mallo,194229,['RB'],Spain,RC Celta de Vigo,82,75,23,78,24,80,25,80,26,80,27,78,28,78,29,77,30
Alper Potuk,A. Potuk,194079,"['CAM', 'LM', 'CM']",Turkey,Fenerbahçe SK,82,76,23,76,24,77,25,77,26,76,27,75,28,72,29,70,30
Jano Ananidze,J. Ananidze,193897,"['CAM', 'LM']",Georgia,Spartak Moskva,82,75,21,74,22,74,23,75,24,75,25,74,26,,,,
Steven Caulker,S. Caulker,193504,['CB'],England,Queens Park Rangers,82,76,22,77,23,77,24,73,25,69,26,69,27,70,28,74,29
Maxime Lestienne,M. Lestienne,192537,['LW'],Belgium,Club Brugge KV,82,75,22,77,23,75,24,76,25,75,26,73,27,74,28,73,29
Alexandr Kokorin,A. Kokorin,192086,"['ST', 'CAM']",Russia,Dinamo Moscow,82,78,23,78,24,77,25,78,26,,,,,78,29,75,30
Diego Reyes,D. Reyes,192012,['CB'],Mexico,FC Porto,82,72,21,74,22,78,23,77,24,77,25,76,26,72,27,67,28
Adem Ljajic,A. Ljajić,190544,"['LW', 'RW', 'CF']",Serbia,Roma,82,76,22,79,23,78,24,79,25,80,26,81,27,80,28,76,29
Rafael Pereira Da Silva,Rafael,189681,['RB'],Brazil,Manchester United,82,77,23,77,24,78,25,79,26,79,27,78,28,77,29,76,30
Roman Burki,R. Bürki,189117,['GK'],Switzerland,Sport-Club Freiburg,82,74,23,80,24,81,25,84,26,81,27,85,28,84,29,80,30
Jack Rodwell,J. Rodwell,183465,['CM'],England,Sunderland,82,76,23,76,24,76,25,74,26,,,,,,,67,30
Sergio Buenacasa Alba,Sergio Buenacasa,225090,['ST'],Spain,Juventus,81,62,18,65,19,64,20,,,64,22,65,23,62,24,,
Mario Pasalic,M. Pašalić,223273,"['CM', 'CAM', 'CDM']",Croatia,Elche CF,81,70,19,72,20,,,76,22,76,23,77,24,77,25,78,26
Bernard Mensah,B. Mensah,222457,"['CAM', 'LM']",Ghana,Vitória de Guimarães,81,69,19,76,20,72,21,72,22,74,23,73,24,75,25,73,26
Joseph Minala,J. Minala,222391,"['CAM', 'CM']",Cameroon,Bari,81,64,17,67,18,68,19,68,20,70,21,69,22,68,23,,
Adam Armstrong,A. Armstrong,221841,['CF'],England,Newcastle United,81,62,17,63,18,68,19,68,20,68,21,69,22,73,23,76,24
Milos Jojic,M. Jojić,221838,"['CM', 'CAM', 'LM']",Serbia,Borussia Dortmund,81,75,22,75,23,75,24,76,25,74,26,73,27,70,28,,
Luciano Acosta,L. Acosta,221634,['CAM'],Argentina,Boca Juniors,81,70,20,70,21,71,22,72,23,72,24,76,25,73,26,75,27
Lucas Hernandez,L. Hernández,220814,"['CB', 'LB']",France,Atlético de Madrid,81,63,18,66,19,75,20,76,21,82,22,84,23,82,24,83,25
Dzhamaldin Khodzhaniyazov,D. Khodzhaniyazov,218725,"['LB', 'CB']",Turkmenistan,Zenit St. Petersburg,81,67,17,69,18,68,19,,,,,,,,,,
Bernardo Mota Carvalho E Silva,Bernardo Silva,218667,['CAM'],Portugal,AS Monaco,81,69,19,79,20,81,21,84,22,84,23,87,24,87,25,86,26
Yuya Kubo,Y. Kubo,217242,"['CAM', 'CF', 'LW']",Japan,BSC Young Boys,81,69,20,70,21,72,22,75,23,73,24,72,25,72,26,68,27
Oscar Gil Oses,Óscar Gil,216461,"['CDM', 'CM', 'CB']",Spain,Athletic Club de Bilbao,81,62,19,63,20,72,21,,,,,65,24,,,64,26
Jose Maria Gimenez,J. Giménez,216460,"['CB', 'RB']",Uruguay,Atlético de Madrid,81,71,19,78,20,83,21,83,22,84,23,85,24,84,25,84,26
Andrew Robertson,A. Robertson,216267,"['LB', 'LWB']",Scotland,Scotland,81,69,20,73,21,75,22,75,23,81,24,85,25,87,26,87,27
Mamadou Tounkara,M. Tounkara,215777,['ST'],Spain,Lazio,81,61,18,65,19,65,20,65,21,,,,,,,,
Ruben Miguel Nunes Vezo,Rúben Vezo,215399,['CB'],Portugal,Valencia CF,81,72,20,76,21,77,22,74,23,77,24,78,25,77,26,76,27
Diego Rojas,D. Rojas,214919,"['CAM', 'CM']",Chile,Universidad Católica,81,65,19,67,20,69,21,,,67,23,70,24,68,25,,
James Wilson,J. Wilson,213642,['ST'],England,Manchester United,81,63,18,66,19,69,20,69,21,66,22,66,23,63,24,63,25
Brayan Perea,B. Perea,213303,['ST'],Colombia,Lazio,81,71,21,69,22,70,23,,,,,64,26,,,,
Nabil Bentaleb,N. Bentaleb,213296,"['CM', 'CDM']",Algeria,Tottenham Hotspur,81,68,19,75,20,75,21,80,22,79,23,77,24,75,25,73,26
Antonio Jose Pinheiro Carvalho,Tozé,212729,"['CAM', 'LW']",Portugal,Estoril Praia,81,70,21,75,22,73,23,74,24,75,25,,,,,,
Marian Sarr,M. Sarr,212628,"['CB', 'LB']",Germany,Borussia Dortmund,81,63,19,67,20,65,21,,,63,23,64,24,,,,
Rodrigo De Paul,R. De Paul,212616,"['LM', 'CAM']",Argentina,Valencia CF,81,71,20,76,21,75,22,74,23,75,24,78,25,77,26,82,27
Ali Ghazal,A. Ghazal,212469,['CDM'],Egypt,CD Nacional,81,74,22,77,23,76,24,73,25,72,26,69,27,,,,
Federico Bernardeschi,F. Bernardeschi,212404,"['RW', 'LW']",Italy,Fiorentina,81,67,20,71,21,78,22,82,23,82,24,83,25,80,26,79,27
Borja Lopez Menendez,Borja López,212129,['CB'],Spain,AS Monaco,81,70,20,71,21,71,22,,,,,70,25,68,26,70,27
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Empoli,81,67,19,78,20,79,21,80,22,82,23,82,24,80,25,77,26
Anthony Martial,A. Martial,211300,['ST'],France,AS Monaco,81,69,18,77,19,82,20,82,21,83,22,83,23,84,24,81,25
Adrian Centurion,A. Centurión,211267,['RM'],Argentina,Racing Club,81,74,21,,,72,23,74,24,79,25,77,26,77,27,75,28
Valentino Lazaro,V. Lazaro,211147,"['LM', 'RM', 'CAM', 'CM']",Austria,FC Red Bull Salzburg,81,65,18,69,19,72,20,71,21,77,22,75,23,79,24,77,25
Dario Del Fabro,D. Del Fabro,211067,['CB'],Italy,Pescara,81,68,19,67,20,68,21,67,22,68,23,66,24,,,65,26
Ruben Garcia Santos,Rubén García,211022,"['LM', 'CAM', 'RM']",Spain,Levante Unión Deportiva,81,74,20,74,21,73,22,73,23,72,24,74,25,79,26,79,27
Bjorn Engels,B. Engels,210828,['CB'],Belgium,Club Brugge KV,81,71,19,74,20,76,21,75,22,,,76,24,74,25,73,26
Paulo Andre R Oliveira,Paulo Oliveira,210679,['CB'],Portugal,Sporting CP,81,73,22,79,23,79,24,78,26,78,27,76,27,76,28,76,29
Alessio Romagnoli,A. Romagnoli,210413,"['CB', 'LB']",Italy,Roma,81,71,19,75,20,78,21,79,22,82,23,83,24,83,25,82,26
Raphael Guerreiro,R. Guerreiro,209889,"['LB', 'LM']",Portugal,FC Lorient,81,70,20,76,21,76,22,81,23,79,24,81,25,84,26,84,27
Derlis Gonzalez,D. González,209523,"['RM', 'CF', 'ST', 'LM']",Paraguay,FC Basel 1893,81,69,20,74,21,75,22,75,23,,,,,76,26,74,27
Bard Finne,B. Finne,209264,"['ST', 'LW', 'RW']",Norway,1. FC Köln,81,65,19,67,20,68,21,66,22,66,23,66,24,66,25,66,26
Guilherme Dos Santos Torres,Guilherme,209236,"['CDM', 'CM']",Brazil,Udinese Calcio,81,73,23,74,24,75,25,76,26,76,27,76,28,77,29,,
Ryan Gauld,R. Gauld,208919,"['CAM', 'LW', 'RW']",Scotland,Sporting CP,81,66,18,73,19,73,20,73,21,71,22,,,70,24,75,25
Bryan Cristante,B. Cristante,208268,['CM'],Italy,AC Milan,81,70,19,72,20,72,21,72,22,78,23,78,24,78,25,78,26
Victor Vinicius Coelho Dos Santos,Vitinho,208008,"['CAM', 'ST']",Brazil,PFC CSKA Moscow,81,72,20,,,,,77,23,,,,,,,,
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,81,72,20,78,21,79,22,77,23,76,24,75,25,77,26,73,27
Christian Atsu,C. Atsu,205601,"['CAM', 'RW', 'LW']",Ghana,Everton,81,75,22,76,23,76,24,75,25,75,26,74,27,74,28,72,29
Flavio Nunes Ferreira,Flávio Ferreira,205545,['CB'],Portugal,Málaga CF,81,72,22,74,23,,,,,,,,,,,,
Tiago Almeida Ilori,Ilori,205185,['CB'],Portugal,FC Girondins de Bordeaux,81,73,21,74,22,75,23,73,24,68,25,69,26,,,67,28
Arkadiusz Milik,A. Milik,205175,['ST'],Poland,Ajax,81,69,20,77,21,79,22,79,23,80,24,83,25,81,26,81,27
