Player name,Known as,player_id,position,nationality,team,Fifa 20 Potential rating,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Carles Alena Castillo,Aleñá,233113,"['CM', 'RW', 'CAM']",Spain,FC Barcelona,85,76,21,74,22,74,23
Christopher Nkunku,C. Nkunku,232411,"['CM', 'LW', 'RW']",France,RB Leipzig,85,77,21,80,22,81,23
Wesley Moraes Ferreira Da Silva,Wesley,232381,['ST'],Brazil,Aston Villa,85,79,22,76,23,76,24
Victor Osimhen,V. Osimhen,232293,['ST'],Nigeria,LOSC Lille,85,74,20,79,21,80,22
Reiss Nelson,R. Nelson,231448,"['RW', 'LW', 'LM']",England,Arsenal,85,72,19,72,20,73,21
Donyell Malen,D. Malen,231447,"['ST', 'LW']",Netherlands,PSV,85,76,20,78,21,80,22
Tammy Abraham,T. Abraham,231352,['ST'],England,Chelsea,85,76,21,78,22,78,23
Ben Chilwell,B. Chilwell,229984,['LB'],England,Leicester City,85,79,22,81,23,82,24
Eduardo Exposito Jaen,Edu Expósito,229862,"['CM', 'CAM']",Spain,SD Eibar,85,76,22,76,23,76,24
Djibril Sow,D. Sow,229752,['CM'],Switzerland,Eintracht Frankfurt,85,74,22,74,23,77,24
Nicolas Benedetti,N. Benedetti,229699,"['CAM', 'RM']",Colombia,Club América,85,74,22,72,23,72,24
Milot Rashica,M. Rashica,229167,"['LW', 'CF', 'RW']",Kosovo,SV Werder Bremen,85,79,23,79,24,77,25
Aleix Garcia Serrano,Aleix García,228813,['CM'],Spain,Manchester City,85,74,22,73,23,72,24
Oleksandr Zinchenko,O. Zinchenko,227813,['LB'],Ukraine,Manchester City,85,78,22,80,23,80,24
Jacob Bruun Larsen,J. Larsen,227503,['LM'],Denmark,Borussia Dortmund,85,75,20,74,21,73,22
Benjamin Pavard,B. Pavard,226851,"['CB', 'RB']",France,FC Bayern München,85,79,23,81,24,79,25
Ianis Hagi,I. Hagi,226568,"['CAM', 'LW', 'RW']",Romania,KRC Genk,85,74,20,73,21,74,22
Maximilian Eggestein,M. Eggestein,226168,"['CM', 'CAM', 'CDM']",Germany,SV Werder Bremen,85,80,22,76,23,75,24
Nordi Mukiele,N. Mukiele,226166,"['CB', 'RB']",France,RB Leipzig,85,77,21,80,22,81,23
Abdou Diallo,A. Diallo,225711,"['CB', 'LB']",France,Paris Saint-Germain,85,79,23,78,24,78,25
Alexandr Golovin,A. Golovin,225663,"['CAM', 'CM']",Russia,AS Monaco,85,79,23,79,24,79,25
Ilzat Akhmetov,I. Akhmetov,225614,"['CM', 'CAM']",Russia,PFC CSKA Moscow,85,73,21,72,22,72,23
Nadiem Amiri,N. Amiri,225309,"['CAM', 'CM']",Germany,Bayer 04 Leverkusen,85,78,22,77,23,77,24
Jonathan Bamba,J. Bamba,225085,['LM'],France,LOSC Lille,85,78,23,78,24,80,25
Alexander Nubel,A. Nübel,223885,['GK'],Germany,FC Schalke 04,85,75,22,75,23,75,24
Jorge Mere Perez,Jorge Meré,223033,['CB'],Spain,1. FC Köln,85,77,22,72,23,72,24
Martin Odegaard,M. Ødegaard,222665,"['RW', 'CAM', 'CM']",Norway,Real Sociedad,85,78,20,83,21,82,22
Timothy Castagne,T. Castagne,222501,"['LM', 'RM', 'RB']",Belgium,Atalanta,85,76,23,77,24,79,25
Anton Miranchuk,A. Miranchuk,222368,"['CAM', 'RM']",Russia,Russia,85,77,23,76,24,76,25
Breel Embolo,B. Embolo,222357,"['ST', 'RW']",Switzerland,Borussia Mönchengladbach,85,76,22,78,23,77,24
Lukas Klostermann,L. Klostermann,222331,"['RB', 'LB']",Germany,Germany,85,79,23,80,24,80,25
Harry Wilson,H. Wilson,220710,"['RW', 'CM', 'RM']",Wales,Wales,85,75,22,77,23,75,24
Ruben Loftus Cheek,R. Loftus-Cheek,213666,"['CM', 'LM']",England,Chelsea,85,79,23,78,24,75,25
Marcos Paulo Mesquita Lopes,Rony Lopes,212692,"['LM', 'LW']",Portugal,Sevilla FC,85,80,23,78,24,76,25
Santiago Mina Lorenzo,Santi Mina,212623,['ST'],Spain,RC Celta de Vigo,85,80,23,76,24,77,25
Moussa Dembele,M. Dembélé,211591,['ST'],France,Olympique Lyonnais,85,80,22,81,23,78,24
Jack Grealish,J. Grealish,206517,"['CAM', 'CM']",England,Aston Villa,85,77,23,80,24,84,25
Tiago Emanuel Embalo Djalo,Tiago Djaló,252339,['CB'],Portugal,LOSC Lille,84,66,19,68,20,74,21
Romario Manuel Silva Baro,Romário Baró,252038,"['CAM', 'RM']",Portugal,FC Porto,84,70,19,73,20,72,21
Jonathan Panzo,J. Panzo,252001,['CB'],England,AS Monaco,84,65,18,,,70,20
Nuno Albertino Varela Tavares,Nuno Tavares,251530,"['LB', 'RB']",Portugal,SL Benfica,84,72,19,72,20,70,21
Ellis Simms,E. Simms,251198,['ST'],England,Everton,84,64,18,63,19,65,20
Nicolo Armini,N. Armini,248874,['CB'],Italy,Lazio,84,66,18,65,19,65,20
Alex Kral,A. Král,247028,"['CDM', 'CB', 'CM']",Czech Republic,SK Slavia Praha,84,74,21,74,22,75,23
Alessio Riccardi,A. Riccardi,246861,"['CM', 'CAM']",Italy,Roma,84,63,18,62,19,61,20
Miguel Mariz Luis,Miguel Luís,246309,['CM'],Portugal,Sporting CP,84,70,20,69,21,68,22
Adria Giner Pedrosa,Adrià Pedrosa,246113,['LB'],Spain,RCD Espanyol de Barcelona,84,74,21,75,22,75,23
Billy Gilmour,B. Gilmour,245992,"['CM', 'CAM']",Scotland,Chelsea,84,62,18,71,19,72,20
Giorgi Tsitaishvili,G. Tsitaishvili,245131,"['RM', 'LM']",Ukraine,Dynamo Kyiv,84,66,18,72,19,,
Ivanildo Jorge Mendes Fernandes,Ivanildo Fernandes,244963,['CB'],Portugal,Trabzonspor,84,75,23,73,24,71,25
Sofiane Diop,S. Diop,244892,"['LM', 'CM', 'CAM']",France,AS Monaco,84,67,19,66,20,77,21
Francisco Mota Castro Trincao,Francisco Trincão,244778,"['RW', 'LW']",Portugal,SC Braga,84,71,19,78,20,76,21
Oihan Sancet Tirapu,Sancet,244675,"['CM', 'CAM']",Spain,Athletic Club de Bilbao,84,69,19,72,20,73,21
Jayden Bogle,J. Bogle,244591,['RB'],England,Derby County,84,69,18,72,19,74,20
Dennis Jastrzembski,D. Jastrzembski,244509,"['LM', 'CAM']",Germany,Hertha BSC,84,66,19,67,20,65,21
Adam Idah,A. Idah,244288,['ST'],Republic of Ireland,Norwich City,84,63,18,65,19,67,20
Francisco L Lima Silva Machado,Chiquinho,243686,"['CAM', 'CM', 'RM']",Portugal,SL Benfica,84,77,23,76,24,74,25
Gavin Bazunu,G. Bazunu,243585,['GK'],Republic of Ireland,Manchester City,84,59,17,,,63,19
Ikoma Lois Openda,I. Openda,243580,"['ST', 'LW']",Belgium,Club Brugge KV,84,70,19,70,20,71,21
Pedro Antonio Porro Sauceda,Pedro Porro,243576,"['RWB', 'RB', 'RM']",Spain,Real Valladolid CF,84,73,19,73,20,80,21
