Player name,Known as,player_id,position,nationality,team,Fifa 12 Potential rating,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 12 outcome,Year potential reached
Mamadou Sakho,M. Sakho,183285,"['CB', 'LB']",France,Paris Saint-Germain,85,81,21,80.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,82.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Andy Carroll,A. Carroll,182836,['ST'],England,Liverpool,85,81,22,78.0,23.0,77.0,24.0,77.0,25.0,78.0,26.0,78.0,27.0,78.0,28.0,77.0,29.0,75.0,30.0,74.0,31.0,71.0,32.0,did not hit their potential,
Stevan Jovetic,S. Jovetić,181820,"['CF', 'ST', 'CAM']",Montenegro,Fiorentina,85,81,21,83.0,22.0,84.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,77.0,30.0,77.0,31.0,lived to expectations,2.0
Carlos Eduardo Marques Carlini,Carlos Eduardo,181392,"['CAM', 'RW', 'RM', 'CM']",Brazil,Rubin Kazan,85,81,23,80.0,24.0,76.0,25.0,71.0,26.0,73.0,27.0,,,,,,,,,,,,,did not hit their potential,
Nikolay Mihaylov,N. Mihaylov,178767,['GK'],Bulgaria,Bulgaria,85,79,23,78.0,24.0,77.0,25.0,73.0,26.0,72.0,27.0,,,,,,,66.0,31.0,66.0,32.0,,,did not hit their potential,
Javier Hernandez Balcazar,J. Hernández,178224,"['ST', 'CF', 'LW']",Mexico,Manchester United,85,82,23,82.0,24.0,82.0,25.0,81.0,26.0,80.0,27.0,83.0,28.0,82.0,29.0,79.0,30.0,78.0,31.0,78.0,32.0,78.0,33.0,did not hit their potential,
Rui Pedro dos Santos Patricio,Rui Patrício,178005,['GK'],Portugal,Sporting CP,85,80,23,81.0,24.0,81.0,25.0,80.0,26.0,81.0,27.0,84.0,28.0,83.0,29.0,83.0,30.0,83.0,31.0,84.0,32.0,82.0,33.0,lived to expectations,5.0
André Morgan Rami Ayew,A. Ayew,176571,"['LM', 'LW', 'CAM', 'CM']",Ghana,Olympique de Marseille,85,81,21,81.0,22.0,80.0,23.0,78.0,24.0,79.0,25.0,80.0,26.0,80.0,27.0,77.0,28.0,76.0,29.0,76.0,30.0,,,did not hit their potential,
Renato Soares de Oliveira Augusto,Renato Augusto,169195,"['CAM', 'RM', 'CM', 'CF']",Brazil,Bayer 04 Leverkusen,85,83,23,81.0,24.0,80.0,25.0,,,,,,,80.0,29.0,81.0,30.0,81.0,31.0,83.0,32.0,,,did not hit their potential,
Ivan Rakitic,I. Rakitić,168651,"['CM', 'CDM', 'LM', 'CAM']",Croatia,Sevilla FC,85,79,23,77.0,24.0,81.0,25.0,83.0,26.0,84.0,27.0,87.0,28.0,87.0,29.0,87.0,30.0,86.0,31.0,82.0,32.0,82.0,33.0,exceeded their potential,4.0
Adam Johnson,A. Johnson,165740,"['LW', 'LM', 'RM', 'RW']",England,Manchester City,85,82,23,80.0,24.0,77.0,25.0,77.0,26.0,78.0,27.0,,,,,,,,,,,,,did not hit their potential,
Nadir Minotti,N. Minotti,205715,"['CAM', 'CM']",Italy,Atalanta,84,64,19,65.0,20.0,60.0,21.0,61.0,22.0,63.0,23.0,,,62.0,25.0,,,,,,,,,did not hit their potential,
Weverson Leandro Oliveira Moura,Leandro,203431,"['CF', 'RW', 'LW', 'ST']",Brazil,Grêmio,84,71,18,73.0,19.0,75.0,20.0,,,,,,,67.0,24.0,67.0,25.0,67.0,26.0,68.0,27.0,72.0,28.0,did not hit their potential,
julian draxler,J. Draxler,202166,"['CAM', 'LM']",Germany,FC Schalke 04,84,73,17,75.0,18.0,80.0,19.0,80.0,20.0,80.0,21.0,84.0,22.0,84.0,23.0,83.0,24.0,83.0,25.0,80.0,26.0,80.0,27.0,lived to expectations,5.0
Filippo Boniperti,F. Boniperti,199825,"['CF', 'CAM']",Italy,Ascoli,84,64,19,62.0,20.0,64.0,21.0,55.0,22.0,,,,,,,,,,,,,,,did not hit their potential,
Wilson Bruno Naval da Costa Eduardo,Wilson Eduardo,199737,"['LW', 'RW', 'ST']",Portugal,SC Olhanense,84,71,20,73.0,21.0,76.0,22.0,,,,,75.0,25.0,77.0,26.0,77.0,27.0,77.0,28.0,76.0,29.0,73.0,30.0,did not hit their potential,
Diego Mauricio Machado de Brito,Diego Maurício,199394,"['CF', 'ST']",Brazil,Flamengo,84,73,20,72.0,21.0,,,65.0,23.0,,,,,66.0,26.0,67.0,27.0,,,,,,,did not hit their potential,
Ji Dong-won,Ji Dong Won,199266,"['ST', 'CF']",Korea Republic,Sunderland,84,68,20,69.0,21.0,72.0,22.0,71.0,23.0,71.0,24.0,71.0,25.0,71.0,26.0,71.0,27.0,72.0,28.0,71.0,29.0,68.0,30.0,did not hit their potential,
Alexander Kozlov,A. Kozlov,199224,"['ST', 'CF']",Russia,Spartak Moskva,84,64,18,,,62.0,20.0,62.0,21.0,63.0,22.0,,,,,,,,,,,,,did not hit their potential,
Serigne Modou Kara Mbodji,S. Kara,198584,"['CDM', 'CB', 'CM']",Senegal,Tromsø IL,84,78,21,78.0,22.0,73.0,23.0,73.0,24.0,75.0,25.0,75.0,26.0,78.0,27.0,78.0,28.0,,,,,,,did not hit their potential,
Leandro Damião da Silva dos Santos,Leandro Damião,198213,['ST'],Brazil,Internacional,84,80,21,80.0,22.0,79.0,23.0,,,,,,,,,,,74.0,29.0,73.0,30.0,74.0,31.0,did not hit their potential,
Sergio Ezequiel Araujo,S. Araujo,198145,['ST'],Argentina,Boca Juniors,84,68,19,69.0,20.0,73.0,21.0,68.0,22.0,75.0,23.0,75.0,24.0,74.0,25.0,74.0,26.0,70.0,27.0,69.0,28.0,72.0,29.0,did not hit their potential,
Marcel Buechel,M. Büchel,198079,"['CAM', 'CM']",Austria,Gubbio,84,63,20,63.0,21.0,,,64.0,23.0,67.0,24.0,73.0,25.0,73.0,26.0,72.0,27.0,69.0,28.0,,,,,did not hit their potential,
Manuel Giandonato,M. Giandonato,198068,"['CM', 'CDM', 'CAM']",Italy,Lecce,84,69,19,69.0,20.0,,,,,64.0,23.0,,,,,,,,,,,,,did not hit their potential,
Luis Miguel Afonso Fernandes,Pizzi,197965,"['LW', 'RW', 'RM', 'LM']",Portugal,Atlético de Madrid,84,76,21,76.0,22.0,76.0,23.0,76.0,24.0,79.0,25.0,81.0,26.0,82.0,27.0,83.0,28.0,84.0,29.0,84.0,30.0,81.0,31.0,lived to expectations,7.0
Antoine Griezmann,A. Griezmann,194765,"['LW', 'LM', 'CF']",France,Real Sociedad,84,76,20,77.0,21.0,80.0,22.0,82.0,23.0,83.0,24.0,88.0,25.0,88.0,26.0,89.0,27.0,89.0,28.0,87.0,29.0,85.0,30.0,exceeded their potential,4.0
Oliver Bauman,O. Baumann,193698,['GK'],Germany,Sport-Club Freiburg,84,77,21,77.0,22.0,78.0,23.0,78.0,24.0,78.0,25.0,80.0,26.0,82.0,27.0,83.0,28.0,82.0,29.0,82.0,30.0,82.0,31.0,lived to expectations,7.0
André Schürrle,A. Schürrle,193130,"['ST', 'LW', 'CF', 'CAM']",Germany,Bayer 04 Leverkusen,84,79,20,79.0,21.0,80.0,22.0,81.0,23.0,80.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,76.0,28.0,,,,,did not hit their potential,
David De Gea Quintana,De Gea,193080,['GK'],Spain,Manchester United,84,80,20,80.0,21.0,82.0,22.0,83.0,23.0,86.0,24.0,90.0,25.0,90.0,26.0,91.0,27.0,89.0,28.0,86.0,29.0,84.0,30.0,exceeded their potential,3.0
Cenk Tosun,C. Tosun,192991,"['ST', 'CF']",Turkey,Turkey,84,73,20,,,,,74.0,23.0,77.0,24.0,78.0,25.0,78.0,26.0,80.0,27.0,77.0,28.0,75.0,29.0,74.0,30.0,did not hit their potential,
Anderson Vital da Silva,Dedé,192568,['CB'],Brazil,Club de Regatas Vasco da Gama,84,78,22,80.0,23.0,78.0,24.0,,,77.0,27.0,,,,,,,,,,,,,did not hit their potential,
Nicolás Hernán Gonzalo Otamendi,N. Otamendi,192366,"['CB', 'RB', 'LB']",Argentina,FC Porto,84,79,23,79.0,24.0,80.0,25.0,80.0,26.0,84.0,27.0,85.0,28.0,83.0,29.0,86.0,30.0,83.0,31.0,79.0,32.0,81.0,33.0,exceeded their potential,4.0
Sandro Raniere Guimarães Cordeiro,Sandro,190782,"['CDM', 'CM']",Brazil,Tottenham Hotspur,84,78,22,78.0,23.0,81.0,24.0,79.0,25.0,73.0,26.0,78.0,27.0,75.0,28.0,75.0,29.0,74.0,30.0,,,73.0,32.0,did not hit their potential,
Sergio Canales Madrazo,Sergio Canales,190286,"['CAM', 'CM', 'LM', 'CF']",Spain,Valencia CF,84,77,20,78.0,21.0,77.0,22.0,77.0,23.0,79.0,24.0,79.0,25.0,79.0,26.0,79.0,27.0,84.0,28.0,82.0,29.0,83.0,30.0,lived to expectations,8.0
Iago Falqué Silva,Iago Falqué,190264,"['CAM', 'LM', 'LW', 'RW']",Spain,Tottenham Hotspur,84,74,21,72.0,22.0,71.0,23.0,72.0,24.0,79.0,25.0,78.0,26.0,80.0,27.0,80.0,28.0,79.0,29.0,77.0,30.0,74.0,31.0,did not hit their potential,
Álvaro Domínguez Soto,Domínguez,190150,"['CB', 'LB']",Spain,Atlético de Madrid,84,78,22,78.0,23.0,77.0,24.0,76.0,25.0,78.0,26.0,77.0,27.0,,,,,,,,,,,did not hit their potential,
Tom Cleverley,T. Cleverley,189725,"['CM', 'LM', 'RM']",England,Manchester United,84,73,21,78.0,22.0,78.0,23.0,74.0,24.0,77.0,25.0,78.0,26.0,76.0,27.0,76.0,28.0,76.0,29.0,75.0,30.0,74.0,31.0,did not hit their potential,
Daniel Parejo Muñoz,Dani Parejo,189513,"['CM', 'CDM', 'CAM', 'RM']",Spain,Valencia CF,84,78,22,76.0,23.0,76.0,24.0,80.0,25.0,82.0,26.0,82.0,27.0,82.0,28.0,86.0,29.0,86.0,30.0,85.0,31.0,86.0,32.0,exceeded their potential,7.0
Cristian Pasquato,C. Pasquato,189437,"['CF', 'CAM', 'LW', 'LM']",Italy,Lecce,84,74,21,71.0,22.0,72.0,23.0,71.0,24.0,72.0,25.0,72.0,26.0,73.0,27.0,69.0,28.0,,,,,,,did not hit their potential,
Jordi Alba Ramos,Jordi Alba,189332,"['LM', 'LWB', 'LB']",Spain,Valencia CF,84,77,22,81.0,23.0,82.0,24.0,81.0,25.0,84.0,26.0,86.0,27.0,85.0,28.0,87.0,29.0,87.0,30.0,86.0,31.0,86.0,32.0,exceeded their potential,4.0
Oussama Assaidi,O. Assaidi,188935,"['LW', 'CAM', 'RW', 'CF']",Morocco,SC Heerenveen,84,76,22,78.0,23.0,76.0,24.0,74.0,25.0,,,,,73.0,28.0,,,,,,,,,did not hit their potential,
Franck Tabanou,F. Tabanou,188696,"['LM', 'LB']",France,Toulouse Football Club,84,77,22,77.0,23.0,75.0,24.0,75.0,25.0,76.0,26.0,77.0,27.0,73.0,28.0,72.0,29.0,,,,,,,did not hit their potential,
Kyle Walker,K. Walker,188377,"['RB', 'RM', 'CB']",England,Tottenham Hotspur,84,76,21,78.0,22.0,79.0,23.0,77.0,24.0,79.0,25.0,81.0,26.0,83.0,27.0,84.0,28.0,84.0,29.0,85.0,30.0,85.0,31.0,lived to expectations,6.0
Aaron James Ramsey,A. Ramsey,186561,"['CM', 'CAM', 'CDM', 'RM']",Wales,Arsenal,84,77,20,77.0,21.0,77.0,22.0,83.0,23.0,82.0,24.0,84.0,25.0,82.0,26.0,82.0,27.0,83.0,28.0,82.0,29.0,80.0,30.0,lived to expectations,3.0
Levan Mchedlidze,L. Mchedlidze,186272,['ST'],Georgia,Empoli,84,64,21,64.0,22.0,64.0,23.0,67.0,24.0,70.0,25.0,72.0,26.0,74.0,27.0,70.0,28.0,,,,,,,did not hit their potential,
Fabio Borini,F. Borini,186200,"['ST', 'LW']",Italy,Roma,84,72,20,77.0,21.0,75.0,22.0,74.0,23.0,76.0,24.0,76.0,25.0,76.0,26.0,76.0,27.0,76.0,28.0,76.0,29.0,76.0,30.0,did not hit their potential,
Wojciech Tomasz Szczęsny,W. Szczęsny,186153,['GK'],Poland,Arsenal,84,79,21,80.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,82.0,27.0,83.0,28.0,86.0,29.0,87.0,30.0,87.0,31.0,exceeded their potential,7.0
Daniel Nii Tackie Mensah Welbeck,D. Welbeck,186146,"['ST', 'CF', 'RW', 'LW']",England,Manchester United,84,76,20,79.0,21.0,78.0,22.0,78.0,23.0,79.0,24.0,80.0,25.0,80.0,26.0,77.0,27.0,78.0,28.0,74.0,29.0,73.0,30.0,did not hit their potential,
Fernando Francisco Reges,Fernando,184134,"['CDM', 'CM', 'RB']",Brazil,FC Porto,84,79,23,80.0,24.0,79.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,77.0,29.0,79.0,30.0,81.0,31.0,83.0,32.0,84.0,33.0,lived to expectations,9.0
Gregory van der Wiel,G. van der Wiel,183937,['RB'],Netherlands,Ajax,84,78,23,76.0,24.0,74.0,25.0,77.0,26.0,78.0,27.0,78.0,28.0,76.0,29.0,74.0,30.0,,,,,,,did not hit their potential,
Fabian Delph,F. Delph,183427,"['CM', 'LM', 'LB']",England,Aston Villa,84,73,21,71.0,22.0,72.0,23.0,75.0,24.0,77.0,25.0,78.0,26.0,77.0,27.0,80.0,28.0,77.0,29.0,77.0,30.0,75.0,31.0,did not hit their potential,
Ivan Perišić,I. Perišić,181458,"['LM', 'CAM', 'CM', 'LW']",Croatia,Borussia Dortmund,84,77,22,78.0,23.0,77.0,24.0,78.0,25.0,81.0,26.0,83.0,27.0,84.0,28.0,86.0,29.0,84.0,30.0,82.0,31.0,81.0,32.0,exceeded their potential,5.0
Georginio Gregion Emile Wijnaldum,G. Wijnaldum,181291,"['CAM', 'RW', 'LW', 'CM']",Netherlands,PSV,84,75,20,76.0,21.0,78.0,22.0,78.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,84.0,28.0,85.0,29.0,84.0,30.0,lived to expectations,8.0
Sung Yueng Ki,S. Ki,180283,"['CM', 'CDM', 'CAM']",Korea Republic,Celtic,84,74,22,71.0,23.0,74.0,24.0,74.0,25.0,77.0,26.0,78.0,27.0,78.0,28.0,76.0,29.0,76.0,30.0,72.0,31.0,73.0,32.0,did not hit their potential,
Benedikt Howedes,B. Höwedes,179784,"['CB', 'RB', 'LB', 'CDM']",Germany,FC Schalke 04,84,80,23,81.0,24.0,82.0,25.0,82.0,26.0,83.0,27.0,84.0,28.0,83.0,29.0,81.0,30.0,81.0,31.0,,,,,lived to expectations,4.0
Adel Taarabt,A. Taarabt,179605,"['CAM', 'LW', 'RW']",Morocco,Queens Park Rangers,84,78,22,78.0,23.0,78.0,24.0,79.0,25.0,79.0,26.0,,,70.0,28.0,,,75.0,30.0,77.0,31.0,77.0,32.0,did not hit their potential,
Marko Marin,M. Marin,179546,"['LM', 'LW', 'CAM', 'RM']",Germany,SV Werder Bremen,84,80,23,78.0,24.0,78.0,25.0,77.0,26.0,77.0,26.0,76.0,27.0,75.0,28.0,,,,,75.0,31.0,73.0,32.0,did not hit their potential,
Ever Banega,É. Banega,178562,"['CM', 'CDM', 'CAM', 'RM']",Argentina,Valencia CF,84,79,23,80.0,24.0,75.0,25.0,80.0,26.0,80.0,27.0,84.0,28.0,83.0,29.0,83.0,30.0,83.0,31.0,83.0,32.0,82.0,33.0,lived to expectations,5.0
Robert Acquafresca,R. Acquafresca,178490,"['ST', 'CF']",Italy,Bologna,84,75,23,73.0,24.0,72.0,25.0,68.0,26.0,68.0,27.0,70.0,28.0,69.0,29.0,67.0,30.0,,,,,,,did not hit their potential,
Etienne Capoue,E. Capoue,178213,"['CDM', 'CB', 'CM']",France,Toulouse Football Club,84,77,22,79.0,23.0,79.0,24.0,78.0,25.0,77.0,26.0,78.0,27.0,76.0,28.0,76.0,29.0,80.0,30.0,78.0,31.0,78.0,32.0,did not hit their potential,
Sven Bender,S. Bender,177458,"['CDM', 'CM', 'CB']",Germany,Borussia Dortmund,84,79,22,81.0,23.0,81.0,24.0,81.0,25.0,80.0,26.0,82.0,27.0,80.0,28.0,81.0,29.0,80.0,30.0,81.0,31.0,,,did not hit their potential,
Marcelo Vieira Da Silva,Marcelo,176676,"['LB', 'LM']",Brazil,Real Madrid CF,84,82,23,83.0,24.0,83.0,25.0,82.0,26.0,83.0,27.0,86.0,28.0,87.0,29.0,88.0,30.0,85.0,31.0,83.0,32.0,80.0,33.0,exceeded their potential,1.0
David Ospina,D. Ospina,176550,['GK'],Colombia,OGC Nice,84,77,22,77.0,23.0,75.0,24.0,77.0,25.0,78.0,26.0,79.0,27.0,79.0,28.0,78.0,29.0,80.0,30.0,79.0,31.0,79.0,32.0,did not hit their potential,
David Goodwillie,D. Goodwillie,175367,"['ST', 'CF']",Scotland,Blackburn Rovers,84,75,22,69.0,23.0,69.0,24.0,67.0,25.0,69.0,26.0,68.0,27.0,,,,,,,,,,,did not hit their potential,
Daniel Sturridge,D. Sturridge,171833,"['ST', 'CF', 'RW', 'LW']",England,Chelsea,84,80,21,78.0,22.0,80.0,23.0,83.0,24.0,83.0,25.0,84.0,26.0,82.0,27.0,80.0,28.0,,,,,75.0,31.0,lived to expectations,3.0
Steven Defour,S. Defour,170815,"['CM', 'CDM', 'CAM', 'RM']",Belgium,FC Porto,84,79,23,77.0,24.0,77.0,25.0,76.0,26.0,77.0,27.0,79.0,28.0,78.0,29.0,80.0,30.0,78.0,31.0,74.0,32.0,,,did not hit their potential,
Giovani Dos Santos,G. dos Santos,170369,"['RW', 'CAM', 'CF', 'LW']",Mexico,Tottenham Hotspur,84,78,22,74.0,23.0,79.0,24.0,81.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,77.0,29.0,76.0,30.0,73.0,31.0,,,did not hit their potential,
Micah Richards,M. Richards,169721,"['RB', 'CB', 'CDM']",England,Manchester City,84,80,23,80.0,24.0,79.0,25.0,77.0,26.0,79.0,27.0,77.0,28.0,74.0,29.0,69.0,30.0,,,,,,,did not hit their potential,
Ryan Shawcross,R. Shawcross,169596,"['CB', 'RB']",England,Stoke City,84,77,23,77.0,24.0,78.0,25.0,77.0,26.0,80.0,27.0,81.0,28.0,79.0,29.0,77.0,30.0,72.0,31.0,70.0,32.0,67.0,33.0,did not hit their potential,
Theo Walcott,T. Walcott,164859,"['RW', 'RM']",England,Arsenal,84,82,22,81.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,77.0,30.0,76.0,31.0,76.0,32.0,did not hit their potential,
Alexandre Song,A. Song,157503,"['CDM', 'CM']",Cameroon,Arsenal,84,82,23,83.0,24.0,83.0,25.0,79.0,26.0,79.0,27.0,77.0,28.0,77.0,29.0,,,71.0,31.0,,,,,lived to expectations,1.0
Chung Yong Lee,Lee Chung-Yong,155355,"['RM', 'RW', 'CAM']",Korea Republic,Bolton Wanderers,84,78,22,75.0,23.0,74.0,24.0,72.0,25.0,73.0,26.0,74.0,27.0,72.0,28.0,,,73.0,30.0,73.0,31.0,71.0,32.0,did not hit their potential,
Damian Djokovic,D. Djokovic,205983,"['CAM', 'CM']",Croatia,Cesena,83,62,21,66.0,22.0,,,64.0,24.0,65.0,25.0,,,,,67.0,28.0,71.0,29.0,71.0,30.0,71.0,31.0,did not hit their potential,
Lucas Garcia Benetao,Lucas Patinho,205635,"['CAM', 'CM']",Brazil,Fluminense,83,67,19,67.0,20.0,,,,,,,,,,,,,,,,,,,did not hit their potential,
Victor Ibarbo,V. Ibarbo,204550,"['CAM', 'CM', 'CDM']",Colombia,Cagliari,83,71,21,76.0,22.0,77.0,23.0,75.0,24.0,78.0,25.0,75.0,26.0,72.0,27.0,72.0,28.0,67.0,29.0,,,,,did not hit their potential,
Ignacio Colombini,I. Colombini,203873,['ST'],Argentina,Racing Club,83,67,19,,,,,,,67.0,23.0,,,,,,,,,,,,,did not hit their potential,
Valentin Viola,V. Viola,203871,['ST'],Argentina,Racing Club,83,67,19,69.0,20.0,71.0,21.0,71.0,22.0,,,70.0,24.0,70.0,25.0,68.0,26.0,,,,,,,did not hit their potential,
Kelvin Mateus De Oliveira,Kelvin,203846,"['CAM', 'LW', 'RW', 'CF']",Brazil,Rio Ave FC,83,69,18,74.0,19.0,74.0,20.0,73.0,21.0,,,73.0,23.0,,,,,,,,,,,did not hit their potential,
Thulani Serero,T. Serero,202746,"['CAM', 'CM', 'RW']",South Africa,Ajax,83,74,21,71.0,22.0,72.0,23.0,74.0,24.0,74.0,25.0,73.0,26.0,74.0,27.0,74.0,28.0,74.0,29.0,72.0,30.0,,,did not hit their potential,
Luiz Eduardo Felix Da Costa,Luiz Eduardo,202561,"['CB', 'LB', 'RB']",Brazil,São Paulo,83,67,18,67.0,19.0,67.0,20.0,,,,,,,,,,,,,,,,,did not hit their potential,
Giorgi Chanturia,G. Chanturia,202475,"['RW', 'LW', 'CAM']",Georgia,Vitesse,83,71,18,69.0,19.0,69.0,20.0,,,,,69.0,23.0,70.0,24.0,,,,,,,,,did not hit their potential,
Ryo Miyaichi,R. Miyaichi,202053,"['LW', 'RW']",Japan,Arsenal,83,71,18,71.0,19.0,71.0,20.0,67.0,21.0,69.0,22.0,70.0,23.0,67.0,24.0,65.0,25.0,68.0,26.0,69.0,27.0,67.0,28.0,did not hit their potential,
Ahmed Musa,A. Musa,201818,"['RW', 'ST', 'LW']",Nigeria,VVV-Venlo,83,72,18,72.0,19.0,76.0,20.0,75.0,21.0,76.0,22.0,78.0,23.0,76.0,24.0,75.0,25.0,73.0,26.0,73.0,27.0,72.0,28.0,did not hit their potential,
Raphael Varane,R. Varane,201535,"['CB', 'CDM']",France,Real Madrid CF,83,71,18,76.0,19.0,81.0,20.0,81.0,21.0,82.0,22.0,84.0,23.0,85.0,24.0,86.0,25.0,85.0,26.0,86.0,27.0,86.0,28.0,exceeded their potential,4.0
Franco Signorelli,F. Signorelli,200983,['CM'],Venezuela,Empoli,83,57,20,57.0,21.0,58.0,22.0,65.0,23.0,69.0,24.0,69.0,25.0,68.0,26.0,67.0,27.0,66.0,28.0,,,,,did not hit their potential,
Jerry Mbakogu,J. Mbakogu,200882,"['ST', 'RW', 'LW']",Nigeria,Castellammare di Stabia,83,63,18,67.0,19.0,67.0,20.0,69.0,21.0,73.0,22.0,74.0,23.0,73.0,24.0,74.0,25.0,,,,,,,did not hit their potential,
James Forrest,J. Forrest,200630,"['RW', 'ST', 'RM']",Scotland,Celtic,83,70,19,73.0,20.0,71.0,21.0,70.0,22.0,69.0,23.0,71.0,24.0,74.0,25.0,76.0,26.0,77.0,27.0,76.0,28.0,75.0,29.0,did not hit their potential,
Luis Pedro Cavanda,L. Cavanda,200434,"['RB', 'RWB', 'LB', 'LWB']",Angola,Lazio,83,70,20,72.0,21.0,72.0,22.0,72.0,23.0,75.0,24.0,74.0,25.0,72.0,26.0,71.0,27.0,70.0,28.0,,,,,did not hit their potential,
Filip Ozobic,F. Ozobić,200118,"['CAM', 'CF']",Croatia,Spartak Moskva,83,63,20,,,,,,,,,,,,,,,,,,,,,did not hit their potential,
Heung Min Son,H. Son,200104,"['CF', 'ST', 'RW', 'CAM']",Korea Republic,Hamburger SV,83,73,18,73.0,19.0,76.0,20.0,76.0,21.0,77.0,22.0,78.0,23.0,82.0,24.0,84.0,25.0,87.0,26.0,87.0,27.0,89.0,28.0,exceeded their potential,6.0
Dusan Tadic,D. Tadić,199434,"['CAM', 'LW', 'RW']",Serbia,FC Groningen,83,75,22,79.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,80.0,28.0,80.0,29.0,84.0,30.0,83.0,31.0,84.0,32.0,lived to expectations,8.0
Danilo Luiz Da Silva,Danilo,199304,"['CM', 'RWB', 'RB']",Brazil,Santos,83,76,19,77.0,20.0,77.0,21.0,77.0,22.0,81.0,23.0,80.0,24.0,78.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,81.0,29.0,did not hit their potential,
Pablo Sarabia Garcia,Pablo Sarabia,198950,"['LW', 'CAM', 'RW']",Spain,Getafe CF,83,73,19,72.0,20.0,70.0,21.0,70.0,22.0,73.0,23.0,78.0,24.0,80.0,25.0,81.0,26.0,83.0,27.0,81.0,28.0,80.0,29.0,lived to expectations,8.0
Manolo Gabbiadini,M. Gabbiadini,198683,"['ST', 'CF', 'LW', 'RW']",Italy,Atalanta,83,71,19,73.0,20.0,75.0,21.0,75.0,22.0,78.0,23.0,81.0,24.0,79.0,25.0,77.0,26.0,76.0,27.0,75.0,28.0,75.0,29.0,did not hit their potential,
Zakaria Labyad,Z. Labyad,198640,"['RW', 'CAM']",Morocco,PSV,83,70,18,76.0,19.0,75.0,20.0,74.0,21.0,75.0,22.0,74.0,23.0,75.0,24.0,77.0,25.0,75.0,26.0,75.0,27.0,75.0,28.0,did not hit their potential,
Stefan De Vrij,S. de Vrij,198176,"['CB', 'RB']",Netherlands,Feyenoord,83,69,19,74.0,20.0,76.0,21.0,78.0,22.0,82.0,23.0,82.0,24.0,83.0,25.0,84.0,26.0,84.0,27.0,84.0,28.0,85.0,29.0,exceeded their potential,4.0
Mithyue De Linhares,Mithyuê,198099,"['CAM', 'CM']",Brazil,Grêmio,83,65,21,,,,,,,,,,,,,,,,,,,,,did not hit their potential,
Jordan Ayew,J. Ayew,197756,"['ST', 'CF', 'RW', 'LW']",Ghana,Olympique de Marseille,83,75,19,74.0,20.0,75.0,21.0,73.0,22.0,76.0,23.0,77.0,24.0,76.0,25.0,77.0,26.0,75.0,27.0,77.0,28.0,75.0,29.0,did not hit their potential,
David Alaba,D. Alaba,197445,"['CM', 'LM', 'CDM', 'LB']",Austria,FC Bayern München,83,73,19,77.0,20.0,81.0,21.0,82.0,22.0,85.0,23.0,87.0,24.0,86.0,25.0,85.0,26.0,85.0,27.0,84.0,28.0,84.0,29.0,exceeded their potential,3.0
Louise Essenque Parfait,L. Parfait,194664,"['CM', 'RM']",Cameroon,Ascoli,83,62,20,62.0,21.0,61.0,22.0,,,,,,,,,,,,,,,,,did not hit their potential,
Andre Filipe Bernardes Santos,André Santos,193495,"['CM', 'CDM', 'CAM']",Portugal,Sporting CP,83,77,22,74.0,23.0,,,71.0,25.0,69.0,26.0,70.0,27.0,,,,,72.0,30.0,,,66.0,32.0,did not hit their potential,
Victor Ruiz Torre,Víctor Ruíz,193469,"['CB', 'LB', 'LWB']",Spain,Valencia CF,83,76,22,78.0,23.0,77.0,24.0,79.0,25.0,81.0,26.0,81.0,27.0,82.0,28.0,82.0,29.0,79.0,30.0,,,78.0,32.0,lived to expectations,6.0
Joel Obi,J. Obi,193337,"['CM', 'LM', 'RM', 'CDM']",Nigeria,Inter,83,74,20,77.0,21.0,72.0,22.0,70.0,23.0,72.0,24.0,73.0,25.0,73.0,26.0,74.0,27.0,74.0,28.0,71.0,29.0,72.0,30.0,did not hit their potential,
