Player name,Known as,player_id,position,nationality,team,Fifa 18 Potential rating,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 18 outcome,Year potential reached
Bruno Alexandre Vieira Almeida,Bruno Xadas,237670,"['RM', 'CM']",Portugal,SC Braga,85,74,19,74.0,20.0,74.0,21.0,72.0,22.0,70.0,23.0,still has time,
Rui Pedro Da Silva E Sousa,Rui Pedro,236893,['ST'],Portugal,FC Porto,85,70,19,,,,,,,,,did not hit their potential,
Marc Roca Junque,Marc Roca,235945,"['CDM', 'CM']",Spain,RCD Espanyol de Barcelona,85,74,20,74.0,21.0,79.0,22.0,77.0,23.0,77.0,24.0,still has time,
Ryan Sessegnon,R. Sessegnon,235883,"['LB', 'LW']",England,Fulham,85,66,17,75.0,18.0,75.0,19.0,75.0,20.0,74.0,21.0,still has time,
Panagiotis Retsos,P. Retsos,234986,"['CB', 'RB']",Greece,Olympiacos CFP,85,72,18,75.0,19.0,75.0,20.0,74.0,21.0,73.0,22.0,still has time,
Vincent Thill,V. Thill,234317,"['CAM', 'CF']",Luxembourg,FC Metz,85,63,17,63.0,18.0,65.0,19.0,64.0,20.0,,,did not hit their potential,
Carlos Soler Barragan,Carlos Soler,234153,"['CM', 'CAM', 'RW']",Spain,Valencia CF,85,76,20,80.0,21.0,80.0,22.0,79.0,23.0,81.0,24.0,did not hit their potential,
Henry Onyekuru,H. Onyekuru,234045,['LM'],Nigeria,RSC Anderlecht,85,75,20,76.0,21.0,78.0,22.0,77.0,23.0,75.0,24.0,still has time,
Ben Brereton,B. Brereton,233795,"['ST', 'RM']",England,Nottingham Forest,85,66,18,69.0,19.0,68.0,20.0,66.0,21.0,71.0,22.0,still has time,
Ramadan Sobhi,R. Sobhi,233601,"['LM', 'RM']",Egypt,Stoke City,85,74,20,75.0,21.0,,,73.0,23.0,,,did not hit their potential,
Vukasin Jovanovic,V. Jovanović,233219,['CB'],Serbia,FC Girondins de Bordeaux,85,73,21,72.0,22.0,73.0,23.0,72.0,24.0,,,did not hit their potential,
Theo Hernandez,T. Hernández,232656,['LB'],France,Real Madrid CF,85,75,19,76.0,20.0,76.0,21.0,80.0,22.0,84.0,23.0,lived to expectations,4.0
Marko Grujic,M. Grujić,232099,"['CM', 'CDM', 'CAM']",Serbia,Liverpool,85,71,21,73.0,22.0,77.0,23.0,75.0,24.0,75.0,25.0,did not hit their potential,
Richarlison De Andrade,Richarlison,231943,"['LM', 'CF', 'RM', 'CAM']",Brazil,Watford,85,73,20,76.0,21.0,79.0,22.0,81.0,23.0,82.0,24.0,still has time,
Yann Karamoh,Y. Karamoh,231826,"['RW', 'RM', 'LW']",France,Stade Malherbe Caen,85,71,18,73.0,19.0,75.0,20.0,75.0,21.0,75.0,22.0,still has time,
Adalberto Penaranda,A. Peñaranda,231638,"['ST', 'LM']",Venezuela,Málaga CF,85,75,20,73.0,21.0,72.0,22.0,69.0,23.0,69.0,24.0,still has time,
Brahim Diaz,Brahim Díaz,231410,"['CAM', 'RW', 'ST', 'LW']",Spain,Manchester City,85,66,17,69.0,18.0,73.0,19.0,74.0,20.0,78.0,21.0,still has time,
Emre Mor,E. Mor,231240,"['RM', 'ST']",Turkey,Borussia Dortmund,85,70,19,74.0,20.0,72.0,21.0,72.0,22.0,72.0,23.0,still has time,
Nahitan Nandez,N. Nández,230965,"['CDM', 'CM']",Uruguay,Uruguay,85,70,21,75.0,22.0,77.0,23.0,77.0,24.0,77.0,25.0,still has time,
Adam Nagy,Á. Nagy,230936,['CDM'],Hungary,Bologna,85,74,22,74.0,23.0,75.0,24.0,72.0,25.0,70.0,26.0,did not hit their potential,
Tom Davies,T. Davies,230005,"['CM', 'CAM']",England,Everton,85,73,19,75.0,20.0,75.0,21.0,75.0,22.0,75.0,23.0,still has time,
Matheus Pereira Da Silva,Matheus Pereira,229337,['CAM'],Brazil,Empoli,85,70,19,,,71.0,21.0,70.0,22.0,67.0,23.0,still has time,
Christian Rivera Hernandez,Christian Rivera,229038,"['CDM', 'CM']",Spain,SD Eibar,85,71,19,70.0,20.0,69.0,21.0,66.0,22.0,68.0,23.0,still has time,
Wuilker Farinez,W. Faríñez,228736,['GK'],Venezuela,Venezuela,85,70,19,73.0,20.0,73.0,21.0,75.0,22.0,73.0,23.0,still has time,
Matheus Fellipe Costa Pereira,Matheus Pereira,228414,"['LW', 'RW']",Brazil,GD Chaves,85,74,21,77.0,22.0,76.0,23.0,76.0,24.0,77.0,25.0,did not hit their potential,
Rob Holding,R. Holding,228295,['CB'],England,Arsenal,85,72,21,74.0,22.0,76.0,23.0,75.0,24.0,77.0,25.0,still has time,
Lorenzo Pellegrini,L. Pellegrini,228251,['CM'],Italy,Roma,85,77,21,78.0,22.0,79.0,23.0,79.0,24.0,81.0,25.0,did not hit their potential,
Cameron Carter Vickers,C. Carter-Vickers,228174,['CB'],United States,Tottenham Hotspur,85,68,19,69.0,20.0,69.0,21.0,68.0,22.0,69.0,23.0,still has time,
Andre Onana,A. Onana,226753,['GK'],Cameroon,Ajax,85,78,21,78.0,22.0,82.0,23.0,84.0,24.0,83.0,25.0,lived to expectations,3.0
Kieran Tierney,K. Tierney,226491,['LB'],Scotland,Celtic,85,74,20,76.0,21.0,76.0,22.0,78.0,23.0,80.0,24.0,did not hit their potential,
Marcus Coco,M. Coco,226414,"['LM', 'LW', 'RM']",France,En Avant de Guingamp,85,77,21,75.0,22.0,75.0,23.0,75.0,24.0,73.0,25.0,did not hit their potential,
Nadiem Amiri,N. Amiri,225309,"['CAM', 'CM', 'LM']",Germany,TSG Hoffenheim,85,77,20,78.0,21.0,78.0,22.0,77.0,23.0,77.0,24.0,still has time,
Vincent Koziello,V. Koziello,225199,"['CM', 'CDM']",France,OGC Nice,85,78,21,77.0,22.0,75.0,23.0,71.0,24.0,70.0,25.0,did not hit their potential,
Jesus Vallejo Lazaro,Vallejo,225161,['CB'],Spain,Real Madrid CF,85,77,20,78.0,21.0,77.0,22.0,76.0,23.0,75.0,24.0,still has time,
Jorge Saenz De Miera,Jorge Sáenz,225106,"['CB', 'RB']",Spain,CD Tenerife,85,71,20,69.0,21.0,72.0,22.0,70.0,23.0,70.0,24.0,still has time,
Mario Pasalic,M. Pašalić,223273,"['CM', 'CDM']",Croatia,Spartak Moskva,85,76,22,76.0,23.0,77.0,24.0,77.0,25.0,78.0,26.0,did not hit their potential,
Franco Cervi,F. Cervi,223061,['LM'],Argentina,SL Benfica,85,78,23,80.0,24.0,76.0,25.0,78.0,26.0,75.0,27.0,did not hit their potential,
Malcom Filipe Silva De Oliveira,Malcom,222737,"['RW', 'CAM', 'LW']",Brazil,FC Girondins de Bordeaux,85,79,20,83.0,21.0,,,,,,,did not hit their potential,
Hirving Lozano,H. Lozano,221992,"['LW', 'RW']",Mexico,PSV,85,78,21,80.0,22.0,82.0,23.0,80.0,24.0,81.0,25.0,did not hit their potential,
Yoan Cardinale,Y. Cardinale,221130,['GK'],France,OGC Nice,85,79,23,75.0,24.0,73.0,25.0,68.0,26.0,,,did not hit their potential,
Mattia Caldara,M. Caldara,220477,['CB'],Italy,Atalanta,85,76,23,80.0,24.0,80.0,25.0,78.0,26.0,76.0,27.0,did not hit their potential,
Sandro Ramirez Castillo,Sandro,217731,['ST'],Spain,Everton,85,77,21,76.0,22.0,75.0,23.0,73.0,24.0,72.0,25.0,still has time,
Ruben Afonso Borges Semedo,Rúben Semedo,216778,['CB'],Portugal,Villarreal CF,85,78,23,74.0,24.0,76.0,25.0,75.0,26.0,77.0,27.0,did not hit their potential,
Nabil Fekir,N. Fekir,216594,"['CAM', 'ST']",France,Olympique Lyonnais,85,82,23,85.0,24.0,84.0,25.0,83.0,26.0,84.0,27.0,lived to expectations,1.0
Wallace Fortuna Santos,Wallace,216437,['CB'],Brazil,Lazio,85,77,22,76.0,23.0,76.0,24.0,74.0,25.0,72.0,26.0,did not hit their potential,
Adama Traore Diarra,Adama,213956,"['RM', 'RW']",Spain,Middlesbrough,85,73,21,75.0,22.0,74.0,23.0,79.0,24.0,78.0,25.0,did not hit their potential,
Sardar Azmoun,S. Azmoun,213955,['ST'],Iran,Rubin Kazan,85,77,22,,,,,,,80.0,26.0,did not hit their potential,
Alex Iwobi,A. Iwobi,213655,['LM'],Nigeria,Arsenal,85,74,21,76.0,22.0,79.0,23.0,77.0,24.0,77.0,25.0,did not hit their potential,
Nabil Bentaleb,N. Bentaleb,213296,"['CM', 'CDM']",Algeria,FC Schalke 04,85,80,22,79.0,23.0,77.0,24.0,75.0,25.0,73.0,26.0,did not hit their potential,
Divock Origi,D. Origi,213135,"['ST', 'LW', 'RW']",Belgium,Liverpool,85,78,22,77.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,did not hit their potential,
Niklas Stark,N. Stark,212977,"['CB', 'CDM']",Germany,Hertha BSC,85,78,22,78.0,23.0,79.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Gabriel Barbosa Almeida,Gabriel,212823,"['ST', 'RW']",Brazil,Inter,85,76,20,,,81.0,22.0,,,,,did not hit their potential,
Iuri Jose Picanco Medeiros,Iuri Medeiros,212230,"['RM', 'LM']",Portugal,Sporting CP,85,78,22,76.0,23.0,74.0,24.0,68.0,25.0,72.0,26.0,did not hit their potential,
Roberto Gagliardini,R. Gagliardini,212153,"['CM', 'CDM']",Italy,Inter,85,78,23,78.0,24.0,78.0,25.0,78.0,26.0,77.0,27.0,did not hit their potential,
Moussa Dembele,M. Dembélé,211591,['ST'],France,Celtic,85,75,20,75.0,21.0,80.0,22.0,81.0,23.0,78.0,24.0,still has time,
Karol Linetty,K. Linetty,211408,"['CM', 'CDM']",Poland,Poland,85,75,22,76.0,23.0,76.0,24.0,74.0,25.0,74.0,26.0,did not hit their potential,
Samuel Castillejo Azuaga,Samu Castillejo,210617,"['RM', 'LM']",Spain,Villarreal CF,85,80,22,83.0,23.0,80.0,24.0,79.0,25.0,77.0,26.0,did not hit their potential,
Marc Stendera,M. Stendera,210583,"['CAM', 'CM', 'CDM']",Germany,Eintracht Frankfurt,85,76,21,74.0,22.0,73.0,23.0,,,69.0,25.0,did not hit their potential,
Nathan Ake,N. Aké,208920,"['CB', 'LB']",Netherlands,AFC Bournemouth,85,75,22,79.0,23.0,80.0,24.0,79.0,25.0,78.0,26.0,did not hit their potential,
Oliver Torres Munoz,Óliver Torres,208777,['CM'],Spain,FC Porto,85,79,22,78.0,23.0,78.0,24.0,77.0,25.0,77.0,26.0,did not hit their potential,
Emre Can,E. Can,208333,"['CM', 'CDM']",Germany,Liverpool,85,79,23,80.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,did not hit their potential,
Mitchell Weiser,M. Weiser,206591,"['RB', 'RM']",Germany,Hertha BSC,85,78,23,78.0,24.0,77.0,25.0,76.0,26.0,73.0,27.0,did not hit their potential,
Jordan Pickford,J. Pickford,204935,['GK'],England,Everton,85,77,23,83.0,24.0,83.0,25.0,81.0,26.0,83.0,27.0,did not hit their potential,
Michy Batshuayi,M. Batshuayi,204529,['ST'],Belgium,Chelsea,85,80,23,81.0,24.0,79.0,25.0,78.0,26.0,76.0,27.0,did not hit their potential,
Mbaye Niang,M. Niang,204077,"['LW', 'ST']",France,AC Milan,85,78,22,77.0,23.0,77.0,24.0,78.0,25.0,76.0,26.0,did not hit their potential,
John Stones,J. Stones,203574,['CB'],England,Manchester City,85,79,23,82.0,24.0,83.0,25.0,80.0,26.0,83.0,27.0,did not hit their potential,
Memphis Depay,M. Depay,202556,"['LW', 'LM']",Netherlands,Olympique Lyonnais,85,80,23,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,lived to expectations,2.0
Francisco Alcacer Garcia,Paco Alcácer,200454,['ST'],Spain,FC Barcelona,85,79,23,79.0,24.0,83.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Alex Oxlade Chamberlain,A. Oxlade-Chamberlain,198784,"['RM', 'LM', 'RWB']",England,Arsenal,85,80,23,80.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,did not hit their potential,
Nathan Redmond,N. Redmond,198719,"['LM', 'RM', 'ST']",England,Southampton,85,77,23,75.0,24.0,77.0,25.0,78.0,26.0,76.0,27.0,did not hit their potential,
Leonardo Rodrigues Lima,Léo Jabá,239953,"['ST', 'LM']",Brazil,Terek Grozny,84,69,18,69.0,19.0,73.0,20.0,72.0,21.0,71.0,22.0,still has time,
Mickael Cuisance,M. Cuisance,239744,['CM'],France,Borussia Mönchengladbach,84,61,17,72.0,18.0,72.0,19.0,71.0,20.0,73.0,21.0,still has time,
Jonathan Gonzalez,J. González,239475,"['CM', 'CDM']",United States,CF Monterrey,84,68,18,71.0,19.0,71.0,20.0,70.0,21.0,70.0,22.0,still has time,
Rekeem Harper,R. Harper,238958,['CM'],England,West Bromwich Albion,84,61,17,61.0,18.0,68.0,19.0,67.0,20.0,67.0,21.0,still has time,
Phil Foden,P. Foden,237692,['CAM'],England,Manchester City,84,65,17,73.0,18.0,76.0,19.0,79.0,20.0,84.0,21.0,lived to expectations,4.0
Alessandro Bastoni,A. Bastoni,237383,['CB'],Italy,Atalanta,84,64,18,67.0,19.0,72.0,20.0,75.0,21.0,80.0,22.0,still has time,
Juan Foyth,J. Foyth,237221,['CB'],Argentina,Estudiantes de La Plata,84,66,19,70.0,20.0,74.0,21.0,75.0,22.0,75.0,23.0,still has time,
Gian Luca Itter,G. Itter,237024,['LB'],Germany,VfL Wolfsburg,84,64,18,67.0,19.0,67.0,20.0,68.0,21.0,68.0,22.0,still has time,
Aymen Barkok,A. Barkok,236624,"['RM', 'CAM']",Germany,Eintracht Frankfurt,84,68,19,69.0,20.0,70.0,21.0,69.0,22.0,73.0,23.0,still has time,
Dante Rigo,D. Rigo,236615,['CM'],Belgium,PSV,84,66,18,66.0,19.0,66.0,20.0,66.0,21.0,65.0,22.0,still has time,
Moise Kean,M. Kean,236610,['ST'],Italy,Juventus,84,64,17,71.0,18.0,76.0,19.0,74.0,20.0,79.0,21.0,still has time,
Ghislain Konan,G. Konan,235634,['LB'],Côte d'Ivoire,Vitória de Guimarães,84,76,21,75.0,22.0,75.0,23.0,76.0,24.0,75.0,25.0,did not hit their potential,
Johannes Eggestein,J. Eggestein,234399,['ST'],Germany,SV Werder Bremen,84,66,19,66.0,20.0,73.0,21.0,69.0,22.0,72.0,23.0,still has time,
Myziane Maolida,M. Maolida,234333,['ST'],France,Olympique Lyonnais,84,66,18,69.0,19.0,72.0,20.0,69.0,21.0,71.0,22.0,still has time,
David Carmona Sierra,David Carmona,234151,"['RB', 'RM']",Spain,Sevilla Atlético,84,70,20,68.0,21.0,67.0,22.0,65.0,23.0,,,did not hit their potential,
Ronaldo Vieira Nan,Ronaldo Vieira,233943,"['CDM', 'CM']",Guinea Bissau,Leeds United,84,70,18,70.0,19.0,72.0,20.0,72.0,21.0,71.0,22.0,still has time,
Alexander Isak,A. Isak,233731,['ST'],Sweden,Borussia Dortmund,84,68,17,69.0,18.0,74.0,19.0,79.0,20.0,82.0,21.0,still has time,
Riccardo Orsolini,R. Orsolini,233556,"['RW', 'RM']",Italy,Atalanta,84,69,20,72.0,21.0,76.0,22.0,75.0,23.0,76.0,24.0,still has time,
Blas Riveros,B. Riveros,233476,['LB'],Paraguay,FC Basel 1893,84,68,19,69.0,20.0,70.0,21.0,69.0,22.0,67.0,23.0,still has time,
Raphael Dias Belloli,Raphinha,233419,['LM'],Brazil,Vitória de Guimarães,84,76,20,79.0,21.0,79.0,22.0,81.0,23.0,82.0,24.0,still has time,
Kubilay Kanatsizkus,K. Kanatsızkuş,232329,['ST'],Turkey,Bursaspor,84,70,20,70.0,21.0,,,,,68.0,24.0,still has time,
Caglar Soyuncu,Ç. Söyüncü,232119,['CB'],Turkey,Sport-Club Freiburg,84,74,21,75.0,22.0,74.0,23.0,80.0,24.0,80.0,25.0,still has time,
Jack Harrison,J. Harrison,232080,['RW'],England,New York City FC,84,70,20,70.0,21.0,71.0,22.0,74.0,23.0,78.0,24.0,still has time,
Justin Hoogma,J. Hoogma,231823,['CB'],Netherlands,TSG Hoffenheim,84,71,19,71.0,20.0,69.0,21.0,72.0,22.0,69.0,23.0,still has time,
Landry Dimata,L. Dimata,231745,['ST'],Belgium,VfL Wolfsburg,84,72,19,72.0,20.0,75.0,21.0,72.0,22.0,74.0,23.0,still has time,
Javier Ontiveros Parra,Javi Ontiveros,231640,"['RM', 'LM']",Spain,Málaga CF,84,71,19,71.0,20.0,74.0,21.0,75.0,22.0,74.0,23.0,still has time,
Axel Tuanzebe,A. Tuanzebe,231485,"['CB', 'CDM']",England,Manchester United,84,73,19,,,73.0,21.0,73.0,22.0,74.0,23.0,still has time,
Diogo Antonio Cupido Goncalves,Diogo Gonçalves,231390,"['LM', 'RM']",Portugal,SL Benfica,84,73,20,73.0,21.0,71.0,22.0,75.0,23.0,76.0,24.0,still has time,
Trent Alexander Arnold,T. Alexander-Arnold,231281,"['RB', 'RM', 'CM']",England,Liverpool,84,68,18,78.0,19.0,83.0,20.0,87.0,21.0,87.0,22.0,exceeded their potential,2.0
Ludovic Blas,L. Blas,231102,['RM'],France,En Avant de Guingamp,84,73,19,75.0,20.0,76.0,21.0,76.0,22.0,77.0,23.0,still has time,
Leandro Henrique Nascimento,Leandrinho,230740,['CAM'],Brazil,Napoli,84,65,18,,,,,,,,,did not hit their potential,
Joao Maria Palhinha Goncalves,Palhinha,229391,"['CDM', 'CM']",Portugal,Sporting CP,84,76,21,,,76.0,23.0,78.0,24.0,82.0,25.0,still has time,
Dalbert Chagas Estevao,Dalbert,229148,"['LB', 'LWB', 'LM']",Brazil,Inter,84,77,23,76.0,24.0,76.0,25.0,73.0,26.0,71.0,27.0,did not hit their potential,
Andre Green,A. Green,228814,"['LM', 'LW']",England,Aston Villa,84,68,18,68.0,19.0,68.0,20.0,,,67.0,22.0,still has time,
Francisco Geraldes,Francisco Geraldes,228650,"['CAM', 'CM', 'LW']",Portugal,Rio Ave FC,84,75,22,76.0,23.0,74.0,24.0,71.0,25.0,71.0,26.0,did not hit their potential,
Borja Mayoral Moya,Borja Mayoral,228635,['ST'],Spain,Real Madrid CF,84,72,20,74.0,21.0,77.0,22.0,76.0,23.0,76.0,24.0,still has time,
Felix Passlack,F. Passlack,228080,"['RB', 'RM', 'LB']",Germany,Borussia Dortmund,84,69,19,69.0,20.0,68.0,21.0,68.0,22.0,70.0,23.0,still has time,
Yeray Alvarez Lopez,Yeray,227950,['CB'],Spain,Athletic Club de Bilbao,84,78,22,77.0,23.0,80.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Daniel Castelo Podence,Daniel Podence,226766,"['CF', 'RM']",Portugal,Sporting CP,84,76,21,76.0,22.0,78.0,23.0,78.0,24.0,78.0,25.0,still has time,
Kieran Dowell,K. Dowell,226401,"['CAM', 'RW', 'LW']",England,Nottingham Forest,84,68,19,71.0,20.0,70.0,21.0,69.0,22.0,71.0,23.0,still has time,
Thilo Kehrer,T. Kehrer,226229,"['CB', 'RB', 'LB']",Germany,FC Schalke 04,84,71,20,77.0,21.0,79.0,22.0,77.0,23.0,76.0,24.0,still has time,
Aritz Elustondo,Aritz Elustondo,226221,"['RB', 'CB']",Spain,Real Sociedad,84,77,23,75.0,24.0,77.0,25.0,76.0,26.0,79.0,27.0,did not hit their potential,
Steven Bergwijn,S. Bergwijn,225953,"['RW', 'LW']",Netherlands,PSV,84,74,19,76.0,20.0,82.0,21.0,83.0,22.0,80.0,23.0,lived to expectations,3.0
Alexandr Golovin,A. Golovin,225663,"['CM', 'CDM', 'LM']",Russia,PFC CSKA Moscow,84,76,21,79.0,22.0,79.0,23.0,79.0,24.0,79.0,25.0,did not hit their potential,
Oliver Burke,O. Burke,225632,"['RM', 'ST']",Scotland,RB Leipzig,84,70,20,70.0,21.0,69.0,22.0,67.0,23.0,68.0,24.0,still has time,
Mikel Merino Zazon,Merino,225193,"['CDM', 'CB', 'CM']",Spain,Newcastle United,84,74,21,75.0,22.0,79.0,23.0,80.0,24.0,83.0,25.0,lived to expectations,4.0
Adrian Marin Gomez,Marín,224921,"['LB', 'LWB']",Spain,Villarreal CF,84,73,20,72.0,21.0,72.0,22.0,73.0,23.0,73.0,24.0,did not hit their potential,
Lewis Cook,L. Cook,224294,"['CAM', 'CM']",England,AFC Bournemouth,84,71,20,77.0,21.0,77.0,22.0,75.0,23.0,75.0,24.0,still has time,
Cristian Pavon,C. Pavón,224254,"['RW', 'RM', 'ST']",Argentina,Boca Juniors,84,75,21,79.0,22.0,79.0,23.0,79.0,24.0,78.0,25.0,did not hit their potential,
Ramy Bensebaini,R. Bensebaini,224196,"['CB', 'LB']",Algeria,Stade Rennais FC,84,76,22,75.0,23.0,77.0,24.0,79.0,25.0,79.0,26.0,did not hit their potential,
Valentin Rongier,V. Rongier,223874,"['CM', 'CDM']",France,FC Nantes,84,78,22,78.0,23.0,80.0,24.0,80.0,25.0,77.0,26.0,did not hit their potential,
Enes Unal,E. Ünal,223197,['ST'],Turkey,Villarreal CF,84,74,20,78.0,21.0,77.0,22.0,75.0,23.0,75.0,24.0,still has time,
Dimitri Oberlin,D. Oberlin,223151,['ST'],Switzerland,FC Basel 1893,84,69,19,70.0,20.0,69.0,21.0,68.0,22.0,64.0,23.0,still has time,
Jorge Mere Perez,Jorge Meré,223033,['CB'],Spain,1. FC Köln,84,78,20,77.0,21.0,77.0,22.0,72.0,23.0,72.0,24.0,still has time,
Rick Karsdorp,R. Karsdorp,222558,['RB'],Netherlands,Roma,84,78,22,76.0,23.0,75.0,24.0,75.0,25.0,78.0,26.0,did not hit their potential,
Andres Cubas,A. Cubas,222429,['CDM'],Argentina,Defensa y Justicia,84,74,21,72.0,22.0,74.0,23.0,75.0,24.0,75.0,25.0,still has time,
Harry Winks,H. Winks,222400,"['CM', 'CDM', 'CAM']",England,Tottenham Hotspur,84,72,21,75.0,22.0,80.0,23.0,79.0,24.0,77.0,25.0,did not hit their potential,
Lukas Klostermann,L. Klostermann,222331,['RB'],Germany,RB Leipzig,84,72,21,75.0,22.0,79.0,23.0,80.0,24.0,80.0,25.0,did not hit their potential,
Patrick Roberts,P. Roberts,221982,['RM'],England,Manchester City,84,73,20,74.0,21.0,74.0,22.0,73.0,23.0,71.0,24.0,still has time,
Nico Elvedi,N. Elvedi,221491,"['CB', 'RB']",Switzerland,Borussia Mönchengladbach,84,74,20,76.0,21.0,78.0,22.0,78.0,23.0,79.0,24.0,still has time,
Donny Van De Beek,D. van de Beek,221363,"['CM', 'CDM']",Netherlands,Ajax,84,76,20,77.0,21.0,81.0,22.0,83.0,23.0,81.0,24.0,lived to expectations,3.0
Pablo Maffeo Becerra,Pablo Maffeo,221342,"['RB', 'RWB', 'RM']",Spain,Girona FC,84,71,19,78.0,20.0,74.0,21.0,74.0,22.0,75.0,23.0,still has time,
Rafael Santos Borre,R. Borré,220883,['ST'],Colombia,River Plate,84,75,21,74.0,22.0,77.0,23.0,78.0,24.0,78.0,25.0,still has time,
Erick Gutierrez,E. Gutiérrez,220854,['CM'],Mexico,Pachuca,84,76,22,77.0,23.0,75.0,24.0,74.0,25.0,73.0,26.0,did not hit their potential,
Demarai Gray,D. Gray,220633,"['LM', 'RM']",England,Leicester City,84,74,21,76.0,22.0,75.0,23.0,75.0,24.0,75.0,25.0,did not hit their potential,
Victor Camarasa Ferrando,Camarasa,219571,"['CAM', 'CM', 'RM']",Spain,Real Betis Balompié,84,76,23,76.0,24.0,76.0,25.0,75.0,26.0,72.0,27.0,did not hit their potential,
Theo Bongonda,T. Bongonda,217877,"['LW', 'LM', 'RW']",Belgium,Trabzonspor,84,78,21,76.0,22.0,76.0,23.0,74.0,24.0,77.0,25.0,did not hit their potential,
Tin Jedvaj,T. Jedvaj,215930,"['CB', 'RB']",Croatia,Bayer 04 Leverkusen,84,76,21,76.0,22.0,75.0,23.0,75.0,24.0,73.0,25.0,still has time,
Alan Ruiz,A. Ruiz,213582,"['CF', 'CAM', 'ST']",Argentina,Sporting CP,84,78,23,76.0,24.0,73.0,25.0,,,72.0,27.0,did not hit their potential,
Roman Zobnin,R. Zobnin,213160,"['CDM', 'CM', 'LM']",Russia,Spartak Moskva,84,77,23,77.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Levin Oztunali,L. Öztunali,213134,['RM'],Germany,1. FSV Mainz 05,84,76,21,74.0,22.0,73.0,23.0,73.0,24.0,72.0,25.0,did not hit their potential,
Joel Castro Pereira,Joel Pereira,212710,['GK'],Portugal,Manchester United,84,71,21,71.0,22.0,70.0,23.0,,,66.0,25.0,still has time,
Marcos Paulo Mesquita Lopes,Rony Lopes,212692,['RM'],Portugal,AS Monaco,84,77,21,80.0,22.0,80.0,23.0,78.0,24.0,76.0,25.0,did not hit their potential,
Anderson Souza Conceicao,Anderson Talisca,212523,"['CAM', 'ST', 'CM']",Brazil,Beşiktaş JK,84,79,23,82.0,24.0,83.0,25.0,82.0,26.0,82.0,27.0,lived to expectations,2.0
Riechedly Bazoer,R. Bazoer,212269,['CM'],Netherlands,VfL Wolfsburg,84,75,20,74.0,21.0,73.0,22.0,72.0,23.0,76.0,24.0,did not hit their potential,
Bruno Miguel Borges Fernandes,Bruno Fernandes,212198,"['CAM', 'CF', 'CM']",Portugal,Sporting CP,84,77,22,83.0,23.0,85.0,24.0,87.0,25.0,88.0,26.0,exceeded their potential,1.0
Thomas Strakosha,T. Strakosha,212151,['GK'],Albania,Lazio,84,74,22,80.0,23.0,82.0,24.0,83.0,25.0,80.0,26.0,lived to expectations,3.0
Kerem Demirbay,K. Demirbay,211748,"['CAM', 'CM']",Germany,TSG Hoffenheim,84,80,23,80.0,24.0,82.0,25.0,80.0,26.0,79.0,27.0,did not hit their potential,
