Player name,Known as,player_id,position,nationality,team,Fifa 17 Potential rating,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Milot Rashica,M. Rashica,229167,"['RW', 'LW']",Kosovo,Vitesse,84,74,20,75,21,76,22,79,23,79,24,77,25
Aminu Umar,A. Umar,229092,['RM'],Nigeria,Ankaraspor,84,74,21,75,22,76,23,,,73,25,71,26
Sebastian Gamarra Ruíz,S. Gamarra,228742,"['CM', 'CDM']",Bolivia,Attacking,84,68,19,,,,,,,63,23,,
Felix Passlack,F. Passlack,228080,"['RB', 'RM', 'LB']",Germany,Borussia Dortmund,84,67,18,69,19,69,20,68,21,68,22,70,23
Christian Pulisic,C. Pulisic,227796,['LM'],United States,Borussia Dortmund,84,69,17,78,18,79,19,79,20,81,21,82,22
Pablo Fornals Malla,Pablo Fornals,226456,"['CM', 'LM', 'RM']",Spain,Málaga CF,84,76,20,77,21,80,22,81,23,79,24,79,25
Aritz Elustondo Irribaria,Aritz Elustondo,226221,"['RB', 'CB']",Spain,Real Sociedad,84,76,22,77,23,75,24,77,25,76,26,79,27
Marcos Llorente Moreno,Marcos Llorente,226161,"['CM', 'CAM', 'CDM']",Spain,Deportivo Alavés,84,73,21,77,22,79,23,80,24,82,25,86,26
Steven Charles Bergwijn,S. Bergwijn,225953,"['LW', 'RW']",Netherlands,PSV,84,69,18,74,19,76,20,82,21,83,22,80,23
Presnel Kimpembe,P. Kimpembe,225850,['CB'],France,Paris Saint-Germain,84,73,20,76,21,83,22,82,23,81,24,83,25
Marlos Moreno Durán,M. Moreno,225811,"['LW', 'RW', 'CF']",Colombia,Deportivo de La Coruña,84,72,19,72,20,,,72,22,,,68,24
Oliver Burke,O. Burke,225632,"['RM', 'RW']",Scotland,Nottingham Forest,84,68,19,70,20,70,21,69,22,67,23,68,24
Jarlan Junior Barrera Escalona,J. Barrera,225182,['CAM'],Colombia,Junior FC,84,71,20,72,21,73,22,74,23,75,24,73,25
Nemanja Radoja,N. Radoja,225028,"['CDM', 'CM']",Serbia,RC Celta de Vigo,84,78,23,78,24,77,25,,,75,27,75,28
Diogo José Teixeira da Silva,Diogo Jota,224458,['LW'],Portugal,Atlético de Madrid,84,75,19,77,20,78,21,80,22,80,23,82,24
Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['RM', 'LM']",Portugal,SL Benfica,84,74,19,74,20,82,21,83,22,81,23,81,24
Orkan Çınar,O. Çinar,223749,"['RM', 'LM']",Turkey,Gaziantepspor,84,72,20,72,21,72,22,72,23,71,24,,
Timon Janis Wellenreuther,T. Wellenreuther,223686,['GK'],Germany,FC Schalke 04,84,72,20,68,21,66,22,69,23,71,24,70,25
Federico San Emeterio Díaz,Fede,223654,"['CDM', 'CM']",Spain,Sevilla Atlético,84,69,19,69,20,70,21,73,22,73,23,73,24
Ozan Tufan,O. Tufan,223154,"['CM', 'CDM', 'RM', 'CB']",Turkey,Fenerbahçe SK,84,76,21,76,22,74,23,73,24,72,25,76,26
Dorin Rotariu,D. Rotariu,223074,"['RW', 'LW', 'CF']",Romania,Romania,84,69,20,71,21,71,22,70,23,,,69,25
Jorge Meré Pérez,Jorge Meré,223033,['CB'],Spain,Real Sporting de Gijón,84,76,19,78,20,77,21,77,22,72,23,72,24
Alexis Blin,A. Blin,222982,['CDM'],France,Toulouse Football Club,84,73,19,72,20,72,21,73,22,73,23,72,24
Malcom Filipe Silva de Oliveira,Malcom,222737,"['CAM', 'ST']",Brazil,FC Girondins de Bordeaux,84,74,19,79,20,83,21,,,,,,
Isaac Ajayi Success,I. Success,222634,"['RW', 'ST', 'LW']",Nigeria,Watford,84,74,20,73,21,73,22,73,23,71,24,70,25
Adrián Andrés Cubas,A. Cubas,222429,['CDM'],Argentina,Boca Juniors,84,73,20,74,21,72,22,74,23,75,24,75,25
Lukas Manuel Klostermann,L. Klostermann,222331,['RB'],Germany,RB Leipzig,84,72,20,72,21,75,22,79,23,80,24,80,25
Elmir Nabiullin,E. Nabiullin,222265,"['LB', 'LM', 'LW']",Russia,Rubin Kazan,84,72,21,71,22,,,,,,,,
Hirving Rodrigo Lozano Bahena,H. Lozano,221992,"['LW', 'RW']",Mexico,Mexico,84,76,20,78,21,80,22,82,23,80,24,81,25
Adam Armstrong,A. Armstrong,221841,['ST'],England,Newcastle United,84,68,19,68,20,68,21,69,22,73,23,76,24
Nico Elvedi,N. Elvedi,221491,"['CB', 'RB', 'CDM']",Switzerland,Borussia Mönchengladbach,84,72,19,74,20,76,21,78,22,78,23,79,24
Érick Gabriel Gutiérrez Galaviz,E. Gutiérrez,220854,['CM'],Mexico,Pachuca,84,76,21,76,22,77,23,75,24,74,25,73,26
Federico Mattiello,F. Mattiello,220466,"['LB', 'RB']",Italy,Juventus,84,72,20,70,21,72,22,72,23,71,24,71,25
Jason Grégory Marianne Denayer,J. Denayer,220182,['CB'],Belgium,Manchester City,84,74,21,74,22,74,23,79,24,79,25,80,26
Georges-Kévin Nkoudou Mbida,G. Nkoudou,219732,['LM'],France,Olympique de Marseille,84,78,21,77,22,76,23,74,24,75,25,75,26
Jordan Kévin Amavi,J. Amavi,219681,['LB'],France,Aston Villa,84,76,22,74,23,77,24,74,25,78,26,77,27
Víctor Camarasa Ferrando,Camarasa,219571,"['CM', 'CDM']",Spain,Deportivo Alavés,84,76,22,76,23,76,24,76,25,75,26,72,27
Luís Rafael Soares Alves,Rafa Soares,218936,['LB'],Portugal,Rio Ave FC,84,71,21,75,22,72,23,73,24,73,25,73,26
Federico Nicolás Cartabia,F. Cartabia,216796,"['RM', 'LM', 'CAM']",Argentina,Valencia CF,84,77,23,76,24,76,25,,,,,,
Rúben Afonso Borges Semedo,Rúben Semedo,216778,['CB'],Portugal,Sporting CP,84,78,22,78,23,74,24,76,25,75,26,77,27
Gedion Zelalem,G. Zelalem,216699,['CM'],United States,Arsenal,84,67,19,65,20,65,21,64,22,63,23,63,24
Bartosz Kapustka,B. Kapustka,216003,"['LM', 'CAM']",Poland,Leicester City,84,71,19,72,20,,,71,22,69,23,70,24
Rúben Miguel Nunes Vezo,Rúben Vezo,215399,['CB'],Portugal,Valencia CF,84,77,22,74,23,77,24,78,25,77,26,76,27
Axel Wilfredo Werner,A. Werner,215213,['GK'],Argentina,Boca Juniors,84,69,20,69,21,72,22,70,23,70,24,70,25
Adama Traoré Diarra,Adama,213956,['RW'],Spain,Aston Villa,84,72,20,73,21,75,22,74,23,79,24,78,25
Alan Nahuel Ruiz,A. Ruiz,213582,"['CF', 'CAM', 'ST']",Argentina,Sporting CP,84,75,22,78,23,76,24,73,25,,,72,27
Niklas Stark,N. Stark,212977,"['CB', 'CDM', 'CM']",Germany,Hertha BSC,84,74,21,78,22,78,23,79,24,76,25,76,26
Wylan Cyprien,W. Cyprien,212886,"['CM', 'CDM', 'CAM', 'RM']",France,OGC Nice,84,71,21,79,22,78,23,77,24,77,25,73,26
Álvaro Medrán Just,Medrán,212476,"['CM', 'CDM', 'CAM']",Spain,Valencia CF,84,77,22,74,23,75,24,75,25,74,26,73,27
Federico Bernardeschi,F. Bernardeschi,212404,"['RM', 'LM']",Italy,Italy,84,78,22,82,23,82,24,83,25,80,26,79,27
Karol Linetty,K. Linetty,211408,"['CDM', 'CAM']",Poland,Poland,84,74,21,75,22,76,23,76,24,74,25,74,26
Marco Benassi,M. Benassi,211354,['CM'],Italy,Torino F.C.,84,77,22,79,22,77,23,77,24,74,25,72,26
Corentin Jean,C. Jean,211239,"['ST', 'LM', 'RM']",France,AS Monaco,84,72,20,74,21,74,22,72,23,71,24,70,25
Valentino Lazaro,V. Lazaro,211147,"['RM', 'RW', 'LM']",Austria,FC Red Bull Salzburg,84,72,20,71,21,77,22,75,23,79,24,77,25
Rubén Blanco Veiga,Rubén Blanco,211101,['GK'],Spain,RC Celta de Vigo,84,73,20,75,21,77,22,76,23,76,24,75,25
Chancel Mbemba Mangulu,C. Mbemba,210897,['CB'],Congo DR,Newcastle United,84,77,21,76,22,75,23,73,24,75,25,79,26
Morgan Sanson,M. Sanson,210896,"['CM', 'CDM', 'CAM', 'LM']",France,Montpellier Hérault SC,84,78,21,81,22,80,23,79,24,79,25,76,26
Björn Engels,B. Engels,210828,['CB'],Belgium,Club Brugge KV,84,76,21,75,22,,,76,24,74,25,73,26
Juan Fernando Quintero Paniagua,J. Quintero,210513,['CAM'],Colombia,FC Porto,84,79,23,77,24,78,25,80,26,79,27,79,28
Kevin Wimmer,K. Wimmer,209997,['CB'],Austria,Tottenham Hotspur,84,79,23,78,24,75,25,73,26,71,27,69,28
Hakim Ziyech,H. Ziyech,208670,['CAM'],Morocco,FC Twente,84,80,23,81,24,82,25,85,26,85,27,84,28
Abdoulaye Doucouré,A. Doucouré,208135,"['CM', 'CAM']",France,Watford,84,78,23,78,24,81,25,81,26,78,27,79,28
Hakan Çalhanoğlu,H. Çalhanoğlu,208128,"['CAM', 'LM', 'CM']",Turkey,Bayer 04 Leverkusen,84,80,22,79,23,80,24,80,25,79,26,82,27
Sergi Samper Montañá,Sergi Samper,208088,"['CDM', 'CM']",Spain,FC Barcelona,84,74,21,73,22,73,23,70,24,67,25,70,26
Mitchell Weiser,M. Weiser,206591,"['RB', 'RM']",Germany,Hertha BSC,84,76,22,78,23,78,24,77,25,76,26,73,27
Maximilian Arnold,M. Arnold,206511,"['CM', 'CAM', 'CDM']",Germany,VfL Wolfsburg,84,79,22,79,23,78,24,79,25,79,26,81,27
Alassane Alexandre Pléa,A. Pléa,206467,"['ST', 'RM']",France,OGC Nice,84,77,23,79,24,80,25,81,26,80,27,79,28
Dominique Heintz,D. Heintz,206198,['CB'],Germany,1. FC Köln,84,77,22,78,23,77,24,76,25,75,26,74,27
Yvon Landry Mvogo Nganoma,Y. Mvogo,206003,['GK'],Switzerland,BSC Young Boys,84,75,22,75,23,75,24,76,25,76,26,76,27
Leonardo Carrilho Baptistão,Leo Baptistao,205976,['ST'],Brazil,RCD Espanyol de Barcelona,84,79,23,80,24,79,25,79,26,78,27,78,28
James Ward-Prowse,J. Ward-Prowse,205569,"['CM', 'CAM', 'RM']",England,Southampton,84,76,21,78,22,77,23,79,24,79,25,81,26
Bernard Anício Caldeira Duarte,Bernard,205525,"['CAM', 'LW']",Brazil,Shakhtar Donetsk,84,79,23,79,24,,,80,26,78,27,,
Thorgan Ganael Francis Hazard,T. Hazard,203486,"['CAM', 'RM', 'ST', 'LM']",Belgium,Borussia Mönchengladbach,84,79,23,80,24,81,25,82,26,83,27,82,28
Davy Klaassen,D. Klaassen,203483,"['CAM', 'CM']",Netherlands,Ajax,84,80,23,82,24,79,25,80,26,77,27,79,28
Jannik Vestergaard,J. Vestergaard,202849,['CB'],Denmark,Borussia Mönchengladbach,84,79,23,79,24,80,25,78,26,77,27,78,28
Johannes Geis,J. Geis,202087,"['CDM', 'CM']",Germany,FC Schalke 04,84,79,22,77,23,75,24,74,25,73,26,71,27
Felipe Anderson Pereira Gomes,Felipe Anderson,201995,"['LW', 'RW', 'CAM']",Brazil,Lazio,84,79,23,81,24,82,25,84,26,81,27,78,28
Ahmed Musa,A. Musa,201818,"['ST', 'LM']",Nigeria,Leicester City,84,78,23,76,24,75,25,73,26,73,27,72,28
Djibril Sidibé,D. Sidibé,201042,"['LB', 'RB']",France,AS Monaco,84,79,23,79,24,80,25,77,26,78,27,78,28
Muhamed Bešić,M. Bešić,200765,['CDM'],Bosnia and Herzegovina,Everton,84,76,23,76,24,75,25,72,26,70,27,70,28
Lucas Digne,L. Digne,200458,['LB'],France,FC Barcelona,84,79,22,79,23,78,24,83,25,84,26,84,27
Gilbert Gianelli Imbula Wanga,G. Imbula,197681,"['CM', 'CDM']",France,Stoke City,84,79,23,77,24,75,25,75,26,,,68,28
Diego Antonio Reyes Rosales,D. Reyes,192012,"['CB', 'CDM']",Mexico,FC Porto,84,78,23,77,24,77,25,76,26,72,27,67,28
Malang Sarr,M. Sarr,235454,"['LB', 'CB']",France,OGC Nice,83,69,17,75,18,74,19,76,20,,,74,22
Johannes Eggestein,J. Eggestein,234399,['ST'],Germany,SV Werder Bremen,83,64,18,66,19,66,20,73,21,69,22,72,23
Patrik Schick,P. Schick,234236,['ST'],Czech Republic,U.C. Sampdoria,83,72,20,77,21,77,22,76,23,78,24,79,25
Odsonne Édouard,O. Edouard,233866,['RM'],France,Toulouse Football Club,83,67,18,70,19,72,20,74,21,75,22,75,23
Kamada Daichi,D. Kamada,232730,"['CAM', 'CM']",Japan,Sagan Tosu,83,67,19,70,20,70,21,73,22,76,23,79,24
Chidozie Collins Awaziem,C. Awaziem,232693,['CB'],Nigeria,FC Porto,83,72,19,71,20,74,21,74,22,73,23,72,24
Caio Henrique Oliveira Silva,Caio Henrique,232440,['CAM'],Brazil,Atlético de Madrid,83,66,18,67,19,,,,,68,22,77,23
Federico Ricca Rostagnol,F. Ricca,232437,['LB'],Uruguay,Málaga CF,83,75,21,74,22,74,23,75,24,73,25,73,26
Caglar Soyuncu,Ç. Söyüncü,232119,['CB'],Turkey,Sport-Club Freiburg,83,69,20,74,21,75,22,74,23,80,24,80,25
Mitchell van Bergen,M. van Bergen,231864,"['RW', 'LW']",Netherlands,Vitesse,83,63,16,64,17,64,18,70,19,74,20,73,21
Miguel Angel Almiron Rejala,M. Almirón,230977,['CM'],Paraguay,Paraguay,83,75,22,79,23,80,24,80,25,78,26,77,27
Mile Svilar,M. Svilar,230872,['GK'],Belgium,RSC Anderlecht,83,63,16,63,17,67,18,68,19,,,68,21
King Manaj,R. Manaj,230800,['ST'],Albania,Pescara,83,67,19,67,20,67,21,70,22,69,23,69,24
Assane Diousse El Hadji,A. Dioussé,230144,"['CDM', 'CM']",Senegal,Empoli,83,67,18,71,19,72,20,72,21,71,22,70,23
Cesar Jasib Montes Castro,C. Montes,229980,['CB'],Mexico,CF Monterrey,83,73,19,74,20,73,21,73,22,75,23,75,24
Gerson Santos da Silva,Gerson,229927,"['RM', 'CAM']",Brazil,Roma,83,67,19,67,20,73,21,,,,,80,24
Stefano Sensi,S. Sensi,229857,"['CDM', 'CM']",Italy,U.S. Sassuolo Calcio,83,71,20,73,21,73,22,77,23,78,24,80,25
Gaston Rodrigo Pereiro Lopez,G. Pereiro,229636,"['RW', 'LW']",Uruguay,PSV,83,75,21,76,22,76,23,77,24,75,25,73,26
Dalbert Henrique Chagas Estevão,Dalbert,229148,"['LB', 'LM']",Brazil,OGC Nice,83,74,22,77,23,76,24,76,25,73,26,71,27
Christian Rivera Hernandez,Christian Rivera,229038,"['CM', 'CDM']",Spain,SD Eibar,83,65,18,71,19,70,20,69,21,66,22,68,23
Lorenzo Pellegrini,L. Pellegrini,228251,['CM'],Italy,U.S. Sassuolo Calcio,83,71,20,77,21,78,22,79,23,79,24,81,25
Almamy Toure,A. Touré,227873,['RB'],Mali,AS Monaco,83,70,20,73,21,74,22,74,23,74,24,74,25
Bart Ramselaar,B. Ramselaar,227633,"['CAM', 'CM']",Netherlands,PSV,83,74,20,76,21,75,22,73,23,71,24,72,25
Lucas Simon Pierre Tousart,L. Tousart,227234,"['CM', 'CDM']",France,Olympique Lyonnais,83,67,19,78,20,79,21,78,22,76,23,76,24
Gift of Wilfred Ndidi,O. Ndidi,226790,"['CDM', 'CB']",Nigeria,KRC Genk,83,72,19,77,20,80,21,81,22,84,23,85,24
