Player name,Known as,player_id,position,nationality,team,Fifa 19 Potential rating,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Sofiane Diop,S. Diop,244892,['CAM'],France,AS Monaco,84,63,18,67,19,66,20,77,21
Filip Benkovic,F. Benković,244269,['CB'],Croatia,Dinamo Zagreb,84,76,20,76,21,74,22,71,23
Daniel Olmo Carvajal,Dani Olmo,244260,['LM'],Spain,Dinamo Zagreb,84,74,20,79,21,79,22,82,23
Uros Racic,U. Račić,244253,"['CDM', 'CM']",Serbia,Valencia CF,84,75,20,73,21,75,22,78,23
Nehuen Perez,N. Pérez,244206,['CB'],Argentina,Argentinos Juniors,84,70,18,70,19,75,20,75,21
Jovane Eduardo Borges Cabral,Jovane Cabral,244193,"['RM', 'LM']",Cape Verde Islands,Sporting CP,84,71,20,75,21,77,22,78,23
Reo Griffiths,R. Griffiths,243847,['ST'],England,Olympique Lyonnais,84,61,18,62,19,,,61,21
Lars Lukas Mai,L. Mai,243275,['CB'],Germany,FC Bayern München,84,64,18,65,19,64,20,68,21
Josh Sargent,J. Sargent,242075,['ST'],United States,SV Werder Bremen,84,64,18,67,19,69,20,71,21
Abdoulaye Dabo,A. Dabo,241403,"['CM', 'LM']",France,FC Nantes,84,60,17,63,18,63,19,,
Tyrese Campbell,T. Campbell,240783,['ST'],England,Stoke City,84,64,18,65,19,67,20,70,21
Myron Boadu,M. Boadu,239956,['ST'],Netherlands,AZ Alkmaar,84,64,17,70,18,75,19,76,20
Leonardo Rodrigues Lima,Léo Jabá,239953,"['ST', 'LM']",Brazil,PAOK,84,69,19,73,20,72,21,71,22
Ruben Alves Dias,Rúben Dias,239818,['CB'],Portugal,SL Benfica,84,78,21,80,22,81,23,87,24
Mickael Cuisance,M. Cuisance,239744,['CM'],France,Borussia Mönchengladbach,84,72,18,72,19,71,20,73,21
Hassane Bande,H. Bandé,239718,"['LW', 'ST']",Burkina Faso,Ajax,84,72,19,71,20,67,21,,
Nicolas Cozza,N. Cozza,239136,"['CB', 'LWB']",France,Montpellier Hérault SC,84,68,19,69,20,68,21,72,22
Erling Haland,E. Håland,239085,['ST'],Norway,Molde FK,84,66,17,73,18,84,19,88,20
Emmanuel Dennis,E. Dennis,239015,"['ST', 'LW']",Nigeria,Club Brugge KV,84,73,20,75,21,76,22,74,23
Rhian Brewster,R. Brewster,238460,['ST'],England,Liverpool,84,62,18,64,19,70,20,69,21
Moussa Sylla,M. Sylla,237708,['ST'],France,AS Monaco,84,65,18,66,19,,,66,21
Ibrahima Konate,I. Konaté,237678,['CB'],France,RB Leipzig,84,72,19,79,20,78,21,78,22
Arne Maier,A. Maier,237629,"['CM', 'CDM']",Germany,Hertha BSC,84,72,19,76,20,74,21,74,22
Chris Durkin,C. Durkin,237407,['CDM'],United States,D.C. United,84,67,18,67,19,66,20,67,21
Edward Nketiah,E. Nketiah,236988,['ST'],England,Arsenal,84,64,19,68,20,71,21,74,22
Antonin Barak,A. Barák,236791,"['CM', 'CAM']",Czech Republic,Udinese Calcio,84,77,23,77,24,75,25,78,26
Dominik Szoboszlai,D. Szoboszlai,236772,"['CAM', 'CM']",Hungary,FC Red Bull Salzburg,84,64,17,74,18,75,19,77,20
Calvin Stengs,C. Stengs,236593,['RW'],Netherlands,AZ Alkmaar,84,69,19,75,20,78,21,77,22
Ju An You,You Ju An,236585,"['ST', 'RW']",Korea Republic,Suwon Samsung Bluewings,84,67,19,66,20,,,62,22
Luiz Felipe Ramos Marchi,Luiz Felipe,236355,['CB'],Brazil,Lazio,84,73,21,77,22,77,23,78,24
Marko Rog,M. Rog,236311,['CM'],Croatia,Napoli,84,76,22,75,23,75,24,74,25
Aaron Martin Caricol,Aarón Martín,236295,['LB'],Spain,1. FSV Mainz 05,84,76,21,78,22,75,23,74,24
Jacinto Muondo Dala,Gelson Dala,235512,"['RW', 'CF', 'LW']",Angola,Rio Ave FC,84,72,21,72,22,74,23,,
Diadie Samassekou,D. Samassékou,235424,['CDM'],Mali,FC Red Bull Salzburg,84,72,22,79,23,76,24,76,25
Florian Neuhaus,F. Neuhaus,234943,"['CM', 'LM']",Germany,Borussia Mönchengladbach,84,73,21,78,22,79,23,82,24
Jonathan Ikone,J. Ikoné,234612,"['RW', 'LW', 'ST']",France,LOSC Lille,84,72,20,78,21,79,22,79,23
Diogo Filipe Pinto Leite,Diogo Leite,234575,['CB'],Portugal,FC Porto,84,68,19,72,20,71,21,73,22
Oghenekaro Etebo,O. Etebo,234457,"['CDM', 'CM', 'LM']",Nigeria,Stoke City,84,74,22,72,23,71,24,72,25
Myziane Maolida,M. Maolida,234333,"['ST', 'LW']",France,Olympique Lyonnais,84,69,19,72,20,69,21,71,22
Young Wook Cho,Cho Young Wook,234222,['ST'],Korea Republic,FC Seoul,84,68,19,66,20,63,21,64,22
Domilson Cordeiro Dos Santos,Dodô,234112,['RB'],Brazil,Vitória de Guimarães,84,71,19,71,20,72,21,73,22
Ben Brereton,B. Brereton,233795,"['ST', 'RM']",England,Nottingham Forest,84,69,19,68,20,66,21,71,22
Riccardo Orsolini,R. Orsolini,233556,"['RW', 'RM']",Italy,Bologna,84,72,21,76,22,75,23,76,24
Robert Gumny,R. Gumny,233409,['RB'],Poland,Lech Poznań,84,68,20,70,21,70,22,71,23
Kamil Jozwiak,K. Jóźwiak,233222,"['LM', 'RM']",Poland,Lech Poznań,84,66,20,69,21,71,22,70,23
Xaver Schlager,X. Schlager,233195,"['CM', 'CAM', 'CDM']",Austria,FC Red Bull Salzburg,84,72,20,76,21,76,22,80,23
Tyler Adams,T. Adams,232999,"['CDM', 'RWB']",United States,New York Red Bulls,84,71,19,76,20,76,21,77,22
Shoya Nakajima,S. Nakajima,232862,"['LW', 'ST']",Japan,Portimonense SC,84,77,23,79,24,77,25,77,26
Theo Hernandez,T. Hernández,232656,"['LB', 'LWB']",France,Real Madrid CF,84,76,20,76,21,80,22,84,23
Christopher Nkunku,C. Nkunku,232411,"['CM', 'LW']",France,Paris Saint-Germain,84,76,20,77,21,80,22,81,23
Felix Uduokhai,F. Uduokhai,232144,['CB'],Germany,VfL Wolfsburg,84,76,20,75,21,75,22,77,23
Marko Grujic,M. Grujić,232099,['CDM'],Serbia,Liverpool,84,73,22,77,23,75,24,75,25
Antonio Latorre Grueso,Lato,232008,"['LB', 'LWB', 'LM']",Spain,Valencia CF,84,74,20,74,21,73,22,73,23
Richarlison De Andrade,Richarlison,231943,"['LM', 'LW']",Brazil,Everton,84,76,21,79,22,81,23,82,24
Alessandro Murgia,A. Murgia,231919,"['CM', 'CDM']",Italy,Lazio,84,72,21,72,22,71,23,,
Justin Hoogma,J. Hoogma,231823,['CB'],Netherlands,TSG Hoffenheim,84,71,20,69,21,72,22,69,23
Jonathan Leko,J. Leko,231408,"['RW', 'ST', 'LW']",England,West Bromwich Albion,84,66,19,66,20,67,21,66,22
Ludovic Blas,L. Blas,231102,"['RM', 'CM', 'LM']",France,En Avant de Guingamp,84,75,20,76,21,76,22,77,23
Ademola Lookman,A. Lookman,230899,"['LM', 'CF']",England,Everton,84,71,20,76,21,74,22,77,23
Renato Junior Luz Sanches,Renato Sanches,230767,['CM'],Portugal,FC Bayern München,84,75,20,75,21,78,22,80,23
Tom Davies,T. Davies,230005,"['CM', 'CAM']",England,Everton,84,75,20,75,21,75,22,75,23
Waldemar Anton,W. Anton,229476,"['CB', 'CDM']",Germany,Hannover 96,84,77,21,76,22,72,23,75,24
Brian Mansilla,B. Mansilla,228711,"['LM', 'ST']",Argentina,Racing Club,84,69,21,70,22,70,23,68,24
Borja Mayoral Moya,Borja Mayoral,228635,['ST'],Spain,Real Madrid CF,84,74,21,77,22,76,23,76,24
Benjamin Henrichs,B. Henrichs,228579,"['RB', 'LB']",Germany,Bayer 04 Leverkusen,84,76,21,75,22,76,23,76,24
Lorenzo Pellegrini,L. Pellegrini,228251,['CM'],Italy,Roma,84,78,22,79,23,79,24,81,25
Cameron Carter Vickers,C. Carter-Vickers,228174,['CB'],United States,Tottenham Hotspur,84,69,20,69,21,68,22,69,23
Andre Franck Zambo Anguissa,A. Zambo Anguissa,227236,"['CDM', 'CM']",Cameroon,Olympique de Marseille,84,76,22,73,23,77,24,76,25
Frederic Guilbert,F. Guilbert,227222,"['RB', 'RM', 'RWB']",France,Stade Malherbe Caen,84,75,23,76,24,76,25,76,26
Kieran Dowell,K. Dowell,226401,['CAM'],England,Everton,84,71,20,70,21,69,22,71,23
Thilo Kehrer,T. Kehrer,226229,"['CB', 'RB', 'LB']",Germany,FC Schalke 04,84,77,21,79,22,77,23,76,24
Maximilian Eggestein,M. Eggestein,226168,"['CM', 'CAM', 'CDM']",Germany,SV Werder Bremen,84,77,21,80,22,76,23,75,24
Filippo Romagna,F. Romagna,226108,['CB'],Italy,Cagliari,84,70,21,71,22,70,23,69,24
Ainsley Maitland Niles,A. Maitland-Niles,225782,"['CM', 'RM']",England,Arsenal,84,71,20,75,21,76,22,75,23
Kelechi Iheanacho,K. Iheanacho,225719,"['ST', 'CAM']",Nigeria,Leicester City,84,75,21,73,22,74,23,78,24
Oliver Burke,O. Burke,225632,"['RM', 'ST']",Scotland,West Bromwich Albion,84,70,21,69,22,67,23,68,24
Dominic Solanke,D. Solanke,225539,['ST'],England,Liverpool,84,70,20,70,21,69,22,72,23
