Player name,Known as,player_id,position,nationality,team,Fifa 11 Potential rating,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 11 outcome,Year potential reached
Felipe Mattioni Rohde,Felipe Mattioni,184965,"['RWB', 'RB', 'RM']",Brazil,RCD Espanyol de Barcelona,86,73,21,70.0,22.0,67.0,23.0,68.0,24.0,68.0,25.0,69.0,26.0,,,,,,,,,,,,,did not hit their potential,
Giuliano Victor De Paula,Giuliano,184942,"['CAM', 'CM', 'RM', 'CF']",Brazil,Internacional,86,77,20,,,,,,,,,,,80.0,26.0,81.0,27.0,83.0,28.0,82.0,29.0,80.0,30.0,,,did not hit their potential,
Sofiane Feghouli,S. Feghouli,184881,"['CAM', 'CM', 'RW', 'CF']",France,Valencia CF,86,76,20,73.0,21.0,80.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,80.0,26.0,79.0,27.0,79.0,28.0,80.0,29.0,79.0,30.0,76.0,31.0,did not hit their potential,
Gregory Van Der Wiel,G. van der Wiel,183937,"['RWB', 'RB']",Netherlands,Ajax,86,77,22,78.0,23.0,76.0,24.0,74.0,25.0,77.0,26.0,78.0,27.0,78.0,28.0,76.0,29.0,74.0,30.0,,,,,,,did not hit their potential,
Jerome Boateng,J. Boateng,183907,"['CB', 'RB', 'LB', 'CDM']",Germany,Manchester City,86,77,21,78.0,22.0,79.0,23.0,81.0,24.0,85.0,25.0,87.0,26.0,90.0,27.0,88.0,28.0,86.0,29.0,84.0,30.0,82.0,31.0,82.0,32.0,exceeded their potential,4.0
Pablo Piatti,P. Piatti,183899,"['LW', 'CAM', 'LF', 'RF']",Argentina,Unión Deportiva Almería,86,78,21,78.0,22.0,74.0,23.0,73.0,24.0,78.0,25.0,80.0,26.0,78.0,27.0,79.0,28.0,79.0,29.0,78.0,30.0,78.0,31.0,77.0,32.0,did not hit their potential,
Francisco Merida Perez,Fran Mérida,183520,"['CAM', 'LM', 'CM', 'LW']",Spain,Atlético de Madrid,86,74,20,74.0,21.0,72.0,22.0,68.0,23.0,,,71.0,25.0,75.0,26.0,73.0,27.0,70.0,28.0,73.0,29.0,,,74.0,31.0,did not hit their potential,
Jack Rodwell,J. Rodwell,183465,"['CDM', 'CM', 'CB', 'RB']",England,Everton,86,77,19,76.0,20.0,77.0,21.0,77.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,74.0,26.0,,,,,,,67.0,30.0,did not hit their potential,
Fabian Delph,F. Delph,183427,"['CM', 'LM']",England,Aston Villa,86,76,20,73.0,21.0,71.0,22.0,72.0,23.0,75.0,24.0,77.0,25.0,78.0,26.0,77.0,27.0,80.0,28.0,77.0,29.0,77.0,30.0,75.0,31.0,did not hit their potential,
Moussa Sissoko,M. Sissoko,183394,"['CM', 'RM', 'CDM']",France,Toulouse Football Club,86,76,20,77.0,21.0,75.0,22.0,75.0,23.0,75.0,24.0,78.0,25.0,80.0,26.0,77.0,27.0,76.0,28.0,81.0,29.0,79.0,30.0,78.0,31.0,did not hit their potential,
Carlos Eduardo Marques,Carlos Eduardo,181392,"['CAM', 'RW', 'RM', 'CM']",Brazil,Brazil,86,79,22,81.0,23.0,80.0,24.0,76.0,25.0,71.0,26.0,73.0,27.0,,,,,,,,,,,,,did not hit their potential,
Georginio Wijnaldum,G. Wijnaldum,181291,"['RW', 'CAM', 'CM', 'LW']",Netherlands,Feyenoord,86,75,19,75.0,20.0,76.0,21.0,78.0,22.0,78.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,84.0,28.0,85.0,29.0,84.0,30.0,lived to expectations,10.0
Sami Khedira,S. Khedira,179846,"['CDM', 'CM', 'CAM', 'RM']",Germany,Real Madrid CF,86,80,23,81.0,24.0,83.0,25.0,84.0,26.0,84.0,27.0,83.0,28.0,83.0,29.0,84.0,30.0,84.0,31.0,83.0,32.0,81.0,33.0,,,did not hit their potential,
Benedikt Howedes,B. Höwedes,179784,"['CB', 'RB', 'LB', 'CDM']",Germany,FC Schalke 04,86,78,22,80.0,23.0,81.0,24.0,82.0,25.0,82.0,26.0,83.0,27.0,84.0,28.0,83.0,29.0,81.0,30.0,81.0,31.0,,,,,did not hit their potential,
Ever Banega,É. Banega,178562,"['CM', 'CDM', 'CAM', 'RM']",Argentina,Valencia CF,86,81,22,79.0,23.0,80.0,24.0,75.0,25.0,80.0,26.0,80.0,27.0,84.0,28.0,83.0,29.0,83.0,30.0,83.0,31.0,83.0,32.0,82.0,33.0,did not hit their potential,
Clement Chantome,C. Chantôme,177953,"['CM', 'CDM']",France,Paris Saint-Germain,86,74,22,74.0,23.0,76.0,24.0,75.0,25.0,75.0,26.0,75.0,27.0,76.0,28.0,74.0,29.0,72.0,30.0,,,,,,,did not hit their potential,
Dimitri Payet,D. Payet,177388,"['LM', 'LW', 'RW', 'CAM']",France,AS Saint-Étienne,86,75,23,79.0,24.0,80.0,25.0,80.0,26.0,78.0,27.0,81.0,28.0,86.0,29.0,84.0,30.0,84.0,31.0,81.0,32.0,82.0,33.0,80.0,34.0,lived to expectations,6.0
Welliton Soares De Morais,Welliton,176927,"['ST', 'CF', 'RF', 'RW']",Brazil,Spartak Moskva,86,82,23,83.0,24.0,81.0,25.0,76.0,26.0,70.0,27.0,72.0,28.0,73.0,29.0,,,,,,,,,,,did not hit their potential,
Denilson Pereira Neves,Denilson,176414,"['CM', 'CDM', 'RM']",Brazil,Arsenal,86,79,22,76.0,23.0,72.0,24.0,73.0,25.0,,,,,,,,,,,,,,,,,did not hit their potential,
Pedro Leon Sanchez Gil,Pedro León,175379,"['RM', 'RW', 'RF', 'CAM']",Spain,Real Madrid CF,86,80,23,77.0,24.0,76.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,77.0,29.0,80.0,30.0,81.0,31.0,80.0,32.0,79.0,33.0,78.0,34.0,did not hit their potential,
Sergio Romero,S. Romero,173373,['GK'],Argentina,Argentina,86,78,23,77.0,24.0,77.0,25.0,76.0,26.0,72.0,27.0,76.0,28.0,79.0,29.0,80.0,30.0,80.0,31.0,80.0,32.0,80.0,33.0,79.0,34.0,did not hit their potential,
Cristian Ansaldi,C. Ansaldi,173306,"['LWB', 'LB', 'RB', 'RWB']",Argentina,Rubin Kazan,86,79,23,79.0,24.0,79.0,25.0,78.0,26.0,77.0,27.0,79.0,28.0,80.0,29.0,79.0,30.0,78.0,31.0,78.0,32.0,78.0,33.0,78.0,34.0,did not hit their potential,
Antonio Candreva,A. Candreva,173221,"['CAM', 'RM', 'LM', 'CM']",Italy,Parma,86,75,23,76.0,24.0,77.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,81.0,29.0,80.0,30.0,81.0,31.0,79.0,32.0,78.0,33.0,79.0,34.0,did not hit their potential,
Domenico Criscito,D. Criscito,173208,"['LWB', 'LB', 'LM', 'CB']",Italy,Italy,86,78,23,81.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,80.0,28.0,79.0,29.0,80.0,30.0,81.0,31.0,79.0,32.0,78.0,33.0,76.0,34.0,did not hit their potential,
Fabio Alexandre Silva Coentrao,Fábio Coentrão,171688,"['LWB', 'LM', 'LW', 'LB']",Portugal,SL Benfica,86,78,22,82.0,23.0,81.0,24.0,79.0,25.0,79.0,26.0,80.0,27.0,80.0,28.0,77.0,29.0,79.0,30.0,,,75.0,32.0,,,did not hit their potential,
Andrew Driver,A. Driver,170635,"['LW', 'LM']",Scotland,Heart of Midlothian,86,76,22,69.0,23.0,69.0,24.0,67.0,25.0,67.0,26.0,66.0,27.0,,,,,,,,,,,,,did not hit their potential,
Stephen Ireland,S. Ireland,170570,"['CAM', 'CM', 'RM', 'LM']",Republic of Ireland,Aston Villa,86,80,23,77.0,24.0,77.0,25.0,76.0,26.0,76.0,27.0,75.0,28.0,76.0,29.0,72.0,30.0,70.0,31.0,,,,,,,did not hit their potential,
Salvatore Sirigu,S. Sirigu,168435,['GK'],Italy,Italy,86,79,23,79.0,24.0,83.0,25.0,84.0,26.0,84.0,27.0,82.0,28.0,82.0,29.0,79.0,30.0,82.0,31.0,84.0,32.0,84.0,33.0,82.0,34.0,did not hit their potential,
Ignazio Abate,I. Abate,168312,"['RM', 'RWB', 'RB', 'RW']",Italy,AC Milan,86,76,23,78.0,24.0,81.0,25.0,78.0,26.0,74.0,27.0,78.0,28.0,78.0,29.0,78.0,30.0,78.0,31.0,,,,,,,did not hit their potential,
Efrain Juarez,E. Juárez,167519,"['CM', 'CDM', 'RB', 'RM']",Mexico,Celtic,86,79,22,71.0,23.0,67.0,24.0,65.0,25.0,66.0,26.0,68.0,27.0,70.0,28.0,71.0,29.0,68.0,30.0,68.0,31.0,,,,,did not hit their potential,
Oscar Ustari,O. Ustari,167435,['GK'],Argentina,Getafe CF,86,75,23,73.0,24.0,72.0,25.0,75.0,26.0,74.0,27.0,72.0,28.0,72.0,29.0,73.0,30.0,,,,,70.0,33.0,72.0,34.0,did not hit their potential,
Theo Walcott,T. Walcott,164859,"['RW', 'RM', 'ST', 'LW']",England,Arsenal,86,81,21,82.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,77.0,30.0,76.0,31.0,76.0,32.0,did not hit their potential,
John Obi Mikel,J. Mikel,164477,"['CDM', 'CM', 'CAM']",Nigeria,Chelsea,86,82,23,81.0,24.0,80.0,25.0,79.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,,,76.0,31.0,73.0,32.0,72.0,33.0,,,did not hit their potential,
Johan Djourou,J. Djourou,162893,"['CB', 'CDM', 'CM']",Switzerland,Arsenal,86,78,23,77.0,24.0,75.0,25.0,75.0,26.0,74.0,27.0,76.0,28.0,77.0,29.0,73.0,30.0,72.0,31.0,,,69.0,33.0,,,did not hit their potential,
Giuseppe Rossi,G. Rossi,162409,"['CF', 'ST', 'CAM', 'LW']",Italy,Villarreal CF,86,82,23,85.0,24.0,82.0,25.0,81.0,26.0,82.0,27.0,80.0,28.0,79.0,29.0,,,,,,,73.0,33.0,,,lived to expectations,1.0
Jeremy Menez,J. Ménez,160766,"['CAM', 'LW', 'RW', 'LF']",France,Roma,86,79,23,81.0,24.0,81.0,25.0,77.0,26.0,78.0,27.0,81.0,28.0,79.0,29.0,77.0,30.0,73.0,31.0,71.0,32.0,,,,,did not hit their potential,
Alexandre Song,A. Song,157503,"['CDM', 'CM', 'CB', 'RB']",Cameroon,Arsenal,86,82,22,82.0,23.0,83.0,24.0,83.0,25.0,79.0,26.0,79.0,27.0,77.0,28.0,77.0,29.0,,,71.0,31.0,,,,,did not hit their potential,
Gael Junior Etock,G. Etock,201229,"['ST', 'LF']",Cameroon,FC Barcelona B,85,60,16,,,,,64.0,19.0,,,,,,,,,,,,,,,,,did not hit their potential,
Luis Pedro Cavanda,L. Cavanda,200434,"['RWB', 'RB', 'LWB', 'LB']",Angola,Lazio,85,70,19,70.0,20.0,72.0,21.0,72.0,22.0,72.0,23.0,75.0,24.0,74.0,25.0,72.0,26.0,71.0,27.0,70.0,28.0,,,,,did not hit their potential,
Nicolai Boilesen,N. Boilesen,200108,"['CB', 'LB']",Denmark,Ajax,85,63,18,69.0,19.0,69.0,20.0,69.0,21.0,73.0,22.0,72.0,23.0,72.0,24.0,71.0,25.0,71.0,26.0,72.0,27.0,71.0,28.0,72.0,29.0,did not hit their potential,
Pablo Pintos,P. Pintos,200055,"['RWB', 'RB', 'RM']",Uruguay,Getafe CF,85,72,22,69.0,23.0,,,67.0,25.0,66.0,26.0,,,,,,,,,,,,,,,did not hit their potential,
Marco Costantino,M. Costantino,199839,['GK'],Italy,Juventus,85,63,19,,,,,61.0,22.0,,,63.0,24.0,,,,,,,,,,,,,did not hit their potential,
Filippo Boniperti,F. Boniperti,199825,"['CF', 'RF', 'CAM']",Italy,Juventus,85,64,18,64.0,19.0,62.0,20.0,64.0,21.0,55.0,22.0,,,,,,,,,,,,,,,did not hit their potential,
Luca Caldirola,L. Caldirola,199776,"['CB', 'LB']",Italy,Vitesse,85,68,19,69.0,20.0,70.0,21.0,70.0,22.0,73.0,23.0,74.0,24.0,75.0,25.0,75.0,26.0,72.0,27.0,72.0,28.0,71.0,29.0,71.0,30.0,did not hit their potential,
Chul Hong,Hong Chul,199236,"['LWB', 'LB', 'CAM']",Korea Republic,Seongnam FC,85,66,19,66.0,20.0,65.0,21.0,69.0,22.0,69.0,23.0,73.0,24.0,71.0,25.0,74.0,26.0,74.0,27.0,71.0,28.0,72.0,29.0,71.0,30.0,did not hit their potential,
Tae Hwan Kim,Kim Tae Hwan,199231,"['CM', 'CAM', 'RM', 'LM']",Korea Republic,FC Seoul,85,61,20,62.0,21.0,62.0,22.0,63.0,23.0,63.0,24.0,67.0,25.0,69.0,26.0,67.0,27.0,71.0,28.0,69.0,29.0,71.0,30.0,72.0,31.0,did not hit their potential,
Pablo Sarabia Garcia,Pablo Sarabia,198950,"['LW', 'CAM', 'RW']",Spain,Real Madrid CF,85,69,18,73.0,19.0,72.0,20.0,70.0,21.0,70.0,22.0,73.0,23.0,78.0,24.0,80.0,25.0,81.0,26.0,83.0,27.0,81.0,28.0,80.0,29.0,did not hit their potential,
Wellington Alves Da Silva,Wellington Silva,198635,"['CF', 'ST', 'RW']",Brazil,Fluminense,85,69,17,69.0,18.0,64.0,19.0,67.0,20.0,73.0,21.0,74.0,22.0,,,,,,,,,,,69.0,28.0,did not hit their potential,
Luc Castaignos,L. Castaignos,198175,"['ST', 'CF']",Netherlands,Feyenoord,85,66,17,72.0,18.0,74.0,19.0,72.0,20.0,73.0,21.0,75.0,22.0,76.0,23.0,73.0,24.0,70.0,25.0,67.0,26.0,,,,,did not hit their potential,
Alen Stevanovic,A. Stevanovic,197925,"['RW', 'LW', 'CAM']",Serbia,Torino F.C.,85,64,19,67.0,20.0,74.0,21.0,73.0,22.0,70.0,23.0,72.0,24.0,,,,,70.0,27.0,70.0,28.0,,,,,did not hit their potential,
Diego Fabbrini,D. Fabbrini,197785,"['LW', 'RW', 'CAM']",Italy,Empoli,85,70,19,68.0,20.0,74.0,21.0,73.0,22.0,68.0,23.0,70.0,24.0,72.0,25.0,70.0,26.0,71.0,27.0,,,68.0,29.0,,,did not hit their potential,
Francisco Roman Alarcon Suarez,Isco,197781,"['CAM', 'CF']",Spain,Valencia CF,85,68,18,75.0,19.0,79.0,20.0,84.0,21.0,83.0,22.0,84.0,23.0,84.0,24.0,86.0,25.0,89.0,26.0,86.0,27.0,84.0,28.0,82.0,29.0,exceeded their potential,3.0
Khouma El Babacar,K. Babacar,197231,"['ST', 'CF']",Senegal,Fiorentina,85,70,17,72.0,18.0,65.0,19.0,65.0,20.0,72.0,21.0,75.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,74.0,26.0,72.0,27.0,73.0,28.0,did not hit their potential,
Jeffrey Bruma,J. Bruma,195363,"['CB', 'CDM', 'RB', 'CM']",Netherlands,Chelsea,85,71,18,72.0,19.0,72.0,20.0,72.0,21.0,73.0,22.0,77.0,23.0,80.0,24.0,79.0,25.0,76.0,26.0,74.0,27.0,74.0,28.0,73.0,29.0,did not hit their potential,
Filip Duricic,F. Đuričić,193881,"['CAM', 'CM', 'LW']",Serbia,SC Heerenveen,85,67,18,69.0,19.0,76.0,20.0,77.0,21.0,75.0,22.0,76.0,23.0,76.0,24.0,74.0,25.0,74.0,26.0,74.0,27.0,75.0,28.0,76.0,29.0,did not hit their potential,
Dalton Moreira Neto,Dalton,193743,['CB'],Brazil,Internacional,85,70,20,69.0,21.0,67.0,22.0,67.0,23.0,,,,,,,,,,,,,,,,,did not hit their potential,
Mario Figueira Fernandes,Mario Fernandes,193525,"['CB', 'RB', 'RWB']",Brazil,Grêmio,85,73,19,73.0,20.0,75.0,21.0,75.0,22.0,76.0,23.0,79.0,24.0,80.0,25.0,81.0,26.0,81.0,27.0,82.0,28.0,82.0,29.0,82.0,30.0,did not hit their potential,
Kevin Osei,K. Osei,193508,"['CAM', 'RM', 'CM', 'RW']",Ghana,Olympique de Marseille,85,58,19,,,59.0,21.0,59.0,22.0,,,60.0,24.0,,,,,,,,,,,,,did not hit their potential,
David De Gea Quintana,De Gea,193080,['GK'],Spain,Atlético de Madrid,85,78,19,80.0,20.0,80.0,21.0,82.0,22.0,83.0,23.0,86.0,24.0,90.0,25.0,90.0,26.0,91.0,27.0,89.0,28.0,86.0,29.0,84.0,30.0,exceeded their potential,5.0
Ezequiel Schelotto,E. Schelotto,192838,"['RM', 'RW', 'LW', 'RWB']",Italy,Cesena,85,72,21,73.0,22.0,77.0,23.0,70.0,24.0,73.0,25.0,72.0,26.0,77.0,27.0,75.0,28.0,74.0,29.0,73.0,30.0,,,70.0,32.0,did not hit their potential,
Josmar Zambrano,J. Zambrano,192343,"['RW', 'CAM', 'LW', 'CF']",Venezuela,CD Tenerife,85,63,17,,,,,61.0,20.0,61.0,21.0,,,,,,,,,,,62.0,27.0,,,did not hit their potential,
Mario Gotze,M. Götze,192318,"['CAM', 'CF', 'RM', 'LM']",Germany,Borussia Dortmund,85,70,17,84.0,18.0,84.0,20.0,85.0,21.0,85.0,22.0,84.0,23.0,84.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,,,82.0,29.0,lived to expectations,1.0
Rene Krhin,R. Krhin,192205,"['CM', 'RM', 'RW', 'CAM']",Slovenia,Bologna,85,68,20,68.0,21.0,70.0,22.0,69.0,23.0,71.0,24.0,72.0,25.0,74.0,26.0,70.0,27.0,72.0,28.0,72.0,29.0,72.0,30.0,70.0,31.0,did not hit their potential,
Gianmarco Zigoni,G. Zigoni,191068,"['ST', 'CF']",Italy,Genoa,85,66,19,,,65.0,21.0,,,62.0,23.0,,,66.0,25.0,69.0,26.0,69.0,27.0,68.0,28.0,,,67.0,30.0,did not hit their potential,
Mikhail Sivakov,M. Sivakov,191002,"['CM', 'CAM', 'LM']",Belarus,Cagliari,85,67,22,61.0,23.0,,,,,,,,,,,67.0,29.0,,,,,,,,,did not hit their potential,
Eduardo Salvio,E. Salvio,190972,"['RF', 'RM', 'CF', 'ST']",Argentina,SL Benfica,85,74,19,77.0,20.0,77.0,21.0,79.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,81.0,29.0,80.0,30.0,did not hit their potential,
Ruben Micael Freitas Da Ressureicao,Rúben Micael,190779,"['CM', 'CAM']",Portugal,FC Porto,85,79,23,77.0,24.0,73.0,25.0,76.0,26.0,75.0,27.0,,,,,,,72.0,31.0,,,70.0,33.0,,,did not hit their potential,
Carlos Darwin Quintero,C. Quintero,190607,"['RF', 'ST', 'CAM', 'LF']",Colombia,Santos Laguna,85,74,22,73.0,23.0,74.0,24.0,74.0,25.0,72.0,26.0,68.0,27.0,73.0,28.0,73.0,29.0,75.0,30.0,76.0,31.0,75.0,32.0,73.0,33.0,did not hit their potential,
Franco Zuculini,F. Zuculini,190575,"['CM', 'CDM']",Argentina,Genoa,85,73,19,71.0,20.0,70.0,21.0,,,69.0,23.0,73.0,24.0,72.0,25.0,70.0,26.0,70.0,27.0,70.0,28.0,,,,,did not hit their potential,
Adem Ljajic,A. Ljajić,190544,"['CAM', 'LM', 'LW', 'RM']",Serbia,Fiorentina,85,74,18,76.0,19.0,75.0,20.0,79.0,21.0,76.0,22.0,79.0,23.0,78.0,24.0,79.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,76.0,29.0,did not hit their potential,
Nicolas Gorobsov,N. Gorobsov,190332,"['LM', 'LW', 'CM']",Argentina,Cesena,85,65,20,66.0,21.0,68.0,22.0,,,,,,,,,,,,,67.0,29.0,64.0,30.0,,,did not hit their potential,
Iago Falque Silva,Iago Falqué,190264,"['CAM', 'LM', 'LW', 'RW']",Spain,Villarreal Club de Fútbol B,85,66,20,74.0,21.0,72.0,22.0,71.0,23.0,72.0,24.0,79.0,25.0,78.0,26.0,80.0,27.0,80.0,28.0,79.0,29.0,77.0,30.0,74.0,31.0,did not hit their potential,
Francesco Di Tacchio,F. Di Tacchio,189730,"['CDM', 'CM']",Italy,Frosinone,85,64,20,60.0,21.0,,,,,61.0,24.0,,,60.0,26.0,63.0,27.0,67.0,28.0,67.0,29.0,,,66.0,31.0,did not hit their potential,
Matteo Gentili,M. Gentili,189340,['CB'],Italy,Varese,85,60,20,,,60.0,22.0,,,,,64.0,25.0,,,,,,,,,,,,,did not hit their potential,
Daniel Carrico,D. Carriço,189156,"['CB', 'RB', 'RWB']",Portugal,Sporting CP,85,78,21,77.0,22.0,76.0,23.0,72.0,24.0,76.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,78.0,30.0,76.0,31.0,76.0,32.0,did not hit their potential,
Robert Lewandowski,R. Lewandowski,188545,"['ST', 'CF', 'RW', 'CAM']",Poland,Borussia Dortmund,85,76,21,77.0,22.0,83.0,23.0,86.0,24.0,87.0,25.0,87.0,26.0,90.0,27.0,91.0,28.0,90.0,29.0,89.0,30.0,91.0,31.0,92.0,32.0,exceeded their potential,3.0
Diego Polenta,D. Polenta,188485,"['CB', 'LB']",Uruguay,Genoa,85,63,18,66.0,19.0,66.0,20.0,66.0,21.0,,,,,,,,,,,72.0,27.0,71.0,28.0,71.0,29.0,did not hit their potential,
Abel Hernandez,A. Hernández,188484,"['ST', 'LF', 'RF']",Uruguay,Uruguay,85,77,19,78.0,20.0,75.0,21.0,74.0,22.0,72.0,23.0,74.0,24.0,76.0,25.0,75.0,26.0,75.0,27.0,,,,,73.0,30.0,did not hit their potential,
Marvin Martin,M. Martin,188385,"['RM', 'CAM']",France,FC Sochaux-Montbéliard,85,70,22,80.0,23.0,80.0,24.0,76.0,25.0,74.0,26.0,73.0,27.0,74.0,28.0,,,71.0,30.0,,,65.0,32.0,,,did not hit their potential,
Lautaro Acosta,L. Acosta,188268,"['CF', 'CAM', 'RW', 'LW']",Argentina,Sevilla FC,85,69,22,69.0,23.0,69.0,24.0,70.0,25.0,74.0,26.0,72.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,76.0,31.0,78.0,32.0,75.0,33.0,did not hit their potential,
Airton Ribeiro Santos,Airton,187954,"['CDM', 'CM', 'CB']",Brazil,SL Benfica,85,76,20,75.0,21.0,72.0,22.0,71.0,23.0,,,,,,,,,,,,,,,,,did not hit their potential,
Diogo Luis Santo,Diogo,187815,"['ST', 'RF', 'LF', 'CF']",Brazil,Flamengo,85,76,23,72.0,24.0,72.0,25.0,74.0,26.0,,,,,,,,,,,,,,,,,did not hit their potential,
Dmitriy Kombarov,D. Kombarov,187492,"['LW', 'LM', 'LWB', 'RM']",Russia,Spartak Moskva,85,76,23,75.0,24.0,74.0,25.0,76.0,26.0,74.0,27.0,74.0,28.0,75.0,29.0,74.0,30.0,74.0,31.0,,,,,,,did not hit their potential,
Yann Mvila,Y. M'Vila,187052,"['CDM', 'CM']",France,Stade Rennais FC,85,69,20,81.0,21.0,82.0,22.0,79.0,23.0,78.0,24.0,78.0,25.0,79.0,26.0,78.0,27.0,79.0,28.0,80.0,29.0,79.0,30.0,79.0,31.0,did not hit their potential,
Daniele Ragatzu,D. Ragatzu,186607,"['ST', 'CF']",Italy,Cagliari,85,70,18,65.0,19.0,,,66.0,21.0,63.0,22.0,,,,,,,,,63.0,27.0,62.0,28.0,,,did not hit their potential,
Wesley Lopes Beltrame,Wesley,186600,"['CM', 'RM', 'CAM']",Brazil,SV Werder Bremen,85,76,23,77.0,24.0,71.0,25.0,72.0,26.0,,,73.0,28.0,,,,,,,,,,,,,did not hit their potential,
Leroy Fer,L. Fer,186351,"['CM', 'CDM', 'CAM', 'CF']",Netherlands,Feyenoord,85,74,20,73.0,21.0,76.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,76.0,26.0,77.0,27.0,76.0,28.0,73.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Wojciech Szczesny,W. Szczęsny,186153,['GK'],Poland,Arsenal,85,69,20,79.0,21.0,80.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,82.0,27.0,83.0,28.0,86.0,29.0,87.0,30.0,87.0,31.0,exceeded their potential,9.0
Macauley Chrisantus,M. Chrisantus,186102,"['ST', 'CF']",Nigeria,Karlsruher SC,85,65,19,65.0,20.0,65.0,21.0,68.0,22.0,67.0,23.0,,,67.0,25.0,,,,,,,,,,,did not hit their potential,
Batuhan Karadeniz,B. Karadeniz,185428,['ST'],Turkey,Eskişehirspor,85,68,19,,,,,,,69.0,23.0,70.0,24.0,,,,,,,,,,,,,did not hit their potential,
Vincenzo Fiorillo,V. Fiorillo,185172,['GK'],Italy,U.C. Sampdoria,85,65,20,64.0,21.0,64.0,22.0,70.0,23.0,69.0,24.0,69.0,25.0,70.0,26.0,71.0,27.0,71.0,28.0,73.0,29.0,,,72.0,31.0,did not hit their potential,
Davide Lanzafame,D. Lanzafame,184976,"['RF', 'LF', 'RM', 'LM']",Italy,Juventus,85,76,23,74.0,24.0,72.0,25.0,,,,,70.0,28.0,69.0,29.0,,,,,,,,,,,did not hit their potential,
Alexis Sanchez,A. Sánchez,184941,"['RW', 'RF', 'LF', 'RM']",Chile,Udinese Calcio,85,79,21,86.0,22.0,85.0,23.0,82.0,24.0,84.0,25.0,86.0,26.0,87.0,27.0,89.0,28.0,87.0,29.0,82.0,30.0,80.0,31.0,80.0,32.0,exceeded their potential,1.0
Nathan Delfouneso,N. Delfouneso,184467,"['ST', 'RW', 'LW', 'CF']",England,Aston Villa,85,76,19,73.0,20.0,71.0,21.0,68.0,22.0,67.0,23.0,68.0,24.0,66.0,25.0,63.0,26.0,60.0,27.0,63.0,28.0,63.0,29.0,62.0,30.0,did not hit their potential,
Jonathan Biabiany,J. Biabiany,184312,"['RW', 'RF', 'RM', 'CAM']",France,Inter,85,77,22,73.0,23.0,77.0,24.0,80.0,25.0,79.0,26.0,78.0,27.0,76.0,28.0,75.0,29.0,74.0,30.0,74.0,31.0,,,,,did not hit their potential,
Fernando Francisco Reges,Fernando,184134,"['CDM', 'CM', 'RB']",Brazil,FC Porto,85,79,22,79.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,77.0,29.0,79.0,30.0,81.0,31.0,83.0,32.0,84.0,33.0,lived to expectations,11.0
Diego Perotti,D. Perotti,183900,"['RW', 'RM', 'CAM', 'LM']",Argentina,Sevilla FC,85,79,21,79.0,22.0,78.0,23.0,76.0,24.0,74.0,25.0,79.0,26.0,80.0,27.0,80.0,28.0,81.0,29.0,80.0,30.0,79.0,31.0,75.0,32.0,did not hit their potential,
Yohan Mollo,Y. Mollo,183800,"['RW', 'LW', 'CAM', 'CF']",France,Stade Malherbe Caen,85,75,20,75.0,21.0,75.0,22.0,76.0,23.0,76.0,24.0,74.0,25.0,74.0,26.0,74.0,27.0,,,70.0,29.0,69.0,30.0,,,did not hit their potential,
Konstantinos Mitroglou,K. Mitroglou,183483,"['ST', 'CF']",Greece,Olympiacos CFP,85,76,22,74.0,23.0,74.0,24.0,76.0,25.0,78.0,26.0,78.0,27.0,81.0,28.0,81.0,29.0,78.0,30.0,75.0,31.0,73.0,32.0,,,did not hit their potential,
