Player name,Known as,player_id,position,nationality,team,Fifa 16 Potential rating,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Bernard Anicio Caldeira Duarte,Bernard,205525,"['CAM', 'LW']",Brazil,Shakhtar Donetsk,84,78,22,79,23,79,24,,,80,26,78,27,,
Luiz Frello Filho Jorge,Jorginho,205498,"['CDM', 'CM']",Italy,Napoli,84,77,23,81,24,81,25,84,26,83,27,83,28,85,29
Matija Nastasic,M. Nastasić,205362,['CB'],Serbia,FC Schalke 04,84,79,22,80,23,80,24,81,25,80,26,77,27,74,28
Arkadiusz Milik,A. Milik,205175,['ST'],Poland,Ajax,84,77,21,79,22,79,23,80,24,83,25,81,26,81,27
Joel Campbell,J. Campbell,204713,"['RM', 'LM']",Costa Rica,Arsenal,84,76,23,78,24,77,25,,,76,27,74,28,75,29
Jores Okore,J. Okore,204163,['CB'],Denmark,Aston Villa,84,77,22,77,23,73,24,72,25,72,26,,,70,28
Mbaye Niang,M. Niang,204077,"['ST', 'RW']",France,AC Milan,84,74,20,78,21,78,22,77,23,77,24,78,25,76,26
Viktor Fischer,V. Fischer,203965,['LW'],Denmark,Ajax,84,77,21,74,22,75,23,76,24,78,25,74,26,70,27
Bruno Zuculini,B. Zuculini,203864,"['CM', 'RM']",Argentina,Manchester City,84,74,22,,,71,24,70,25,75,26,73,27,74,28
Loris Karius,L. Karius,203775,['GK'],Germany,1. FSV Mainz 05,84,78,22,82,23,80,24,79,25,79,26,78,27,75,28
Hector Bellerin Moruno,Héctor Bellerín,203747,['RB'],Spain,Arsenal,84,74,20,79,21,81,22,80,23,80,24,80,25,78,26
Jack Butland,J. Butland,203042,['GK'],England,Stoke City,84,74,22,82,23,81,24,81,25,78,26,74,27,73,28
Stefano Sturaro,S. Sturaro,202135,"['CM', 'CDM']",Italy,Juventus,84,77,22,77,23,77,24,76,25,75,26,72,27,72,28
Harry Kane,H. Kane,202126,"['ST', 'CF']",England,Tottenham Hotspur,84,78,21,84,22,86,23,89,24,89,25,88,26,90,27
Paul Georges Ntep,P. Ntep,201533,"['LM', 'LW']",France,Stade Rennais FC,84,79,22,80,23,79,24,77,25,73,26,71,27,67,28
Geoffrey Kondogbia,G. Kondogbia,201455,"['CDM', 'CM']",France,Inter,84,78,22,76,23,76,24,82,25,81,26,79,27,79,28
Ravel Morrison,R. Morrison,201155,"['CAM', 'CM']",England,Lazio,84,76,22,77,23,74,24,,,76,26,,,72,28
Muhamed Besic,M. Bešić,200765,"['CDM', 'CB']",Bosnia and Herzegovina,Everton,84,75,22,76,23,76,24,75,25,72,26,70,27,70,28
Cristian Tello Herrera,Cristian Tello,200315,"['RW', 'LW']",Spain,FC Porto,84,79,23,78,24,77,25,80,26,80,27,78,28,79,29
Dennis Praet,D. Praet,199652,"['CAM', 'LM']",Belgium,RSC Anderlecht,84,77,21,78,22,76,23,76,24,76,25,76,26,78,27
Vincent Aboubakar,V. Aboubakar,199069,['ST'],Cameroon,FC Porto,84,79,23,78,24,78,25,80,26,78,27,74,28,77,29
Luis Alberto Romero Alconchel,Luis Alberto,198706,"['CF', 'CAM', 'ST']",Spain,Deportivo de La Coruña,84,75,22,,,77,24,82,25,84,26,85,27,84,28
Manolo Gabbiadini,M. Gabbiadini,198683,"['CAM', 'CF', 'RW']",Italy,Napoli,84,78,23,81,24,79,25,77,26,76,27,75,28,75,29
Phil Jones,P. Jones,194957,"['CB', 'RB']",England,Manchester United,84,80,23,79,24,79,25,80,26,79,27,75,28,74,29
Xherdan Shaqiri,X. Shaqiri,193348,"['RM', 'CAM', 'LM']",Switzerland,Switzerland,84,80,23,82,24,82,25,81,26,82,27,81,28,79,29
Jesus Corona,J. Corona,193165,"['RW', 'LW']",Mexico,Mexico,84,77,22,80,23,81,24,81,25,81,26,84,27,82,28
Adem Ljajic,A. Ljajić,190544,"['LW', 'RW', 'CF']",Serbia,Roma,84,79,23,78,24,79,25,80,26,81,27,80,28,76,29
Jack Wilshere,J. Wilshere,189461,"['CM', 'CDM', 'LM']",England,Arsenal,84,81,23,82,24,81,25,80,26,79,27,76,28,,
Kyriakos Papadopoulos,K. Papadopoulos,184477,['CB'],Greece,Bayer 04 Leverkusen,84,79,23,79,24,79,25,78,26,76,27,,,71,29
Sebastian Gamarra,S. Gamarra,228742,"['CM', 'CDM']",Bolivia,Attacking,83,67,18,68,19,,,,,,,63,23,,
Joel Drommel,J. Drommel,228279,['GK'],Netherlands,FC Twente,83,65,18,67,19,67,20,,,72,22,72,23,75,24
Petar Stojanovic,P. Stojanović,225995,"['RB', 'RM']",Slovenia,Slovenia,83,72,19,,,,,73,22,71,23,72,24,71,25
Daniele Verde,D. Verde,225844,"['LW', 'RW']",Italy,Frosinone,83,68,19,70,20,70,21,72,22,72,23,72,24,74,25
Nikolai Laursen,N. Laursen,224859,['RW'],Denmark,PSV,83,63,17,63,18,,,63,20,65,21,70,22,67,23
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,['ST'],Portugal,FC Paços de Ferreira,83,70,18,75,19,77,20,78,21,80,22,80,23,82,24
Manuel Garcia Alonso,Manu García,223978,['CAM'],Spain,Manchester City,83,61,17,67,18,69,19,73,20,71,21,72,22,73,23
Aaron Leya Iseka,A. Leya Iseka,223929,['ST'],Belgium,RSC Anderlecht,83,65,17,65,18,68,19,69,20,72,21,70,22,70,23
Yusuf Erdogan,Y. Erdoğan,223136,"['LW', 'RW']",Turkey,Trabzonspor,83,76,22,74,23,73,24,71,25,71,26,71,27,72,28
Leroy Sane,L. Sané,222492,"['RM', 'LM', 'ST']",Germany,FC Schalke 04,83,70,19,79,20,82,21,86,22,86,23,85,24,84,25
Thiago Rodrigues Da Silva,Mosquito,222059,['ST'],Brazil,UE Llagostera,83,68,19,,,67,21,,,,,,,,
Donny Van De Beek,D. van de Beek,221363,['CAM'],Netherlands,Ajax,83,67,18,70,19,76,20,77,21,81,22,83,23,81,24
Federico Mattiello,F. Mattiello,220466,"['LB', 'RB']",Italy,Chievo Verona,83,71,19,72,20,70,21,72,22,72,23,71,24,71,25
Simone Scuffet,S. Scuffet,220048,['GK'],Italy,Como,83,72,19,74,20,75,21,72,22,72,23,72,24,72,25
Jordan Amavi,J. Amavi,219681,"['LB', 'LM']",France,Aston Villa,83,75,21,76,22,74,23,77,24,74,25,78,26,77,27
Victor Camarasa Ferrando,Camarasa,219571,"['CDM', 'CM']",Spain,Levante Unión Deportiva,83,74,21,76,22,76,23,76,24,76,25,75,26,72,27
Dzhamaldin Khodzhaniyazov,D. Khodzhaniyazov,218725,"['LB', 'CB']",Russia,Zenit St. Petersburg,83,69,18,68,19,,,,,,,,,,
Moses Simon,M. Simon,216820,['ST'],Nigeria,KAA Gent,83,71,19,74,20,74,21,,,75,23,77,24,75,25
Carlos Manuel Cardoso Mane,Carlos Mané,216749,"['LM', 'RM', 'CF']",Portugal,Sporting CP,83,76,21,76,22,76,23,75,24,74,25,74,26,72,27
Daley Sinkgraven,D. Sinkgraven,216380,"['CAM', 'LW']",Netherlands,Ajax,83,74,19,74,20,75,21,72,22,72,23,77,24,75,25
Kenny Tete,K. Tete,216266,['RB'],Netherlands,Ajax,83,75,19,77,20,77,21,78,22,77,23,77,24,75,25
Inaki Williams Dannis,Williams,216201,"['RW', 'LW', 'ST']",Spain,Athletic Club de Bilbao,83,74,21,80,22,81,23,81,24,82,25,81,26,81,27
Aleksandar Mitrovic,A. Mitrović,215716,['ST'],Serbia,Newcastle United,83,76,20,76,21,75,22,76,23,78,24,77,25,75,26
Ruben Miguel Nunes Vezo,Rúben Vezo,215399,['CB'],Portugal,Valencia CF,83,76,21,77,22,74,23,77,24,78,25,77,26,76,27
Gaston Gil Romero,G. Gil Romero,215328,['CM'],Argentina,Estudiantes de La Plata,83,73,22,71,23,,,70,25,68,26,,,68,28
Hector Villalba,H. Villalba,215107,"['RM', 'ST']",Argentina,San Lorenzo de Almagro,83,73,20,74,21,74,22,75,23,75,24,74,25,74,26
Adama Traore Diarra,Adama,213956,['RW'],Spain,Aston Villa,83,71,19,72,20,73,21,75,22,74,23,79,24,78,25
Ager Aketxe Barrutia,Aketxe,213937,"['CAM', 'CM', 'RW']",Spain,Athletic Club de Bilbao,83,74,21,72,22,72,23,72,24,72,25,,,71,27
Santiago Montoya,S. Montoya,213260,['CAM'],Colombia,Vitória de Guimarães,83,75,23,70,24,71,25,72,26,71,27,69,28,,
Sven Van Beek,S. van Beek,213000,['CB'],Netherlands,Feyenoord,83,77,20,76,21,74,22,75,23,74,24,71,25,70,26
Daniel Amartey,D. Amartey,212883,"['CM', 'CB']",Ghana,F.C. København,83,70,20,71,21,75,22,76,23,73,24,73,25,74,26
Davie Selke,D. Selke,212626,['ST'],Germany,RB Leipzig,83,72,20,73,21,72,22,77,23,78,24,73,25,71,26
Ivan Cavaleiro,Ivan Cavaleiro,212267,"['LM', 'ST', 'RM']",Portugal,AS Monaco,83,76,21,75,22,74,23,75,24,75,25,75,26,73,27
Bruno Miguel Borges Fernandes,Bruno Fernandes,212198,"['CM', 'CAM', 'CF']",Portugal,Udinese Calcio,83,75,20,76,21,77,22,83,23,85,24,87,25,88,26
Danilo Cataldi,D. Cataldi,211361,"['CM', 'CAM']",Italy,Lazio,83,73,20,75,21,75,22,75,23,75,24,73,25,73,26
Dele Alli,D. Alli,211117,"['CM', 'CDM']",England,Tottenham Hotspur,83,67,19,80,20,84,21,84,22,84,23,83,24,80,25
Javier Manquillo Gaitan,Manquillo,210972,['RB'],Spain,Olympique de Marseille,83,72,21,77,22,76,23,74,24,74,25,76,26,74,27
Carles Gil D Vicent,Carles Gil,210930,"['RM', 'CAM']",Spain,Aston Villa,83,74,22,77,23,78,24,75,25,75,26,76,27,77,28
Angelo Henriquez,Á. Henríquez,210296,['ST'],Chile,Chile,83,73,21,,,,,72,24,71,25,,,,
Adrien Rabiot,A. Rabiot,210008,"['CM', 'CDM']",France,Paris Saint-Germain,83,76,20,78,21,80,22,83,23,83,24,81,25,81,26
Kevin Wimmer,K. Wimmer,209997,['CB'],Austria,Tottenham Hotspur,83,77,22,79,23,78,24,75,25,73,26,71,27,69,28
Hakim Ziyech,H. Ziyech,208670,['CAM'],Netherlands,FC Twente,83,77,22,80,23,81,24,82,25,85,26,85,27,84,28
Saul Niguez Esclapez,Saúl,208421,"['CDM', 'CM', 'CB']",Spain,Atlético de Madrid,83,76,20,80,21,82,22,85,23,85,24,84,25,82,26
Hakan Calhanoglu,H. Çalhanoğlu,208128,"['CAM', 'CF', 'CM']",Turkey,Bayer 04 Leverkusen,83,78,21,80,22,79,23,80,24,80,25,79,26,82,27
Imoh Ezekiel,I. Ezekiel,208022,['ST'],Nigeria,RSC Anderlecht,83,75,21,,,75,23,,,68,25,65,26,,
Sergio Rico Gonzalez,Sergio Rico,206652,['GK'],Spain,Sevilla FC,83,74,21,80,22,81,23,80,24,77,25,77,26,77,27
Jack Grealish,J. Grealish,206517,"['LM', 'CAM']",Republic of Ireland,Aston Villa,83,72,19,72,20,73,21,74,22,77,23,80,24,84,25
Ivan Lopez Mendoza,Iván López,206238,"['RB', 'RWB']",Spain,Levante Unión Deportiva,83,75,21,73,22,72,23,73,24,72,25,,,,
Paul Nardi,P. Nardi,206218,['GK'],France,AS Monaco,83,72,21,72,22,,,71,24,73,25,73,26,73,27
Okay Yokuslu,O. Yokuşlu,205201,"['CM', 'CAM', 'CF', 'ST']",Turkey,Trabzonspor,83,72,21,75,22,75,23,77,24,78,25,77,26,76,27
Karim Rekik,K. Rekik,205193,['CB'],Netherlands,Olympique de Marseille,83,75,20,73,21,73,22,79,23,78,24,75,25,74,26
Juan Bernat Velasco,Bernat,205069,"['LB', 'LM']",Spain,FC Bayern München,83,79,22,79,23,79,24,77,25,80,26,83,27,82,28
Michy Batshuayi,M. Batshuayi,204529,['ST'],Belgium,Olympique de Marseille,83,78,21,81,22,80,23,81,24,79,25,78,26,76,27
Thorgan Hazard,T. Hazard,203486,"['LM', 'CAM']",Belgium,Borussia Mönchengladbach,83,78,22,79,23,80,24,81,25,82,26,83,27,82,28
Virgil Van Dijk,V. van Dijk,203376,['CB'],Netherlands,Celtic,83,77,23,79,24,83,25,85,26,90,27,90,28,89,29
Martin Hinteregger,M. Hinteregger,201922,['CB'],Austria,FC Red Bull Salzburg,83,75,22,75,23,77,24,77,25,80,26,80,27,80,28
Rafael Alcantara,Rafinha,201400,"['CM', 'RW', 'LW']",Brazil,FC Barcelona,83,79,22,80,23,81,24,82,25,81,26,79,27,80,28
Jeison Murillo,J. Murillo,201377,['CB'],Colombia,Inter,83,77,23,80,24,79,25,81,26,79,27,77,28,77,29
Adam Maher,A. Maher,200223,"['CAM', 'CM']",Netherlands,PSV,83,76,21,74,22,74,23,,,76,25,75,26,75,27
Marco Van Ginkel,M. van Ginkel,199767,['CM'],Netherlands,Stoke City,83,75,22,77,23,78,24,79,25,77,26,75,27,76,28
Juan Manuel Iturbe,J. Iturbe,199151,['RW'],Argentina,Roma,83,77,22,77,23,76,24,76,25,72,26,72,27,,
Mathew Ryan,M. Ryan,199005,['GK'],Australia,Valencia CF,83,78,23,79,24,77,25,78,26,80,27,80,28,77,29
Sergio Miguel Relvas De Oliveira,Sérgio Oliveira,198031,"['CM', 'CAM']",Portugal,FC Porto,83,75,23,76,24,74,25,79,26,78,27,78,28,80,29
Pajtim Kasami,P. Kasami,197900,"['CM', 'CAM', 'RM', 'CDM']",Switzerland,Olympiacos CFP,83,75,23,76,24,,,72,26,73,27,,,74,29
Joel Matip,J. Matip,197061,"['CB', 'CDM']",Cameroon,FC Schalke 04,83,80,23,82,24,83,25,81,26,82,27,83,28,83,29
Alphonse Areola,A. Aréola,193105,['GK'],France,Villarreal CF,83,74,22,81,23,79,24,81,25,82,26,82,27,82,28
Jonjo Shelvey,J. Shelvey,189165,"['CM', 'CDM', 'CAM']",England,Swansea City,83,77,23,77,24,77,25,78,26,77,27,77,28,75,29
Manuel Lanzini,M. Lanzini,188988,['CAM'],Argentina,West Ham United,83,76,22,79,23,81,24,81,25,80,26,78,27,77,28
Dennon Lewis,D. Lewis,230033,"['LW', 'RW', 'ST']",England,Watford,82,63,18,,,63,20,,,,,,,,
Gaston Pereiro,G. Pereiro,229636,"['RW', 'CAM']",Uruguay,PSV,82,73,20,75,21,76,22,76,23,77,24,75,25,73,26
Joao Maria Palhinha Goncalves,Palhinha,229391,['CDM'],Portugal,Moreirense FC,82,68,19,74,20,76,21,,,76,23,78,24,82,25
Julen Arellano Zaldua,Arellano,229364,"['LB', 'LM']",Spain,Athletic Club de Bilbao B,82,63,18,,,63,20,,,,,,,,
Raphael Gregorio Guzzo,Raphael Guzzo,228589,['CM'],Portugal,CD Tondela,82,68,20,,,70,22,67,23,,,,,69,26
Yeray Alvarez Lopez,Yeray,227950,"['CB', 'RB']",Spain,Athletic Club de Bilbao B,82,69,20,72,21,78,22,77,23,80,24,80,25,81,26
Nelson Cabral Semedo,Nélson Semedo,227928,['RB'],Portugal,SL Benfica,82,72,21,76,22,81,23,80,24,82,25,83,26,80,27
Alejandro Remiro Gargallo,Álex Remiro,227127,['GK'],Spain,Athletic Club de Bilbao B,82,68,20,71,21,72,22,75,23,76,24,80,25,81,26
Benjamin Verbic,B. Verbič,225997,"['LW', 'RW', 'ST']",Slovenia,F.C. København,82,70,21,71,22,71,23,78,24,78,25,78,26,77,27
Assane Gnoukouri,A. Gnoukouri,225970,['CM'],Côte d'Ivoire,Inter,82,69,18,70,19,70,20,68,21,,,,,,
Ainsley Maitland Niles,A. Maitland-Niles,225782,"['RM', 'CM']",England,Ipswich Town,82,64,17,65,18,65,19,71,20,75,21,76,22,75,23
Felipe Gedoz Da Conceicao,Gedoz,225346,['RW'],Brazil,Club Brugge KV,82,74,21,73,22,,,,,,,72,26,,
Adama Traore,A. Traoré,225151,"['CM', 'CAM']",Mali,AS Monaco,82,68,20,71,21,71,22,72,23,71,24,71,25,73,26
Rivaldo Coetzee,R. Coetzee,225137,['CB'],South Africa,South Africa,82,67,18,68,19,71,20,,,,,71,23,,
Jonathan Rodriguez,J. Rodríguez,223816,['ST'],Uruguay,Deportivo de La Coruña,82,74,21,73,22,72,23,73,24,75,25,78,26,80,27
Timon Wellenreuther,T. Wellenreuther,223686,['GK'],Germany,RCD Mallorca,82,67,19,72,20,68,21,66,22,69,23,71,24,70,25
Mario Pasalic,M. Pašalić,223273,"['CDM', 'CM']",Croatia,AS Monaco,82,72,20,,,76,22,76,23,77,24,77,25,78,26
Ozan Tufan,O. Tufan,223154,"['CDM', 'RM']",Turkey,Fenerbahçe SK,82,76,20,76,21,76,22,74,23,73,24,72,25,76,26
Franco Cervi,F. Cervi,223061,"['RM', 'LM']",Argentina,Rosario Central,82,74,21,75,22,78,23,80,24,76,25,78,26,75,27
